1688428464,column,column,column,column,2956968,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,___xo_qc_30_xo_l85_18w1usb__microusb_white_xol85mwh,column,109,1,httpscomfyuasetevoezarjadnoeustrojstvoxoqc30xol8518w1usbmicrousbwhitexol85mwhhtml,column,05112025_1903,column,__42,Фастів,0
1688622735,,,,,2942012,Техника для дома >> Мелкая техника,bosch,Пилосос для сухого прибирання без мішка Bosch BGC21X200,,4699,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-bosch-bgc21x200.html,6899,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,6
1688641395,,,,,2832114,Посуда >> Для приготовления >> Сковороды >> Сковороды Lessner,lessner,Сковорода універсальна Lessner Home Line 28 см (88378-28),,735,1,https://comfy.ua/skovoroda-universal-naja-lessner-home-line-28-sm-88378-28.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1688689654,,,,,2956955,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,Автомобільний зарядний пристрій XO TZ09 2.4A/2 USB + кабель Type-C Black (XO-TZ09T-BK),,99,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-xo-tz09-2-4a-2-usb-kabel-type-c-black-xo-tz09t-bk.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1688689656,,,,,2956952,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,Автомобільний зарядний пристрій XO TZ09 2.4A/2 USB + кабель lightning Grey (XO-TZ09L-GR),,99,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-xo-tz09-2-4a-2-usb-kabel-lightning-grey-xo-tz09l-gr.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
1688689658,,,,,2956954,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,Автомобільний зарядний пристрій XO TZ09 2.4A/2 USB + кабель microUSB Grey (XO-TZ09M-GR),,99,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-xo-tz09-2-4a-2-usb-kabel-microusb-grey-xo-tz09m-gr.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1688689660,,,,,2956953,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,Автомобільний зарядний пристрій XO TZ09 2.4A/2 USB + кабель microUSB Black (XO-TZ09M-BK),,99,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-xo-tz09-2-4a-2-usb-kabel-microusb-black-xo-tz09m-bk.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1688689661,,,,,2956951,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,Автомобільний зарядний пристрій XO TZ09 2.4A/2 USB + кабель lightning Black (XO-TZ09L-BK),,99,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-xo-tz09-2-4a-2-usb-kabel-lightning-black-xo-tz09l-bk.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1688689662,,,,,2956948,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,Автомобільний зарядний пристрій XO CC48 2.4A/2 USB + microUSB Grey (XO-CC48m-GR),,99,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-xo-cc48-2-4a-2-usb-microusb-grey-xo-cc48m-gr.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1688710877,,,,,2942037,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов Armorstandart,armorstandart,Чохол для смартфону Armorstandart Air for Samsung A55 5G (A556) Camera cover Clear (ARM74342),,229,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-air-for-samsung-a55-5g-a556-camera-cover-clear-arm74342.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1688710918,,,,,2969241,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Miele,miele,Пилосос ручний для дому Miele SQLL0 31 Duoflex HX1,,12899,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-miele-sqll0-31-duoflex-hx1.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1688724722,7091447,HEINNER,Миксер HEINNER HM-400BG,749,2937930,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Heinner,heinner,Міксер Heinner HM-400BG,,749,1,https://comfy.ua/mikser-heinner-hm-400bg.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
