1689067409,6977884,METAL TIME,Модель METAL TIME Украинская Мечта АН-225 (MT001EE/READY),6990,2902740,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Metal Time,metal-time,Металевий конструктор Metal Time Українська Мрія АН-225 (MT001EE/READY),,6989,1,https://comfy.ua/metallicheskij-konstruktor-metal-time-ukrainskaja-mechta-an-225-mt001ee-ready.html,,05.11.2025 22:03,,"вул. Соборна, 42",Фастів,0
1689067426,,,,,.2969559,Детские товары >> Игрушки,guidecraft,"Магнітний конструктор Guidecraft PowerClix Explorer Series Архітектура, 52 деталі (G9472)",,5189,1,https://comfy.ua/magnitnyj-konstruktor-guidecraft-powerclix-explorer-series-arhitektura-52-detali-g9472.html,,05.11.2025 22:02,,"вул. Соборна, 42",Фастів,0
1689067427,7083471,GUIDECRAFT,Конструктор GUIDECRAFT PowerClix Frames 6 деталей (G9480),285,2969560,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Guidecraft,guidecraft,"Магнітний конструктор Guidecraft PowerClix Frames Базовий набір, 6 деталей (G9480)",,379,1,https://comfy.ua/magnitnyj-konstruktor-guidecraft-powerclix-frames-bazovyj-nabor-6-detalej-g9480.html,,05.11.2025 22:51,,"вул. Соборна, 42",Фастів,0
1689067428,7083472,GUIDECRAFT,Конструктор GUIDECRAFT PowerClix Solids 6 деталей (G9481),297,2969561,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Guidecraft,guidecraft,"Магнітний конструктор Guidecraft PowerClix Solids Базовий набір, 6 деталей (G9481)",,395,1,https://comfy.ua/magnitnyj-konstruktor-guidecraft-powerclix-solids-bazovyj-nabor-6-detalej-g9481.html,,05.11.2025 23:26,,"вул. Соборна, 42",Фастів,0
1689067429,7083473,GUIDECRAFT,Конструктор GUIDECRAFT PowerClix Organics 6 деталей (G9482),315,2969562,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Guidecraft,guidecraft,"Магнітний конструктор Guidecraft PowerClix Organics Базовий набір, 6 деталей (G9482)",,419,1,https://comfy.ua/magnitnyj-konstruktor-guidecraft-powerclix-organics-bazovyj-nabor-6-detalej-g9482.html,,05.11.2025 23:26,,"вул. Соборна, 42",Фастів,0
1689069004,6972994,PERSIL,Стиральный порошок Persil Expert Deep Clean Автомат Sensitive 27 циклов стирки 4.05 кг (9000101806229),481,2955507,Бытовая химия >> Средства для стирки >> Стиральные порошки >> Стиральные порошки Persil,persil,"Пральний порошок Persil Автомат Сенсітів 4,05 кг 27 циклів",,529,1,https://comfy.ua/stiral-nyj-poroshok-persil-avtomat-sensitov-4-05-kg-27-ciklov.html,672,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,3
1689069005,6972995,PERSIL,Стиральный порошок Persil Expert Deep Clean Автомат Color Свежесть от Silan 27 циклов стирки 4.05 кг (9000101806168),500,2929968,Бытовая химия >> Средства для стирки >> Стиральные порошки >> Стиральные порошки Persil,persil,"Пральний порошок Persil авт. Колор Свіжість від Сілан 4,05 кг, 27 циклів",,477,1,https://comfy.ua/stiral-nyj-poroshok-persil-avt-kolor-svezhest-ot-silan-4-05-kg-27-ciklov.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,2
1689069006,,,,,2965423,Бытовая химия >> Средства для стирки,losk,"Пральний порошок Losk авт.Колор 4,8 кг, 32 цикла",,499,1,https://comfy.ua/stiral-nyj-poroshok-losk-avt-kolor-4-8-kg-32-cikla.html,750,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1689069007,,,,,2884712,Бытовая химия >> Средства для стирки >> Стиральные порошки >> Стиральные порошки Persil,persil,"Пральний порошок Persil авт. Свіжість від Сілан, 8,1 кг, 54 циклів",,899,1,https://comfy.ua/stiral-nyj-poroshok-persil-avt-svezhest-ot-silan-8-1-kg-54-ciklov.html,1276,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1689091001,,,,,2968919,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы Polly Pocket,polly-pocket,Лялька Polly Pocket у худі (в ас.) (HKV98),,179,1,https://comfy.ua/mini-kukla-polly-pocket-v-hudi-v-as-hkv98.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
