1088604599,column,column,column,column,1866144,Бытовая химия >> Средства для чистки техники,felceazzurra,____felce_azzurra_paglieri_750,column,189,1,httpscomfyuasredstvodljaudalenijazhirafelceazzurrapaglieri750mlhtml,column,05112025_1916,column,__42,Фастів,0
1088825642,,,,,1908766,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Pantum",pantum,Тонер для заправки картриджа Pantum TN-420H,,419,1,https://comfy.ua/toner-dlja-zapravki-kartridzha-pantum-tn-420h.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
1088864344,,,,,1776484,Детские товары >> Подгузники и пеленание,id,Одноразові підгузки ID Slip Extra Plus Large талия 115-155 см 30 шт. (5411416047667),,1235,1,https://comfy.ua/podguznik-mnogorazovyj-dlja-vzroslyh-id-slip-extra-plus-large-talija-115-155-sm-30-sht-5411416047667.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1088864437,6773262,BOSCH,Пылесос BOSCH BGS21POW2,8599,1903438,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Bosch,bosch,Пилосос для сухого прибирання без мішка Bosch BGS21POW2,,8599,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-bosch-bgs21pow2.html,9299,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1088864539,,,,,1776487,Детские товары >> Подгузники и пеленание,id,Одноразові підгузки ID Slip Plus Medium талия 80-125 см 30 шт. (5411416048176),,819,1,https://comfy.ua/podguznik-mnogorazovyj-dlja-vzroslyh-id-slip-plus-medium-talija-80-125-sm-30-sht-5411416048176.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1088864546,,,,,1776491,Детские товары >> Подгузники и пеленание,id,Одноразові підгузки-трусики ID Plus M трусы 10 шт.. (5411416047728),,245,1,https://comfy.ua/podguznik-mnogorazovyj-dlja-vzroslyh-id-plus-m-trusy-10-sht-5411416047728.html,313,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1088864577,,,,,1776486,Детские товары >> Подгузники и пеленание,id,Одноразові підгузки ID Slip Plus Large талия 115-155 см 30 шт. (5411416048190),,985,1,https://comfy.ua/podguznik-mnogorazovyj-dlja-vzroslyh-id-slip-plus-large-talija-115-155-sm-30-sht-5411416048190.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1088864586,6748431,BOSCH,Пылесос BOSCH BGS21X320,4999,1878836,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Bosch,bosch,Пилосос для сухого прибирання без мішка Bosch BGS21X320,,4999,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-bosch-bgs21x320.html,7599,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,3
1088864592,,,,,1776485,Детские товары >> Подгузники и пеленание,id,Одноразові підгузки ID Slip Extra Plus Medium талия 80-125 см 30 шт. (5411416047643),,1089,1,https://comfy.ua/podguznik-mnogorazovyj-dlja-vzroslyh-id-slip-extra-plus-medium-talija-80-125-sm-30-sht-5411416047643.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1088864746,6368548,ARTEL,Плита комбинированная ARTEL APETITO 10-E BROWN,11899,1911980,Техника для кухни >> Крупная техника >> Плиты >> Плиты ARTEL,artel,Плита газова ARTEL APETITO 10-E Brown,,11899,1,https://comfy.ua/plita-gazovaja-artel-apetito-10-e-brown.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1088864987,,,,,.1907767,Детские товары >> Прогулки и поездки,peg-perego,Модульний набір для коляски Peg-Perego Elite Terracotta (IPMS170035TG48DX53),,10499,1,https://comfy.ua/modul-nyj-nabor-dlja-koljaski-peg-perego-elite-terracotta-ipms170035tg48dx53.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1088865309,6812302,ECG,Мультиварка-скороварка ECG MHT 1661 Pressione Nuovo,7361,1909471,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки ECG,ecg,Мультиварка-скороварка ECG MHT 1661 Pressione Nuovo,,7359,1,https://comfy.ua/mul-tivarka-skorovarka-ecg-mht-1661-pressione-nuovo.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1088865402,,,,,1907771,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Peg-Perego,peg-perego,Запчастини для дитячих колясок Peg-Perego Бампер до коляски Pliko Mini (IKTR0018NGR),,949,1,https://comfy.ua/zapchasti-dlja-detskih-koljasok-peg-perego-pliko-mini-iktr0018ngr.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1088865643,6804311,ECG,Электрочайник ECG RK 1791,2718,1909481,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические ECG,ecg,Електричний чайник ECG RK 1791,,2719,1,https://comfy.ua/jelektricheskij-chajnik-ecg-rk-1791.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1088866014,,,,,1905207,Comfy KIDS >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок HAUCK,hauck,Ігровий столик для автокрісла HAUCK Play On Me,,1380,1,https://comfy.ua/igrovoj-stolik-dlja-avtokresla-hauck-play-on-me.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1088866043,,,,,1909476,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи ECG,ecg,Мікрохвильова піч (НВЧ) ECG MTM 1774 BE,,3849,1,https://comfy.ua/mikrovolnovaja-pech-svch-ecg-mtm-1774-be.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1088866185,,,,,1907769,Детские товары >> Кормление,peg-perego,Вставка для стільчика для годування та коляски Peg-Perego IKAC0010--JM50ZP46,,1899,1,https://comfy.ua/vstavka-dlja-stul-chika-dlja-kormlenija-i-koljaski-peg-perego-ikac0010-jm50zp46.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1088866194,,,,,1909580,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы MadPax,madpax,Рюкзак шкільний MadPax Pactor Half Land Rover (M/PAC/LAN/HALF),,2199,1,https://comfy.ua/rjukzak-shkol-nyj-madpax-pactor-half-land-rover-m-pac-lan-half.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1088869481,7092141,VERBATIM,флеш-драйв VERBATIM 16GB Verbatim MyMedia USB 2.0 Black (69261),155,.1885974,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",mymedia,Флеш USB MyMedia 16GB Black USB 2.0 (69261),,165,1,https://comfy.ua/flesh-usb-verbatim-mymedia-16gb-black-usb-2-0-69261.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1088881618,,,,,1044792,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Exo Full Red (KAA24484637),,2225,1,https://comfy.ua/catalog/product/view/id/3354743,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1088881856,,,,,1044791,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Exo Full Navy (KAA24484636),,2499,1,https://comfy.ua/catalog/product/view/id/3354713,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1088882591,,,,,1909568,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Rex Full Moonwalk (M/HM/MOO/FULL),,2475,1,https://comfy.ua/catalog/product/view/id/3354953,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
