929233965,6704898,FRANKE,Смеситель FRANKE Novara-Plus (115.0470.659),3059,1807152,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Franke",franke,Кухонний змішувач Franke Novara-Plus Серый Камень (115.0470.659),,3059,1,https://comfy.ua/smesitel-kuhonnyj-franke-novara-plus-seryj-kamen-115-0470-659.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
929236329,6681379,САН КЛІН,Средство для уборки после ремонта САН КЛІН Универсал-2000 (4820003543160),251,1749723,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки San Clean,san-clean,Засіб для чищення універсальний San Clean Универсал-2000 750 мл (4820003543160),,251,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-san-klin-universal-2000-750-g-4820003543160.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
929239376,,,,,1675433,Бытовая химия >> Для кухни и мытья посуды >> Губки и щетки для мытья посуды >> Губки и щетки для мытья посуды Kela,kela,Щітка для миття посуду Kela Susa Light-Gray (10057),,729,1,https://comfy.ua/ershik-kela-susa-light-gray-10057.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
929240164,6889381,СНІЖНА ПАНДА,Салфетки Снежная панда 24х24 см 400 шт (4823019011050),109,1770177,Бытовая химия >> Для кухни и мытья посуды >> Бумажные полотенца и салфетки для кухни >> Бумажные полотенца и салфетки для кухни Сніжна панда,snizhna-panda,Серветки паперові Сніжна панда белые 24*24 400 шт.,,78,1,https://comfy.ua/salfetki-bumazhnye-snizhna-panda-belye-24-24-400-sht.html,111,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
929245777,6987263,BRABANTIA,Ершик BRABANTIA ReNew - Toileting (325427),699,1075255,Бытовая химия >> Для ванной комнаты >> Ершики >> Ершики Brabantia,brabantia,Йоржик Brabantia 325427,,699,1,https://comfy.ua/ershik-brabantia-325427.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
929245778,6987294,BRABANTIA,Ершик для унитаза BRABANTIA 201240,489,1697524,Бытовая химия >> Для ванной комнаты >> Ершики >> Ершики Brabantia,brabantia,Йоржик Brabantia 201240,,699,1,https://comfy.ua/ershik-brabantia-201240.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
929245779,7069709,BRABANTIA,Ершик BRABANTIA (414664),1747,1075217,Бытовая химия >> Для ванной комнаты >> Ершики >> Ершики Brabantia,brabantia,Йоржик Brabantia с держателем 414664,,1839,1,https://comfy.ua/ershik-brabantia-s-derzhatelem-414664.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
929245782,6518933,JOSEPH JOSEPH,Щетка для унитаза JOSEPH JOSEPH FLEX OPAL (70515),1925,1719070,Бытовая химия >> Для ванной комнаты >> Ершики >> Ершики Joseph Joseph,joseph-joseph,Йоржик Joseph Joseph 70515 с держателем,,1925,1,https://comfy.ua/ershik-joseph-joseph-70515-s-derzhatelem.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
929245783,7069705,BRABANTIA,Ершик BRABANTIA (385285),1775,1075260,Бытовая химия >> Для ванной комнаты >> Ершики >> Ершики Brabantia,brabantia,Йоржик Brabantia с держателем 385285,,2089,1,https://comfy.ua/ershik-brabantia-s-derzhatelem-385285.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
929245786,7069682,JOSEPH JOSEPH,Ершик JOSEPH JOSEPH Flex Plus Opal (70516),2195,1719072,Бытовая химия >> Для ванной комнаты,joseph-joseph,Йоржик Joseph Joseph 70516 з утримувачем та відсіком для зберігання,,2195,1,https://comfy.ua/ershik-joseph-joseph-70516-s-derzhatelem-i-otsekom-dlja-hranenija.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
929245791,7021728,SAN CLEAN,Полироль для мебели SAN CLEAN 500мл (4820003540138),109,1749726,Бытовая химия >> Все для уборки >> Средства по уходу за мебелью >> Средства по уходу за мебелью San Clean,san-clean,Засіб для чищення універсальний San Clean 500 мл (4820003540138),,95,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-san-klin-500-g-4820003540138.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
929245793,7069683,JOSEPH JOSEPH,Ершик JOSEPH JOSEPH Flex Steel (70517),3181,1719075,Бытовая химия >> Для ванной комнаты >> Ершики >> Ершики Joseph Joseph,joseph-joseph,Йоржик Joseph Joseph 70517 с держателем,,2695,1,https://comfy.ua/ershik-joseph-joseph-70517-s-derzhatelem.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
929245794,7021790,MILAM,Чистящее средство для ковров и обивки MILAM Сhemical 750 мл (4820152290700),112,1754005,Бытовая химия >> Все для уборки >> Средства по уходу за мебелью >> Средства по уходу за мебелью Милам,milam,Засіб для чищення універсальний Милам для ковров и текстиля Сhemical 0.75 л (4820152290700),,78,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-milam-dlja-kovrov-i-tekstilja-shemical-0-75-l-4820152290700.html,112,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
929245795,6874082,PRONTO,Аэрозоль для мебели Pronto Классик 250 мл (5010182988657),196,1751319,Бытовая химия >> Все для уборки >> Средства по уходу за мебелью >> Средства по уходу за мебелью SC Johnson,sc-johnson,Засіб для чищення універсальний SC Johnson Pronto для меблів Класик 5 в 1 250 мл (5010182988657),,161,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-sc-johnson-pronto-dlja-mebeli-klassik-5-v-1-250-ml-5010182988657.html,196,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
929245797,6987351,BRABANTIA,Ершик для унитаза BRABANTIA Profile (483325),3234,1719066,Бытовая химия >> Для ванной комнаты >> Ершики >> Ершики Brabantia,brabantia,Йоржик Brabantia с держателем 483325,,4619,1,https://comfy.ua/ershik-brabantia-s-derzhatelem-483325.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
929245799,7088315,BRABANTIA,Ёршик для унитаза BRABANTIA ReNew-Toileting Black (108587),1839,1719065,Бытовая химия >> Для ванной комнаты >> Ершики >> Ершики Brabantia,brabantia,Йоржик Brabantia с держателем 108587,,1839,1,https://comfy.ua/ershik-brabantia-s-derzhatelem-108587.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
929245800,7021733,SAN CLEAN,Средство для чистки ковров SAN CLEAN 500мл (4820003542996),97,1749721,Бытовая химия >> Все для уборки >> Средства по уходу за мебелью >> Средства по уходу за мебелью San Clean,san-clean,Засіб для чищення універсальний San Clean Универсал-2000 500 мл (4820003542996),,97,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-san-klin-universal-2000-500-ml-4820003542996.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
