1649757607,column,column,column,column,2818195,Посуда >> Для приготовления,gusto,_gusto___premium_21__gtt216pm,column,1139,1,httpscomfyuakastrjuljagustoprjazhenoemolokopremium21lgtt216pmhtml,column,05112025_2005,column,__42,Фастів,0
1649800060,,,,,2807488,Смартфоны и телефоны >> Аксессуары для смартфонов,samsung,Чохол для смартфону Samsung Standing Grip Case S24 Taupe (EF-GS921CUEGWW),,1099,1,https://comfy.ua/chehol-dlja-smartfona-samsung-standing-grip-case-s24-taupe-ef-gs921cuegww.html,2199,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,1
1649800859,,,,,.2818154,Инструменты и автотовары >> Ручные инструменты,stal,Ключ комбiнований Сталь Сатин 16 мм (48441),,93,1,https://comfy.ua/kljuch-kombinirovannyj-stal-satin-16-mm-48441.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
1649801178,6951633,BLACKVIEW,Гарнитура BLACKVIEW TWS AirBuds 7 White (6931548310747),799,2826186,"Аудио, фото и видео >> Наушники >> Наушники Blackview",blackview,Навушники вкладиші бездротові TWS Blackview AirBuds 7 White,,799,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-blackview-airbuds-7-white.html,899,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1649801235,,,,,2797651,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Total,total,Ключ трубний Total 250 мм (THT281006),,325,1,https://comfy.ua/kljuch-trubnyj-total-250-mm-tht281006.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1649801845,6949879,BERGNER,Нож для цедры BERGNER Gizmo 17 см (BG-3267),129,2799435,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Bergner,bergner,Ніж для цедри Bergner Gizmo 17 см (BG-3267),,129,1,https://comfy.ua/nozh-dlja-cedry-bergner-gizmo-17-sm-bg-3267.html,219,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1649801846,7021877,BERGNER,Нож для удаления сердцевин яблока BERGNER Gizmo 21 см (BG-3226),269,2799440,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Bergner,bergner,Ніж для яблук Bergner Gizmo 21 см (BG-3226),,269,1,https://comfy.ua/nozh-dlja-jablok-bergner-gizmo-21-sm-bg-3226.html,329,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1649801924,6949864,BERGNER,"Скребок для сыра BERGNER Gizmo 24,5 см (BG-3219)",269,2799438,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Bergner,bergner,"Ніж для сиру Bergner Gizmo 24,5 см (BG-3219)",,269,1,https://comfy.ua/nozh-dlja-syra-bergner-gizmo-24-5-sm-bg-3219.html,329,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1649801925,6949883,BERGNER,Нож для сыра BERGNER Gizmo 14 см (BG-3275),319,2799437,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Bergner,bergner,Ніж для сиру Bergner Gizmo 26 см (BG-3275),,319,1,https://comfy.ua/nozh-dlja-syra-bergner-gizmo-26-sm-bg-3275.html,389,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1649802099,6949880,BERGNER,"Консервный нож BERGNER Gizmo 34,4 см (BG-3268)",299,2799448,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Bergner,bergner,"Ніж консервний Bergner Gizmo 34,4 см (BG-3268)",,299,1,https://comfy.ua/nozh-konservnyj-bergner-gizmo-34-4-sm-bg-3268.html,529,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1649803053,7035455,SATURN,Миксер SATURN ST-FP1045,1799,929442,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Saturn,saturn,Міксер з чашею Saturn ST-FP1045,,1799,1,https://comfy.ua/mikser-s-chashej-saturn-st-fp1045.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1649818832,6949885,BERGNER,"Лопатка для торта BERGNER Gizmo 25,5 см (BG-3282)",319,2799443,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Bergner,bergner,"Лопатка кухонна Bergner Gizmo 25,5 см (BG-3282)",,319,1,https://comfy.ua/lopatka-kuhonnaja-bergner-gizmo-25-5-sm-bg-3282.html,389,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1649818833,6949889,BERGNER,Лопатка BERGNER Gizmo 36 см (BG-3346),359,2799444,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Bergner,bergner,Лопатка кухонна Bergner Gizmo 36 см (BG-3346),,359,1,https://comfy.ua/lopatka-kuhonnaja-bergner-gizmo-36-sm-bg-3346.html,449,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1649818834,6949874,BERGNER,Лопатка BERGNER Gizmo 35 см (BG-3236),419,2799445,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Bergner,bergner,Лопатка кухонна Bergner Gizmo 35 см (BG-3236),,419,1,https://comfy.ua/lopatka-kuhonnaja-bergner-gizmo-35-sm-bg-3236.html,519,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1649819520,,,,,2817139,Техника для кухни >> Мелкая техника,rodnichok,Соковитискач відцентровий Родничок СВПП-301 М,,4165,1,https://comfy.ua/sokovyzhimalka-centrobezhnaja-rodnichok-svpp-301-m.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1649826259,,,,,.2821345,Игровые консоли и гейминг >> Комплектующие для игровых ПК,msi,Материнська плата MSI PRO H610M-E DDR5,,3829,1,https://comfy.ua/materinskaja-plata-msi-pro-h610m-e-ddr5.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
