994056754,column,column,column,column,1615020,outlet,ardesto,____ardesto_ycme1600_,column,2339,1,httpscomfyuakofevarkarozhkovajaardestoycme1600ucenka11html,2519,05112025_2055,column,__42,Фастів,0
995260098,6740863,ARDESTO,"Кастрюля ARDESTO Gemini Salerno 1,2 л (AR1912CS)",413,1845263,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Ardesto,ardesto,Каструля Ardesto 1.2 л (AR1912CS),,413,1,https://comfy.ua/kastrjulja-ardesto-1-2-l-ar1912cs.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
995325299,6803534,KERMI,Радиатор KERMI Therm-X2 Profil-K FK0 22 500 х 1300 мм (FK0220501301N2Z),11770,1844256,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Therm-X2 Profil-K FK0 22 500x1300 мм (FK0220501301N2Z),,11915,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-k-fk0-22-500x1300-mm-fk0220501301n2z.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
995619732,6786459,THRUSTMASTER,Джойстик Thrustmaster TCA Sidestick Airbus Edition Black/Blue (2960844),4199,1851637,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,thrustmaster,Джойстик Thrustmaster TCA Sidestick Airbus Edition (2960844),,4389,1,https://comfy.ua/dzhojstik-thrustmaster-tca-sidestick-airbus-edition-2960844.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
995695277,,,,,1849433,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",xoko,Хаб USB XOKO AC-440 Type-C USB 3.0+MicroUSB/SD Card Reader (XK-AС-440),,229,1,https://comfy.ua/hab-usb-xoko-ac-440-type-c-usb-3-0-microusb-sd-card-reader-xk-as-440.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
995748494,,,,,1851738,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Ergo,ergo,Конвектор Ergo HCU 212024,,2124,1,https://comfy.ua/konvektor-ergo-hcu-212024.html,2499,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
995749612,,,,,.1850289,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tenda,Точка доступу Tenda A18,,1199,1,https://comfy.ua/tochka-dostupa-tenda-a18.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
995770552,,,,,1818061,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MS-GF20VA\MU-GF20VA,,19999,1,https://comfy.ua/catalog/product/view/id/2885273,34999,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
995777911,,,,,1834843,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Блок живлення для ПК Asus TUF-GAMING-750B,,4109,1,https://comfy.ua/blok-pitanija-dlja-pk-asus-tuf-gaming-750b.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
996273730,,,,,1846484,Техника для дома >> Климатическая техника,grunhelm,Конвектор Grunhelm GCH-400BG,,1999,1,https://comfy.ua/catalog/product/view/id/2838623,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
996278392,,,,,1846486,Техника для дома >> Климатическая техника,grunhelm,Конвектор Grunhelm GCH-500BG,,2999,1,https://comfy.ua/catalog/product/view/id/2838663,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
996336687,,,,,1846636,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion Asus 19V 4.74A 90W 4.0х1.35мм + каб. (LAS65/19-4,0*1,35/17032)",,479,1,https://comfy.ua/catalog/product/view/id/2849413,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
996341669,6563692,ДОБРА ГОСПОДАРОЧКА,Пакеты для заморозки ДОБРА ГОСПОДАРОЧКА Микс 1 л+2 л 3 шт (4820086521505),33,1852013,Посуда >> Кухонные аксессуары >> Формы и пакеты для заморозки >> Формы и пакеты для заморозки Добра господарочка,dobra-gospodarochka,Пакети для заморожування Добра господарочка Mix 1 л + 2 л 6 шт. (4820086521505),,34,1,https://comfy.ua/pakety-dlja-zamorozki-dobra-gospodarochka-mix-1-l-2-l-6-sht-4820086521505.html,45,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
996341670,,,,,1842249,Посуда >> Кухонные аксессуары,dobra-gospodarochka,Пакети для заморожування Добра господарочка із застібкою 1 л 25 шт. (4820086521154),,83,1,https://comfy.ua/pakety-dlja-zamorozki-dobra-gospodarochka-s-zastezhkoj-1-l-25-sht-4820086521154.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
996350939,,,,,1852451,Детские товары >> Детский транспорт,neon,Ролики Neon Combo Skates Turquoise (NT09T4),,2699,1,https://comfy.ua/catalog/product/view/id/2895663,3399,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
996351926,6757107,ROTEX,Машинка для стрижки ROTEX RHC155-S,549,1851417,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Rotex,rotex,Машинка для стрижки волосся Rotex RHC155-S,,549,1,https://comfy.ua/mashinka-dlja-strizhki-volos-rotex-rhc155-s.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
996351935,6768694,ROTEX,Триммер ROTEX RHC165-S,699,1851418,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Rotex,rotex,Машинка для стрижки волосся Rotex RHC165-S,,699,1,https://comfy.ua/mashinka-dlja-strizhki-volos-rotex-rhc165-s.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
996358434,,,,,1852449,Детские товары >> Детский транспорт,neon,Ролики Neon Combo Skates Green (NT09G4),,2699,1,https://comfy.ua/catalog/product/view/id/2896153,3399,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
996360829,,,,,1845598,Детские товары >> Игрушки,our-generation,Лялька Our Generation Саванна 46 см (BD31316Z),,1779,1,https://comfy.ua/catalog/product/view/id/2829173,,06.11.2025 0:48,,"вул. Соборна, 42",Фастів,0
996360859,,,,,.1849899,Детские товары >> Прогулки и поездки,avova,Вкладиш в автокрісло Avova Sperber-Fix Maple Red,,725,1,https://comfy.ua/vkladysh-v-avtokreslo-avova-sperber-fix-maple-red.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
996361792,,,,,1851615,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки PJ Masks,pj-masks,Колекційні фігурки набір PJ Masks Спорядження для рольових ігор рукавиці ГЕККО (F2145),,299,1,https://comfy.ua/kollekcionnye-figurki-nabor-pj-masks-snarjazhenie-dlja-rolevyh-igr-rukavicy-gekko-f2145.html,,06.11.2025 1:42,,"вул. Соборна, 42",Фастів,0
996384816,,,,,1852454,Детские товары >> Детский транспорт,neon,Ролики Neon Combo Skates Pink (NT10P4),,2699,1,https://comfy.ua/catalog/product/view/id/2894453,3399,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
996386213,,,,,1851416,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Lionelo,lionelo,Біговел Lionelo Bart Tour Pink Bubblegum,,3515,1,https://comfy.ua/begovel-lionelo-bart-tour-pink-bubblegum.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
996386464,,,,,1851415,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Lionelo,lionelo,Біговел Lionelo Bart Tour Grey Stone,,3699,1,https://comfy.ua/begovel-lionelo-bart-tour-grey-stone.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
996393089,,,,,1848562,"Аудио, фото и видео >> Аксессуары для фото, видео",kingston,Карта пам'яті Kingston 16GB microSDHC Industrial C10 A1 pSL C Card Single Pack w/o Adapter (SDCIT2/16GBSP),,639,1,https://comfy.ua/karta-pamjati-kingston-16gb-microsdhc-industrial-c10-a1-psl-c-card-single-pack-w-o-adapter-sdcit2-16gbsp.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
996397180,,,,,.1818061,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MS-GF20VA\MU-GF20VA,,19999,1,https://comfy.ua/kondicioner-split-lg-ms-gf20va-mu-gf20va.html,34999,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
996398108,6718899,WERK,Щетка WERK WDS-206 (112061),52,1838740,Бытовая химия >> Все для уборки >> Щетки для уборки >> Щетки для уборки Werk,werk,Щітка для прибирання Werk WDS-206,,52,1,https://comfy.ua/schetka-dlja-uborki-werk-wds-206.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
996398120,,,,,1837514,Бытовая химия >> Для кухни и мытья посуды >> Аксессуары для сушки и мытья посуды >> Аксессуары для сушки и мытья посуды Tescoma,tescoma,Органайзер для миючих засобів tescoma 900745 Puro,,1299,1,https://comfy.ua/organajzer-dlja-mojuschih-sredstv-tescoma-900745-puro.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
996398121,,,,,1834598,Бытовая химия >> Для кухни и мытья посуды >> Аксессуары для сушки и мытья посуды >> Аксессуары для сушки и мытья посуды Tescoma,tescoma,Органайзер для миючих засобів tescoma 900746 Puro,,1599,1,https://comfy.ua/organajzer-dlja-mojuschih-sredstv-tescoma-900746-puro.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
996398124,,,,,.1694976,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",tescoma,Прищіпки для білизни tescoma 900720 Clean Kit 20 шт.,,399,1,https://comfy.ua/prischepki-dlja-bel-ja-tescoma-900720-clean-kit-20-sht.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
996399059,,,,,1815486,Бытовая химия >> Для ванной комнаты,tescoma,Органайзер для ванної кімнати tescoma 903620 Lagoon,,399,1,https://comfy.ua/organajzer-dlja-vannoj-komnaty-tescoma-903620-lagoon.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
996399065,6987350,BRABANTIA,Органайзер BRABANTIA ReNew (280108),1424,1725395,Бытовая химия >> Для ванной комнаты >> Органайзеры для ванной комнаты >> Органайзеры для ванной комнаты Brabantia,brabantia,Органайзер для ванної кімнати Brabantia 280108,,1499,1,https://comfy.ua/organajzer-dlja-vannoj-komnaty-brabantia-280108.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
996399069,7069681,JOSEPH JOSEPH,Органайзер для зубных щеток JOSEPH JOSEPH Easystore (70510),1765,1719593,Бытовая химия >> Для ванной комнаты >> Органайзеры для ванной комнаты >> Органайзеры для ванной комнаты Joseph Joseph,joseph-joseph,Органайзер для ванної кімнати Joseph Joseph 16.8x8.4x1.6 см 70510,,1495,1,https://comfy.ua/organajzer-dlja-vannoj-komnaty-joseph-joseph-16-8x8-4x1-6-sm-70510.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
996399078,6562389,JOSEPH JOSEPH,Органайзер для зубных щеток JOSEPH JOSEPH (70530),2001,1719601,Бытовая химия >> Для ванной комнаты >> Органайзеры для ванной комнаты >> Органайзеры для ванной комнаты Joseph Joseph,joseph-joseph,Органайзер для ванної кімнати Joseph Joseph 70530,,1695,1,https://comfy.ua/organajzer-dlja-vannoj-komnaty-joseph-joseph-70530.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
996399085,6562390,JOSEPH JOSEPH,Органайзер для зубных щеток JOSEPH JOSEPH (70531),2119,1719602,Бытовая химия >> Для ванной комнаты >> Органайзеры для ванной комнаты >> Органайзеры для ванной комнаты Joseph Joseph,joseph-joseph,Органайзер для ванної кімнати Joseph Joseph 70531,,1795,1,https://comfy.ua/organajzer-dlja-vannoj-komnaty-joseph-joseph-70531.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
996399086,7069703,BRABANTIA,Набор аксессуаров для ванной комнаты BRABANTIA 3 пр (280368),2499,1797543,Бытовая химия >> Для ванной комнаты >> Органайзеры для ванной комнаты >> Органайзеры для ванной комнаты Brabantia,brabantia,Органайзер для ванної кімнати Brabantia 3 шт. 280368,,2499,1,https://comfy.ua/organajzer-dlja-vannoj-komnaty-brabantia-3-sht-280368.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
996399088,6518931,JOSEPH JOSEPH,Органайзер Joseph Joseph BATHROOM (70513),2036,1762096,Бытовая химия >> Для ванной комнаты >> Органайзеры для ванной комнаты >> Органайзеры для ванной комнаты Joseph Joseph,joseph-joseph,Органайзер для ванної кімнати Joseph Joseph 70513,,1725,1,https://comfy.ua/organajzer-dlja-vannoj-komnaty-joseph-joseph-70513.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
996399131,,,,,.1849898,Детские товары >> Прогулки и поездки,avova,Вкладиш в автокрісло Avova Sperber-Fix Pearl- Black,,725,1,https://comfy.ua/vkladysh-v-avtokreslo-avova-sperber-fix-pearl-black.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
996400310,7042006,TEKHMANN,Многофункциональный инструмент TEKHMANN TMG-2660 (846851),1478,1851866,Инструменты и автотовары >> Электроинструменты >> Многофункциональные инструменты >> Многофункциональные инструменты Tekhmann,tekhmann,Багатофоункціональний інструмент Tekhmann TMG-2660 (846851),,1479,1,https://comfy.ua/mnogofunkcional-nyj-instrument-tekhmann-tmg-2660-846851.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
996400363,6726021,EINHELL,Пила торцовочная EINHELL TC-SM 2531/2 U (4300805),10383,1845307,Инструменты и автотовары >> Электроинструменты,einhell,Пила торцева Einhell TC-SM 2531/2 U (4300805),,10385,1,https://comfy.ua/catalog/product/view/id/2837823,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
996408194,,,,,1852080,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Gembird",gembird,Килимок для миші Gembird MP-PRINT-S,,49,1,https://comfy.ua/kovrik-dlja-myshi-gembird-mp-print-s.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
996416093,,,,,1841840,Бытовая химия >> Все для уборки,cif,Засіб для чищення універсальний Cif Актив Лимон 500 мл,,80,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-cif-aktiv-limon-500-ml.html,100,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
996419655,,,,,1852443,Детские товары >> Детский транспорт,neon,Ролики Neon Inline Skates Pink (NT07P4),,1899,1,https://comfy.ua/catalog/product/view/id/2897263,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
996425710,,,,,1852447,Детские товары >> Детский транспорт,neon,Ролики Neon Inline Skates Turquoise (NT08T4),,1999,1,https://comfy.ua/catalog/product/view/id/2897163,2499,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
996469564,6745767,KINGSTON,Внешний SSD накопитель KINGSTON XS2000 500GB USB 3.2 Type-C (SXS2000/500G),2989,1851534,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Kingston",kingston,SSD-накопичувач зовнішній Kingston XS2000 500GB USB 3.2 Type-C 2x2 IP55 3D NAND (SXS2000/500G),,3039,1,https://comfy.ua/ssd-nakopitel-vneshnij-kingston-xs2000-500gb-usb-3-2-type-c-2x2-ip55-3d-nand-sxs2000-500g.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
