1662604713,column,column,column,column,2837853,Телевизоры и мультимедиа >> Аксессуары для ТВ,avatech,___avatech_13b61m,column,859,1,httpscomfyuakrepleniedljatelevizoraavatech13b61mhtml,column,05112025_1756,column,__42,Фастів,0
1662760948,,,,,2912628,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xo,Кабель синхронізації даних XO Type-C NB-Q259 iPhone15 60W White (XO-NB-Q259-WH),,149,1,https://comfy.ua/kabel-sinhronizacii-dannyh-xo-type-c-nb-q259-iphone15-60w-white-xo-nb-q259-wh.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1662761306,6973220,COOPER&HUNTER,Кондиционер COOPER&HUNTER CH-S12FTXF2-NG,24199,2682579,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Cooper&Hunter,cooperhunter,Кондиціонер спліт Cooper&Hunter CH-S12FTXF2-NG,,24199,1,https://comfy.ua/kondicioner-split-cooper-hunter-ch-s12ftxf2-ng.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1662761306,7180801,COOPER&HUNTER,Cond/spl COOPER&HUNTER СH-S12FTXF2-NG,24199,2682579,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Cooper&Hunter,cooperhunter,Кондиціонер спліт Cooper&Hunter CH-S12FTXF2-NG,,24199,1,https://comfy.ua/kondicioner-split-cooper-hunter-ch-s12ftxf2-ng.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1662761852,6977761,KITCHENAID,Набор сковородок KitchenAid Forged Hardened Aluminium 20+28 см (CC005698-001),10679,2868302,Посуда >> Для приготовления >> Сковороды >> Сковороды KitchenAid,kitchenaid,Набір сковорідок KitchenAid FHA 20+28 см (CC005698-001),,10679,1,https://comfy.ua/nabor-skovorod-kitchenaid-fha-20-28-sm-cc005698-001.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1662761853,6977760,KITCHENAID,Набор сковородок KitchenAid Forged Hardened Aluminium 20+24+28 см (CC005699-001),15999,2868303,Посуда >> Для приготовления >> Сковороды >> Сковороды KitchenAid,kitchenaid,Набір сковорідок KitchenAid FHA 20+24+28 см (CC005699-001),,15999,1,https://comfy.ua/nabor-skovorod-kitchenaid-fha-20-24-28-sm-cc005699-001.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1662762480,7072582,JOSEPH JOSEPH,Овощерезка Joseph Joseph Mandoline Plus (20186),4089,2897796,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Joseph Joseph",joseph-joseph,Овочерізка Joseph Joseph 20186,,3465,1,https://comfy.ua/ovoscherezka-joseph-joseph-20186.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1662762536,,,,,2909416,Бытовая химия >> Средства для стирки,perwoll,Засіб для делікатного прання Perwoll д/цветных вещей 4 л,,699,1,https://comfy.ua/sredstvo-dlja-delikatnoj-stirki-perwoll-d-cvetnyh-veschej-4-l.html,1083,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1662762567,6977733,KITCHENAID,Ковш KITCHENAID Classic Forged Aluminium 3.1 л Black (CC005684-001),4489,2868288,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники KitchenAid,kitchenaid,"Ківш KitchenAid CFA 3,1 л (CC005684-001)",,4489,1,https://comfy.ua/kovsh-kitchenaid-cfa-3-1-l-cc005684-001.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1662762642,,,,,2909417,Бытовая химия >> Средства для стирки >> Ополаскиватели для белья >> Ополаскиватели для белья Silan,silan,"Ополіскувач для білизни Silan Блоссом 1,012 л",,155,1,https://comfy.ua/opolaskivatel-dlja-bel-ja-silan-blossom-1-012-l.html,241,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1662762766,7060657,JOSEPH JOSEPH,"Ложка для риса JOSEPH JOSEPH 9,8см (10575)",755,2904209,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Joseph Joseph,joseph-joseph,Ложка кухарська Joseph Joseph 10575,,755,1,https://comfy.ua/lozhka-povarskaja-joseph-joseph-10575.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1662763213,7008133,GRUNHELM,Блендер GRUNHELM EBS-550SB Black (131755),719,2904974,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Grunhelm,grunhelm,Блендер заглибний Grunhelm EBS-550SB,,719,1,https://comfy.ua/blender-pogruzhnoj-grunhelm-ebs-550sb.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1662763214,7008132,GRUNHELM,Блендер GRUNHELM EBS-550SW White (131757),719,2904975,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Grunhelm,grunhelm,Блендер заглибний Grunhelm EBS-550SW,,719,1,https://comfy.ua/blender-pogruzhnoj-grunhelm-ebs-550sw.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1662766462,6951832,ELECTROLUX,Фильтр для воздухоочистителя ELECTROLUX EFWCLN3,2499,2789125,Техника для дома >> Климатическая техника,electrolux,Фільтр до очищувача повітря Electrolux EFWCLN3,,2499,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-electrolux-efwcln3.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1662770333,,,,,2875438,Техника для кухни >> Хранение продуктов >> Вакууматоры >> Вакууматоры Electrolux,electrolux,Вакууматор Electrolux EVSK1,,799,1,https://comfy.ua/vakuumator-electrolux-evsk1.html,1559,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1662770372,7133314,NIVONA,Кофемашина NIVONA NIVO 8103,49999,2888904,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Nivona,nivona,Кавомашина Nivona NIVO 8103,,48905,1,https://comfy.ua/kofemashina-nivona-nivo-8103.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1662778342,6964796,AOC,"""Монитор  AOC 23.8"""" 24G4X Black""",5468,2913839,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы AOC",aoc,Монітор ігровий AOC 24G4X Black,,5659,1,https://comfy.ua/monitor-igrovoj-aoc-24g4x-black.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1662778343,6964798,AOC,"""Монитор AOC 27"""" 27B3CA2""",6672,2913840,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы AOC",aoc,Монітор AOC 27B3CA2 Black,,6049,1,https://comfy.ua/monitor-aoc-27b3ca2-black.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
