1644736137,column,column,column,column,2760958,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,____xoko_full_cover_ultrathin_025_oppo_a54sa54_black_2__xkfcuopa54,column,299,1,httpscomfyuazaschitnoesteklodljasmartfonaxokofullcoverultrathin025mmoppoa54sa54black2shtxkfcuopa54html,column,05112025_2049,column,__42,Фастів,0
1644812229,,,,,2784932,Техника для дома >> Умный дом >> Датчики безопасности >> Датчики безопасности Ajax,ajax,Бездротовий датчик витоку газу Ajax FireProtect 2 SB CO (000035052),,3959,1,https://comfy.ua/besprovodnoj-datchik-utechki-gaza-ajax-fireprotect-2-sb-co-000035052.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1644812234,,,,,2784931,Техника для дома >> Умный дом >> Датчики безопасности >> Датчики безопасности Ajax,ajax,Бездротовий датчик витоку газу Ajax FireProtect 2 SB CO (000035051),,3959,1,https://comfy.ua/besprovodnoj-datchik-utechki-gaza-ajax-fireprotect-2-sb-co-000035051.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1644849495,,,,,2778281,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",trust,Чохол для ноутбуку Trust Primo Sleeve 11.6” Black (21254),,379,1,https://comfy.ua/chehol-dlja-noutbuka-trust-primo-sleeve-11-6-black-21254.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1644850320,,,,,2778278,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",trust,Чохол для ноутбуку Trust Lisboa Sleeve 13.3” Blue (25123),,659,1,https://comfy.ua/chehol-dlja-noutbuka-trust-lisboa-sleeve-13-3-blue-25123.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
1644850946,,,,,2778280,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",trust,Чохол для ноутбуку Trust Lisboa Sleeve 16” Blue (24982),,699,1,https://comfy.ua/chehol-dlja-noutbuka-trust-lisboa-sleeve-16-blue-24982.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1644850947,,,,,.2778279,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",trust,Чохол для ноутбуку Trust Lisboa Sleeve 16” Green (25247),,699,1,https://comfy.ua/chehol-dlja-noutbuka-trust-lisboa-sleeve-16-green-25247.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1644852152,6898011,ROWENTA,Триммер ROWENTA TN3841F4,1799,2737912,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Rowenta,rowenta,Тример для вусів і бороди Rowenta TN3841F4 Virtuo,,1799,1,https://comfy.ua/trimmer-dlja-usov-i-borody-rowenta-tn3841f4-virtuo.html,2499,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1644852536,,,,,.2777790,Детские товары >> Прогулки и поездки,lionelo,Захисний килимок під автокрісло Lionelo Sikker Black Carbon,,1099,1,https://comfy.ua/zaschitnyj-kovrik-pod-avtokreslo-lionelo-sikker-black-carbon.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1644852856,,,,,2784097,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Kinderkraft,kinderkraft,Автокрісло Kinderkraft Comfort Up i-Size Black (KCCOUP02BLK0000),,3770,1,https://comfy.ua/avtokreslo-kinderkraft-comfort-up-i-size-black-kccoup02blk0000.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1644852862,,,,,2784096,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Kinderkraft,kinderkraft,Автокрісло Kinderkraft Comfort Up i-Size Pink (KCCOUP02PNK0000),,3950,1,https://comfy.ua/avtokreslo-kinderkraft-comfort-up-i-size-pink-kccoup02pnk0000.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
