1654929001,column,column,column,column,2832826,Бытовая химия >> Для кухни и мытья посуды,helper,_____helper___495_,column,26,1,httpscomfyuasredstvodljaruchnogomytjaposudyhelperaromatnoejabloko495mlhtml,39,05112025_1923,column,__42,Фастів,0
1654934495,,,,,2818165,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель синхронізації даних Essager Sunset Type-C 7A USB 3m Black (EXC7A-CGC01-P),,329,1,https://comfy.ua/kabel-sinhronizacii-dannyh-essager-sunset-type-c-7a-usb-3m-black-exc7a-cgc01-p.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
1654934616,,,,,2818609,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель синхронізації даних Essager Star 100W USB Charging Cable Type C to Type C 3m Black (EXCTT1-XCC01),,399,1,https://comfy.ua/kabel-sinhronizacii-dannyh-essager-star-100w-usb-charging-cable-type-c-to-type-c-3m-black-exctt1-xcc01.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
1654934617,,,,,2822208,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель живлення Digitus C14/M - C13/F 5.0m Black (AK-440201-050-S),,569,1,https://comfy.ua/kabel-pitanija-digitus-c14-m-c13-f-5-0m-black-ak-440201-050-s.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1654934626,,,,,2818610,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель синхронізації даних Essager Enjoy LED Digital Display USB Charging Cable Type C to Type C 100W 2m Black (EXCTT1-XYA01-P),,429,1,https://comfy.ua/kabel-sinhronizacii-dannyh-essager-enjoy-led-digital-display-usb-charging-cable-type-c-to-type-c-100w-2m-black-exctt1-xya01-p.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
1654934681,,,,,2674808,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",anker,Кабель синхронізації даних Anker 322 USB-C to USB-C - 1.8m Nylon White (A81F6H21),,699,1,https://comfy.ua/perehodnik-anker-322-usb-c-to-usb-c-1-8m-nylon-white-a81f6h21.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
1654935433,,,,,2674805,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",anker,Кабель синхронізації даних Anker 322 USB-C to Lightning - 1.8m Nylon White (A81B6H21),,1099,1,https://comfy.ua/kabel-sinhronizacii-dannyh-anker-322-usb-c-to-lightning-1-8m-nylon-white-a81b6h21.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1654953889,,,,,2824285,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Karcher,karcher,Насадка-трубка для мінімийки Karcher WD та KWD (2.863-308.0),,419,1,https://comfy.ua/nasadka-trubka-dlja-minimojki-karcher-wd-ta-kwd-2-863-308-0.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1654954561,6912089,KARCHER,Удлинительный шланг Karcher для пылесосов серии WD 3.5 м (2.863-305.0),1299,2824286,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Karcher,karcher,Шланг для пилососа Karcher WD 3.5 м (2.863-305.0),,1299,1,https://comfy.ua/shlang-dlja-pylesosa-karcher-wd-3-5-m-2-863-305-0.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1654957123,,,,,.2822202,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Зарядний пристрій для ноутбука Digitus USB-C 65W (DA-10071),,1355,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-digitus-usb-c-65w-da-10071.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1654957129,,,,,.2822203,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Зарядний пристрій для ноутбука Digitus USB-C 100W GaN (DA-10072),,2655,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-digitus-usb-c-100w-gan-da-10072.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
1654964587,,,,,.2841526,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",mikrotik,PoE-адаптер MikroTik Passive POE (RBPOE),,139,1,https://comfy.ua/poe-adapter-mikrotik-passive-poe-rbpoe.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1654964863,,,,,.2806090,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,Коммутатор локальної мережі (Switch) Ruijie RG-ES110GDS-P,,7499,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-ruijie-rg-es110gds-p.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1654986692,6874883,WHIRLPOOL,Духовой шкаф WHIRLPOOL OMK58CU1SB,15699,2854282,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Whirlpool,whirlpool,Духова шафа електрична Whirlpool OMK58CU1SB,,15699,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-whirlpool-omk58cu1sb.html,16999,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1655137724,6999298,BORGIO,Холодильник BORGIO RFE 195 345 WH BNF,19889,2854278,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Borgio,borgio,Холодильник Borgio RFE 195 345 WH BNF,,18999,1,https://comfy.ua/holodil-nik-borgio-rfe-195-345-wh-bnf.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1655138234,,,,,2822424,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",avermedia,Веб-камера для комп'ютера Avermedia PW515 (61PW515001AE),,13399,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-avermedia-pw515-61pw515001ae.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1655152681,6922740,HEREVIN,Банка HEREVIN Yellow 0.66 л (131381-582),39,2784217,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Herevin,herevin,Ємність для сипучих Herevin Yellow 0.66 л (131381-582),,159,1,https://comfy.ua/emkost-dlja-sypuchih-herevin-yellow-0-66-l-131381-582.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1655153263,6912070,ARDESTO,Контейнер для сыпучих ARDESTO Fresh 3в1 (AR1375LP),145,2599712,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Ardesto,ardesto,"Ємність для сипучих Ardesto Fresh 3 х 0,75 л (AR1375LP)",,145,1,https://comfy.ua/emkost-dlja-sypuchih-ardesto-fresh-3-h-0-75-l-ar1375lp.html,179,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1655153827,6939206,ARDESTO,Чашка ARDESTO Lecco 390 мл Grey (AR2939LRG),109,2763734,Посуда >> Для напитков >> Чашки >> Чашки Ardesto,ardesto,Чашка Ardesto Lecco 390 мл (AR2939LRG),,85,1,https://comfy.ua/chashka-ardesto-lecco-390-ml-ar2939lrg.html,115,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1655153888,6717647,LIMITED EDITION,Кружка LIMITED EDITION FAD A 450 мл (MCO21-101),93,2049427,Посуда >> Для напитков >> Чашки >> Чашки Limited Edition,limited-edition,Чашка Limited Edition Fad A 450 мл (MCO21-101),,93,1,https://comfy.ua/chashka-limited-edition-fad-a-450-ml-mco21-101.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1655153911,6869943,LIMITED EDITION,Чашка LIMITED EDITION Milky 160 мл (YF6021),35,2670651,Посуда >> Для напитков >> Чашки >> Чашки Limited Edition,limited-edition,Чашка Limited Edition Milky 160 мл (YF6021),,99,1,https://comfy.ua/chashka-limited-edition-milky-160-ml-yf6021.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1655153913,6893217,LIMITED EDITION,Чашка LIMITED EDITION PUMPKIN /350 мл,229,2767266,Посуда >> Для напитков,limited-edition,Чашка Limited Edition Pumpkin 350 мл (PX001-K606),,229,1,https://comfy.ua/chashka-limited-edition-pumpkin-350-ml-px001-k606.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1655153917,6876482,LUMINARC,Чашка Luminarc Troquet 310 мл (V5013),68,2796666,Посуда >> Для напитков >> Чашки >> Чашки Luminarc,luminarc,Чашка Luminarc Troquet 310 мл (V5013),,68,1,https://comfy.ua/chashka-luminarc-troquet-310-ml-v5013.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1655154532,6917955,HEREVIN,Ланч-бокс HEREVIN Dino Club Small (161271-066),69,2740196,Посуда >> Для хранения >> Ланч-боксы >> Ланч-боксы Herevin,herevin,Ланч-бокс Herevin Dino Club Small (161271-066),,109,1,https://comfy.ua/lanch-boks-herevin-dino-club-small-161271-066.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1655154536,6917952,HEREVIN,Ланч-бокс HEREVIN Dino Club Orange (161279-066),99,2740195,Посуда >> Для хранения >> Ланч-боксы >> Ланч-боксы Herevin,herevin,Ланч-бокс Herevin Dino Club (161279-066),,169,1,https://comfy.ua/lanch-boks-herevin-dino-club-161279-066.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1655154539,6917948,HEREVIN,Ланч-бокс Dino Club Herevin Сэндвичбокс Orange (161457-066),79,2740193,Посуда >> Для хранения >> Ланч-боксы >> Ланч-боксы Herevin,herevin,Ланч-бокс Herevin Dino Club (161457-066),,139,1,https://comfy.ua/lanch-boks-herevin-dino-club-161457-066.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1655154544,6651392,HEREVIN,Ланч-бокс дитячий Herevin Small Lunch Box-Car 550 мл (161271-002),59,2748019,Посуда >> Для хранения >> Ланч-боксы >> Ланч-боксы Herevin,herevin,Ланч-бокс Herevin Small Lunch Box-Car (161271-002),,89,1,https://comfy.ua/lanch-boks-herevin-small-lunch-box-car-161271-002.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1655154548,6651393,HEREVIN,Ланч-бокс HEREVIN Small Lunch Box-Unicorn Pink (161271-003),55,2748020,Посуда >> Для хранения >> Ланч-боксы >> Ланч-боксы Herevin,herevin,Ланч-бокс Herevin Small Lunch Box-Unicorn (161271-003),,109,1,https://comfy.ua/lanch-boks-herevin-small-lunch-box-unicorn-161271-003.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1655154559,6917951,HEREVIN,Ланч-бокс HEREVIN Speed Racer (161279-002),99,2740194,Посуда >> Для хранения >> Ланч-боксы >> Ланч-боксы Herevin,herevin,Ланч-бокс Herevin Speed Racer (161279-002),,169,1,https://comfy.ua/lanch-boks-herevin-speed-racer-161279-002.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1655154564,6917947,HEREVIN,Ланч-бокс Herevin Speed Racer Сэндвичбокс (161457-002),79,2740192,Посуда >> Для хранения >> Ланч-боксы >> Ланч-боксы Herevin,herevin,Ланч-бокс Herevin Speed Racer (161457-002),,119,1,https://comfy.ua/lanch-boks-herevin-speed-racer-161457-002.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1655154634,6921867,ARDESTO,Миска ARDESTO Gemini 18 см (AR1618SS),119,2580130,Посуда >> Кухонные аксессуары >> Миски >> Миски Ardesto,ardesto,Миска Ardesto Gemini 18 см (AR1618SS),,119,1,https://comfy.ua/miska-ardesto-gemini-18-sm-ar1618ss.html,139,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1655154638,6921868,ARDESTO,Миска ARDESTO Gemini 22 см (AR1622SS),159,2580131,Посуда >> Кухонные аксессуары >> Миски >> Миски Ardesto,ardesto,Миска Ardesto Gemini 22 см (AR1622SS),,159,1,https://comfy.ua/miska-ardesto-gemini-22-sm-ar1622ss.html,185,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1655154641,6921869,ARDESTO,Миска ARDESTO Gemini 24 см (AR1624SS),209,2580132,Посуда >> Кухонные аксессуары >> Миски >> Миски Ardesto,ardesto,Миска Ardesto Gemini 24 см (AR1624SS),,209,1,https://comfy.ua/miska-ardesto-gemini-24-sm-ar1624ss.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1655154866,6919592,KRAUFF,Половник KRAUFF 21.7 см (29-305-067),89,2660721,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Krauff,krauff,Ополоник Krauff 29-305-067 21.7 см,,95,1,https://comfy.ua/polovnik-krauff-29-305-067-29-5-sm.html,126,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1655155087,6889604,TRAMONTINA,Половник TRAMONTINA Ability (25159/100),110,2636646,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tramontina,tramontina,Ополоник Tramontina Ability Black (25159/100),,125,1,https://comfy.ua/polovnik-tramontina-ability-black-25159-100.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1655157278,,,,,2822173,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Сумки для ноутбуков >> Сумки для ноутбуков Trust",trust,Сумка для ноутбуку Trust Lisboa 16 Blue (24980),,1299,1,https://comfy.ua/sumka-dlja-noutbuka-trust-lisboa-16-blue-24980.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1655157279,,,,,2822174,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Сумки для ноутбуков >> Сумки для ноутбуков Trust",trust,Сумка для ноутбуку Trust Lisboa 16 Green (25245),,1299,1,https://comfy.ua/sumka-dlja-noutbuka-trust-lisboa-16-green-25245.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1655175653,,,,,2822166,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Pantum",pantum,Фотобарабан Pantum Драм-юніт DL-5120,,2629,1,https://comfy.ua/fotobaraban-pantum-dram-junit-dl-5120.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1655175672,,,,,1975929,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",hp,Картридж для струменевих принтерів/БФП HP 728 300-ml Yellow InkCart (F9K15A),,13485,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-hp-728-300-ml-yellow-inkcart-f9k15a.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1655175673,,,,,1975928,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",hp,Картридж для струменевих принтерів/БФП HP 728 300-ml Magenta InkCart (F9K16A),,13485,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-hp-728-300-ml-magenta-inkcart-f9k16a.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1655221532,,,,,.2542167,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,"""Чохол для смартфону",,,,,,,,,,
"Armorstandart G-Case for Samsung A24 4G (A245) Marsala (ARM68183)""",,299,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-g-case-for-samsung-a24-4g-a245-marsala-arm68183.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1655228306,,,,,2823245,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов Armorstandart,armorstandart,Чохол для смартфону Armorstandart ICON2 MagSafe for Apple iPhone 15 Winter Blue (ARM72760),,699,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-icon2-magsafe-for-apple-iphone-15-winter-blue-arm72760.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1655228308,,,,,2823244,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов Armorstandart,armorstandart,Чохол для смартфону Armorstandart ICON2 MagSafe for Apple iPhone 15 Storm Blue (ARM72759),,699,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-icon2-magsafe-for-apple-iphone-15-storm-blue-arm72759.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
