1643369820,column,column,column,column,2561485,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_antispy_for_samsung_s23_ultra_arm66558,column,349,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartantispyforsamsungs23ultraarm66558html,column,05112025_1956,column,__42,Фастів,0
1643370159,,,,,2685061,Смартфоны и телефоны >> Аксессуары для смартфонов >> Защитные пленки и стекла >> Защитные пленки и стекла ILera,ilera,Захисне скло для смартфону ILera Sapphire Ultra + Glass for iPhone 15 Pro Max (iLSPDL+15PrMx),,1599,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-ilera-sapphire-ultra-glass-for-iphone-15-pro-max-ilspdl-15prmx.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1643370339,,,,,.2572873,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Samsung A13 4G (1283126524219),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-samsung-a13-4g-1283126524219.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1643370342,,,,,.2566633,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Infinix Smart 7 двостороння (DV-INF-SM7FB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-infinix-smart-7-dvostoronnjaja-dv-inf-sm7fb.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1643370343,,,,,.2644861,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Xiaomi Poco X5 Pro 5G Black (708820),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-xiaomi-poco-x5-pro-5g-black-708820.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1643370346,,,,,.2707093,Смартфоны и телефоны >> Аксессуары для смартфонов,intaleo,Захисне скло для смартфону Intaleo Full Glue for Tecno Camon 19/19 Pro Black (1283126547270),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-intaleo-full-glue-for-tecno-camon-19-19-pro-black-1283126547270.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
1643370769,,,,,.2447678,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Samsung S21+ (G996) (1283126510502),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-samsung-s21-g996-1283126510502.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1643370773,,,,,.2693819,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Apple iPhone 7/8 Plus Black (1283126508165),,155,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-apple-iphone-7-8-plus-black-1283126508165.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1643374717,,,,,2553394,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Werk,werk,Свердло Werk 4-32 мм (88828),,549,1,https://comfy.ua/sverlo-werk-4-32-mm-88828.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1643374720,,,,,.2690451,Инструменты и автотовары >> Расходные материалы,milwaukee,"Свердло Milwaukee Thunderweb HSS-G DIN338 1,8х46 мм 10 шт. (4932459832)",,195,1,https://comfy.ua/sverlo-milwaukee-thunderweb-hss-g-din338-1-8h46-mm-10-sht-4932459832.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1643374721,,,,,.2691293,Инструменты и автотовары >> Расходные материалы,milwaukee,Свердло Milwaukee Forstner 16х90 мм (4932363706),,205,1,https://comfy.ua/sverlo-milwaukee-forstner-16h90-mm-4932363706.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
1643375196,,,,,.2719348,Инструменты и автотовары >> Расходные материалы,milwaukee,Свердло Milwaukee THUNDERWEB HSS-G DIN338 10 шт. (4932352382),,359,1,https://comfy.ua/sverlo-milwaukee-thunderweb-hss-g-din338-10-sht-4932352382.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1643375199,,,,,.2731096,Инструменты и автотовары >> Расходные материалы,milwaukee,"Свердло Milwaukee 14,0х95 мм (4932471858)",,335,1,https://comfy.ua/sverlo-milwaukee-14-0h95-mm-4932471858.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1643375305,6925756,ACER,"""Монитор ACER 23.8"""" XF240YM3biiph Black (UM.QX0EE.315)""",4521,2780197,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Acer",acer,Монітор ігровий Acer Nitro XF240YM3biiph (UM.QX0EE.315),,4519,1,https://comfy.ua/monitor-igrovoj-acer-nitro-xf240ym3biiph-um-qx0ee-315.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1643375655,,,,,.2691246,Инструменты и автотовары >> Расходные материалы,milwaukee,"Свердло Milwaukee HSS-R DIN338 8,0 мм 10 шт. (4932363514)",,569,1,https://comfy.ua/sverlo-milwaukee-hss-r-din338-8-0-mm-10-sht-4932363514.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
