720383384,,,,,.1671174,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F GT 1030 2GB 1611 (i510400FGT10302GB1611),,20354,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-gt-1030-2gb-1611-i510400fgt10302gb1611.html,23395,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
720383388,,,,,.1671178,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F GT 1030 2GB 1621 (i510400FGT10302GB1621),,20571,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-gt-1030-2gb-1621-i510400fgt10302gb1621.html,23645,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
720383442,,,,,.1671182,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F GT 1030 2GB 811 (i510400FGT10302GB811),,18965,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-gt-1030-2gb-811-i510400fgt10302gb811.html,21799,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
720383447,,,,,.1671186,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F GT 1030 2GB 821 (i510400FGT10302GB821),,19440,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-gt-1030-2gb-821-i510400fgt10302gb821.html,22345,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
720398377,6517145,KELA,Кастрюля KELA Cailin 2.4 л (10994),5169,1648380,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Kela,kela,Каструля Kela Cailin 20 см 2.4 л з пароваркою (10994),,5169,1,https://comfy.ua/kastrjulja-kela-cailin-20-sm-2-4-l-s-parovarkoj-10994.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
720627779,6619397,SAMSUNG,Пылесос SAMSUNG VCC41U1V3P/UK,2999,1668956,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Samsung,samsung,Пилосос для сухого прибирання з мішком Samsung VCC41U1V3P/UK,,2999,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-samsung-vcc41u1v3p-uk.html,3299,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
720643449,,,,,1674304,Смартфоны и телефоны >> Аксессуары для смартфонов,gelius,Акумулятор для смартфона Gelius Pro Xiaomi BN48 (Redmi Note 6 Pro) (77394),,379,1,https://comfy.ua/akkumuljator-dlja-smartfona-gelius-pro-xiaomi-bn48-redmi-note-6-pro-77394.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
720644820,6591620,BOSCH,Пылесос BOSCH BCHF2MX20,5999,1663860,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Bosch,bosch,Пилосос ручний для дому Bosch BCHF2MX20,,6499,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-bosch-bchf2mx20.html,9199,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
720707708,6624177,BABYLISS,Фен-щетка BABYLISS AS970E,3999,1675277,Красота и здоровье >> Уход за волосами >> Фен-щетки >> Фен-щетки Babyliss,babyliss,Фен-щітка Babyliss AS970E,,3999,1,https://comfy.ua/fen-schetka-babyliss-as970e.html,4399,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
721612110,,,,,1618262,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы APS,aps,"Щипці кухонні APS для льда 17,5 см (75805)",,230,1,https://comfy.ua/schipcy-kuhonnye-aps-dlja-l-da-17-5-sm-75805.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
721762292,6625933,BABYLISS,Выпрямитель BABYLISS ST089E,1299,1675272,Красота и здоровье >> Уход за волосами,babyliss,Вирівнювач волосся Babyliss ST089E,,1299,1,https://comfy.ua/catalog/product/view/id/1293593/s/vyprjamitel-volos-babyliss-st089e,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
721777042,7165770,SOLA,Лопатка для торта SOLA 31IBIZE5161,205,1653040,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Sola,sola,Лопатка для торта Sola 31IBIZE5161,,205,1,https://comfy.ua/lopatka-dlja-torta-sola-31ibize5161.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
722314894,,,,,1674462,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gemix,Перехідник HDMI Gemix HDMI to HDMI (Art.GC 1409),,65,1,https://comfy.ua/perehodnik-hdmi-gemix-hdmi-to-hdmi-art-gc-1409.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
