1661867434,column,column,column,column,2827626,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_for_samsung_s24_plus_arm72453,column,209,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartforsamsungs24plusarm72453html,column,05112025_2023,column,__42,Фастів,0
1661869159,,,,,2870126,Детские товары >> Игрушки,trefl,"""Настільна гра (3-4 роки) Trefl Велика гонка / """"Веселе порося"""" (2262)""",,575,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-5-7-let-trefl-bol-shaja-gonka-veselyj-porosenok-2262.html,,05.11.2025 22:27,,"вул. Соборна, 42",Фастів,0
1661869161,,,,,2870124,Comfy KIDS >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Trefl,trefl,"""Настільна гра (5-7 років) Trefl """"Квести для герої""""/ Дісней: """"Людина павук""""  (2436)""",,705,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-5-7-let-trefl-kvesty-dlja-geroja-disnej-chelovek-pauk-2436.html,,05.11.2025 23:25,,"вул. Соборна, 42",Фастів,0
1661870055,,,,,.2892888,Красота и здоровье >> Уход за полостью рта,eta,Зубна щітка електрична ETA Zubniсka 1294 90070,,579,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-eta-zubniska-1294-90070.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1661870464,6965860,OCLEAN,Зубная щетка OCLEAN X Ultra Set Electric Toothbrush Green (6970810553505),5499,2860828,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oclean,oclean,Зубна щітка електрична Oclean X Ultra Set Green (OLED) (6970810553505),,5499,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-oclean-x-ultra-set-green-oled-6970810553505.html,6999,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1661875561,,,,,2888822,Детские товары >> Игрушки >> Игрушечное оружие >> Игрушечное оружие Fast,fast,Бластер багатозарядний Fast з подвійним барабаном та м'якими набоями 18 шт. (BH704),,659,1,https://comfy.ua/blaster-mnogozarjadnyj-fast-s-dvojnym-barabanom-i-mjagkimi-patronami-18-sht-bh704.html,,05.11.2025 23:37,,"вул. Соборна, 42",Фастів,0
1661875562,,,,,2888824,Детские товары >> Игрушки >> Игрушечное оружие >> Игрушечное оружие Fast,fast,Бластер багатозарядний Fast з подвійним барабаном та м'якими набоями 18 шт. (BH804),,659,1,https://comfy.ua/blaster-mnogozarjadnyj-fast-s-dvojnym-barabanom-i-mjagkimi-patronami-18-sht-bh804.html,,05.11.2025 23:04,,"вул. Соборна, 42",Фастів,0
1661875564,,,,,.2888825,Детские товары >> Игрушки,turbo,Бластер багатозарядний Turbo з барабаном та м'якими набоями 4 шт. (ВТ301),,205,1,https://comfy.ua/blaster-mnogozarjadnyj-turbo-s-barabanom-i-mjagkimi-patronami-4-sht-vt301.html,,05.11.2025 22:13,,"вул. Соборна, 42",Фастів,0
1661875565,,,,,.2888834,Детские товары >> Игрушки,turbo,Патрони для бластерів Turbo 24 шт. (ВТ348),,129,1,https://comfy.ua/patrony-dlja-blasterov-turbo-24-sht-vt348.html,,05.11.2025 22:06,,"вул. Соборна, 42",Фастів,0
1661875566,,,,,2888835,Детские товары >> Игрушки,turbo,Патрони для бластерів Turbo 36 шт. (ВТ349),,175,1,https://comfy.ua/patrony-dlja-blasterov-turbo-36-sht-vt349.html,,05.11.2025 23:28,,"вул. Соборна, 42",Фастів,0
1661875567,,,,,.2888836,Детские товары >> Игрушки,turbo,Патрони для бластерів Turbo 48 шт. (ВТ352),,219,1,https://comfy.ua/patrony-dlja-blasterov-turbo-48-sht-vt352.html,,05.11.2025 22:18,,"вул. Соборна, 42",Фастів,0
1661875867,,,,,.2893154,Техника для кухни >> Мелкая техника,eta,Фритюрниця ETA Fritola 3172 90000,,2799,1,https://comfy.ua/fritjurnica-eta-fritola-3172-90000.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1661875881,,,,,2719580,Детские товары >> Игрушки,wp-merchandise,М'яка іграшка WP Merchandise Дракон Бель (FWPDRAGBELLE23BN0),,749,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-wp-merchandise-drakon-bel-fwpdragbelle23bn0.html,,06.11.2025 0:28,,"вул. Соборна, 42",Фастів,0
1661875883,,,,,.2719582,Детские товары >> Игрушки,wp-merchandise,М'яка іграшка WP Merchandise Дракон Меліса (FWPDRAGMELIS23PK0),,749,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-wp-merchandise-drakon-melisa-fwpdragmelis23pk0.html,,06.11.2025 1:05,,"вул. Соборна, 42",Фастів,0
1661875884,,,,,.2719584,Детские товары >> Игрушки,wp-merchandise,М'яка іграшка WP Merchandise Дракон Спайкі (FWPDRAGSPIKY23NV0),,749,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-wp-merchandise-drakon-spajki-fwpdragspiky23nv0.html,,06.11.2025 0:28,,"вул. Соборна, 42",Фастів,0
1661875885,7023554,SBABAM,Мягкая игрушка-сюрприз SBABAM Doki Doki Маленькие пушистики (121/CN21),85,2798514,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки #sbabam,sbabam,"""Колекційна м'яка іграшка #sbabam """"Doki Doki"""" – МАЛЕНЬКІ ПУХНАСТИКИ  (121/CN21)""",,59,1,https://comfy.ua/kollekcionnaja-mjagkaja-igrushka-sbabam-doki-doki-malen-kie-pushistiki-121-cn21.html,85,05.11.2025 23:01,,"вул. Соборна, 42",Фастів,0
1661876958,6951124,RONIX,Набор ключей RONIX RH-2020,199,2832292,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Ronix,ronix,Набір шестигранних складних ключів Ronix RH-2020,,199,1,https://comfy.ua/nabor-shestigrannyh-skladnyh-kljuchej-ronix-rh-2020.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1661876959,6951125,RONIX,Набор ключей RONIX Torx RH-2021,229,2832293,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Ronix,ronix,Набір шестигранних складних ключів Ronix Torx (RH-2021),,229,1,https://comfy.ua/nabor-shestigrannyh-skladnyh-kljuchej-ronix-torx-rh-2021.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1661877450,6926313,ACER,Моноблок ACER Aspire C24-1300 (DQ.BL0ME.00L),28299,2724441,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Acer",acer,Комп'ютер-моноблок Acer Aspire C24-1300 (DQ.BL0ME.00L),,28299,1,https://comfy.ua/komp-juter-monoblok-acer-aspire-c24-1300-dq-bl0me-00l.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1661877611,7121630,SBABAM,Фигурка-сюрприз SBABAM Kokoro Baby Очаровательные питомцы (95/CN2020),79,2798515,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки #sbabam,sbabam,Фігурки тварини #sbabam ЧАРІВНІ УЛЮБЛЕНЦІ (95/CN2020),,79,1,https://comfy.ua/figurka-zhivotnogo-sbabam-ocharovatel-nye-pitomcy-95-cn2020.html,115,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1661877627,6951121,RONIX,"""Трещотка RONIX 1/2"""" 250 мм (RH-2634)""",399,2832272,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Ronix,ronix,"""Ключ-трiскачка Ronix 1/2"""" 250 мм (RH-2634)""",,399,1,https://comfy.ua/kljuch-treschetka-ronix-1-2-250-mm-rh-2634.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1661877704,6951127,RONIX,Набор головок и насадок RONIX 28 шт. (RH-5451),449,2832301,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Ronix,ronix,Набір торцевих голівок Ronix 28 шт. (RH-5451),,449,1,https://comfy.ua/nabor-torcevyh-golovok-ronix-28-sht-rh-5451.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1661877710,6951086,RONIX,Набор ключей RONIX 8 шт (RH-2250),669,2832294,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Ronix,ronix,Набір гайкових ключів Ronix 8 шт. (RH-2250),,669,1,https://comfy.ua/nabor-gaechnyh-kljuchej-ronix-8-sht-rh-2250.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1661877711,6951087,RONIX,Набор ключей RONIX 8 шт (RH-2252),699,2832295,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Ronix,ronix,Набір гайкових ключів Ronix 8 шт. (RH-2252),,699,1,https://comfy.ua/nabor-gaechnyh-kljuchej-ronix-8-sht-rh-2252.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1661896133,,,,,.2892880,Техника для кухни >> Мелкая техника,eta,Гриль-барбекю електричний ETA GrilChef 5156 90000,,3899,1,https://comfy.ua/gril-barbekju-jelektricheskij-eta-grilchef-5156-90000.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1661896135,,,,,.2892881,Техника для кухни >> Мелкая техника,eta,Гриль-барбекю електричний ETA Torreo 7155 90000,,5999,1,https://comfy.ua/gril-barbekju-jelektricheskij-eta-torreo-7155-90000.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1661898532,,,,,2874649,Детские товары >> Прогулки и поездки,lionelo,Вкладиш в коляску Lionelo Seatliner Golden Moments Black,,899,1,https://comfy.ua/vkladysh-v-koljasku-lionelo-seatliner-golden-moments-black.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1661898533,,,,,.2874650,Детские товары >> Прогулки и поездки,lionelo,Вкладиш в коляску Lionelo Seatliner Golden Moments Grey,,899,1,https://comfy.ua/vkladysh-v-koljasku-lionelo-seatliner-golden-moments-grey.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1661898843,,,,,.2874659,Детские товары >> Прогулки и поездки,lionelo,Муфта-рукавиці для коляски Lionelo Handmuff Black,,1499,1,https://comfy.ua/mufta-rukavicy-dlja-koljaski-lionelo-handmuff-black.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1661899467,,,,,.2898100,Детские товары >> Прогулки и поездки,maxi-cosi,Сумка для батьків Maxi-Cosi MODERNBAG Essential Graphite,,4800,1,https://comfy.ua/sumka-dlja-roditelej-maxi-cosi-modernbag-essential-graphite.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1661899482,,,,,2898099,Детские товары >> Прогулки и поездки,britax-romer,Люлька для коляски Britax-Romer SMILE 5Z Dusty Rose,,9660,1,https://comfy.ua/ljul-ka-dlja-koljaski-britax-romer-smile-5z-dusty-rose.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1661902367,,,,,.2898098,Детские товары >> Прогулки и поездки,britax-romer,Люлька для коляски Britax-Romer SMILE 5Z Urban Olive,,11940,1,https://comfy.ua/ljul-ka-dlja-koljaski-britax-romer-smile-5z-urban-olive.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1661902368,,,,,.2898097,Детские товары >> Прогулки и поездки,britax-romer,Люлька для коляски Britax-Romer SMILE 5Z Soft Taupe,,11940,1,https://comfy.ua/ljul-ka-dlja-koljaski-britax-romer-smile-5z-soft-taupe.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1661917224,,,,,.2900371,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus Pro H610M-C D4-CSM,,4395,1,https://comfy.ua/materinskaja-plata-asus-pro-h610m-c-d4-csm.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1661917227,,,,,.2900372,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRO Q570M-C/CSM,,6899,1,https://comfy.ua/materinskaja-plata-asus-pro-q570m-c-csm.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1661918697,,,,,2884711,Бытовая химия >> Средства для стирки >> Стиральные порошки >> Стиральные порошки Persil,persil,"Пральний порошок Persil авт. Колор Свіжість від Сілан, 8,1 кг, 54 циклів",,899,1,https://comfy.ua/stiral-nyj-poroshok-persil-avt-kolor-svezhest-ot-silan-8-1-kg-54-ciklov.html,1276,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,12
1661921277,6880256,EINHELL,Высоторез EINHELL GC-EC 7520 Т (4501240),3878,2841522,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Einhell,einhell,Висоторіз Einhell GC-EC 7520 T (4501240),,3879,1,https://comfy.ua/vysotorez-einhell-gc-ec-7520-t-4501240.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1661927165,,,,,2832267,Инструменты и автотовары >> Электроинструменты >> Пилы цепные и сабельные >> Пилы цепные и сабельные Ronix,ronix,Ланцюгова пила Ronix 4716,,3599,1,https://comfy.ua/cepnaja-pila-ronix-4716.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1661927200,,,,,.2898103,Детские товары >> Детская комната и безопасность,hauck,Манеж-ліжко HAUCK Dream N Play Minnie Sweetheart,,3540,1,https://comfy.ua/manezh-krovat-hauck-dream-n-play-minnie-sweetheart.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1661927202,7083016,HAUCK,Кроватка HAUCK Dreamer Grey (60895-1),4920,2898104,Детские товары >> Детская комната и безопасность >> Манежи >> Манежи HAUCK,hauck,Манеж-ліжко HAUCK Dreamer Grey,,4920,1,https://comfy.ua/manezh-krovat-hauck-dreamer-grey.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
