812311102,,,,,1783549,Comfy KIDS >> Игрушки >> Активные игры >> Летние игры >> Летние игры Gazillion,gazillion,Генератор мильних бульбашок GazilLion Гігант вентилятор в наборі р-р 118 мл (GZ36132),,799,1,https://comfy.ua/generator-myl-nyh-puzyrej-gazillion-gigant-ventiljator-v-nabore-r-r-118-ml-gz36132.html,,06.11.2025 0:16,,"вул. Соборна, 42",Фастів,0
812311104,7083417,DJECO,Набор классических игр Djeco 12 в 1 (DJ05218) (3070900052185),1332,1783403,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Djeco,djeco,Настільна гра (3-4 роки) Djeco набір 12 в 1 (DJ05218),,1599,1,https://comfy.ua/nastol-naja-igra-klassicheskaja-3-4-goda-djeco-nabor-12-v-1-dj05218.html,,06.11.2025 0:58,,"вул. Соборна, 42",Фастів,0
812311105,,,,,1783562,Детские товары >> Игрушки,gazillion,Мильні бульбашки GazilLion Набір кільце з обертанням в наборі р-р 118 мл (GZ36594),,395,1,https://comfy.ua/myl-nye-puzyri-gazillion-nabor-kol-co-s-vrascheniem-v-nabore-r-r-118-ml-gz36594.html,,06.11.2025 0:16,,"вул. Соборна, 42",Фастів,0
812311108,6679824,TESY,Бойлер TESY GCV 1004724D C22 ECW,18229,1783325,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Tesy,tesy,Водонагрівач Tesy GCV 1004724D C22 ECW (305084),,18229,1,https://comfy.ua/vodonagrevatel-tesy-gcv-1004724d-c22-ecw-305084.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
812311109,,,,,1783571,Детские товары >> Игрушки >> Активные игры >> Летние игры >> Летние игры Gazillion,gazillion,Мильні бульбашки GazilLion розчин 230 мл (GZ35003),,55,1,https://comfy.ua/myl-nye-puzyri-gazillion-rastvor-230-ml-gz35003.html,,05.11.2025 23:57,,"вул. Соборна, 42",Фастів,0
812311117,,,,,1783308,Comfy KIDS >> Игрушки >> Игрушечное оружие >> Игрушечное оружие ZURU,zuru,Водяний бластер ZURU набір (2 шт) X-Shot Fast Fill Medium And Small (56225),,1649,1,https://comfy.ua/vodjanoj-blaster-zuru-nabor-2-sht-x-shot-fast-fill-medium-and-small-56225.html,,06.11.2025 0:28,,"вул. Соборна, 42",Фастів,0
812311121,6677442,TESY,Бойлер TESY GCV 1504724D C22 ECW,22608,1783342,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Tesy,tesy,Водонагрівач Tesy GCV 1504724D C22 ECW (305086),,22609,1,https://comfy.ua/vodonagrevatel-tesy-gcv-1504724d-c22-ecw-305086.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
812311123,6438027,SIGIKID,Дорожная сумка SIGIKID Florentine (24546SK),2649,1783411,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы Sigikid,sigikid,Валіза дитяча Sigikid Florentine (24546SK),,2649,1,https://comfy.ua/chemodan-detskij-sigikid-florentine-24546sk.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
812311125,7083424,DJECO,Развивающий игра DJECO Противоположности 12 элементов (DJ08162),375,1783396,Детские товары >> Игрушки >> Пазлы >> Пазлы Djeco,djeco,Пазли (3-4 роки) Djeco гра Протилежності (DJ08162),,299,1,https://comfy.ua/pazly-kartonnye-3-4-goda-djeco-igra-protivopolozhnosti-dj08162.html,,06.11.2025 1:29,,"вул. Соборна, 42",Фастів,0
812311127,,,,,.1782621,Детские товары >> Детский транспорт,lionelo,Триколісний велосипед Lionelo Haari Bubblugum,,5299,1,https://comfy.ua/trjohkoljosnyj-velosiped-lionelo-haari-bubblugum.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
