1653016139,column,column,column,column,2834393,Игровые консоли и гейминг >> Комплектующие для игровых ПК,deepcool,__deepcool_ak400_digital_rak400bkadmng,column,2179,1,httpscomfyuaprocessornyjkulerdeepcoolak400digitalrak400bkadmnghtml,column,05112025_1847,column,__42,Фастів,0
1653215219,6947608,TEFAL,Сковорода TEFAL XL Intense 20 см Black (C3840233),779,2762178,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода універсальна Tefal C3840233 XL INTENSE 20 см,,779,1,https://comfy.ua/skovoroda-universal-naja-tefal-c3840233-xl-intense-20-sm.html,939,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1653339687,6926362,KARCHER,Насадка KARCHER для мытья фасадов и стекол (2.644-191.0),2219,2822056,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары для минимойки >> Аксессуары для минимойки Karcher,karcher,Насадка-швабра для мінімийки Karcher 2.644-191.0,,2219,1,https://comfy.ua/nasadka-shvabra-dlja-minimojki-karcher-2-644-191-0.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1653344837,,,,,2839422,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",denmen,Кабель синхронізації даних Denmen D42T Silicone USB Type-C 2.4A 1m Black (DM-D42T-BK),,59,1,https://comfy.ua/kabel-sinhronizacii-dannyh-denmen-d42t-silicone-usb-type-c-2-4a-1m-black-dm-d42t-bk.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1653344840,,,,,2839423,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",denmen,Кабель синхронізації даних Denmen D42T Silicone USB Type-C 2.4A 1m White (DM-D42T-WH),,59,1,https://comfy.ua/kabel-sinhronizacii-dannyh-denmen-d42t-silicone-usb-type-c-2-4a-1m-white-dm-d42t-wh.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1653358245,6977237,KITCHENAID,Блендер KITCHENAID K150 Mate Blsck (5KSB1325EBM),15899,2845653,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры KitchenAid,kitchenaid,Блендер стаціонарний KitchenAid K150 (5KSB1325EBM),,14309,1,https://comfy.ua/blender-stacionarnyj-kitchenaid-k150-5ksb1325ebm.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1653358347,6977238,KITCHENAID,Блендер KITCHENAID K150 5KSB1325EDG Grey,15899,2845652,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры KitchenAid,kitchenaid,Блендер стаціонарний KitchenAid K150 (5KSB1325EDG),,15899,1,https://comfy.ua/blender-stacionarnyj-kitchenaid-k150-5ksb1325edg.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1653358938,,,,,2836426,Игровые консоли и гейминг >> Комплектующие для игровых ПК,qube,Корпус QUBE REEF ARGB White (REEF_GMNU3),,2529,1,https://comfy.ua/korpus-qube-reef-argb-white-reef-gmnu3.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1653358939,,,,,.2836427,Игровые консоли и гейминг >> Комплектующие для игровых ПК,qube,Корпус QUBE CORSAIR ARGB Black (CORSAIR_FMNU3),,2549,1,https://comfy.ua/korpus-qube-corsair-argb-black-corsair-fmnu3.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1653411329,6925764,BLUETTI,Зарядная станция BLUETTI AC60P 504Wh 600W,23999,2732981,Энергообеспечение >> Зарядные станции >> Зарядные станции все >> Зарядные станции все Bluetti,bluetti,Зарядна станція універсальна Bluetti AC60P 504Wh 140000mAh 600W,,23999,1,https://comfy.ua/zarjadnaja-stancija-universal-naja-bluetti-ac60p-504wh-140000mah-600w.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1653412910,6971995,MYSTERY,Кофемашина MYSTERY MCB-5112 ULKA,2899,2844417,Техника для кухни >> Мир кофе,mystery,Кавоварка ріжкова Mystery MCB-5112 ULKA,,2899,1,https://comfy.ua/kofevarka-rozhkovaja-mystery-mcb-5112-ulka.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1653412911,6971996,MYSTERY,Кофеварка MYSTERY MCB-5120 ULKA,2749,2844418,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Mystery,mystery,Кавоварка ріжкова Mystery MCB-5120 ULKA,,2749,1,https://comfy.ua/kofevarka-rozhkovaja-mystery-mcb-5120-ulka.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1653429993,,,,,2179401,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Taf Toys,taf-toys,Книжка-іграшка Taf Toys для коляски колекції «Полярне сяйво» - ЩО НАДІНЕ ВЕДМЕДИК ПОЛ (12605),,749,1,https://comfy.ua/knizhka-igrushka-taf-toys-dlja-koljaski-kollekcii-poljarnoe-sijanie-chto-nadenet-mishka-pol-12605.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1653429997,,,,,2179393,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Taf Toys,taf-toys,"""Книжка-іграшка Taf Toys колекція """"Мрійливі коали"""" - ПРИГОДИ КОАЛИ КІММІ (12395)""",,999,1,https://comfy.ua/knizhka-igrushka-taf-toys-kollekcija-mechtatel-nye-koaly-prikljuchenija-koaly-kimmi-12395.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1653430074,7085559,TECHNODRIVE,Автомодель TECHNODRIVE LAND ROVER с прицепом и динозавром 1:32 (520178.270),545,2771083,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника TechnoDrive,technodrive,Автотранспорт TechnoDrive LAND ROVER (з причепом та динозавром) (520178.270),,379,1,https://comfy.ua/avtotransport-technodrive-land-rover-s-pricepom-i-dinozavrom-520178-270.html,545,05.11.2025 23:34,,"вул. Соборна, 42",Фастів,0
1653430075,,,,,2439523,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника TechnoDrive,technodrive,Автотранспорт TechnoDrive Bentley Bentayga помаранчева (250266),,219,1,https://comfy.ua/avtotransport-technodrive-bentley-bentayga-oranzhevyj-250266.html,,05.11.2025 23:34,,"вул. Соборна, 42",Фастів,0
1653430170,,,,,2811526,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника TechnoDrive,technodrive,Автотранспорт TechnoDrive BMW X5M (чорний) (250360),,255,1,https://comfy.ua/avtotransport-technodrive-bmw-x5m-chernyj-250360.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
1653430186,7119389,TECHNODRIVE,Игровой набор TECHNODRIVE Land Rover Defender Military с лодкой (520191.270),545,2771082,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника TechnoDrive,technodrive,Автотранспорт TechnoDrive LAND ROVER DEFENDER МІЛІТАРІ (з човном) (520191.270),,379,1,https://comfy.ua/avtotransport-technodrive-land-rover-defender-militari-s-lodkoj-520191-270.html,545,05.11.2025 22:41,,"вул. Соборна, 42",Фастів,0
1653430205,,,,,2811527,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника TechnoDrive,technodrive,Автотранспорт TechnoDrive MERCEDES-AMG C63 DTM (синій) (250355),,189,1,https://comfy.ua/avtotransport-technodrive-mercedes-amg-c63-dtm-sinij-250355.html,255,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
1653430215,,,,,2439539,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника TechnoDrive,technodrive,Автотранспорт TechnoDrive Porsche Cayenne S синя (250251),,215,1,https://comfy.ua/avtotransport-technodrive-porsche-cayenne-s-sinij-250251.html,,05.11.2025 23:28,,"вул. Соборна, 42",Фастів,0
