742461866,column,column,column,column,1679576,_____________tescoma,tescoma,__tescoma_862008_sonic_12_,column,201,1,httpscomfyuanozhkuhonnyjtescoma862008sonic12smhtml,column,05112025_1906,column,__42,Фастів,0
742462292,,,,,1661624,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Tescoma,tescoma,Набір ножів столових tescoma 395465 Oneka 6 шт. для риби,,1199,1,https://comfy.ua/nabor-nozhej-stolovyh-tescoma-395465-oneka-6-sht-dlja-ryby.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
742462350,,,,,1675301,Инструменты и автотовары >> Садовые инструменты >> Опрыскиватели ручные >> Опрыскиватели ручные Ryobi,ryobi,Обприскувач ручний Ryobi ONE + OWS1880 без АКБ і ЗУ,,3299,1,https://comfy.ua/opryskivatel-ruchnoj-ryobi-one-ows1880-bez-akb-i-zu.html,3899,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
742462500,,,,,1679577,Посуда >> Для сервировки,tescoma,Набір ножів столових tescoma 862011 Sonic 12 см 6 шт.,,939,1,https://comfy.ua/nabor-nozhej-stolovyh-tescoma-862011-sonic-12-sm-6-sht.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
742462501,,,,,1661295,Посуда >> Нарезка и измельчение,tescoma,Точилка кухонних ножів tescoma 862068 Sonic,,599,1,https://comfy.ua/tochilka-kuhonnyh-nozhej-tescoma-862068-sonic.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
742462552,,,,,1678824,Посуда >> Нарезка и измельчение,tescoma,Ніж сантоку tescoma 884531 Azza 14 см,,1399,1,https://comfy.ua/catalog/product/view/id/1340523,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
742462553,,,,,1678930,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж для хліба tescoma 884622 GrandChef 21 см,,1249,1,https://comfy.ua/nozh-dlja-hleba-tescoma-884622-grandchef-21-sm.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
742462570,,,,,.1678929,Посуда >> Нарезка и измельчение,tescoma,Ніж кухонний tescoma 884614 GrandChef 18 см,,1299,1,https://comfy.ua/nozh-kuhonnyj-tescoma-884614-grandchef-18-sm.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
742462571,,,,,1678826,Посуда >> Нарезка и измельчение,tescoma,Ніж для хліба tescoma 884536 Azza 22 см,,1599,1,https://comfy.ua/catalog/product/view/id/1340503,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
742462572,,,,,1678825,Посуда >> Нарезка и измельчение,tescoma,Ніж сантоку tescoma 884532 Azza 18 см,,1799,1,https://comfy.ua/catalog/product/view/id/1340513,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
742462573,,,,,1678827,Посуда >> Нарезка и измельчение,tescoma,Ніж для хліба tescoma 884832 Feelwood 21 см,,1499,1,https://comfy.ua/catalog/product/view/id/1340493,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
