1661943755,column,column,column,column,2522648,comfy_kids___________baboo,baboo,___baboo_60__2106,column,399,1,httpscomfyuaprokladkidljagrudibaboo60sht2106html,column,05112025_2117,column,__42,Фастів,0
1661946404,6966397,MARIO,Полотенцесушитель MARIO Веер-I 800х445/55 (2.3.0408.11.P),7668,2531840,"Дом, отдых и зоотовары >> Сантехника >> Полотенцесушители электрические >> Полотенцесушители электрические Mario",mario,Рушникосушарка Mario Веєр-I (2.3.0408.11.P),,7669,1,https://comfy.ua/polotencesushitel-mario-veer-i-2-3-0408-11-p.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1661946594,6966333,MARIO,Полотенцесушитель MARIO Классик (1.1.0109.01.P),5508,2859119,"Дом, отдых и зоотовары >> Сантехника >> Полотенцесушители водяные >> Полотенцесушители водяные Mario",mario,Рушникосушарка Mario Класік (1.1.0109.01.P),,6889,1,https://comfy.ua/polotencesushitel-mario-klassik-1-1-0109-01-p.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1661946834,6966374,MARIO,Полотенцесушитель MARIO Классик F НР-I 800 х 430/75 TR K (2.3.0702.10.Р),4799,2531843,"Дом, отдых и зоотовары >> Сантехника >> Полотенцесушители электрические >> Полотенцесушители электрические Mario",mario,Рушникосушарка Mario Класік F НР-I (2.3.0702.10.P),,4799,1,https://comfy.ua/polotencesushitel-mario-klassik-f-nr-i-2-3-0702-10-p.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1661946892,6966490,MARIO,Полотенцесушитель MARIO Классик F НР-I 800х430/75 TR K Черный матовый (2.3.0702.10.BM),7199,2649983,"Дом, отдых и зоотовары >> Сантехника >> Полотенцесушители электрические >> Полотенцесушители электрические Mario",mario,Рушникосушарка Mario Класік F НР-I  8(2.3.0702.10.BM),,7199,1,https://comfy.ua/polotencesushitel-mario-klassik-f-nr-i-8-2-3-0702-10-bm.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
1661948369,,,,,2841919,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов Armorstandart,armorstandart,Чохол для смартфону Armorstandart OneFold Case for Apple iPhone 15 Pro Black (ARM72670),,349,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-onefold-case-for-apple-iphone-15-pro-black-arm72670.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1661950082,,,,,.2825972,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax Vista AB без БЖ,,4149,1,https://comfy.ua/korpus-gamemax-vista-ab-bez-bp.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1661959242,6965332,TRUST,Гарнитура TRUST Ayda PC headset,699,2841972,"Аудио, фото и видео >> Наушники >> Наушники Trust",trust,Гарнітура дротова Trust Ayda PC headset (25087),,629,1,https://comfy.ua/garnitura-provodnaja-trust-ayda-pc-headset-25087.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1661961958,7123322,LARETTI,Электропечь LARETTI LR-EC3905 Black,4079,2892541,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи LARETTI,laretti,Піч електрична LARETTI LR-EC3905,,4079,1,https://comfy.ua/pech-jelektricheskaja-laretti-lr-ec3905.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1661961964,7123321,LARETTI,Электропечь LARETTI LR-EC3900 Black,3899,2892539,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи LARETTI,laretti,Піч електрична LARETTI LR-EC3900,,3899,1,https://comfy.ua/pech-jelektricheskaja-laretti-lr-ec3900.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1661961965,,,,,2892540,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи LARETTI,laretti,Піч електрична LARETTI LR-EC3908,,4849,1,https://comfy.ua/pech-jelektricheskaja-laretti-lr-ec3908.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1661962153,6966753,GAMEPRO,IT/armchair GAMEPRO кокпіт RS167,21999,2875482,"Дом, отдых и зоотовары >> Мебель",gamepro,Ігрове крісло кокпіт GamePro RS167,,21999,1,https://comfy.ua/kreslo-dlja-gejmerov-gamepro-rs167.html,24999,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1661962191,6967742,FLORINA,Сотейник FLORINA Delux 22 см Black (1P1005),609,2902722,Посуда >> Для приготовления >> Сковороды >> Сковороды FLORINA,florina,Сковорода універсальна FLORINA Delux MG 22 см (1P1005),,649,1,https://comfy.ua/skovoroda-universal-naja-florina-delux-mg-22-sm-1p1005.html,729,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1661962200,6967743,FLORINA,Сотейник FLORINA Delux 24 см Black (1P1006),695,2902723,Посуда >> Для приготовления >> Сковороды >> Сковороды FLORINA,florina,Сковорода універсальна FLORINA Delux MG 24 см (1P1006),,695,1,https://comfy.ua/skovoroda-universal-naja-florina-delux-mg-24-sm-1p1006.html,779,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1661962263,6967745,FLORINA,Сотейник FLORINA Delux 28 см Black (1P1008),845,2902725,Посуда >> Для приготовления >> Сковороды >> Сковороды FLORINA,florina,Сковорода універсальна FLORINA Delux MG 28 см (1P1008),,845,1,https://comfy.ua/skovoroda-universal-naja-florina-delux-mg-28-sm-1p1008.html,949,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1661962264,6967744,FLORINA,Сотейник FLORINA Delux 26 см Black (1P1007),745,2902724,Посуда >> Для приготовления >> Сковороды >> Сковороды FLORINA,florina,Сковорода універсальна FLORINA Delux MG 26 см (1P1007),,745,1,https://comfy.ua/skovoroda-universal-naja-florina-delux-mg-26-sm-1p1007.html,849,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1661962413,6967746,FLORINA,Сотейник FLORINA Delux 30 см Black (1P1009),895,2902726,Посуда >> Для приготовления >> Сковороды >> Сковороды FLORINA,florina,Сковорода універсальна FLORINA Delux MG 30 см (1P1009),,895,1,https://comfy.ua/skovoroda-universal-naja-florina-delux-mg-30-sm-1p1009.html,1049,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1661962842,6977781,KITCHENAID,Сковорода KITCHENAID Forged Hardened Aluminium 30 см Black (CC005695-001),7479,2868301,Посуда >> Для приготовления >> Сковороды >> Сковороды KitchenAid,kitchenaid,Сковорода універсальна KitchenAid FHA 30 см (CC005695-001),,7479,1,https://comfy.ua/skovoroda-universal-naja-kitchenaid-fha-30-sm-cc005695-001.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1661974877,6856415,RINGEL,Набор кондитерских шпателей RINGEL Main 3 шт (RG-5103/12),44,2655777,Посуда >> Для запекания и выпечки >> Кондитерские принадлежности >> Кондитерские принадлежности Ringel,ringel,Шпатель Ringel Main 8х11 см (RG-5103/12),,44,1,https://comfy.ua/shpatel-ringel-main-8h11-sm-rg-5103-12.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1661980026,6873399,LIMITED EDITION,Кружка LIMITED EDITION TERRA JUMBO 500 мл (YF6037-7),79,2670647,Посуда >> Для напитков >> Чашки >> Чашки Limited Edition,limited-edition,Чашка Limited Edition Terra Jumbo 500 мл (YF6037-7),,79,1,https://comfy.ua/chashka-limited-edition-terra-jumbo-500-ml-yf6037-7.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1661992458,,,,,.2904336,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",creality,3-D сканер Creality CR-Scan Ferret Pro (4008050043),,22999,1,https://comfy.ua/3-d-skaner-creality-cr-scan-ferret-pro-4008050043.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1662000388,,,,,.2852055,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Підставка під ноутбук Armorstandart ARM04 Black (ARM72561),,1999,1,https://comfy.ua/podstavka-pod-noutbuk-armorstandart-arm04-black-arm72561.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
1662000389,,,,,2875480,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Подставки под ноутбуки >> Подставки под ноутбуки OfficePro",officepro,Підставка під ноутбук OfficePro LS325,,399,1,https://comfy.ua/podstavka-pod-noutbuk-officepro-ls325.html,599,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1662000535,,,,,2875481,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Подставки под ноутбуки >> Подставки под ноутбуки OfficePro",officepro,Підставка під ноутбук OfficePro LS610 Silver,,599,1,https://comfy.ua/podstavka-pod-noutbuk-officepro-ls610-silver.html,899,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1662000537,,,,,2875479,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gamepro,Підставка під ноутбук охолоджуюча GamePro CP1540 RGB,,1599,1,https://comfy.ua/podstavka-pod-noutbuk-gamepro-cp1540-rgb.html,1899,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1662009498,6757693,SHOWSEE,Фен SHOWSEE A1-W,739,2901834,Красота и здоровье >> Уход за волосами,xiaomi,Фен Xiaomi ShowSee Hair Dryer A1-W White,,739,1,https://comfy.ua/fen-xiaomi-showsee-hair-dryer-a1-w-white.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1662009619,6977493,ENCHEN,Фен ENCHEN Air-2,1189,2901835,Красота и здоровье >> Уход за волосами >> Фены >> Фены Enchen,enchen,Фен Enchen Hair dryer AIR 2 Plus EU,,1049,1,https://comfy.ua/fen-enchen-hair-dryer-air-2-plus-eu.html,1799,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1662009619,6897227,XIAOMI,Фен Enchen AIR 2 Plus EU,1049,2901835,Красота и здоровье >> Уход за волосами >> Фены >> Фены Enchen,enchen,Фен Enchen Hair dryer AIR 2 Plus EU,,1049,1,https://comfy.ua/fen-enchen-hair-dryer-air-2-plus-eu.html,1799,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1662022384,,,,,.2893816,Техника для кухни >> Мелкая техника,eta,Форма для хлібопічки ETA 3147 99020,,699,1,https://comfy.ua/forma-dlja-hlebopechi-eta-3147-99020.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
1662022385,,,,,.2893817,Техника для кухни >> Мелкая техника,eta,Форма для хлібопічки ETA 3147 99030,,729,1,https://comfy.ua/forma-dlja-hlebopechi-eta-3147-99030.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
1662022386,,,,,.2893818,Техника для кухни >> Мелкая техника,eta,Чаша для хлібопічки ETA 3147 99040,,969,1,https://comfy.ua/chasha-dlja-hlebopechi-eta-3147-99040.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1662022387,,,,,.2893815,Техника для кухни >> Мелкая техника,eta,Форма для хлібопічки ETA 3147 99010,,929,1,https://comfy.ua/forma-dlja-hlebopechi-eta-3147-99010.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1662026476,6980130,HANSA,Варочная поверхность HANSA BHKS6718511,10299,2849120,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Hansa,hansa,Варильна поверхня газова Hansa BHKS6718511,,10299,1,https://comfy.ua/varochnaja-panel-gazovaja-hansa-bhks6718511.html,12999,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1662067373,,,,,2900387,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",ultra,Мережевий фільтр Ultra SSB3-5 V2 Чорний,,339,1,https://comfy.ua/setevoj-fil-tr-ultra-ssb3-5-v2-chernyj.html,,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,2
1662067374,,,,,2900383,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",ultra,Мережевий фільтр Ultra SSG3-5 V2 Сірий,,339,1,https://comfy.ua/setevoj-fil-tr-ultra-ssg3-5-v2-belyj.html,,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,0
1662067375,,,,,2900384,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",ultra,Мережевий фільтр Ultra SSB5-3 V2 Чорний,,359,1,https://comfy.ua/setevoj-fil-tr-ultra-ssb5-3-v2-chernyj.html,,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,1
1662083597,,,,,2383773,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Spidey Людина-Павук і Доктор Восьминіг (10789),,349,1,https://comfy.ua/konstruktor-lego-spidey-chelovek-pauk-i-doktor-os-minog-10789.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1662085603,,,,,2871327,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Витончена гітара 40х50 см (GS1377),,249,1,https://comfy.ua/kartina-po-nomeram-strateg-izjaschnaja-gitara-40h50-sm-gs1377.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1662085788,,,,,2871335,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Витончені дерева 40х50 см (GS1444),,219,1,https://comfy.ua/kartina-po-nomeram-strateg-izjaschnye-derev-ja-40h50-sm-gs1444.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1662086091,,,,,2870523,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Кіт-ватажок 40х50 см (DY188),,219,1,https://comfy.ua/kartina-po-nomeram-strateg-kot-vozhak-40h50-sm-dy188.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1662086191,,,,,2871114,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Кава. Good Morning 40х50 см (GS099),,199,1,https://comfy.ua/kartina-po-nomeram-strateg-kofe-good-morning-40h50-sm-gs099.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1662086364,,,,,2866623,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Круасани та кава з собою 40х50 см (DY336),,225,1,https://comfy.ua/kartina-po-nomeram-strateg-kruasany-i-kofe-s-soboj-40h50-sm-dy336.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1662086374,,,,,2872920,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Купідон 40х50 см (DY210),,249,1,https://comfy.ua/kartina-po-nomeram-strateg-kupidon-40h50-sm-dy210.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1662086397,,,,,2865993,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Леді з сигарою 40х50 см (GS1283),,249,1,https://comfy.ua/kartina-po-nomeram-strateg-ledi-s-sigaroj-40h50-sm-gs1283.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1662089483,6952679,HEINNER,Нож для овощей HEINNER Maestro 9 см (HR-EVI-M09),415,2890751,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Heinner,heinner,Ніж для овочів Heinner HR-EVI-M09,,424,1,https://comfy.ua/nozh-dlja-ovoschej-heinner-hr-evi-m09.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
