1680219508,column,column,column,column,2900388,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",ultra,__ultra_ssg53_v2_,column,359,1,httpscomfyuasetevojfiltrultrassg53v2seryjhtml,column,05112025_1716,column,__42,Фастів,1
1680499612,,,,,.2940704,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 1641Win (i514400B51641Win),,28906,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-1641win-i514400b51641win.html,33225,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1680507962,,,,,.2940307,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 6GB NM 3241 (Ryzen75700XRTX30506GBNM3241),,33764,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-6gb-nm-3241-ryzen75700xrtx30506gbnm3241.html,38809,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1680509163,,,,,.2940623,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 14100F RX 6600 8GB NM 3210 (i314100FRX66008GBNM3210),,34456,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-14100f-rx-6600-8gb-nm-3210-i314100frx66008gbnm3210.html,39605,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1680519555,,,,,.2940313,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 8GB NM 1642 (Ryzen75700XRTX30508GBNM1642),,32595,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-8gb-nm-1642-ryzen75700xrtx30508gbnm1642.html,37465,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1680519563,,,,,.2940316,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 8GB NM 324 (Ryzen75700XRTX30508GBNM324),,31681,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-8gb-nm-324-ryzen75700xrtx30508gbnm324.html,36415,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1680521546,,,,,.2940371,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RX 6600 8GB NM 3210 (Ryzen75700XRX66008GBNM3210),,36066,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rx-6600-8gb-nm-3210-ryzen75700xrx66008gbnm3210.html,41455,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1680547660,,,,,.2940308,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 6GB NM 3242 (Ryzen75700XRTX30506GBNM3242),,33981,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-6gb-nm-3242-ryzen75700xrtx30506gbnm3242.html,39059,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1680547663,,,,,.2940625,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 14100F RX 6600 8GB NM 3241 (i314100FRX66008GBNM3241),,35626,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-14100f-rx-6600-8gb-nm-3241-i314100frx66008gbnm3241.html,40949,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1680620287,,,,,.2940632,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 6GB NM 32102 (i512400FRTX30506GBNM32102),,36539,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-6gb-nm-32102-i512400frtx30506gbnm32102.html,41999,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1680620293,,,,,.2941116,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 6GB NM 164 (i514400FRTX30506GBNM164),,32377,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-6gb-nm-164-i514400frtx30506gbnm164.html,37215,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1680620437,,,,,.2940373,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RX 6600 8GB NM 3241 (Ryzen75700XRX66008GBNM3241),,37453,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rx-6600-8gb-nm-3241-ryzen75700xrx66008gbnm3241.html,43049,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1680628008,,,,,.2940314,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 8GB NM 3210 (Ryzen75700XRTX30508GBNM3210),,33543,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-8gb-nm-3210-ryzen75700xrtx30508gbnm3210.html,38555,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1680628016,,,,,.2940626,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 14100F RX 6600 8GB NM 3242 (i314100FRX66008GBNM3242),,35848,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-14100f-rx-6600-8gb-nm-3242-i314100frx66008gbnm3242.html,41205,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1680628731,,,,,.2940305,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 6GB NM 32102 (Ryzen75700XRTX30506GBNM32102),,35848,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-6gb-nm-32102-ryzen75700xrtx30506gbnm32102.html,41205,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1680628735,,,,,.2940317,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 8GB NM 3241 (Ryzen75700XRTX30508GBNM3241),,34935,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-8gb-nm-3241-ryzen75700xrtx30508gbnm3241.html,40155,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1680628745,,,,,.2940374,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RX 6600 8GB NM 3242 (Ryzen75700XRX66008GBNM3242),,37710,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rx-6600-8gb-nm-3242-ryzen75700xrx66008gbnm3242.html,43345,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1680637001,,,,,.2940629,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 6GB NM 1641Win (i512400FRTX30506GBNM1641Win),,37928,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-6gb-nm-1641win-i512400frtx30506gbnm1641win.html,43595,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1680660271,,,,,.2941117,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 6GB NM 1641 (i514400FRTX30506GBNM1641),,35370,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-6gb-nm-1641-i514400frtx30506gbnm1641.html,40655,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1680660277,,,,,.2940624,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 14100F RX 6600 8GB NM 32102 (i314100FRX66008GBNM32102),,37710,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-14100f-rx-6600-8gb-nm-32102-i314100frx66008gbnm32102.html,43345,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1680660480,,,,,.2925718,Техника для кухни >> Мелкая техника,eta,Хлібопічка ETA Harmony II 2149 90020,,3899,1,https://comfy.ua/hlebopech-eta-harmony-ii-2149-90020.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1680665643,,,,,.2940320,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3060 12GB NM 1641 (Ryzen75700XRTX306012GBNM1641),,36539,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3060-12gb-nm-1641-ryzen75700xrtx306012gbnm1641.html,41999,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1680665652,,,,,.2940318,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 8GB NM 3242 (Ryzen75700XRTX30508GBNM3242),,35152,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-8gb-nm-3242-ryzen75700xrtx30508gbnm3242.html,40405,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1680708078,,,,,.2940710,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 3241Win (i514400B53241Win),,31464,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-3241win-i514400b53241win.html,36165,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1680736417,,,,,.2940372,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RX 6600 8GB NM 32102 (Ryzen75700XRX66008GBNM32102),,39320,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rx-6600-8gb-nm-32102-ryzen75700xrx66008gbnm32102.html,45195,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1680736422,,,,,.2941126,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 8GB NM 164 (i514400FRTX30508GBNM164),,33291,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-8gb-nm-164-i514400frtx30508gbnm164.html,38265,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1680760138,,,,,.2940302,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 6GB NM 1641Win (Ryzen75700XRTX30506GBNM1641Win),,37235,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-6gb-nm-1641win-ryzen75700xrtx30506gbnm1641win.html,42799,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1680760155,,,,,.2941122,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 6GB NM 324 (i514400FRTX30506GBNM324),,34935,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-6gb-nm-324-i514400frtx30506gbnm324.html,40155,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1680761215,,,,,.2940322,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3060 12GB NM 1642 (Ryzen75700XRTX306012GBNM1642),,36762,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3060-12gb-nm-1642-ryzen75700xrtx306012gbnm1642.html,42255,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1680761219,,,,,.2941119,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 6GB NM 1642 (i514400FRTX30506GBNM1642),,35626,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-6gb-nm-1642-i514400frtx30506gbnm1642.html,40949,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1680766861,,,,,.2940315,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 8GB NM 32102 (Ryzen75700XRTX30508GBNM32102),,36762,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-8gb-nm-32102-ryzen75700xrtx30508gbnm32102.html,42255,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1680766877,,,,,.2940621,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 14100F RX 6600 8GB NM 1641Win (i314100FRX66008GBNM1641Win),,39097,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-14100f-rx-6600-8gb-nm-1641win-i314100frx66008gbnm1641win.html,44939,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1680766883,,,,,.2941185,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RX 6600 8GB NM 1641 (i514400FRX66008GBNM1641),,39097,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rx-6600-8gb-nm-1641-i514400frx66008gbnm1641.html,44939,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1680768510,,,,,.2940328,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4060 8GB NM 1641 (Ryzen75700XRTX40608GBNM1641),,39320,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4060-8gb-nm-1641-ryzen75700xrtx40608gbnm1641.html,45195,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1680768515,,,,,.2940369,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RX 6600 8GB NM 1641Win (Ryzen75700XRX66008GBNM1641Win),,40706,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rx-6600-8gb-nm-1641win-ryzen75700xrx66008gbnm1641win.html,46789,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1680798989,,,,,2940323,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3060 12GB NM 3210 (Ryzen75700XRTX306012GBNM3210),,35370,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3060-12gb-nm-3210-ryzen75700xrtx306012gbnm3210.html,40655,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,0
1680798999,,,,,.2941120,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 6GB NM 3210 (i514400FRTX30506GBNM3210),,36762,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-6gb-nm-3210-i514400frtx30506gbnm3210.html,42255,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1680799016,,,,,.2941127,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 8GB NM 1641 (i514400FRTX30508GBNM1641),,36539,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-8gb-nm-1641-i514400frtx30508gbnm1641.html,41999,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1680799029,,,,,.2941187,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RX 6600 8GB NM 1642 (i514400FRX66008GBNM1642),,39320,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rx-6600-8gb-nm-1642-i514400frx66008gbnm1642.html,45195,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1680800075,,,,,.2940248,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RX 6600 8GB NM 3210 (Ryzen57500FRX66008GBNM3210),,42568,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rx-6600-8gb-nm-3210-ryzen57500frx66008gbnm3210.html,48929,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1680850010,,,,,.2940325,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3060 12GB NM 3241 (Ryzen75700XRTX306012GBNM3241),,39097,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3060-12gb-nm-3241-ryzen75700xrtx306012gbnm3241.html,44939,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1680850014,,,,,.2940330,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4060 8GB NM 1642 (Ryzen75700XRTX40608GBNM1642),,39537,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4060-8gb-nm-1642-ryzen75700xrtx40608gbnm1642.html,45445,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1680850017,,,,,.2941123,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 6GB NM 3241 (i514400FRTX30506GBNM3241),,37928,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-6gb-nm-3241-i514400frtx30506gbnm3241.html,43595,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1680850024,,,,,.2940251,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RX 6600 8GB NM 3242 (Ryzen57500FRX66008GBNM3242),,43957,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rx-6600-8gb-nm-3242-ryzen57500frx66008gbnm3242.html,50525,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
