1689101299,column,column,column,column,2541273,______________fiskars,fiskars,_fiskars_quikfit_1000680,column,549,1,httpscomfyuarazryhlitelfiskarsquikfit1000680html,column,05112025_2117,column,__42,Фастів,0
1689102846,6967252,POWERPLANT,Аккумулятор POWERPLANT для MAKITA BL4040 40V 4Ah Li-ion (TB921720),4999,2918971,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства PowerPlant,powerplant,Акумулятор для електроінструментів PowerPlant MAKITA BL4040 40V 4Ah Li-ion (TB921720),,4999,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-powerplant-makita-bl4040-40v-4ah-li-ion-tb921720.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1689102847,6967245,POWERPLANT,Аккумулятор POWERPLANT Ryobi OP4060A (TB921607),5999,2899751,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства PowerPlant,powerplant,Акумулятор для електроінструментів PowerPlant Ryobi OP4060A 36V 6Ah Li-ion (TB921607),,5999,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-powerplant-ryobi-op4060a-36v-6ah-li-ion-tb921607.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1689102848,6967243,POWERPLANT,Аккумулятор POWERPLANT для BOSCH BAT838 36V 5.0Ah Li-ion (TB921287),5999,2899750,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства PowerPlant,powerplant,Акумулятор для електроінструментів PowerPlant BOSCH BAT838 36V 5.0Ah Li-ion (TB921287),,5999,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-powerplant-bosch-bat838-36v-5-0ah-li-ion-tb921287.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
1689102868,,,,,2968203,Бытовая химия >> Средства для стирки,vanish,Засіб для видалення плям Vanish OXI Action PINK 1 л,,249,1,https://comfy.ua/sredstvo-dlja-udalenija-pjaten-vanish-oxi-action-intelekt-plus-pink-1-l.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1689102869,,,,,2968202,Бытовая химия >> Средства для стирки >> Средства для отбеливания и удаления пятен >> Средства для отбеливания и удаления пятен Vanish,vanish,Засіб для видалення плям Vanish OXI ІНТЕЛЕКТ Action WHITE 1 л,,199,1,https://comfy.ua/sredstvo-dlja-udalenija-pjaten-vanish-oxi-intellekt-plus-white-1-l.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1689102908,,,,,2890916,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки BabyOno,babyono,М'яка іграшка BabyOno обіймашка з тримачем для пустушки Цуценя Віллі (1523),,299,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-babyono-obnimashka-s-derzhatelem-dlja-pustyshki-schenok-villi-1523.html,,05.11.2025 23:20,,"вул. Соборна, 42",Фастів,0
1689106198,7057014,STRATEG,Настольная игра STRATEG Магнитная арифметика Limited edition укр (30326),889,2955447,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (3-4 роки) Strateg Магнітна арифметика Limited edition (30326),,1139,1,https://comfy.ua/nastol-naja-igra-magnitnaja-3-4-goda-strateg-magnitnaja-arifmetika-limited-edition-30326.html,,05.11.2025 23:10,,"вул. Соборна, 42",Фастів,0
1689106199,7057012,STRATEG,Настольная игра STRATEG Domino Limited edition Фиолетовая (30327),1148,2955448,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (3-4 роки) Strateg Domino Limited edition фіолетова (30327),,1405,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-3-4-goda-strateg-domino-limited-edition-fioletovyj-30327.html,,05.11.2025 23:34,,"вул. Соборна, 42",Фастів,0
1689106200,7057013,STRATEG,Настольная игра STRATEG Магнитная азбука Limited edition укр (30375),2553,2955450,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (3-4 роки) Strateg Магнітна абетка Limited edition (30375),,3275,1,https://comfy.ua/nastol-naja-igra-magnitnaja-3-4-goda-strateg-magnitnyj-alfavit-limited-edition-30375.html,,05.11.2025 22:40,,"вул. Соборна, 42",Фастів,0
1689106201,,,,,2955451,Детские товары >> Игрушки,strateg,Настільна гра (5-7 років) Strateg Colors Jenga 48 брусків (30717),,135,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-5-7-let-strateg-colors-jenga-48-bruskov-30717.html,,05.11.2025 22:15,,"вул. Соборна, 42",Фастів,0
