1258826857,,,,,.1538558,Телевизоры и мультимедиа >> Аксессуары для ТВ,eagle,Кріплення для телевізора Eagle TV6543,,1399,1,https://comfy.ua/kreplenie-dlja-televizora-eagle-tv6543.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1258826858,,,,,1538560,Телевизоры и мультимедиа >> Аксессуары для ТВ,eagle,Кріплення для телевізора Eagle TV5560,,1559,1,https://comfy.ua/kreplenie-dlja-televizora-eagle-tv5560.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1258829527,,,,,1975768,Смарт-часы и гаджеты >> Электротранспорт >> Электросамокаты >> Электросамокаты Inokim,inokim,Електросамокат Inokim Light 2 MAX Black (36V 13.6AH),,16740,1,https://comfy.ua/jelektrosamokat-inokim-light-2-max-black-36v-13-6ah.html,35999,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1258830650,6796571,BERLINGER HAUS,Набор ножей BERLINGER HAUS Purple Eclipse 6 пр (BH-2681),1316,1954626,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы BerlingerHaus,berlingerhaus,Набір ножів BerlingerHaus Purple Eclipse Collection 6 пр. (BH 2681),,1316,1,https://comfy.ua/nabor-nozhej-berlingerhaus-purple-eclipse-collection-6-pr-bh-2681.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1258831111,6747185,TRAMONTINA,Сковорода Вок с крышкой TRAMONTINA Trento 32 см Black (20806/032),7099,1960473,Посуда >> Для приготовления >> Сковороды >> Сковороды Tramontina,tramontina,Сковорода ВОК Tramontina Trento 5 л 32 см (20806/032),,7099,1,https://comfy.ua/skovoroda-vok-tramontina-trento-5-l-32-sm-20806-032.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1258831549,6796572,BERLINGER HAUS,Набор ножей BERLINGER HAUS Purple Eclipse 6 пр (BH-2683),1564,1954627,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы BerlingerHaus,berlingerhaus,Набір ножів BerlingerHaus Purple Eclipse Collection 7 пр. (BH 2683),,1454,1,https://comfy.ua/nabor-nozhej-berlingerhaus-purple-eclipse-collection-7-pr-bh-2683.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1258833367,6796569,BERLINGER HAUS,Набор ножей BERLINGER HAUS Purple Eclipse 7 пр (BH-2584),1783,1954624,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы BerlingerHaus,berlingerhaus,Набір ножів BerlingerHaus Purple Eclipse 7 пр. (BH 2584),,1783,1,https://comfy.ua/nabor-nozhej-berlingerhaus-purple-eclipse-7-pr-bh-2584.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1258838184,6889461,TEFAL,Ланч-бокс TEFAL MASTERSEAL TO GO 1.2 л (K3100412),539,1587960,Посуда >> Для хранения >> Емкости для хранения >> Емкости для хранения Tefal,tefal,"Ємність для зберігання Tefal K3100412  CLIP & GO 1,2 л",,539,1,https://comfy.ua/emkost-dlja-hranenija-tefal-k3100412-clip-go-1-2-l.html,699,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1258922239,,,,,1971596,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Кабель HDMI Merlion HDMI-HDMI 1 м Black (YT-HDMI(M)/(M)HSP-1m/22426),,99,1,https://comfy.ua/kabel-hdmi-merlion-hdmi-hdmi-1-m-black-yt-hdmi-m-m-hsp-1m-22426.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1258922240,,,,,1971597,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Кабель HDMI Merlion HDMI-HDMI 1.2 м Black (YT-HDMI(M)/(M)HS-1.2m/22425),,99,1,https://comfy.ua/kabel-hdmi-merlion-hdmi-hdmi-1-2-m-black-yt-hdmi-m-m-hs-1-2m-22425.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1258937467,,,,,1942737,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Grifon,grifon,Холодильник Grifon NFN-185W,,15999,1,https://comfy.ua/holodil-nik-grifon-nfn-185w.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1258937468,6947968,GRIFON,Холодильник GRIFON DFV-165W,10888,1977460,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Grifon,grifon,Холодильник Grifon DFV-165W,,10999,1,https://comfy.ua/holodil-nik-grifon-dfv-165w.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1258937508,,,,,1983610,Comfy KIDS >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Чия цятка? (укр) (30231),,56,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-5-7-let-strateg-ch-e-pjatnyshko-ukr-30231.html,,06.11.2025 1:07,,"вул. Соборна, 42",Фастів,0
1258937526,,,,,1983607,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (12+) Strateg Дуже страшна гра (30433),,55,1,https://comfy.ua/nastol-naja-igra-kartochnaja-12-strateg-ochen-strashnaja-igra-ukr-30433.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
