1643309569,column,column,column,column,2726665,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_for_apple_iphone_141313_pro_arm60108,column,209,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartforappleiphone141313proarm60108html,column,05112025_1937,column,__42,Фастів,0
1643310080,,,,,.2736418,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Nokia 5.4 (ARM58411),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-nokia-5-4-arm58411.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1643310081,,,,,.2736415,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi Mi Note 10 Pro (ARM57987),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-mi-note-10-pro-arm57987.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1643310083,,,,,.2741491,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Motorola G60s (ARM61129),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-motorola-g60s-arm61129.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1643310084,,,,,.2741492,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Vivo Y33s/Y21 (ARM61995),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-vivo-y33s-y21-arm61995.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1643310085,,,,,.2741490,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Motorola G60s (ARM61095),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-motorola-g60s-arm61095.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1643310086,,,,,.2737916,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Motorola G32 / G62 5G (ARM62063),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-motorola-g32-g62-5g-arm62063.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1643310088,,,,,.2744930,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Realme C30/C30s/C33 (ARM61497),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-realme-c30-c30s-c33-arm61497.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1643310089,,,,,.2744926,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Xiaomi 12 Pro 5G (ARM61177),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-xiaomi-12-pro-5g-arm61177.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1643310091,,,,,.2736229,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Nokia G11 (ARM61690),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-nokia-g11-arm61690.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1643310093,,,,,.2759046,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for OnePlus 9 (ARM60170),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-oneplus-9-arm60170.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1643310094,,,,,.2769081,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for ZTE A7s 2020 (ARM57976),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-zte-a7s-2020-arm57976.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1643310095,,,,,.2769080,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for ZTE Blade A7 2020 (ARM67129),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-zte-blade-a7-2020-arm67129.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1643310096,,,,,.2744329,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Tecno Spark 8 Pro (ARM61960),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-tecno-spark-8-pro-arm61960.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1643310097,,,,,.2760823,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for OnePlus Nord (ARM59350),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-oneplus-nord-arm59350.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1643310098,,,,,.2760824,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for OnePlus Nord N10 5G (ARM60173),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-oneplus-nord-n10-5g-arm60173.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1643310100,,,,,.2769082,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi Redmi A1 / A1+ / Poco C50 (ARM62821),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-redmi-a1-a1-poco-c50-arm62821.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1643310102,,,,,2769079,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi Poco M3 (ARM59082),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-poco-m3-arm59082.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
