817366347,column,column,column,column,1784303,________de_buyer,debuyer,__de_buyer___28__874028,column,5084,1,httpscomfyuaskovorodauniversalnajadebuyerbezruchki28sm874028html,column,05112025_2121,column,__42,Фастів,0
817863741,7066689,FROSCH,Чистящее средство Frosch из яблочного уксуса 1 л (4009175957320),112,1770078,Бытовая химия >> Все для уборки >> Средства для чистки ванной >> Средства для чистки ванной Frosch,frosch,Засіб для миття у ванній кімнаті Frosch д/видалення ізвест.на літа з Яблучним оцтом 1 л,,90,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-frosch-d-udalenija-izvest-na-leta-s-jablochnym-uksusom-1-l.html,132,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
817863743,,,,,1770120,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки Frosch,frosch,Засіб для чищення універсальний Frosch Очищає молочко Лаванда 500 мл,,87,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-frosch-ochischajuschee-molochko-lavanda-500-ml.html,138,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
817866064,,,,,1770086,Бытовая химия >> Для кухни и мытья посуды,frosch,Засіб для ручного миття посуду Frosch Бальзам-концентратд/чувст.кожі 500 мл,,124,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-frosch-bal-zam-koncentratd-chuvst-kozhi-500-ml.html,165,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
817867079,,,,,1770054,Бытовая химия >> Все для уборки,emsal,Засіб по догляду за підлоговими покриттями EMSAL Интенсивный очищающее 1 л,,235,1,https://comfy.ua/sredstvo-po-uhodu-za-napol-nymi-pokrytijami-emsal-intensivnyj-ochischajuschee-1-l.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
817867549,,,,,1770016,Бытовая химия >> Все для уборки,dr-beckmann,Засіб для чищення універсальний Dr.BECKMANN Чудо-паста 3в1 400 г,,318,1,https://comfy.ua/catalog/product/view/id/2234273,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
817900202,,,,,1783598,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры A4tech",a4tech,Клавіатура+миша A4tech F1512 (White),,699,1,https://comfy.ua/klaviatura-mysh-a4tech-f1512-white.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
817999272,,,,,1786234,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Colorway,colorway,Бездротовий зарядний пристрій Colorway Wireless Stand 15W Black (CW-CHW31Q-BK),,699,1,https://comfy.ua/besprovodnoe-zarjadnoe-ustrojstvo-colorway-wireless-stand-15w-black-cw-chw31q-bk.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
818023835,,,,,1783901,Техника для дома >> Аксессуары к мелкой технике,karcher,Насадка для пилососа Karcher з пиловловлювачем 2.863-234.0,,999,1,https://comfy.ua/catalog/product/view/id/2221523,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
818029580,6687710,IROBOT,Робот-пылесос iRobot Roomba 698,7999,1785732,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы iRobot,irobot,Робот-пилосос iRobot Roomba 698,,7999,1,https://comfy.ua/robot-pylesos-irobot-roomba-698.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
818029618,6691518,BRAUN,Электрочайник BRAUN WK1100BK,1299,1786074,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Braun,braun,Електричний чайник Braun WK1100BK,,1299,1,https://comfy.ua/jelektricheskij-chajnik-braun-wk1100bk.html,1699,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
818029620,6650919,GMB AUDIO,Гарнитура GMB AUDIO Warszawa (BHP-WAW),699,1723499,"Аудио, фото и видео >> Наушники >> Наушники Gmb Audio",gmb-audio,Гарнітура бездротова Gmb Audio Варшава Black (BHP-WAW),,699,1,https://comfy.ua/garnitura-besprovodnaja-gmb-audio-varshava-black-bhp-waw.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
818029679,6910503,LIITOKALA,Зарядное устройство LIITOKALA Lii-402,430,1785794,"Аудио, фото и видео >> Аксессуары для фото, видео >> Аккумуляторы, батарейки и зарядные устройства >> Аккумуляторы, батарейки и зарядные устройства LiitoKala",liitokala,З/пристрій для акумуляторів AA/AAA LiitoKala Lii-402,,559,1,https://comfy.ua/z-ustrojstvo-dlja-akkumuljatorov-aa-aaa-liitokala-lii-402.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
818029680,,,,,1776515,"Аудио, фото и видео >> Аксессуары для фото, видео",liitokala,З/пристрій для акумуляторів AA/AAA LiitoKala Lii-S4,,559,1,https://comfy.ua/z-ustrojstvo-dlja-akkumuljatorov-aa-aaa-liitokala-lii-s4.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
818031318,,,,,1788219,Детские товары >> Кормление,lionelo,Стільчик для годування класичний Lionelo Floris White,,4599,1,https://comfy.ua/catalog/product/view/id/2245173,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
818031325,,,,,1787984,Детские товары >> Детская комната и безопасность,babyono,"Замок для меблів багатофункціональний BabyOno 953/01, білий, 2 шт.",,129,1,https://comfy.ua/catalog/product/view/id/2244963,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
818031329,,,,,1788222,Детские товары >> Кормление,nuvita,Набір дитячих столових приборів для малюка Nuvita силіконові ложечки Easy Eating 6м + 2 шт. синя (NV8480Blue),,119,1,https://comfy.ua/catalog/product/view/id/2244893,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
818178724,,,,,1783590,Детские товары >> Игрушки >> Активные игры >> Летние игры >> Летние игры Gazillion,gazillion,"Мильні бульбашки GazilLion Чудик, р-р 59мл, рожевий (GZ36570)",,169,1,https://comfy.ua/myl-nye-puzyri-gazillion-chudik-r-r-59ml-rozovyj-gz36570.html,,06.11.2025 0:16,,"вул. Соборна, 42",Фастів,0
818470728,7060423,PEUGEOT,Мельница для соли Peugeot Fidji 20 см Beige (33835),5196,1787513,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Peugeot,peugeot,Млинок для спецій Peugeot для солі 20 см 33835,,6290,1,https://comfy.ua/mel-nica-dlja-specij-peugeot-dlja-soli-20-sm-33835.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
818478016,6707795,PRIME TECHNICS,Мясорубка PRIME TECHNICS PG 1603 W,2559,1787790,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Prime Technics,prime-technics,М'ясорубка Prime Technics PG 1603 W,,2559,1,https://comfy.ua/mjasorubka-prime-technics-pg-1603-w.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
818478241,6683471,TEFAL,Мясорубка TEFAL NE685838,7999,1783810,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Tefal,tefal,М'ясорубка Tefal NE685838,,7999,1,https://comfy.ua/mjasorubka-tefal-ne685838.html,8499,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
818478811,7123023,VILGRAND,Вентилятор VILGRAND VTF3031 White/Blue,799,1787120,Техника для дома >> Климатическая техника >> Вентиляторы >> Вентиляторы ViLgrand,vilgrand,Вентилятор підлоговий ViLgrand VTF3031,,799,1,https://comfy.ua/ventiljator-napol-nyj-vilgrand-vtf3031.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
818478812,7123022,VILGRAND,Вентилятор VILGRAND 3 в 1 VF453,1299,1787119,Техника для дома >> Климатическая техника >> Вентиляторы >> Вентиляторы ViLgrand,vilgrand,Вентилятор підлоговий ViLgrand VF453,,1349,1,https://comfy.ua/ventiljator-napol-nyj-vilgrand-vf453.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
818482155,,,,,1770146,Бытовая химия >> Все для уборки,rorax,Засіб для миття у ванній кімнаті RORAX Гранулы д/сливных труб 60 г,,60,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-rorax-granuly-d-slivnyh-trub-60-g.html,70,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
818482505,6769390,ECOSOFT,"""Картридж ECOSOFT Ecosoft 2х10"""" (PD2010ECOPKG)""",386,1782343,Техника для кухни >> Системы и фильтры для воды >> Картриджи для систем обратного осмоса >> Картриджи для систем обратного осмоса Ecosoft,ecosoft,Картридж системи зворотного осмосу Ecosoft 2х10'' (PD2010ECOPKG),,385,1,https://comfy.ua/kartridzh-sistemy-obratnogo-osmosa-ecosoft-2h10-pd2010ecopkg.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
818482506,6769389,ECOSOFT,Картридж ECOSOFT 50 GPD (CSV181250ECO),1050,1782327,Техника для кухни >> Системы и фильтры для воды >> Картриджи для систем обратного осмоса >> Картриджи для систем обратного осмоса Ecosoft,ecosoft,Картридж системи зворотного осмосу Ecosoft 50 GPD (CSV181250ECO),,1049,1,https://comfy.ua/kartridzh-sistemy-obratnogo-osmosa-ecosoft-50-gpd-csv181250eco.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
818489545,,,,,.1736918,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion HP 39W 19V 2.05А, 4.0x1.7 (02150/LHP39/19-4.0x1.7)",,349,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-hp-39w-19v-2-05a-4-0x1-7-02150-lhp39-19-4-0x1-7.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
818489546,,,,,1777999,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion HP 19V 4.74A 90W 4.5х3.0мм +каб.питания (LHP90/19-4.5x3,0/00718)",,529,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-hp-19v-4-74a-90w-4-5h3-0mm-kab-pitanija-lhp90-19-4-5x3-0-00718.html,,05.11.2025 22:05,,"вул. Соборна, 42",Фастів,0
