912375404,6711172,KELA,Нож для пиццы KELA Rondo 21x7 см (19013),399,1813303,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Kela,kela,"Ніж для піци Kela Rondo, 21x7 см (19013)",,399,1,https://comfy.ua/nozh-dlja-piccy-kela-rondo-21x7-sm-19013.html,629,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
912375406,6711051,KELA,Вилка KELA для мяса Rondo 32 см (19004),349,1813215,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Kela,kela,Виделка для м'яса Kela Rondo 32 см (19004),,349,1,https://comfy.ua/vilka-dlja-mjasa-kela-rondo-32-sm-19004.html,629,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
912375407,6711127,KELA,Молоток для мяса KELA Noha 25 см (11218),879,1813235,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Kela,kela,Молоток для м'яса Kela Noha 25 см (11218),,879,1,https://comfy.ua/molotok-dlja-mjasa-kela-noha-25-sm-11218.html,1599,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
912375412,6711176,KELA,Нож для цедры KELA Rondo 16x2.5x2 см (19033),409,1815908,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Kela,kela,Ніж для цедри Kela Rondo 16x2.5x2 см (19033),,409,1,https://comfy.ua/nozh-dlja-cedry-kela-rondo-16x2-5x2-sm-19033.html,629,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
912386216,,,,,1809089,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты Parblo",parblo,Графічний планшет Parblo Intangbo S,,3509,1,https://comfy.ua/graficheskij-planshet-parblo-intangbo-s.html,3899,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
912389060,,,,,1808454,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",defender,Сумка для ноутбуку Defender Lite 15.6'' Gray (26086),,279,1,https://comfy.ua/catalog/product/view/id/2520133,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
912389869,,,,,1815186,Comfy KIDS >> Творчество и развитие >> Все для рисования >> Все для рисования Crayola,crayola,Набір олівців Crayola 24 шт (256246.012),,495,1,https://comfy.ua/nabor-karandashej-crayola-24-sht-256246-012.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
912426695,,,,,1809092,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,Чорнило G&G Epson L100/L200 Magenta (G&G-C13T66434A),,175,1,https://comfy.ua/catalog/product/view/id/2519233,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
912426696,,,,,1809093,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,Чорнило G&G Epson L100/L200 Yellow (G&G-C13T66444A),,175,1,https://comfy.ua/catalog/product/view/id/2519253,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
912437945,,,,,1684306,Посуда >> Для напитков,wmf,Набір склянок WMF 948642040 COFFEE TIME для латте 4 шт. 230 мл,,1099,1,https://comfy.ua/nabor-stakanov-wmf-948642040-coffee-time-dlja-latte-4-sht-230-ml.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
912437948,,,,,1684304,Посуда >> Для напитков,wmf,Набір склянок з подвійними стінками WMF 936382000 ICE TEA 2 шт. 270 мл,,1499,1,https://comfy.ua/stakan-s-dvojnymi-stenkami-wmf-936382000-ice-tea-2-sht-270-ml.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
912586233,,,,,1806552,Техника для дома >> Крупная техника,miele,Прально-сушильна машина Miele WTD 163 WCS,,93959,1,https://comfy.ua/catalog/product/view/id/2393603,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
912586699,6711050,KELA,Сотейник KELA с крышкой Stella Nova 32 см 5 л (12226),5599,1813258,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Kela,kela,Сотейник Kela Stella Nova 32 см 5 л (12226),,5599,1,https://comfy.ua/sotejnik-kela-stella-nova-32-sm-5-l-12226.html,6999,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
912604197,,,,,1815762,"Детские товары >> Кормление >> Молокоотсосы, системы SNS и емкости для хранения >> Молокоотсосы, системы SNS и емкости для хранения Lovi",lovi,Електричний молоковідсмоктувач Lovi двухфазный Expert 3D Pro (50/070exp),,7649,1,https://comfy.ua/jelektricheskij-molokootsos-lovi-dvuhfaznyj-expert-3d-pro-50-070exp.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
