1445786929,column,column,column,column,2252929,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractaldesign,_fractal_design_atx___pop_mini_air_rgb_black_tg_fdcpor1m06,column,5919,1,httpscomfyuakorpusfractaldesignatxbezbppopminiairrgbblacktgfdcpor1m06html,column,05112025_1920,column,__42,Фастів,0
1445968089,6837563,GRUNHELM,Хлебопечка GRUNHELM GBM750,2779,2225100,Техника для кухни >> Мелкая техника >> Хлебопечи >> Хлебопечи Grunhelm,grunhelm,Хлібопічка Grunhelm GBM750,,2779,1,https://comfy.ua/hlebopech-grunhelm-gbm750.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1445969178,6889635,ARDESTO,Инфракрасный обогреватель ARDESTO IHS-2000T,4298,2252280,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Ardesto,ardesto,Обігрівач інфрачервоний Ardesto IHS-2000T,,4299,1,https://comfy.ua/obogrevatel-infrakrasnyj-ardesto-ihs-2000t.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1445969769,,,,,.2254069,Техника для кухни >> Крупная техника,franke,Витяжка вбудована Franke Box Flush EVO Black (FBFEBKMATTA70),,16119,1,https://comfy.ua/vytjazhka-vstraivaemaja-franke-box-flush-evo-black-fbfebkmatta70.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1445975519,6861549,ESPERANZA,Весы кухонные ESPERANZA EKS006,249,2231493,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Esperanza,esperanza,Ваги кухонні Esperanza Avocado (EKS006),,212,1,https://comfy.ua/vesy-kuhonnye-esperanza-avocado-eks006.html,249,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
1445975541,6726056,EINHELL,Шуруповерт EINHELL TE-CD 18/50 Li BL - Solo (4513887),3312,2244565,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Einhell,einhell,Дриль-шуруповерт Einhell X-Change TE-CD 18/50 Li BL Solo (4513887),,3315,1,https://comfy.ua/drel-shurupovert-einhell-x-change-te-cd-18-50-li-bl-solo-4513887.html,,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
1445975545,6987601,EINHELL,Гайковерт EINHELL IMPAXXO 18/400 (4510070),6479,2244563,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Einhell,einhell,Гайковерт акумуляторний Einhell IMPAXXO 18/400 (4510070),,6479,1,https://comfy.ua/gajkovert-akkumuljatornyj-einhell-impaxxo-18-400-4510070.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
1445976219,,,,,2247715,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",viewcon,Кабель Optical Viewcon USB Type-A на Gigabit Ethernet (VE874),,549,1,https://comfy.ua/kabel-opticheskij-viewcon-usb-type-a-na-gigabit-ethernet-ve874.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1445976851,6840643,EDIFIER,Колонки EDIFIER R1380T 2.0 42W Brown,5999,2247615,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Edifier",edifier,Комп'ютерна акустика звичайна 2.0 Edifier R1380T Brown 2.0 42W,,5999,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-edifier-r1380t-brown-2-0-42w.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1445976853,6840642,EDIFIER,Колонки EDIFIER R1380DB 2.0 42W Bluetooth Brown,6999,2247614,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Edifier",edifier,Комп'ютерна акустика звичайна 2.0 Edifier R1380DB Brown 2.0 42W Bluetooth,,6999,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-edifier-r1380db-brown-2-0-42w-bluetooth.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1445976985,6711252,LUMINARC,Тарелка столовая глубокая LUMINARC Pampille Light Turquoise 20 см (Q4650),79,1960501,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Luminarc,luminarc,Тарілка супова Luminarc Pampille Light Turquoise 20 см (Q4650),,185,1,https://comfy.ua/tarelka-supovaja-luminarc-pampille-light-turquoise-20-sm-q4650.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1445977326,,,,,.2250141,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRIME H610I-PLUS D4-CSM,,4999,1,https://comfy.ua/materinskaja-plata-asus-prime-h610i-plus-d4-csm.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1445977328,,,,,.2252259,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRO H610T D4-CSM,,4699,1,https://comfy.ua/materinskaja-plata-asus-pro-h610t-d4-csm.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1445977438,,,,,.2250145,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus TUF Gaming B650M-PLUS,,8059,1,https://comfy.ua/materinskaja-plata-asus-tuf-gaming-b650m-plus.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1445977439,,,,,.2250147,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus TUF Gaming B650-PLUS,,8199,1,https://comfy.ua/materinskaja-plata-asus-tuf-gaming-b650-plus.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1446040191,6873629,CORSAIR,Гарнитура Corsair HS55 Stereo Headset White (CA-9011261-EU),3399,2255150,"Аудио, фото и видео >> Наушники >> Наушники Corsair",corsair,Гарнітура дротова ігрова Corsair HS55 Stereo Headset White (CA-9011261-EU),,3399,1,https://comfy.ua/garnitura-provodnaja-igrovaja-corsair-hs55-stereo-headset-white-ca-9011261-eu.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1446040192,6873615,CORSAIR,Гарнитура Corsair HS55 Stereo Headset Carbon (CA-9011260-EU),3399,2255149,"Аудио, фото и видео >> Наушники >> Наушники Corsair",corsair,Гарнітура дротова ігрова Corsair HS55 Stereo Headset Carbon (CA-9011260-EU),,3399,1,https://comfy.ua/garnitura-provodnaja-igrovaja-corsair-hs55-stereo-headset-carbon-ca-9011260-eu.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1446040193,6873617,CORSAIR,Гарнитура Corsair HS55 Surround Headset White (CA-9011266-EU),3999,2255151,"Аудио, фото и видео >> Наушники >> Наушники Corsair",corsair,Гарнітура дротова ігрова Corsair HS55 Surround Headset White (CA-9011266-EU),,3999,1,https://comfy.ua/garnitura-provodnaja-igrovaja-corsair-hs55-surround-headset-white-ca-9011266-eu.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1446040194,6873616,CORSAIR,Гарнитура Corsair HS55 Surround Headset Carbon (CA-9011265-EU),3999,2255152,"Аудио, фото и видео >> Наушники >> Наушники Corsair",corsair,Гарнітура дротова ігрова Corsair HS55 Surround Headset Carbon (CA-9011265-EU),,3999,1,https://comfy.ua/garnitura-provodnaja-igrovaja-corsair-hs55-surround-headset-carbon-ca-9011265-eu.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1446040195,6873630,CORSAIR,Гарнитура Corsair HS65 Surround Headset Carbon (CA-9011270-EU),4999,2255153,"Аудио, фото и видео >> Наушники >> Наушники Corsair",corsair,Гарнітура дротова ігрова Corsair HS65 Surround Headset Carbon (CA-9011270-EU),,4999,1,https://comfy.ua/garnitura-provodnaja-igrovaja-corsair-hs65-surround-headset-carbon-ca-9011270-eu.html,5099,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1446040196,6873618,CORSAIR,Гарнитура Corsair HS65 Surround Headset White (CA-9011271-EU),4999,2255154,"Аудио, фото и видео >> Наушники >> Наушники Corsair",corsair,Гарнітура дротова ігрова Corsair HS65 Surround Headset White (CA-9011271-EU),,4999,1,https://comfy.ua/garnitura-provodnaja-igrovaja-corsair-hs65-surround-headset-white-ca-9011271-eu.html,5099,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1446147115,6788582,LENOVO,Гарнитура LENOVO Legion Wireless Headset H600 Black (GXD1A03963),4999,1934134,"Аудио, фото и видео >> Наушники >> Наушники Lenovo",lenovo,Гарнітура бездротова ігрова Lenovo Legion H600 Wireless (GXD1A03963),,3918,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-lenovo-legion-h600-wireless-gxd1a03963.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
