819711444,column,column,column,column,1711140,___________interline,interline,__interline_brut_avena,column,4299,1,httpscomfyuamojkakuhonnajainterlinebrutavenahtml,5399,05112025_2029,column,__42,Фастів,0
819711836,7136002,OXO,Набор щеток OXO Cleaning 2 шт (1285700),485,1780046,Бытовая химия >> Все для уборки >> Щетки для уборки >> Щетки для уборки OXO,oxo,Щітка для прибирання OXO набір 3x11x27см (1285700),,605,1,https://comfy.ua/schetka-dlja-uborki-oxo-nabor-3x11x27sm-1285700.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
819711838,7060348,OXO,Щетка с контейнером Oxo 4х19х14 см (1334280),480,1780044,Бытовая химия >> Все для уборки >> Щетки для уборки >> Щетки для уборки OXO,oxo,Щітка для прибирання OXO з контейнером 4x19x14см (1334280),,599,1,https://comfy.ua/schetka-dlja-uborki-oxo-s-kontejnerom-4x19x14sm-1334280.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
819711841,7060363,OXO,Щетка OXO 46см Оранжевая (1335180),985,1779558,Бытовая химия >> Все для уборки >> Щетки для уборки >> Щетки для уборки OXO,oxo,Щітка для прибирання OXO 2х10х46 см 1335180,,985,1,https://comfy.ua/schetka-dlja-uborki-oxo-2h10h46-sm-1335180.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
819711842,7060149,OXO,Щеточка OXO 2 в 1 (12246100),765,1780676,Бытовая химия >> Все для уборки >> Щетки для уборки >> Щетки для уборки OXO,oxo,Щітка для прибирання OXO 2 в 1 (12246100),,765,1,https://comfy.ua/schetka-dlja-uborki-oxo-2-v-1-12246100.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
819711843,7060365,OXO,Щетка OXO для чистки ванны и плитки (12126100),875,1780048,Бытовая химия >> Все для уборки >> Щетки для уборки >> Щетки для уборки OXO,oxo,Щітка для прибирання OXO ванни і плитки з регульованою ручкою (12126100),,875,1,https://comfy.ua/schetka-dlja-uborki-oxo-vanny-i-plitki-s-reguliruemoj-ruchkoj-12126100.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
819711844,7088280,JOSEPH JOSEPH,Скребок для душевых кабин JOSEPH JOSEPH EasyStore Light Grey (70560),1411,1780852,Бытовая химия >> Все для уборки >> Щетки для уборки >> Щетки для уборки Joseph Joseph,joseph-joseph,Щітка для прибирання Joseph Joseph 70560 для душових кабін,,1195,1,https://comfy.ua/schetka-dlja-uborki-joseph-joseph-70560-dlja-dushevyh-kabin.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
819711848,7061279,OXO,Набор щеток Oxo для чистки кухонных принадлежностей Black (12155000),459,1783039,Бытовая химия >> Все для уборки >> Щетки для уборки >> Щетки для уборки OXO,oxo,Щітка для прибирання OXO 4 пр. 12155000,,655,1,https://comfy.ua/schetka-dlja-uborki-oxo-4-pr-12155000.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
819711861,6619358,VIOLET HOUSE,Корзина для мусора VIOLET HOUSE 0099 WHITE-GREY 20 л,329,1686708,Бытовая химия >> Для кухни и мытья посуды >> Мусорные баки и аксессуары >> Мусорные баки и аксессуары VIOLET HOUSE,violet-house,Кошик для сміття VIOLET HOUSE 0099 White -Grey с/кр. 20 л,,429,1,https://comfy.ua/korzina-dlja-musora-violet-house-0099-white-grey-s-kr-20-l.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
819711868,6984244,BRABANTIA,Бак для мусора BRABANTIA Pedal Bin 5л (112928),3159,1590487,Бытовая химия >> Для кухни и мытья посуды >> Мусорные баки и аксессуары >> Мусорные баки и аксессуары Brabantia,brabantia,Бак для сміття з педаллю Brabantia Pedal Bin 5 л 112928,,3159,1,https://comfy.ua/bak-dlja-musora-s-pedal-ju-brabantia-pedal-bin-5-l-112928.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
819711872,6984252,BRABANTIA,Бак для мусора BRABANTIA Touch bin 30 л (304507),9789,1671491,Бытовая химия >> Для кухни и мытья посуды >> Мусорные баки и аксессуары >> Мусорные баки и аксессуары Brabantia,brabantia,Бак для сміття Brabantia Touch Bin 30 л 304507,,8899,1,https://comfy.ua/bak-dlja-musora-brabantia-touch-bin-30-l-304507.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
819711877,,,,,1751505,Бытовая химия >> Для кухни и мытья посуды,joseph-joseph,Органайзер для сміття Joseph Joseph 60 л 30061,,13295,1,https://comfy.ua/organajzer-dlja-musora-joseph-joseph-60-l-30061.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
819711918,,,,,1695524,"Дом, отдых и зоотовары >> Текстиль >> Полотенца >> Полотенца Tescoma",tescoma,Набір рушників tescoma 900670 Clean Kit 3 шт.,,399,1,https://comfy.ua/nabor-polotenec-tescoma-900670-clean-kit-3-sht.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
819711920,6670376,KELA,Набор кухонных полотенец KELA Pasado 65 х 45 см 3 шт Blue (15964),399,1673899,"Дом, отдых и зоотовары >> Текстиль >> Полотенца >> Полотенца Kela",kela,Набір рушників Kela Pasado Blue 65х45 см 3 шт. (15964),,399,1,https://comfy.ua/nabor-polotenec-kela-pasado-blue-65h45-sm-3-sht-15964.html,599,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
819711921,6670378,KELA,Набор кухонных полотенец KELA Pasado 65 х 45 см 3 шт Red (15963),439,1673900,"Дом, отдых и зоотовары >> Текстиль >> Полотенца >> Полотенца Kela",kela,Набір рушників Kela Pasado Red 65х45 см 3 шт. (15963),,439,1,https://comfy.ua/nabor-polotenec-kela-pasado-red-65h45-sm-3-sht-15963.html,599,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
