1407439700,6824173,ECG,Электрочайник ECG RK 1893 Digitouch White (РН018272),2619,2147062,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические ECG,ecg,Електричний чайник ECG RK 1893 Digitouch White,,2619,1,https://comfy.ua/jelektricheskij-chajnik-ecg-rk-1893-digitouch-white.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1407443589,7066866,LIONELO,Кресло-качалка LIONELO RUBEN PINK BABY (LO-RUBEN PINK BABY),3899,2148878,"Детские товары >> Детская комната и безопасность >> Кресла, шезлонги и укачивающие центры >> Кресла, шезлонги и укачивающие центры Lionelo",lionelo,Крісло-качалка Lionelo Ruben Pink Baby,,3899,1,https://comfy.ua/kreslo-kachalka-lionelo-ruben-pink-baby.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1407444278,7066863,LIONELO,Коляска прогулочная LIONELO IRMA DREAMIN,4299,2148873,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска прогулянкова Lionelo Irma Dreamin,,4299,1,https://comfy.ua/koljaska-progulochnaja-lionelo-irma-dreamin.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1407445889,7053919,LIONELO,Коляска LIONELO ANNET TOUR GREEN TURQUOISE,8889,2148868,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска прогулянкова Lionelo Annet Tour Green Turquoise,,9119,1,https://comfy.ua/koljaska-progulochnaja-lionelo-annet-tour-green-turquoise.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1407445890,7053918,LIONELO,Коляска LIONELO ANNET TOUR BLACK CARBON,8799,2148867,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска прогулянкова Lionelo Annet Tour Black Carbon,,9119,1,https://comfy.ua/koljaska-progulochnaja-lionelo-annet-tour-black-carbon.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1407445891,7053920,LIONELO,Коляска LIONELO  ANNET TOUR GREY STONE,8979,2148869,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска прогулянкова Lionelo Annet Tour Grey Stone,,9219,1,https://comfy.ua/koljaska-progulochnaja-lionelo-annet-tour-grey-stone.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
1407447302,6693044,ZELMER,Тостер ZELMER ZTS7386,1329,2142352,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Zelmer,zelmer,Тостер Zelmer ZTS7386,,1329,1,https://comfy.ua/toster-zelmer-zts7386.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1407475956,6937050,SHARP,Очиститель воздуха SHARP UA-KIL80E-W,39999,2146407,Техника для дома >> Климатическая техника >> Очистители воздуха >> Очистители воздуха Sharp,sharp,Очищувач повітря Sharp UA-KIL80E-W,,39999,1,https://comfy.ua/ochistitel-vozduha-sharp-ua-kil80e-w.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1407477091,6895030,RYOBI,Ленточная шлифмашина RYOBI ONE+ R18BS-0 без АКБ и ЗУ (5133002916),7599,2147036,Инструменты и автотовары >> Электроинструменты >> Шлифовальные машины >> Шлифовальные машины Ryobi,ryobi,Стрічкова шліф. машина Ryobi ONE+ R18BS-0 (без АКБ та ЗП),,7599,1,https://comfy.ua/lentochnaja-shlif-mashina-ryobi-one-r18bs-0-bez-akb-i-zu.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1407477092,7038824,RYOBI,Шлифмашина полировальная RYOBI ONE+ RWTS18-0 18В (5133005993),8599,2147041,Инструменты и автотовары >> Электроинструменты >> Шлифовальные машины >> Шлифовальные машины Ryobi,ryobi,Ексцентрикова шліфовальна машина Ryobi ONE+ RROS18-0 (без АКБ та ЗП),,3299,1,https://comfy.ua/jekscentrikovaja-shlifoval-naja-mashina-ryobi-one-rros18-0-bez-akb-i-zu.html,3699,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
1407482860,,,,,2093385,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Peg-Perego,peg-perego,Платформа для автокрісел Peg-Perego i-Size (IAKISZ0100NF),,6149,1,https://comfy.ua/platforma-dlja-avtokresel-peg-perego-i-size-iakisz0100nf.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1407482917,6820316,ARDESTO,Набор стаканов ARDESTO Bari 2 х 565 мл (AR2656BB),159,2137028,Посуда >> Для сервировки >> Бокалы >> Бокалы Ardesto,ardesto,Набір келихів Ardesto Bari 565 мл 2 шт. (AR2656BB),,159,1,https://comfy.ua/nabor-bokalov-ardesto-bari-565-ml-2-sht-ar2656bb.html,209,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
1407487570,6820298,ARDESTO,Набор бокалов ARDESTO Loreto 6 шт 260 мл (AR2626LW),255,2143831,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Ardesto,ardesto,Набір келихів Ardesto Loreto 260 мл 6 шт. (AR2626LW),,255,1,https://comfy.ua/nabor-bokalov-ardesto-loreto-260-ml-6-sht-ar2626lw.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1407487577,6820299,ARDESTO,"Набор бокалов ARDESTO Loreto 6 шт, 330 мл (AR2633LW)",309,2143832,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Ardesto,ardesto,Набір келихів Ardesto Loreto 330 мл 6 шт. (AR2633LW),,515,1,https://comfy.ua/nabor-bokalov-ardesto-loreto-330-ml-6-sht-ar2633lw.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1407487579,6820301,ARDESTO,Набор бокалов для шампанского ARDESTO Gloria 215 мл 6 шт (AR2621GC),389,2137020,Посуда >> Для сервировки >> Бокалы >> Бокалы Ardesto,ardesto,Набір келихів Ardesto Gloria 215 мл 6 шт. (AR2621GC),,389,1,https://comfy.ua/nabor-bokalov-ardesto-gloria-215-ml-6-sht-ar2621gc.html,559,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1407487580,6820296,ARDESTO,Набор бокалов ARDESTO Gloria 6 шт 395 мл (AR2639GW),389,2137026,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Ardesto,ardesto,Набір келихів Ardesto Gloria 395 мл 6 шт. (AR2639GW),,389,1,https://comfy.ua/nabor-bokalov-ardesto-gloria-395-ml-6-sht-ar2639gw.html,559,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1407487581,6820297,ARDESTO,Набор бокалов ARDESTO Gloria 6 шт 480 мл (AR2648GW),399,2137027,Посуда >> Для сервировки >> Бокалы >> Бокалы Ardesto,ardesto,Набір келихів Ardesto Gloria 480 мл 6 шт. (AR2648GW),,399,1,https://comfy.ua/nabor-bokalov-ardesto-gloria-480-ml-6-sht-ar2648gw.html,579,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
1407491364,6820295,ARDESTO,Набор бокалов для вина Ardesto Gloria Стекло 300 мл х 6 шт (AR2630GW),424,2137022,Посуда >> Для сервировки >> Бокалы >> Бокалы Ardesto,ardesto,Набір келихів Ardesto Gloria 300 мл 6 шт. (AR2630GW),,425,1,https://comfy.ua/nabor-bokalov-ardesto-gloria-300-ml-6-sht-ar2630gw.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1407492812,,,,,2147213,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Zyxel",zyxel,Коммутатор локальної мережі (Switch) Zyxel XS1930-12F (XS1930-12F-ZZ0101F),,17899,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-zyxel-xs1930-12f-xs1930-12f-zz0101f.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1407492813,,,,,.2086846,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,Коммутатор локальної мережі (Switch) Ruijie Reyee RG-NBS3100-8GT2SFP,,8299,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-ruijie-reyee-rg-nbs3100-8gt2sfp.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1407493049,,,,,2147179,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Netgear",netgear,Коммутатор локальної мережі (Switch) Netgear GS116PP-100EUS,,12359,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-netgear-gs116pp-100eus.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1407493051,,,,,2147193,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Netgear",netgear,Коммутатор локальної мережі (Switch) Netgear GS316EPP-100PES,,14285,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-netgear-gs316epp-100pes.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1407506527,,,,,.2146518,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart Icon2 for Apple iPhone 12 Pro Max Black (ARM60570),,399,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-icon2-for-apple-iphone-12-pro-max-black-arm60570.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1407512319,,,,,2142361,Техника для кухни >> Системы и фильтры для воды,ecosoft,Картридж для фільтру-глечика Ecosoft Універсальний,,229,1,https://comfy.ua/kartridzh-dlja-fil-tra-kuvshina-ecosoft-universal-nyj-5426163.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,3
1407523646,,,,,2150721,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня газова Ventolux HG640-DA3 CS (WH),,5355,1,https://comfy.ua/varochnaja-panel-gazovaja-ventolux-hg640-da3-cs-wh.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1407523649,,,,,2150719,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня газова Ventolux HG640-DA3 CEST (IVORY),,6245,1,https://comfy.ua/varochnaja-panel-gazovaja-ventolux-hg640-da3-cest-ivory.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
1407526841,,,,,.1716844,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Корпусний вентилятор Xilence XPF92.R (XF038) Black-Red,,119,1,https://comfy.ua/korpusnyj-ventiljator-xilence-xpf92-r-xf038-black-red.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1407534632,,,,,2022946,Смартфоны и телефоны >> Аксессуары для смартфонов,skydolphin,"Мережевий зарядний пристрій SkyDolphin SC30L (2USB, 2.1A) White (MZP-000112) + кабель Lightning",,199,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-skydolphin-sc30l-2usb-2-1a-white-mzp-000112-kabel-lightning.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
