1053545190,,,,,1751940,Бытовая химия >> Все для уборки,sano,Засіб для чищення універсальний Sano Пасифлора 2 л (7290003015634),,399,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-sano-pasiflora-2-l-7290003015634.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1053550833,5700943,SANO,Средство для удаления налета SANO (293943),319,1751933,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки Sano,sano,Засіб для видалення нальоту Sano Тригер 1 л (7290000293943),,319,1,https://comfy.ua/sredstvo-dlja-udalenija-naleta-sano-triger-1-l-7290000293943.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1053557170,6946264,TOLSEN,Струбцина TOLSEN 75 мм (10210),112,1858494,Инструменты и автотовары >> Ручные инструменты >> Тиски и струбцины >> Тиски и струбцины Tolsen,tolsen,Струбцина Tolsen 75 мм (10210),,149,1,https://comfy.ua/strubcina-tolsen-75-mm-10210.html,,05.11.2025 22:57,,"вул. Соборна, 42",Фастів,0
1053573481,6775511,BEURER,Весы напольные BEURER BF 1000,24747,1875273,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Beurer,beurer,Ваги підлогові Beurer BF 1000,,24749,1,https://comfy.ua/vesy-napol-nye-beurer-bf-1000.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1053578012,6775512,BEURER,Весы напольные BEURER BF 410 Line black,2977,1877507,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Beurer,beurer,Ваги підлогові Beurer BF 410 Line Black,,2979,1,https://comfy.ua/vesy-napol-nye-beurer-bf-410-line-black.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1053578023,6775513,BEURER,Весы напольные BEURER BF 410 Line white,2548,1877508,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Beurer,beurer,Ваги підлогові Beurer BF 410 Line White,,2549,1,https://comfy.ua/vesy-napol-nye-beurer-bf-410-line-white.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1053593676,,,,,1878791,Бытовая химия >> Все для уборки >> Салфетки бытовые >> Салфетки бытовые Добра господарочка,dobra-gospodarochka,Серветка побутова Добра господарочка Універсальні 3 шт. (4820086520218),,22,1,https://comfy.ua/salfetka-bytovaja-dobra-gospodarochka-universal-nye-3-sht-4820086520218.html,44,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1054423233,6773198,GORENJE,Вытяжка GORENJE TH60E3B,5999,1866197,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Gorenje,gorenje,Витяжка вбудована Gorenje TH60E3B,,5999,1,https://comfy.ua/vytjazhka-vstraivaemaja-gorenje-th60e3b.html,6099,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1054423238,6842083,KERNAU,Вытяжка KERNAU KBH 0960.1 X,3685,1879119,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Kernau,kernau,"""Витяжка традиційна",,,,,,,,,,
"Kernau KBH 0960.1 X""",,3685,1,https://comfy.ua/vytjazhka-tradicionnaja-kernau-kbh-0960-1-x.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1054425116,6809792,PERFELLI,Вытяжка PERFELLI BI 5252 BL 700 LED,2989,1849240,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BI 5252 BL 700 LED,,2989,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-5252-bl-700-led.html,3999,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1054426014,6824017,KERNAU,Вытяжка KERNAU KTH 10.164 B (РН016522),4479,1879124,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Kernau,kernau,"""Витяжка вбудована",,,,,,,,,,
"Kernau KTH 10.164 B""",,4479,1,https://comfy.ua/vytjazhka-vstraivaemaja-kernau-kth-10-164-b.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1054579177,6756891,INDESIT,Встраиваемая посудомоечная машина INDESIT DSIC3M19,11999,1879741,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Indesit,indesit,Посудомийна машина вбудована Indesit DSIC3M19,,12399,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-indesit-dsic3m19.html,12799,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
