861612680,6702144,baseus,_baseus_encok_h06__ngh0601,335,1796013,________baseus,baseus,__baseus_encok_h06_black_ngh0601,column,335,1,httpscomfyuanaushnikivkladyshibesprovodnyetwsbaseusencokh06blackngh0601html,column,05112025_1821,column,__42,Фастів,0
878463352,,,,,.1800765,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,"Чорнило WWM Epson L110/L210/L300, 4х140г B/C/M/Y (E664SET4)",,829,1,https://comfy.ua/chernila-wwm-epson-l110-l210-l300-4h140g-b-c-m-y-e664set4.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
878466976,6701310,IPEGA,Геймпад IPEGA PG-9137,299,1808181,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,ipega,Геймпад iPega PG-9137,,249,1,https://comfy.ua/catalog/product/view/id/2412993,299,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
878466993,6842045,ECG,Плитка ECG EV 1512 White,1113,1807632,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты ECG,ecg,Плита електрична настільна ECG EV 1512 White,,1115,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-ecg-ev-1512-white.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
878467002,,,,,1799039,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для струменевих принтерів/БФП Canon GI-40 Magenta (3401C001AA),,389,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-canon-gi-40-magenta-3401c001aa.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
878467003,,,,,1799040,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,Картридж для струменевих принтерів/БФП Canon GI-40 Cyan (3400C001AA),,389,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-canon-gi-40-cyan-3400c001aa.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
878467004,,,,,.1799038,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для струменевих принтерів/БФП Canon GI-40 Yellow (3402C001AA),,389,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-canon-gi-40-yellow-3402c001aa.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
878467024,,,,,1800295,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Картридж для лазерних принтерів/БФП Colorway Canon 737 + тонер TH-1005 3 шт. (CW-C737M/TH-1005),,719,1,https://comfy.ua/catalog/product/view/id/2409693,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
878467026,,,,,1800293,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Картридж для лазерних принтерів/БФП Colorway Canon 725 Univ. + тонер TH-1005 3 шт. (CW-C725M/TH-1005),,324,1,https://comfy.ua/catalog/product/view/id/2409663,719,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
878467049,6842046,ECG,Плитка ECG EV 2512 Black,2087,1807633,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты ECG,ecg,Плита електрична настільна ECG EV 2512 Black,,2089,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-ecg-ev-2512-black.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
878467259,,,,,1798672,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,Картридж для струменевих принтерів/БФП Canon CL-461 кол. (3729C001),,825,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-canon-cl-461-kol-3729c001.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
