810621086,column,column,column,column,1779723,Детские товары >> Игрушки,wader,_____wader___disney_7__77142,column,285,1,httpscomfyuanabordljaigryvpesochnicewadervinnipuhdisney7jel77142html,column,06112025_013,column,__42,Фастів,0
810621126,,,,,1779744,Детские товары >> Игрушки >> Активные игры >> Летние игры >> Летние игры Tigres,tigres,Набір для гри в пісочниці Tigres Казкові мрії з термонаклейка 5 ел. (39502),,69,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-tigres-skazochnye-mechty-s-termonaklejkoj-5-jel-39502.html,,06.11.2025 1:11,,"вул. Соборна, 42",Фастів,0
810621128,,,,,1779743,Детские товары >> Игрушки,tigres,Набір для гри в пісочниці Tigres Вежа 6 ел. (39284),,69,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-tigres-bashnja-6-jel-39284.html,,06.11.2025 1:11,,"вул. Соборна, 42",Фастів,0
810621132,,,,,1779716,Детские товары >> Игрушки,wader,Набір для гри в пісочниці Wader Тачки Disney 7 ел. (77642),,285,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-wader-tachki-disney-7-jel-77642.html,,06.11.2025 0:13,,"вул. Соборна, 42",Фастів,0
810621133,,,,,1779742,Детские товары >> Игрушки,wader,Набір для гри в пісочниці Wader річний 6 ел. (71220),,149,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-wader-letnij-6-jel-71220.html,,06.11.2025 0:36,,"вул. Соборна, 42",Фастів,0
810636926,6733412,KARCHER,Насадка KARCHER T-Racer T 7 (2.644-074.0),3994,1774371,Техника для дома >> Аксессуары к мелкой технике,karcher,Насадка для мінімийки Karcher T-Racer T 7 Plus Т450 (2.644-074.0),,3995,1,https://comfy.ua/catalog/product/view/id/2116603,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
810710015,,,,,1779955,Телевизоры и мультимедиа >> Мультимедиа и звук >> Медиаплееры >> Медиаплееры Apple,apple,Стаціонарний медіаплеєр Apple TV 6 Gen 4K 64GB (MXH02RS/A) 2021,,9199,1,https://comfy.ua/stacionarnyj-mediapleer-apple-new-tv-4k-64gb-2021.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
810713504,6776271,GRUNHELM,Вытяжка GRUNHELM GVT 115 W,2599,1774781,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Grunhelm,grunhelm,Витяжка традиційна Grunhelm GVT 115 W,,3299,1,https://comfy.ua/vytjazhka-tradicionnaja-grunhelm-gvt-115-w.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
810737202,,,,,1779569,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Tenda",tenda,Коммутатор локальної мережі (Switch) Tenda TEF1105P-4-63W,,1115,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tenda-tef1105p-4-63w.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
810829219,6583597,KARCHER,Полироль восковая KARCHER RM660 500 мл (6.296-108.0),579,1779500,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки Karcher,karcher,Засіб для чищення універсальний Karcher Поліроль воскова RM 660 0.5 л (6.296-108.0),,579,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-karcher-polirol-voskovaja-rm-660-0-5-l-6-296-108-0.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
810835079,,,,,1780013,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели ELEYUS,eleyus,Варильна поверхня газова ELEYUS IRIS 60 BL CF,,8749,1,https://comfy.ua/varochnaja-panel-gazovaja-eleyus-iris-60-bl-cf.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
810873059,6688555,SEVERIN,Электрочайник SEVERIN WK 3419,1959,1780256,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Severin,severin,Електричний чайник Severin WK 3419,,1959,1,https://comfy.ua/jelektricheskij-chajnik-severin-wk-3419.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
810873060,6688556,SEVERIN,Электрочайник SEVERIN WK 3420,2877,1780257,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Severin,severin,Електричний чайник Severin WK 3420,,2879,1,https://comfy.ua/jelektricheskij-chajnik-severin-wk-3420.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
810873073,,,,,.1780295,Детские товары >> Кормление,nip,"Пляшка для годування NIP Олені, 120 мл. (35065)",,465,1,https://comfy.ua/butylochka-dlja-kormlenija-nip-oleni-120-ml-35065.html,,05.11.2025 21:39,,"вул. Соборна, 42",Фастів,0
810873075,,,,,.1780294,Детские товары >> Кормление,nip,"Пляшка для годування NIP Олені, 120 мл. (35066)",,465,1,https://comfy.ua/butylochka-dlja-kormlenija-nip-oleni-120-ml-35066.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
810873119,6683464,TEFAL,Мультиварка-скороварка TEFAL CY851130,10799,1777147,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Tefal,tefal,Мультиварка-скороварка Tefal CY851130,,10799,1,https://comfy.ua/mul-tivarka-tefal-cy851130.html,12599,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
810873146,,,,,.1779566,Детские товары >> Детская комната и безопасность,baby-team,Блокіратор для дверей Baby Team Фіксатор арт. 7601,,90,1,https://comfy.ua/blokirator-dlja-dveri-baby-team-fiksator-art-7601.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
810873150,,,,,.1779568,Детские товары >> Детская комната и безопасность,baby-team,"Захист на кути накладка Baby Team Накладки (круглі) 4 шт., Арт 7603",,115,1,https://comfy.ua/zaschita-na-ugly-nakladka-baby-team-nakladki-kruglye-4sht-art-7603.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
810873153,,,,,.1779570,Детские товары >> Детская комната и безопасность,baby-team,Замок для меблів багатофункціональний Baby Team арт. 7604,,88,1,https://comfy.ua/zamok-dlja-mebeli-mnogofunkcional-nyj-baby-team-art-7604.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
810873156,,,,,.1779571,Детские товары >> Детская комната и безопасность,baby-team,Блокіратор на холодильник Baby Team Захисний замок арт. 7605,,175,1,https://comfy.ua/blokirator-na-holodil-nik-baby-team-zaschitnyj-zamok-art-7605.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
810873165,7031033,BABYONO,Игрушка-книжечка BABYONO C-More (779),699,1766130,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки BabyOno,babyono,Книжка-іграшка BabyOno C-More (779),,765,1,https://comfy.ua/knizhka-igrushka-babyono-c-more-779.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
810873173,,,,,1779968,Детские товары >> Игрушки >> Игрушечное оружие >> Игрушечное оружие Hasbro,hasbro,Патрони для бластерів Hasbro Nerf Elite (20 шт) (F0040),,269,1,https://comfy.ua/patrony-dlja-blasterov-hasbro-nerf-elite-20-sht-f0040.html,,06.11.2025 0:27,,"вул. Соборна, 42",Фастів,0
810873174,,,,,1742033,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Ses Creative,ses-creative,"""Набір олівців Ses Creative намистинки воскові серії """"My first"""" (6 кольорів) (00244S)""",,395,1,https://comfy.ua/nabor-karandashej-ses-creative-businki-voskovye-serii-my-first-6-cvetov-00244s.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
810888701,,,,,1780375,"Детские товары >> Уход, купание и гигиена",nip,Суха грілка для малюка NIP Грілка антіколіковая (37071),,485,1,https://comfy.ua/catalog/product/view/id/2174473,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
810907415,,,,,1780142,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Digitus",digitus,Перехідник USB- RJ-45 Digitus USB 3.0 to Gigabit Ethernet (DN-3023),,999,1,https://comfy.ua/adapter-seti-wifi-pcmcia-digitus-usb-3-0-to-gigabit-ethernet-dn-3023.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
810919595,,,,,1780122,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,MESH система WiFi5 TP-Link Mesh Deco P9 3 шт.,,9999,1,https://comfy.ua/marshrutizator-internet-wifi5-tp-link-mesh-deco-p9-3-sht.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
810919607,6705174,GEFU,Овощерезка продольная GEFU Flexicut (13421),1848,1780686,Посуда >> Нарезка и измельчение >> Овощечистки >> Овощечистки Gefu,gefu,Овочерізка Gefu Flexicut (13421),,1957,1,https://comfy.ua/ovoscherezka-gefu-flexicut-13421.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
810920246,6676768,CECOTEC,Отпариватель CECOTEC Fast&Furious4050X-Treme,1699,1774510,Техника для дома >> Мелкая техника >> Утюги >> Утюги Cecotec,cecotec,Вертикальний відпарювач ручний Cecotec Fast&Furious 4050 X-Treme (CCTC-05519),,1699,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-cecotec-fast-furious-4050-x-treme-cctc-05519.html,1999,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
810951946,6705177,GEFU,Мельница для специй Gefu Lamola (34637),835,1780690,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Gefu,gefu,Млинок для спецій Gefu Lamola (34637),,835,1,https://comfy.ua/mel-nica-dlja-specij-gefu-lamola-34637.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
810951947,6705178,GEFU,Мельница для специй Gefu двойная Lamola (34638),1230,1780691,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Gefu,gefu,Млинок для спецій Gefu Lamola (34638),,1302,1,https://comfy.ua/mel-nica-dlja-specij-gefu-lamola-34638.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
810952058,6705179,GEFU,Терка универсальная для сыра Gefu Parmigiano (34680),1613,1780692,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Gefu,gefu,Терка для пармезану Gefu Parmigiano (34680),,2151,1,https://comfy.ua/terka-dlja-parmezana-gefu-parmigiano-34680.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
810952983,6705180,GEFU,Подставка для приготовления куриных ножек GEFU BBQ (89259),1272,1780693,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Gefu,gefu,Форма для приготування Gefu BBQ (89259),,1957,1,https://comfy.ua/forma-dlja-prigotovlenija-gefu-bbq-89259.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
810957000,6676728,VINZER,Ложка с прорезями VINZER 34 см 50212,220,1779910,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Vinzer,vinzer,Ложка кухарська Vinzer 50212,,221,1,https://comfy.ua/lozhka-povarskaja-vinzer-50212.html,276,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
810962006,,,,,.1777568,Инструменты и автотовары >> Ручные инструменты,stal,Ніж будівельний Сталь 18  мм (23108),,20,1,https://comfy.ua/nozh-stroitel-nyj-stal-18-mm-23108.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
