1659392799,,,,,.2832858,Смарт-часы и гаджеты >> Аксессуары,creality,Гумовий фотополімер Creality LCD 8K High Precision (3302190005),,1349,1,https://comfy.ua/rezinovyj-fotopolimer-creality-lcd-8k-high-precision-3302190005.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1659410687,,,,,.2811669,"Аудио, фото и видео >> Аксессуары для фото, видео",verbatim,Батарейка тип AAA Verbatim AAA/LR03 4 шт. (49500),,55,1,https://comfy.ua/batarejka-tip-aaa-verbatim-aaa-lr03-4-sht-49500-usd.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1659411966,6878680,QNAP,NAS-сервер QNAP TS-433-4G,21676,2320860,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Сетевые хранилища (NAS) >> Сетевые хранилища (NAS) QNAP",qnap,Мережеве сховище без HDD QNAP TS-433-4G,,20825,1,https://comfy.ua/setevoe-hranilische-bez-hdd-qnap-ts-433-4g.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1659417297,6981166,JURA,Кофемашина JURA J8 twin Diamond Black EA (15561),109889,2883018,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Jura,jura,Кавомашина Jura J8 twin Diamond Black EA,,109889,1,https://comfy.ua/kofemashina-jura-j8-twin-diamond-black-ea.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1659450991,6971340,LIBERTON,Гриль LIBERTON LPG-1401,1899,2874548,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Liberton,liberton,Гриль-барбекю електричний Liberton LPG-1401,,1799,1,https://comfy.ua/gril-barbekju-jelektricheskij-liberton-lpg-1401.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1659463264,6972049,2E,Телевизор 2E 2E-55A88H,23999,2890773,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры 2E,2e,Телевізор 2E 55A88H,,23999,1,https://comfy.ua/televizor-2e-55a88h.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1659465623,,,,,.2851228,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Blackview Tab 11 WIFI (ARM74587),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-blackview-tab-11-wifi-arm74587.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1659465625,,,,,.2851227,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Anti-Blue for Blackview Tab 6 (ARM63234),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-blackview-tab-6-arm63234.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1659465643,,,,,.2851221,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Thomson TEO 10 Wi-Fi (ARM70905),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-thomson-teo-10-wi-fi-arm70905.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1659465859,,,,,.2865924,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover for Xiaomi Redmi Note 12 Pro 4G Transparancy (709311),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-for-xiaomi-redmi-note-12-pro-4g-transparancy-709311.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1659465917,,,,,.2860886,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover for Samsung Galaxy S22 Ultra SM-S908 Transparancy (709088),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-for-samsung-galaxy-s22-ultra-sm-s908-transparancy-709088.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1659476416,,,,,2850310,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart LikeCarbon for Samsung A34 5G (A346) Purple (ARM71928),,249,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-likecarbon-for-samsung-a34-5g-a346-purple-arm71928.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1659476423,,,,,2834251,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart ICON Case for Google Pixel 8 Black (ARM73026),,349,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-icon-case-for-google-pixel-8-black-arm73026.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1659482285,7006362,OSCAL,Смартфон OSCAL Tiger 12 12/256GB Dual Sim Flowing Purple,6899,2892530,Смартфоны и телефоны >> Смартфоны >> Смартфоны Oscal >> Серия Oscal Tiger 12,oscal,Смартфон Oscal Tiger 12 12/256GB Dual Sim Purple,,6899,1,https://comfy.ua/smartfon-oscal-tiger-12-12-256gb-dual-sim-purple.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1659512946,,,,,2782165,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Promate,promate,Автотримач Promate magnus,,799,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-promate-magnus.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1659514655,,,,,.2882416,Игровые консоли и гейминг >> Комплектующие для игровых ПК,deepcool,Корпусний вентилятор Deepcool RF120 (DP-FRGB-RF120-1C),,579,1,https://comfy.ua/korpusnyj-ventiljator-deepcool-rf120-dp-frgb-rf120-1c.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1659515293,,,,,2882417,Игровые консоли и гейминг >> Комплектующие для игровых ПК,deepcool,Корпусний вентилятор Deepcool RF120-3 3 in 1 (DP-FRGB-RF120-3C),,1679,1,https://comfy.ua/korpusnyj-ventiljator-deepcool-rf120-3-3-in-1-dp-frgb-rf120-3c.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1659516583,7047655,LINDO,"""Игрушка-погремушка LINDO """"Котик"""" с кольцами Желтый (1617 жовт)""",55,2526368,Comfy KIDS >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Lindo,lindo,Брязкальце Lindo КОТИК з кільцями (1617 жовт),,76,1,https://comfy.ua/pogremushka-lindo-kotik-z-kil-cjami-1617-zhelt.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
