1645657622,column,column,column,column,2795058,Техника для кухни >> Крупная техника,scandilux,__scandilux_fbh5265x2,column,2222,1,httpscomfyuavytjazhkavstraivaemajascandiluxfbh5265x2html,3999,05112025_1753,column,__42,Фастів,0
1645764469,6996281,BREVILLE,Утюг BREVILLE DiamondExpress VIN420X,1519,.2797472,Техника для дома >> Мелкая техника,breville,Праска Breville DiamondExpress VIN420X,,1519,1,https://comfy.ua/utjug-breville-diamondexpress-vin420x.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1645773469,6952431,UFESA,Пылесос UFESA Artica (81405765),2999,2791334,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Ufesa,ufesa,Пилосос ручний для дому Ufesa 81405765,,2999,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-ufesa-81405765.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1645810591,6949659,INTERLINE,Духовой шкаф INTERLINE OEG 170 MRN BB,12870,2800128,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Interline,interline,Духова шафа електрична Interline OEG 170 MRN BB,,11999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-interline-oeg-170-mrn-bb.html,12999,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1645815303,6886096,HISENSE,Духовой шкаф HISENSE BSA66334AX (BO3SA5I02-3),20599,2800129,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Hisense,hisense,Духова шафа електрична Hisense BSA 66334 AX,,20599,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-hisense-bsa-66334-ax.html,26499,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1645822850,,,,,.2789194,Техника для кухни >> Мир кофе,gaggia,Кавомашина Gaggia RI8180/01 Besana Black,,18999,1,https://comfy.ua/kofemashina-gaggia-ri8180-01-besana-black.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1645822852,,,,,2790029,Техника для кухни >> Мир кофе,gaggia,Кавомашина Gaggia RI8700/01 Magenta Plus Black,,22499,1,https://comfy.ua/kofemashina-gaggia-ri8700-01-magenta-plus-black.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1645822853,,,,,2790041,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Gaggia,gaggia,Кавомашина Gaggia RI9600/01 Cadorna Style Black,,26499,1,https://comfy.ua/kofemashina-gaggia-ri9600-01-cadorna-style-black.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1645822854,6978913,NIVONA,Кофемашина полуавтоматическая NIVONA CUBE 4106,19999,2795115,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Nivona,nivona,Кавомашина Nivona CUBE 4106,,17999,1,https://comfy.ua/kofemashina-nivona-cube-4106.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1645822906,,,,,2790030,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Gaggia,gaggia,Кавомашина Gaggia RI8701/01 Magenta Milk Black,,26499,1,https://comfy.ua/kofemashina-gaggia-ri8701-01-magenta-milk-black.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1645822907,,,,,2789195,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Gaggia,gaggia,Кавомашина Gaggia RI8260/01 Velasca Black,,23999,1,https://comfy.ua/kofemashina-gaggia-ri8260-01-velasca-black.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1645822910,,,,,.2790042,Техника для кухни >> Мир кофе,gaggia,Кавомашина Gaggia RI9603/01 Cadorna Milk Black,,28499,1,https://comfy.ua/kofemashina-gaggia-ri9603-01-cadorna-milk-black.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1645822916,,,,,.2790031,Техника для кухни >> Мир кофе,gaggia,Кавомашина Gaggia RI8702/01 Magenta Prestige OTC Black,,28999,1,https://comfy.ua/kofemashina-gaggia-ri8702-01-magenta-prestige-otc-black.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1645822921,6978914,NIVONA,Кофемашина NIVONA Nivo 8101,49999,2795114,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Nivona,nivona,Кавомашина Nivona Nivo 8101,,45999,1,https://comfy.ua/kofemashina-nivona-nivo-8101.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1645823293,6939149,KIVI,Телевизор KIVI 43U760QW,12999,2787960,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры KIVI,kivi,Телевізор KIVI 43U760QW,,15499,1,https://comfy.ua/televizor-kivi-43u760qw.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1645823310,6939152,KIVI,Телевизор KIVI 55U760QW,20999,2787961,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры KIVI,kivi,Телевізор KIVI 55U760QW,,20999,1,https://comfy.ua/televizor-kivi-55u760qw.html,21999,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1645828691,,,,,.2708574,Инструменты и автотовары >> Расходные материалы,milwaukee,Полотно Milwaukee BiM Starlock 28x47 мм (48906031),,739,1,https://comfy.ua/polotno-milwaukee-bim-starlock-28x47-mm-48906031.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
1645829472,,,,,.2719380,Инструменты и автотовары >> Ручные инструменты,milwaukee,Викрутка Milwaukee 8 в 1 (4932471868),,885,1,https://comfy.ua/otvertka-milwaukee-8-v-1-4932471868.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1645832855,,,,,.2693142,Инструменты и автотовары >> Ручные инструменты,milwaukee,Набір викруток Milwaukee VDE SL/PH/PZ/T (4932479095),,3715,1,https://comfy.ua/nabor-otvertok-milwaukee-vde-sl-ph-pz-t-4932479095.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1645838118,,,,,2768146,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для смарт-часов >> Аксессуары для смарт-часов Armorstandart,armorstandart,Ремінець для смарт-годинника Armorstandart Silicone 20mm для Garmin Fenix 5S/6S/7S/7S Pro Grey (ARM60812),,499,1,https://comfy.ua/remeshok-dlja-smart-chasov-armorstandart-silicone-20mm-for-garmin-fenix-5s-6s-grey-arm60812.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1645854218,,,,,2691636,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Milwaukee,milwaukee,Дриль-шуруповерт Milwaukee M12 BPD-0 (4933441950),,5875,1,https://comfy.ua/drel-shurupovert-milwaukee-m12-bpd-0-4933441950.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1645854299,,,,,2699888,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Milwaukee,milwaukee,Гайковерт акумуляторний Milwaukee M18 FMTIW2F12-0X  (4933478449),,18749,1,https://comfy.ua/gajkovert-akkumuljatornyj-milwaukee-m18-fmtiw2f12-0x-4933478449.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
1645854300,,,,,2691648,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Milwaukee,milwaukee,Дриль-шуруповерт Milwaukee M18 FPD3-0X GEN 4 (4933479859),,15625,1,https://comfy.ua/drel-shurupovert-milwaukee-m18-fpd3-0x-gen-4-4933479859.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1645855880,6931487,LENOVO,Ноутбук LENOVO V15 G4 IRU Business Black (83A1006FRA),18599,2726616,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все Lenovo >> Серия Lenovo V",lenovo,Ноутбук Lenovo V15 G4 IRU (83A1006FRA) Business Black,,18599,1,https://comfy.ua/noutbuk-lenovo-v15-g4-iru-83a1006fra-business-black.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1645867489,6944273,HP,Ноутбук HP Probook 440-G10 Silver (85B06EA),39999,2789210,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все HP >> Серия HP Probook",hp,Ноутбук HP Probook 440-G10 (85B06EA) Silver,,39999,1,https://comfy.ua/noutbuk-hp-probook-440-g10-85b06ea-silver.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1645884365,6931349,KIVI,Телевизор KIVI KidsTV (32FKIDSTV),8999,2719842,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры KIVI,kivi,Телевізор KIVI 32FKIDSTV,,8888,1,https://comfy.ua/televizor-kivi-kidstv.html,9999,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1645889305,,,,,2693202,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель синхронізації даних Baseus Cafule Cable USB for IP 2.4A 1m Gold/Blue (CALKLF-BV3),,179,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-cafule-cable-usb-for-ip-2-4a-1m-gold-blue-calklf-bv3.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1645890523,,,,,2775847,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",choetech,Перехідник аудіо Choetech Type-C - TRS Audio 3.5мм M/M DAC Chip 1m (AUX006),,349,1,https://comfy.ua/perehodnik-audio-choetech-type-c-trs-audio-3-5mm-m-m-dac-chip-1m-aux006.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1645891862,,,,,1977054,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Перехідник Baseus Tungsten Gold USB-C-USB-C 2m Black (CATWJ-A01),,349,1,https://comfy.ua/perehodnik-baseus-tungsten-gold-usb-c-usb-c-2m-black-catwj-a01.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1645892945,,,,,.2765723,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Кабель синхронізації даних Armorstandart PD 100W Aluminum Alloy 2m Black-Gray (ARM69371),,459,1,https://comfy.ua/kabel-sinhronizacii-dannyh-armorstandart-pd-100w-aluminum-alloy-2m-black-gray-arm69371.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
1645893073,,,,,2769478,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель HDMI Digitus HDMI UHD 4K w/Ethernet/Amplifier type A M/M 15m Black (AK-330118-150-S),,2355,1,https://comfy.ua/kabel-hdmi-digitus-hdmi-uhd-4k-w-ethernet-amplifier-type-a-m-m-15m-black-ak-330118-150-s.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1645894031,6922777,HEREVIN,Френч-пресс HEREVIN Coffee and Tea 0.6 л (131061-012),189,2784236,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Herevin,herevin,Френч-прес Herevin Coffee and Tea 0.6 л (131061-012),,419,1,https://comfy.ua/french-press-herevin-coffee-and-tea-0-6-l-131061-012.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1645894732,7022630,COOPER&HUNTER,Климатический комплекс COOPER&HUNTER White (CH-PHF45402EV),6799,2796615,Техника для дома >> Климатическая техника,cooperhunter,Зволожувач повітря Cooper&Hunter CH-PHF45402EV,,6999,1,https://comfy.ua/uvlazhnitel-vozduha-cooper-hunter-ch-phf45402ev.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
