1649994875,column,column,column,column,2818538,Посуда >> Для приготовления,gusto,_gusto_gt110722_force_22__47_,column,928,1,httpscomfyuakastrjuljagustogt110722force22sm47lhtml,column,05112025_2019,column,__42,Фастів,0
1650019204,,,,,.2780505,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Anti-Blue for Teclast P30 Air / P40 HD 10.1 (ARM69467),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-teclast-p30-air-p40-hd-10-1-arm69467.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1650019205,,,,,2781014,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Thomson TEO 8 LTE (ARM70903),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-thomson-teo-8-lte-arm70903.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
1650019451,6966587,ROWENTA,Пылесос ROWENTA X-Force Flex 15.60 RH99F1WO,17999,2285866,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Rowenta,rowenta,Пилосос ручний для дому Rowenta RH99F1WO,,17999,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-rowenta-rh99f1wo.html,28999,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1650053722,,,,,2815632,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Lemax,lemax,Ємність для фруктів Lemax матовий чорний (LF-2002612 BL),,150,1,https://comfy.ua/emkost-dlja-fruktov-lemax-matovyj-chernyj-lf-2002612-bl.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1650053743,,,,,.2822354,Посуда >> Для сервировки,versailles,Салатник Versailles VS-280A Blanco Arris 280 мм,,180,1,https://comfy.ua/salatnik-versailles-vs-280a-blanco-arris-280-mm.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1650053744,,,,,2815631,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Lemax,lemax,Ємність для фруктів Lemax матовий чорний (LF-2002287 BL),,195,1,https://comfy.ua/emkost-dlja-fruktov-lemax-matovyj-chernyj-lf-2002287-bl.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1650053893,6875003,WHIRLPOOL,Духовой шкаф WHIRLPOOL OMR55CU1B,14799,2825256,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Whirlpool,whirlpool,Духова шафа електрична Whirlpool OMR55CU1B,,14799,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-whirlpool-omr55cu1b.html,15999,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1650056952,,,,,.2522624,Смарт-часы и гаджеты >> Аксессуары,armorstandart,Ремінець для фітнес-браслету Armorstandart for Xiaomi Smart Band 7 Pro Black (ARM66799),,109,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-smart-band-7-pro-black-arm66799.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1650058776,6963649,VENTOLUX,Варочная поверхность VENTOLUX HG L7 S (X),4149,2814039,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня газова Ventolux HG L7 S (X),,3599,1,https://comfy.ua/varochnaja-panel-gazovaja-ventolux-hg-l7-s-x.html,4149,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1650058779,6963648,VENTOLUX,Варочная поверхность VENTOLUX HG D7 ST (X),3739,2814040,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня газова Ventolux HG D7 ST (X),,3935,1,https://comfy.ua/varochnaja-panel-gazovaja-ventolux-hg-d7-st-x.html,4399,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1650063228,,,,,2822196,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Cougar",cougar,Крісло для геймерів Cougar Hotrod Black,,11999,1,https://comfy.ua/kreslo-dlja-gejmerov-cougar-hotrod-black.html,12999,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1650063229,6951140,COUGAR,Кресло COUGAR RANGER S,11499,2822199,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Cougar",cougar,Крісло для геймерів Cougar Ranger S Black,,11499,1,https://comfy.ua/kreslo-dlja-gejmerov-cougar-ranger-s-black.html,13999,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
1650063230,,,,,.2822200,"Дом, отдых и зоотовары >> Мебель",cougar,Крісло для геймерів Cougar Ranger S,,11499,1,https://comfy.ua/kreslo-dlja-gejmerov-cougar-ranger-s.html,13999,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1650063231,6951141,COUGAR,Кресло COUGAR RANGER Pro Royal,13999,2822201,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Cougar",cougar,Крісло для геймерів Cougar Ranger Pro Royal,,13999,1,https://comfy.ua/kreslo-dlja-gejmerov-cougar-ranger-pro-royal.html,17999,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1650063276,,,,,2822197,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Cougar",cougar,Крісло для геймерів Cougar NxSys Aero,,15999,1,https://comfy.ua/kreslo-dlja-gejmerov-cougar-nxsys-aero.html,17999,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1650080941,,,,,2173335,Детские товары >> Творчество и развитие,hasbro,"""Набори для ліплення Play Doh Hasbro """"Різнокольорове кафе"""" (F5836)""",,2535,1,https://comfy.ua/nabory-dlja-lepki-hasbro-raznocvetnoe-kafe-f5836.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1650088285,,,,,2768161,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника INTEK,intek,Контейнер для зберігання INTEK Металевий конейнер-колесо Hot Wheels (HWCC18),,999,1,https://comfy.ua/kontejner-dlja-hranenija-intek-metallicheskij-konejner-koleso-hot-wheels-hwcc18.html,,05.11.2025 22:27,,"вул. Соборна, 42",Фастів,0
1650093552,,,,,2768162,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника INTEK,intek,"""Контейнер для зберігання INTEK Металевий контейнер для зберігання машинок серії """"Monster Trucks"""" Hot Wheels (HWCC21)""",,899,1,https://comfy.ua/kontejner-dlja-hranenija-intek-metallicheskij-kontejner-dlja-hranenija-mashinok-serii-monster-trucks-hot-wheels-hwcc21.html,,05.11.2025 23:16,,"вул. Соборна, 42",Фастів,0
1650109025,6903328,ELECTROLUX,"Набор контейнеров для вакуумирования ELECTROLUX EVFB1 1,6л, 1л (900923316)",1199,2517424,Техника для кухни >> Хранение продуктов >> Пакеты для вакууматоров >> Пакеты для вакууматоров Electrolux,electrolux,Ємності для вакууматора Electrolux EVFB1,,1499,1,https://comfy.ua/emkosti-dlja-vakuumatora-electrolux-evfb1.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1650116691,6949887,BERGNER,"Венчик BERGNER Gizmo 14,5 см (BG-3333)",189,2799459,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Bergner,bergner,"Вінчик Bergner Gizmo 14,5 см (BG-3333)",,189,1,https://comfy.ua/venchik-bergner-gizmo-14-5-sm-bg-3333.html,329,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1650116694,6949868,BERGNER,Венчик BERGNER Gizmo 25 см (BG-3230),269,2799458,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Bergner,bergner,Вінчик Bergner Gizmo 25 см (BG-3230),,269,1,https://comfy.ua/venchik-bergner-gizmo-25-sm-bg-3230.html,329,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1650116698,6949865,BERGNER,Венчик BERGNER Gizmo 33 см (BG-3221),269,2799456,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Bergner,bergner,Вінчик Bergner Gizmo 33 см (BG-3221),,269,1,https://comfy.ua/venchik-bergner-gizmo-33-sm-bg-3221.html,329,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
1650116950,6902639,TEFAL,Набор пластин для вафель TEFAL XA724810,2419,2562714,Техника для кухни >> Мелкая техника >> Аксессуары к грилям-барбекю >> Аксессуары к грилям-барбекю Tefal,tefal,Змінна панель для гриля-барбекю Tefal XA724810,,2419,1,https://comfy.ua/smennaja-panel-dlja-grilja-barbekju-tefal-xa724810.html,3799,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1650203495,6859388,BEURER,Массажная ванночка BEURER FB 65,10977,2777665,Красота и здоровье >> Здоровье >> Массажеры >> Массажеры Beurer,beurer,Масажер-ванночка для ніг Beurer FB 65,,10979,1,https://comfy.ua/massazher-vannochka-dlja-nog-beurer-fb-65.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1650203941,6876064,BEURER,Массажер для ног BEURER FM 120,16977,2742515,Красота и здоровье >> Здоровье >> Массажеры >> Массажеры Beurer,beurer,Массажер для ніг Beurer FM 120,,16979,1,https://comfy.ua/massazher-dlja-nog-beurer-fm-120.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1650205588,6512956,BEURER,Массажная подушка BEURER MG 135,5464,1962048,Красота и здоровье >> Здоровье >> Массажеры >> Массажеры Beurer,beurer,Масажер для тіла Beurer MG 135,,5465,1,https://comfy.ua/massazher-dlja-tela-beurer-mg-135.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1650205633,6673004,BEURER,Массажная накидка BEURER MG 315,19999,2777672,Красота и здоровье >> Здоровье >> Массажеры >> Массажеры Beurer,beurer,Масажер для тіла Beurer MG 315,,19999,1,https://comfy.ua/massazher-dlja-tela-beurer-mg-315.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1650206427,6876065,BEURER,Массажная накидка BEURER MG 330 Petrol Blue,16844,2777674,Красота и здоровье >> Здоровье >> Массажеры >> Массажеры Beurer,beurer,Масажер для тіла Beurer MG 330 Petrol Blue,,16845,1,https://comfy.ua/massazher-dlja-tela-beurer-mg-330-petrol-blue.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1650206996,6840143,YUNMAI,Массажер YUNMAI Massage Gun PRO (YMFG-B563),5199,2260314,Красота и здоровье >> Здоровье >> Массажеры >> Массажеры YUNMAI,yunmai,Масажер для тіла YUNMAI Gun Pro (YMFG-B563),,5199,1,https://comfy.ua/massazher-dlja-tela-yunmai-gun-pro-ymfg-b563.html,7299,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1650238276,6943117,ARDESTO,Электробритва ARDESTO SHRR-B8WDR,1399,2788070,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Ardesto,ardesto,Бритва Ardesto SHRR-B8WDR,,1399,1,https://comfy.ua/britva-ardesto-shrr-b8wdr.html,1499,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1650238277,6943116,ARDESTO,Электробритва ARDESTO SHRR-B5WDR,1399,2788069,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Ardesto,ardesto,Бритва Ardesto SHRR-B5WDR,,1399,1,https://comfy.ua/britva-ardesto-shrr-b5wdr.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1650255881,,,,,2821109,"Аудио, фото и видео >> Акустика",real-el,Комп'ютерна акустика 2.1 REAL-EL M-555,,3999,1,https://comfy.ua/komp-juternaja-akustika-2-1-real-el-m-555.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1650263338,6934519,DEANTE,Держатель для туалетной бумаги DEANTE Round (ADR_0221),1999,2819722,Бытовая химия >> Для ванной комнаты >> Держатели для туалетной бумаги >> Держатели для туалетной бумаги Deante,deante,Тримач для туалетного паперу Deante Round (ADR_0221),,2015,1,https://comfy.ua/derzhatel-dlja-tualetnoj-bumagi-deante-round-adr-0221.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1650263920,6885310,VITTORA,Спецовница VITTORA 300 мл White (VT-161004),51,2825030,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Vittora,vittora,Ємність для спецій і приправ Vittora VT-161004 300 мл,,121,1,https://comfy.ua/emkost-dlja-specij-i-priprav-vittora-vt-161004-300-ml.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1650263920,6885311,VITTORA,Спецовница VITTORA 300 мл Grey (VT-161004),121,2825030,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Vittora,vittora,Ємність для спецій і приправ Vittora VT-161004 300 мл,,121,1,https://comfy.ua/emkost-dlja-specij-i-priprav-vittora-vt-161004-300-ml.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1650263921,6885312,VITTORA,Спецовница VITTORA 300 мл Black (VT-161004),51,2825034,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Vittora,vittora,Ємність для спецій і приправ Vittora VT-161004 300 мл Black,,121,1,https://comfy.ua/emkost-dlja-specij-i-priprav-vittora-vt-161004-300-ml-black.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1650263922,6885315,VITTORA,Спецовница VITTORA 425 мл Black (VT-161010),62,2825033,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Vittora,vittora,Ємність для спецій і приправ Vittora VT-161010 425 мл Black,,143,1,https://comfy.ua/emkost-dlja-specij-i-priprav-vittora-vt-161010-425-ml-black.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1650266442,,,,,.1980964,Посуда >> Для приготовления,lessner,Сковорода універсальна Lessner Black Pro New 28 см (88374-28),,1213,1,https://comfy.ua/skovoroda-universal-naja-lessner-black-pro-new-28-sm-88374-28.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1650283858,,,,,2814110,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Milwaukee,milwaukee,"Диск алмазний Milwaukee 190х30х2,4 мм (4932471303)",,2329,1,https://comfy.ua/disk-almaznyj-milwaukee-190h30h2-4-mm-4932471303.html,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
1650285852,,,,,.2811668,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",merlion,Акумулятор для ДБЖ Merlion 12V 20AH (GL12200M5/02136) GEL,,2160,1,https://comfy.ua/akkumuljator-dlja-ibp-merlion-12v-20ah-gl12200m5-02136-gel.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
1650290998,,,,,.2827057,Техника для кухни >> Крупная техника,akpo,Витяжка вбудована Akpo WK-7 Micra Glass 700 White 60,,5739,1,https://comfy.ua/vytjazhka-vstraivaemaja-akpo-wk-7-micra-glass-700-white-60.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1650291013,,,,,.2827055,Техника для кухни >> Крупная техника,akpo,Витяжка вбудована Akpo WK-12 Micra 700 White 60,,5999,1,https://comfy.ua/vytjazhka-vstraivaemaja-akpo-wk-12-micra-700-white-60.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
