943271346,column,column,column,column,1822773,"Аудио, фото и видео >> Наушники",soundmag,___soundmag_standart__s_size_4_mm_1_,column,159,1,httpscomfyuacatalogproductviewid2710153,column,05112025_1907,column,__42,Фастів,0
945216482,,,,,1765725,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,"Перехідник PowerPlant mini DisplayPort (Thunderbolt) - DisplayPort, HDMI, DVI, 0.2 м, White (CA911097)",,399,1,https://comfy.ua/catalog/product/view/id/2719993,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
945220535,6726071,FREGGIA,Варочная поверхность FREGGIA HCE640E2B,11599,1832057,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Freggia,freggia,Варильна поверхня електрична Freggia HCE640E2B,,11599,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-freggia-hce640e2b.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
945220585,,,,,1836834,Comfy KIDS >> Детская комната и безопасность >> Мебель и хранение для детской комнаты >> Мебель и хранение для детской комнаты Handy Home,handy-home,Коробка для зберігання дитяча Handy Home Бегемот 48x30x30 см (CH10),,485,1,https://comfy.ua/korzina-dlja-igrushek-handy-home-begemot-48x30x30-sm-ch10.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
945227755,,,,,1830262,Техника для кухни >> Мелкая техника,interline,Фільтр для витяжки Interline CF 140 K,,369,1,https://comfy.ua/fil-tr-dlja-vytjazhki-interline-cf-140-k.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
945227768,,,,,1831216,"Аудио, фото и видео >> Аксессуары для аудио",incase,Чохол для навушників INCASE Clear Case for AirPods - Black (INOM100644-BLK),,399,1,https://comfy.ua/chehol-dlja-naushnikov-incase-clear-case-for-airpods-black-inom100644-blk.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
945227773,,,,,1831215,"Аудио, фото и видео >> Аксессуары для аудио",incase,Чохол для навушників INCASE Metallic Case for AirPods - Grey (INOM100643-GRY),,399,1,https://comfy.ua/chehol-dlja-naushnikov-incase-metallic-case-for-airpods-grey-inom100643-gry.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
945227791,6703624,PULUZ,"""Набор блогера PULUZ PKT3061B 11.8"""" + штатив 1.65 м (PKT3061B)""",1799,1834776,Смартфоны и телефоны >> Аксессуары для смартфонов >> Оборудование для блогеров и студии >> Оборудование для блогеров и студии PowerPlant,powerplant,Набір для блогера PowerPlant Puluz PKT3061B 11.8 + штатив 1.65 м,,1899,1,https://comfy.ua/nabor-dlja-blogera-powerplant-puluz-pkt3061b-11-8-shtativ-1-65-m.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
945227812,,,,,1830399,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Корзины для хранения >> Корзины для хранения Handy Home",handy-home,Кошик для білизни Handy Home Stainless 41х29х30 см (EW-49 L),,449,1,https://comfy.ua/korzina-dlja-bel-ja-handy-home-stainless-41h29h30-sm-ew-49-l.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
945227867,,,,,1831258,Красота и здоровье >> Косметика для волос,lador,Сироватка для волосся Lador Sleeping Clinic Ampoule 20 мл (8809500810599),,109,1,https://comfy.ua/syvorotka-dlja-volos-lador-sleeping-clinic-ampoule-20-ml-8809500810599.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
945227947,6766874,SYOSS,Шампунь SYOSS Men Power с Кофеином 440 мл (9000101277395),230,1831365,Красота и здоровье >> Косметика для волос >> Шампуни >> Шампуни Syoss,syoss,Шампунь чоловічий SYOSS Men Power з кофеїном для нормального волосся 440 мл (9000101277395),,162,1,https://comfy.ua/shampun-muzhskoj-syoss-men-power-s-kofeinom-dlja-normal-nyh-volos-440-ml-9000101277395.html,229,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
945227959,,,,,1831446,Красота и здоровье >> Косметика для волос,pantene,Шампунь жіночий Pantene Густі та міцні 400мл,,159,1,https://comfy.ua/shampun-zhenskij-pantene-gustye-i-krepkie-400ml.html,215,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
945227986,,,,,1831422,Красота и здоровье >> Косметика для волос,pantene,Шампунь жіночий Pantene Інтенсивне відновлення 400мл,,159,1,https://comfy.ua/shampun-zhenskij-pantene-intensivnoe-vosstanovlenie-400ml.html,215,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
945228010,,,,,1831449,Красота и здоровье >> Косметика для волос,pantene,Шампунь жіночий Pantene Интенсивное восстановление 1000 мл,,356,1,https://comfy.ua/shampun-zhenskij-pantene-intensivnoe-vosstanovlenie-1000-ml.html,539,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
945228054,7058407,LIBRESSE,Гигиенические прокладки Libresse Classic Protection Long 8 шт (7322541233512),46,1755610,Красота и здоровье >> Личная гигиена >> Женская гигиена >> Женская гигиена Libresse,libresse,Прокладки гігієнічні Libresse Classic Protection Long 8 шт. (7322541233512),,49,1,https://comfy.ua/prokladki-gigienicheskie-libresse-classic-protection-long-8-sht-7322541233512.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
945228060,,,,,1833676,Красота и здоровье >> Уходовая косметика для лица,apieu,Маска для обличчя A'pieu Icing Sweet Bar Sheet Mask Hanrabong 21 г (8809530047729),,55,1,https://comfy.ua/maska-dlja-lica-a-pieu-icing-sweet-bar-sheet-mask-hanrabong-21-g-8809530047729.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
945228061,,,,,1831583,Красота и здоровье >> Личная гигиена,naturella,Прокладки гігієнічні Naturella Camomile Normal Single з крильцями 10шт,,59,1,https://comfy.ua/prokladki-gigienicheskie-naturella-camomile-normal-single-s-krylyshkami-10sht.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
945228064,7058400,LIBRESSE,Гигиенические прокладки Libresse Natural Care Ultra Clip Normal 10 шт (7322540523300),42,1752362,Красота и здоровье >> Личная гигиена >> Женская гигиена >> Женская гигиена Libresse,libresse,Прокладки гігієнічні Libresse Natural Care Ultra Clip Normal 3 мм 10 шт. (7322540523300),,45,1,https://comfy.ua/prokladki-gigienicheskie-libresse-natural-care-ultra-clip-normal-3-mm-10-sht-7322540523300.html,56,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
945228065,7058405,LIBRESSE,Гигиенические прокладки Libresse Maxi Long Soft 9 шт (7322540591927),56,1752385,Красота и здоровье >> Личная гигиена,libresse,Прокладки гігієнічні Libresse Maxi Long 9 шт. (7322540591927),,62,1,https://comfy.ua/prokladki-gigienicheskie-libresse-maxi-long-9-sht-7322540591927.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
945228066,7058404,LIBRESSE,Гигиенические прокладки Libresse Maxi Normal Soft 10 шт (7310790088137),56,1752377,Красота и здоровье >> Личная гигиена,libresse,Прокладки гігієнічні Libresse Maxi Normal Wing 10 шт. (7310790088137),,62,1,https://comfy.ua/prokladki-gigienicheskie-libresse-maxi-normal-wing-10-sht-7310790088137.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
945228077,7058385,LIBRESSE,Гигиенические прокладки Libresse Ultra Normal Aloe Vera & Camomile 10 шт (7322540344059),47,1752382,Красота и здоровье >> Личная гигиена >> Женская гигиена >> Женская гигиена Libresse,libresse,Прокладки гігієнічні Libresse Ultra Normal Aloe Vera & Camomile 10 шт. (7322540344059),,47,1,https://comfy.ua/prokladki-gigienicheskie-libresse-ultra-normal-aloe-vera-camomile-10-sht-7322540344059.html,60,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
945228078,7058383,LIBRESSE,Гигиенические прокладки Libresse Premium Ultra Normal Soft Deo 10 шт (7322540337938),47,1752372,Красота и здоровье >> Личная гигиена >> Женская гигиена >> Женская гигиена Libresse,libresse,Прокладки гігієнічні Libresse Ultra Normal Soft Deo 10 шт. 4 капли (7322540337938),,47,1,https://comfy.ua/prokladki-gigienicheskie-libresse-ultra-normal-soft-deo-10-sht-4-kapli-7322540337938.html,60,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
945228082,7018524,O.B.,Тампоны o.b. ProComfort Mini 8 шт (3574660142303),60,1751478,Красота и здоровье >> Личная гигиена,ob,Тампони гігієнічні o.b. ProComfort Mini 8 шт. (3574660142303),,69,1,https://comfy.ua/tampony-gigienicheskie-o-b-procomfort-mini-8-sht-3574660142303.html,75,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
945228087,,,,,1752378,Красота и здоровье >> Личная гигиена,libresse,Прокладки щоденні Libresse Daily Fresh String 30 шт. (7310791193892),,50,1,https://comfy.ua/prokladki-gigienicheskie-libresse-daily-fresh-string-30-sht-7310791193892.html,68,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
945228105,7058409,LIBRESSE,Гигиенические прокладки Libresse Classic Protection Long 18 шт (7322540063608),86,1755607,Красота и здоровье >> Личная гигиена >> Женская гигиена >> Женская гигиена Libresse,libresse,Прокладки гігієнічні Libresse Classic Protection Long 18 шт. (7322540063608),,115,1,https://comfy.ua/prokladki-gigienicheskie-libresse-classic-protection-long-18-sht-7322540063608.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
945228106,7058408,LIBRESSE,Гигиенические прокладки Libresse Classic Protection Regular 18 шт (7322541233604),86,1806983,Красота и здоровье >> Личная гигиена >> Женская гигиена >> Женская гигиена Libresse,libresse,Прокладки гігієнічні Libresse Classic Protection Regular 18 шт. (7322541233604),,89,1,https://comfy.ua/prokladki-gigienicheskie-libresse-classic-protection-regular-18-sht-7322541233604.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
945228136,,,,,1809266,Красота и здоровье >> Уход за полостью рта,lion,Зубна паста Lion Dr.Sedoc 140 г (8801007008578),,149,1,https://comfy.ua/zubnaja-pasta-lion-dr-sedoc-140-g-8801007008578.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
945228162,,,,,1682624,Посуда >> Для приготовления,wmf,Уловлювач бризів WMF 0720826040 Spritzschutz,,1999,1,https://comfy.ua/ulavlivatel-bryzg-wmf-720826040-pfannenzubehor.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
945228173,,,,,1832259,Красота и здоровье >> Уходовая косметика для лица,missha,Маска для обличчя Missha Airy Fit Sheet Mask Tea Tree 19 г (8809581454750),,65,1,https://comfy.ua/maska-dlja-lica-missha-airy-fit-sheet-mask-tea-tree-19-g-8809581454750.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
945228174,,,,,1832258,Красота и здоровье >> Уходовая косметика для лица,missha,Маска для обличчя Missha Airy Fit Sheet Mask Cucumber 19 г (8809581454712),,49,1,https://comfy.ua/maska-dlja-lica-missha-airy-fit-sheet-mask-cucumber-19-g-8809581454712.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
