697979363,column,column,column,column,1635781,Техника для кухни >> Крупная техника,faber,__faber_inka_plus_hc_x_a52,column,6399,1,httpscomfyuacatalogproductviewid1189533,column,05112025_1908,column,__42,Фастів,0
698602835,6587871,COLORWAY,Антисептик COLORWAY 500 мл (CW-3950),97,1649660,Красота и здоровье >> Здоровье >> Антисептики >> Антисептики Colorway,colorway,Дезінфікуючий засіб для рук Colorway CW-3950 500 мл,,97,1,https://comfy.ua/dezinficirujuschee-sredstvo-dlja-ruk-colorway-cw-3950-500-ml.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
698606312,,,,,1647752,Техника для кухни >> Мелкая техника,sencor,Кухонна машина Sencor STM 4467CH,,11999,1,https://comfy.ua/catalog/product/view/id/1173893,13999,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
698738223,6587103,FABER,Вытяжка FABER INKA PLUS HC X A52,6399,1635781,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Faber,faber,Витяжка вбудована Faber INKA PLUS HC X A52,,6399,1,https://comfy.ua/vytjazhka-vstraivaemaja-faber-inka-plus-hc-x-a52.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
698738224,6587104,FABER,Вытяжка FABER INKA PLUS HC X A70,6099,1635782,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Faber,faber,Витяжка вбудована Faber INKA PLUS HC X A70,,6155,1,https://comfy.ua/vytjazhka-vstraivaemaja-faber-inka-plus-hc-x-a70.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
698863190,6602618,SAMSUNG,Пылесос SAMSUNG VCC45W0S3R/UK,3099,1647454,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Samsung,samsung,Пилосос для сухого прибирання без мішка Samsung VCC45W0S3R/UK,,3099,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-samsung-vcc45w0s3r-uk.html,3499,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
698890726,6677414,NINJA,Мультиварка-скороварка NINJA OP500EU,13999,1649918,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Ninja,ninja,Мультиварка-скороварка Ninja OP500EU,,13999,1,https://comfy.ua/mul-tivarka-ninja-op500eu.html,23999,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
698890727,,,,,1649916,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Ninja,ninja,Мультиварка-скороварка Ninja OP300EU,,12999,1,https://comfy.ua/mul-tivarka-ninja-op300eu.html,17999,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
698890729,6677415,NINJA,Блендер NINJA HB150EU,11999,1649921,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Ninja,ninja,Блендер стаціонарний Ninja HB150EU,,11999,1,https://comfy.ua/blender-stacionarnyj-ninja-hb150eu.html,16999,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
703293776,6607160,SAMSUNG,Пылесос SAMSUNG VC07M25M9WD/UK,4099,1651040,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Samsung,samsung,Пилосос для сухого прибирання з мішком Samsung VC07M25M9WD/UK,,4099,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-samsung-vc07m25m9wd-uk.html,4999,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
703347177,,,,,1648695,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-HR25VF-ER1/MUZ-HR25VF-ER1,,50765,1,https://comfy.ua/catalog/product/view/id/1180353,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
703348983,,,,,1647744,Красота и здоровье >> Уход за волосами,sencor,Машинка для стрижки волосся Sencor SHP 8305BK,,1799,1,https://comfy.ua/catalog/product/view/id/1177783,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
703351169,,,,,1651699,Техника для кухни >> Мелкая техника,vegas,Ваги кухонні Vegas VKS-7344KS,,339,1,https://comfy.ua/catalog/product/view/id/1197573/s/vesy-kuhonnye-vegas-vks-7344ks,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
703357403,,,,,1651699,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Vegas,vegas,Ваги кухонні Vegas VKS-7344KS,,339,1,https://comfy.ua/vesy-kuhonnye-vegas-vks-7344ks.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
703445378,6642038,ELEYUS,Варочная поверхность ELEYUS SILVA 60 BG+RB CF,6699,.1654060,Техника для кухни >> Крупная техника,eleyus,Варильна поверхня газова ELEYUS SILVA 60 BG+RB CF,,6699,1,https://comfy.ua/varochnaja-panel-gazovaja-eleyus-silva-60-bg-rb-cf.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
703475310,6542817,FIRST,Весы напольные FIRST FA-8013-3-GR,513,1514105,Красота и здоровье >> Уход за телом,first,Ваги First FA-8013-3,,669,1,https://comfy.ua/vesy-napol-nye-first-fa-8013-3.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
703501420,6790425,GORENJE,Утюг GORENJE SIH2200BBC (SG-5518),1099,1652221,Техника для дома >> Мелкая техника >> Утюги >> Утюги Gorenje,gorenje,Праска Gorenje SIH2200BBC,,989,1,https://comfy.ua/utjug-gorenje-sih2200bbc.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
703507864,6605925,GORENJE,Утюг GORENJE SIH2200DGT,1199,1652222,Техника для дома >> Мелкая техника >> Утюги >> Утюги Gorenje,gorenje,Праска Gorenje SIH2200DGT,,1059,1,https://comfy.ua/utjug-gorenje-sih2200dgt.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
703625983,6625549,GORENJE,Утюг GORENJE SIH2200BLC,1399,1653453,Техника для дома >> Мелкая техника >> Утюги >> Утюги Gorenje,gorenje,Праска Gorenje SIH2200BLC,,1169,1,https://comfy.ua/utjug-gorenje-sih2200blc.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
704018658,6596073,LG,Стирально-сушильная машина LG F2V9GC9W,34999,1646640,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины LG,lg,Прально-сушильна машина LG F2V9GC9W,,34999,1,https://comfy.ua/stiral-naja-mashina-lg-f2v9gc9w.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
