935765326,column,column,column,column,1828216,Детские товары >> Игрушки для малышей,babyteam,___baby_team___9050___,column,539,1,httpscomfyuacatalogproductviewid2648133,column,05112025_2034,column,__42,Фастів,0
935976936,6987361,BRABANTIA,Чехол BRABANTIA Ironing Table Covers C 124 x 45 см (130984),1320,1827510,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Чехлы для гладильных досок >> Чехлы для гладильных досок Brabantia",brabantia,Чохол для прасувальної дошки Brabantia 130984 124x45 см,,1389,1,https://comfy.ua/chehol-dlja-gladil-noj-doski-brabantia-130984-124x45-sm.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
935976939,6987362,BRABANTIA,Чехол BRABANTIA Ironing Table Covers D 135 x 45 см (131547),1649,1827513,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Чехлы для гладильных досок >> Чехлы для гладильных досок Brabantia",brabantia,Чохол для прасувальної дошки Brabantia 131547 135x45 см,,1649,1,https://comfy.ua/chehol-dlja-gladil-noj-doski-brabantia-131547-135x45-sm.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
936065102,,,,,1828413,Смартфоны и телефоны >> Аксессуары для смартфонов,defender,Автомобільний зарядний пристрій Defender UCA-80 Black 2xUSB QC3.0 36W (83832),,229,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-defender-uca-80-black-2xusb-qc3-0-36w-83832.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
936205221,,,,,1827417,Детские товары >> Игрушки,na-na-na-surprise,Ляльковий набір Na! Na! Na! Surprise Максвелл Дейн (575375),,399,1,https://comfy.ua/kollekcionnaja-kukla-nabor-na-na-na-surprise-maksvell-djejn-575375.html,,06.11.2025 0:50,,"вул. Соборна, 42",Фастів,0
936273597,,,,,.1820312,Игровые консоли и гейминг >> Комплектующие для игровых ПК,msi,Материнська плата MSI A520M-A Pro Socket AM4,,2265,1,https://comfy.ua/materinskaja-plata-msi-a520m-a-pro-socket-am4.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
936274773,,,,,.1820319,Игровые консоли и гейминг >> Комплектующие для игровых ПК,msi,Материнська плата MSI B550M PRO-VDH Socket AM4,,3855,1,https://comfy.ua/materinskaja-plata-msi-b550m-pro-vdh-socket-am4.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
936281158,,,,,.1827680,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for LG Watch Sport W280A Red (706208),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-lg-watch-sport-w280a-red-706208.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
936281170,,,,,.1827682,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for LG Watch Sport W280A Pink (706210),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-lg-watch-sport-w280a-pink-706210.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
936281184,,,,,.1828200,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Xiaomi iMi KW66/Mi Watch Color/Haylou LS01/LS02 Black (706356),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-xiaomi-imi-kw66-mi-watch-color-haylou-ls01-ls02-black-706356.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
936281197,,,,,.1828201,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Xiaomi iMi KW66/Mi Watch Color/Haylou LS01/LS02 Apricot (706355),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-xiaomi-imi-kw66-mi-watch-color-haylou-ls01-ls02-apricot-706355.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
936281213,,,,,.1828202,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Xiaomi iMi KW66/Mi Watch Color/Haylou LS01/LS02 Dark-Blue (706354),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-xiaomi-imi-kw66-mi-watch-color-haylou-ls01-ls02-dark-blue-706354.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
936281241,,,,,1828204,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Xiaomi iMi KW66/Mi Watch Color/Haylou LS01/LS02 Lilac (706352),,149,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-xiaomi-imi-kw66-mi-watch-color-haylou-ls01-ls02-lilac-706352.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
936281254,,,,,.1828205,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Xiaomi iMi KW66/Mi Watch Color/Haylou LS01/LS02 Grapefruit-Pink (706351),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-xiaomi-imi-kw66-mi-watch-color-haylou-ls01-ls02-grapefruit-pink-706351.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
936281264,,,,,.1828206,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Xiaomi iMi KW66/Mi Watch Color/Haylou LS01/LS02 Pink (706350),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-xiaomi-imi-kw66-mi-watch-color-haylou-ls01-ls02-pink-706350.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
936281280,,,,,.1828207,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Xiaomi iMi KW66/Mi Watch Color/Haylou LS01/LS02 Dark-Red (706349),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-xiaomi-imi-kw66-mi-watch-color-haylou-ls01-ls02-dark-red-706349.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
936281302,,,,,.1828208,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Xiaomi iMi KW66/Mi Watch Color/Haylou LS01/LS02 Red (706348),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-xiaomi-imi-kw66-mi-watch-color-haylou-ls01-ls02-red-706348.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
936281336,,,,,1827540,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Samsung Galaxy Watch 42mm/Watch Active/Active 2 40/44mm/Watch 3 41mm/Gear S2 Classic/Gear Sport Green (7061,,149,1,https://comfy.ua/catalog/product/view/id/2648293,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
936281346,,,,,1827533,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Samsung Galaxy Watch 42mm/Watch Active/Active 2 40/44mm/Watch 3 41mm/Gear S2 Classic/Gear Sport Yellow (706,,179,1,https://comfy.ua/catalog/product/view/id/2648083,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
936281359,,,,,1827520,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Samsung Galaxy Watch 42mm/Watch Active/Active 2 40/44mm/Watch 3 41mm/Gear S2 Classic/Gear Sport Dark Red (7,,179,1,https://comfy.ua/catalog/product/view/id/2647753,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
936281368,,,,,1827534,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Samsung Galaxy Watch 42mm/Watch Active/Active 2 40/44mm/Watch 3 41mm/Gear S2 Classic/Gear Sport Pine-Green,,149,1,https://comfy.ua/catalog/product/view/id/2648103,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
936281374,,,,,1827521,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Samsung Galaxy Watch 42mm/Watch Active/Active 2 40/44mm/Watch 3 41mm/Gear S2 Classic/Gear Sport Pink (70617,,179,1,https://comfy.ua/catalog/product/view/id/2647763,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
936281380,,,,,1827535,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Samsung Galaxy Watch 42mm/Watch Active/Active 2 40/44mm/Watch 3 41mm/Gear S2 Classic/Gear Sport Lime (70618,,179,1,https://comfy.ua/catalog/product/view/id/2648173,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
936281386,,,,,1827522,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Samsung Galaxy Watch 42mm/Watch Active/Active 2 40/44mm/Watch 3 41mm/Gear S2 Classic/Gear Sport Grapefruit-,,149,1,https://comfy.ua/catalog/product/view/id/2647853,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
936281394,,,,,1827536,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Samsung Galaxy Watch 42mm/Watch Active/Active 2 40/44mm/Watch 3 41mm/Gear S2 Classic/Gear Sport Khaki (7061,,179,1,https://comfy.ua/catalog/product/view/id/2648203,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
936281401,,,,,1827523,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Samsung Galaxy Watch 42mm/Watch Active/Active 2 40/44mm/Watch 3 41mm/Gear S2 Classic/Gear Sport Lilac (7061,,179,1,https://comfy.ua/catalog/product/view/id/2647873,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
936281410,,,,,1827537,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Samsung Galaxy Watch 42mm/Watch Active/Active 2 40/44mm/Watch 3 41mm/Gear S2 Classic/Gear Sport Marine-Gree,,179,1,https://comfy.ua/catalog/product/view/id/2648243,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
936281434,,,,,1827526,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Samsung Galaxy Watch 42mm/Watch Active/Active 2 40/44mm/Watch 3 41mm/Gear S2 Classic/Gear Sport Dark Blue (,,129,1,https://comfy.ua/catalog/product/view/id/2647923,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
936281444,,,,,1827527,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Samsung Galaxy Watch 42mm/Watch Active/Active 2 40/44mm/Watch 3 41mm/Gear S2 Classic/Gear Sport Apricot (70,,129,1,https://comfy.ua/catalog/product/view/id/2647963,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
