1651079152,column,column,column,column,2821714,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,__asus_proart_b760creator_wifi_ddr5,column,9399,1,httpscomfyuamaterinskajaplataasusproartb760creatorwifiddr5html,column,05112025_1905,column,__42,Фастів,0
1651198416,6942702,KIVI,Телевизор KIVI 43U730QB,12999,2787963,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры KIVI,kivi,Телевізор KIVI 43U730QB,,12999,1,https://comfy.ua/televizor-kivi-43u730qb.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1651198425,,,,,2826984,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Chicolino,chicolino,"Одноразові підгузки-трусики Chicolino Super Soft Розмір 4, 36 шт. (ChT4.36.SS)",,463,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-chicolino-super-soft-razmer-4-36-sht-cht4-36-ss.html,629,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1651198426,,,,,2826985,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Chicolino,chicolino,"Одноразові підгузки-трусики Chicolino Super Soft Розмір 5, 34 шт. (ChT5.34.SS)",,471,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-chicolino-super-soft-razmer-5-34-sht-cht5-34-ss.html,629,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1651198427,,,,,2826983,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Chicolino,chicolino,"Одноразові підгузки-трусики Chicolino Super Soft Розмір 6, 30 шт. (ChT6.30.SS)",,472,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-chicolino-super-soft-razmer-6-30-sht-cht6-30-ss.html,629,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1651198468,6942703,KIVI,Телевизор KIVI 50U730QB,15999,2787964,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры KIVI,kivi,Телевізор KIVI 50U730QB,,15999,1,https://comfy.ua/televizor-kivi-50u730qb.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1651198474,6949332,HISENSE,Телевизор HISENSE 55A6K,15999,2819233,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры Hisense,hisense,Телевізор Hisense 55A6K,,15999,1,https://comfy.ua/televizor-hisense-55a6k.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1651198803,6966980,KARCHER,Комплект по уходу за автомобилем KARCHER (6.296-168.0),718,2824217,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки Karcher,karcher,Засіб для чищення скла Karcher RM 650 + чищення салону RM 651 (6.296-168.0),,718,1,https://comfy.ua/chistjaschee-sredstvo-dlja-stekla-karcher-rm-650-chistka-salona-rm-651-6-296-168-0.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
1651199353,6969916,ARTLINE,Моноблок ARTLINE Business M63 (M63v26),33264,2825918,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M63 (M63v26),,31375,1,https://comfy.ua/komp-juter-monoblok-artline-business-m63-m63v26.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1651199588,,,,,.2820737,Игровые консоли и гейминг >> Комплектующие для игровых ПК,amd,Процесор AMD Ryzen 5 7600 (100-100001015BOX),,8665,1,https://comfy.ua/processor-amd-ryzen-5-7600-100-100001015box.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1651199636,,,,,.2827720,Игровые консоли и гейминг >> Комплектующие для игровых ПК,intel,Процесор Intel Core I5-14600KF (BX8071514600KF S RN42),,15039,1,https://comfy.ua/processor-intel-core-i5-14600kf-bx8071514600kf-s-rn42.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1651199637,,,,,.2827719,Игровые консоли и гейминг >> Комплектующие для игровых ПК,intel,Процесор Intel Core I5-14600K (BX8071514600K S RN43),,16399,1,https://comfy.ua/processor-intel-core-i5-14600k-bx8071514600k-s-rn43.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1651199648,,,,,.2827725,Игровые консоли и гейминг >> Комплектующие для игровых ПК,intel,Процесор Intel Core I9-14900KF (BX8071514900KF),,21999,1,https://comfy.ua/processor-intel-core-i9-14900kf-bx8071514900kf.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1651200235,6969920,ARTLINE,Моноблок ARTLINE Business M65 (M65v24),28098,2825920,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M65 (M65v24),,28099,1,https://comfy.ua/komp-juter-monoblok-artline-business-m65-m65v24.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1651200787,6967204,POWERPLANT,"Зарядное устройство POWERPLANT AA, AAA /PP-U1BS (AA620197)",349,2765770,"Аудио, фото и видео >> Аксессуары для фото, видео",powerplant,"З/пристрій для акумуляторів AA/AAA PowerPlant для AA, AAA PP-U1BS (AA620197)",,299,1,https://comfy.ua/z-ustrojstvo-dlja-akkumuljatorov-aa-aaa-powerplant-dlja-aa-aaa-pp-u1bs-aa620197.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1651200788,6935605,POWERPLANT,Зарядное устройство POWERPLANT AA620180,899,2765769,"Аудио, фото и видео >> Аксессуары для фото, видео",powerplant,"З/пристрій для акумуляторів AA/AAA PowerPlant для AA, AAA PP-UM2 (AA620180)",,799,1,https://comfy.ua/z-ustrojstvo-dlja-akkumuljatorov-aa-aaa-powerplant-dlja-aa-aaa-pp-um2-aa620180.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1651201008,6969921,ARTLINE,Моноблок ARTLINE Business M65 (M65v25),29945,2825922,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M65 (M65v25),,29945,1,https://comfy.ua/komp-juter-monoblok-artline-business-m65-m65v25.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1651201009,6969917,ARTLINE,Моноблок ARTLINE Business M63 Windows 11 Pro (M63v24Win),33725,2825915,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M63 Windows 11 Pro (M63v24Win),,33725,1,https://comfy.ua/komp-juter-monoblok-artline-business-m63-windows-11-pro-m63v24win.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1651201186,6863026,KARCHER,Средство для чистки ковров KARCHER CarpetPro RM 760 10 кг (6.295-847.0),3799,2833433,Бытовая химия >> Все для уборки >> Средства для мытья пола >> Средства для мытья пола Karcher,karcher,Засіб по догляду за підлоговими покриттями Karcher RM 760 CarpetPro 10 кг (6.295-847.0),,3799,1,https://comfy.ua/sredstvo-po-uhodu-za-napol-nymi-pokrytijami-karcher-rm-760-carpetpro-10-kg-6-295-847-0.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1651201393,6969918,ARTLINE,Моноблок ARTLINE Business M63 Windows 11 Pro (M63v25Win),35615,2825917,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M63 Windows 11 Pro (M63v25Win),,35615,1,https://comfy.ua/komp-juter-monoblok-artline-business-m63-windows-11-pro-m63v25win.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1651201772,,,,,.2756114,Детские товары >> Прогулки и поездки,beaba,Сумка для батьків Beaba Geneva II Black (940223),,4629,1,https://comfy.ua/sumka-dlja-roditelej-beaba-geneva-ii-black-940223.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1651202340,6969922,ARTLINE,Моноблок ARTLINE Business M65 (M65v26),32339,2825924,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M65 (M65v26),,32339,1,https://comfy.ua/komp-juter-monoblok-artline-business-m65-m65v26.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1651202478,,,,,2798551,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы L.O.L. Surprise!,lol-surprise,"""Колекційна лялька L.O.L. Surprise! """"OPP OMG"""" - КОРОЛЕВА БДЖІЛКА (985655)""",,599,1,https://comfy.ua/kollekcionnaja-kukla-l-o-l-surprise-opp-omg-koroleva-pchelka-985655.html,895,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
1651202480,,,,,2798553,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы L.O.L. Surprise!,lol-surprise,"""Колекційна лялька L.O.L. Surprise! """"OPP OMG"""" - ЛЕДІ ДІВА (985877)""",,599,1,https://comfy.ua/kollekcionnaja-kukla-l-o-l-surprise-opp-omg-ledi-diva-985877.html,895,05.11.2025 22:08,,"вул. Соборна, 42",Фастів,0
1651202481,,,,,2798532,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы L.O.L. Surprise!,lol-surprise,"""Ляльковий набір L.O.L. Surprise! """"Crayola"""" – КОЛЬОРИНКИ (з аксес.) (505273)""",,549,1,https://comfy.ua/kollekcionnaja-kukla-nabor-l-o-l-surprise-crayola-cvetnashki-s-aksess-505273.html,795,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1651202482,,,,,2798536,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы L.O.L. Surprise!,lol-surprise,"""Колекційна лялька L.O.L. Surprise! """"OPP OMG"""" - СВЕГ (985662)""",,599,1,https://comfy.ua/kollekcionnaja-kukla-l-o-l-surprise-opp-omg-svjeg-985662.html,895,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1651202487,,,,,2798545,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы L.O.L. Surprise!,lol-surprise,"""Ляльковий набір L.O.L. Surprise! """"O.M.G."""" – ЧА ЧА (з аксес.) (503842)""",,999,1,https://comfy.ua/kollekcionnaja-kukla-nabor-l-o-l-surprise-o-m-g-cha-cha-s-aksess-503842.html,1299,05.11.2025 22:33,,"вул. Соборна, 42",Фастів,0
1651202488,,,,,2798544,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы L.O.L. Surprise!,lol-surprise,"""Ляльковий набір L.O.L. Surprise! """"O.M.G."""" – ЦУКЕРОЧКА (з аксес.) (503781)""",,1039,1,https://comfy.ua/kollekcionnaja-kukla-nabor-l-o-l-surprise-o-m-g-konfetka-s-aksess-503781.html,1895,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1651202918,,,,,2817310,Смартфоны и телефоны >> Мобильные телефоны,sigma-mobile,Мобільний телефон Sigma mobile Comfort 50 Shell DUO Type-C Red/Black,,1365,1,https://comfy.ua/mobil-nyj-telefon-sigma-mobile-comfort-50-shell-duo-type-c-red-black.html,,05.11.2025 17:15,,"вул. Соборна, 42",Фастів,2
1651202920,7050316,SIGMA,Мобильный телефон SIGMA Comfort 50 Shell Duo Type-C Dual Sim Вlack (4827798212523),1365,2817309,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Sigma mobile,sigma-mobile,Мобільний телефон Sigma mobile Comfort 50 Shell DUO Type-C Black,,1365,1,https://comfy.ua/mobil-nyj-telefon-sigma-mobile-comfort-50-shell-duo-type-c-black.html,,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,0
1651202921,6998180,SIGMA,Мобильный телефон SIGMA X-treme PK68 Black,2354,2824268,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Sigma mobile,sigma-mobile,Мобільний телефон Sigma mobile X-treme PK68 Black,,2355,1,https://comfy.ua/mobil-nyj-telefon-sigma-mobile-x-treme-pk68-black.html,,05.11.2025 17:15,,"вул. Соборна, 42",Фастів,0
1651203213,6969919,ARTLINE,Моноблок ARTLINE Business M63 Windows 11 Pro (M63v26Win),39858,2825919,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M63 Windows 11 Pro (M63v26Win),,37969,1,https://comfy.ua/komp-juter-monoblok-artline-business-m63-windows-11-pro-m63v26win.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1651203543,,,,,2602657,Бытовая химия >> Средства для стирки,washfree,Мило господарське WASH & FREE Універсальне Рідке (DOYPACK) 2000г,,74,1,https://comfy.ua/mylo-hozjajstvennoe-wash-free-universal-noe-zhidkoe-doypack-2000g.html,98,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1651203546,,,,,2602672,Бытовая химия >> Средства для стирки,washfree,Мило господарське WASH & FREE Універсальне Рідке 5000г,,191,1,https://comfy.ua/mylo-hozjajstvennoe-wash-free-universal-noe-zhidkoe-5000g.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1651203547,6950349,VANISH,Пятновыводитель Vanish Oxi Action Кристальная белизна 3 л (5908252014033),467,2832260,Бытовая химия >> Средства для стирки >> Средства для отбеливания и удаления пятен >> Средства для отбеливания и удаления пятен Vanish,vanish,Засіб для видалення плям Vanish Oxi Action Multifunctional White 3 л,,495,1,https://comfy.ua/sredstvo-dlja-udalenija-pjaten-vanish-oxi-action-multifunctional-white-3-l.html,693,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1651203642,,,,,.2821731,Игровые консоли и гейминг >> Комплектующие для игровых ПК,kingston,Память DDR Kingston DDR4 16GB 3200 (KVR32S22D8/16),,3239,1,https://comfy.ua/pamjat-ddr-kingston-ddr4-16gb-3200-kvr32s22d8-16.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1651204012,7054073,WINNING MOVES,Игральные карты WINNING MOVES WADDINGTONS No.1 Black and Gold (WM00755-EN1-12),269,.2829734,Детские товары >> Игрушки,winning-moves,Настільна гра (18+) Winning Moves Waddingtons No.1 Black and Gold (WM00755-EN1-12),,299,1,https://comfy.ua/nastol-naja-igra-kartochnaja-18-waddingtons-no-1-black-and-gold-wm00755-en1-12.html,,05.11.2025 22:25,,"вул. Соборна, 42",Фастів,0
1651204094,6969923,ARTLINE,Моноблок ARTLINE Business M65 Windows 11 Pro (M65v24Win),34692,2825921,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M65 Windows 11 Pro (M65v24Win),,34695,1,https://comfy.ua/komp-juter-monoblok-artline-business-m65-windows-11-pro-m65v24win.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1651205054,6969924,ARTLINE,Моноблок  ARTLINE Business M65 Windows 11 Pro (M65v25Win),36582,2825923,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M65 Windows 11 Pro (M65v25Win),,36585,1,https://comfy.ua/komp-juter-monoblok-artline-business-m65-windows-11-pro-m65v25win.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1651206445,6969926,ARTLINE,Моноблок ARTLINE Business M67 (M67v18),37758,2825926,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M67 (M67v18),,37759,1,https://comfy.ua/komp-juter-monoblok-artline-business-m67-m67v18.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1651206543,6969925,ARTLINE,Моноблок ARTLINE Business M65 Windows 11 Pro (M65v26Win),38934,2825925,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M65 Windows 11 Pro (M65v26Win),,38935,1,https://comfy.ua/komp-juter-monoblok-artline-business-m65-windows-11-pro-m65v26win.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1651206925,6969927,ARTLINE,Моноблок ARTLINE Business M67 (M67v19),39648,2825928,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M67 (M67v19),,39649,1,https://comfy.ua/komp-juter-monoblok-artline-business-m67-m67v19.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1651207513,,,,,2688616,Инструменты и автотовары >> Ручные инструменты,milwaukee,Набір викруток Milwaukee 2 шт. (4932471872),,659,1,https://comfy.ua/nabor-otvertok-milwaukee-2-sht-4932471872.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1651208642,6969928,ARTLINE,Моноблок ARTLINE Business M67 (M67v20),44142,2825930,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M67 (M67v20),,44145,1,https://comfy.ua/komp-juter-monoblok-artline-business-m67-m67v20.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1651210869,6969929,ARTLINE,Моноблок ARTLINE Business M67 Windows 11 Pro (M67v18Win),44352,2825927,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M67 Windows 11 Pro (M67v18Win),,44355,1,https://comfy.ua/komp-juter-monoblok-artline-business-m67-windows-11-pro-m67v18win.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1651216195,,,,,2761136,Детские товары >> Кормление,babyono,Механічний молоковідсмоктувач BabyOno Лактатор-коллектор под бюстгалтер (1400),,529,1,https://comfy.ua/mehanicheskij-molokootsos-babyono-laktator-kollektor-pod-bjustgalter-1400.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1651217265,6949307,NEO TOOLS,"""Набор инструментов Neo Tools 1/2"""", 1/4"""", 3/8"""", CrV 126 шт (10-070)""",9239,2779822,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Neo Tools,neo-tools,"""Набір торцевих голівок Neo Tools 1/2"""", 1/4"""", 3/8"""" 126 шт. (10-070)""",,9239,1,https://comfy.ua/nabor-torcevyh-golovok-neo-tools-1-2-1-4-3-8-126-sht-10-070.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
