744651153,,,,,1678801,Посуда >> Для приготовления,tescoma,Ківш tescoma 780341 President Stone 16 см 1.3 л з кришкою,,2699,1,https://comfy.ua/catalog/product/view/id/1376473,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
744651733,6619632,MYSTERY,Телевизор MYSTERY MTV-3220HST2,5499,1681546,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры Mystery,mystery,Телевізор Mystery MTV-3220HST2,,4999,1,https://comfy.ua/televizor-mystery-mtv-3220hst2.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
744664845,,,,,1681669,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Перехідник USB-C - USB XOKO AC-230 Black (XK-AC230-BK),,79,1,https://comfy.ua/perehodnik-xoko-ac-230-black-xk-ac230-bk.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
744665512,,,,,1682775,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Перехідник аудіо XOKO USB Type-C - AUX mini jack 3.5 мм 2 в 1 (AC-205-SLV),,99,1,https://comfy.ua/perehodnik-audio-xoko-usb-type-c-aux-mini-jack-3-5-mm-2-v-1-ac-205-slv.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
744733587,,,,,1685375,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Panasonic 220V 15.6V 125W 8A (5.5*2.5) (PC125S5525),,1199,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-panasonic-220v-15-6v-125w-8a-5-5-2-5-pc125s5525.html,,05.11.2025 22:27,,"вул. Соборна, 42",Фастів,0
744733644,,,,,.1685223,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 623062 Delicia 24 x 24 см,,649,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-623062-delicia-24-x-24-sm.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
744734745,,,,,1678801,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Tescoma,tescoma,Ківш tescoma 780341 President Stone 16 см 1.3 л з кришкою,,2699,1,https://comfy.ua/kovsh-tescoma-780341-president-stone-16-sm-1-3-l-s-kryshkoj.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
744735381,,,,,1680390,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tescoma,tescoma,Шумовка tescoma 638058 Space Tone,,309,1,https://comfy.ua/shumovka-tescoma-638058-space-tone.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
744812460,6630996,MICROLAB,Колонки MICROLAB Black (TMN-9U),3699,1686484,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Microlab",microlab,Комп'ютерна акустика 2.1 Microlab TMN-9U Black,,3699,1,https://comfy.ua/komp-juternaja-akustika-2-1-microlab-tmn-9u-black.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
744814793,,,,,1686378,Техника для кухни >> Крупная техника,snaige,Холодильник Snaige CD29DM-S300S,,22499,1,https://comfy.ua/catalog/product/view/id/1382403,23999,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
744814956,,,,,1683240,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Х550 графіт, з термотаймером",,4869,1,https://comfy.ua/konvektor-africa-h550-grafit-s-termotajmerom.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
744814961,,,,,1683229,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA А700 бежевий, з еко-конвекцією",,5449,1,https://comfy.ua/konvektor-africa-a700-bezhevyj-s-jeko-konvekciej.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
744815536,,,,,1580695,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Gorenje,gorenje,Водонагрівач Gorenje GBF 50 V9,,8599,1,https://comfy.ua/vodonagrevatel-gorenje-gbf-50-v9.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
744830290,,,,,1683237,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Т700 бежевий, з еко-конвекцією і терморегулятором",,6499,1,https://comfy.ua/konvektor-africa-t700-bezhevyj-s-jeko-konvekciej-i-termoreguljatorom.html,7250,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
744830292,,,,,1683241,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Х750 бежевий, з термотаймером",,6449,1,https://comfy.ua/konvektor-africa-h750-bezhevyj-s-termotajmerom.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
744830431,,,,,1683254,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA А1000 бежевий, з подвійною еко-конвекцією",,6949,1,https://comfy.ua/konvektor-africa-a1000-bezhevyj-s-dvojnoj-jeko-konvekciej.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
744830433,,,,,1683246,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Х900 бежевий, з еко-конвекцією і термотаймером",,7549,1,https://comfy.ua/konvektor-africa-h900-bezhevyj-s-jeko-konvekciej-i-termotajmerom.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
744830462,,,,,1683257,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Т1000 бежевий, з подвійною еко-конвекцією і терморегулятором",,8549,1,https://comfy.ua/konvektor-africa-t1000-bezhevyj-s-dvojnoj-jeko-konvekciej-i-termoreguljatorom.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
744830465,,,,,1683260,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Х1200 бежевий, з подвійною еко-конвекцією і термотаймером",,8325,1,https://comfy.ua/konvektor-africa-h1200-bezhevyj-s-dvojnoj-jeko-konvekciej-i-termotajmerom.html,9250,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
