1661461556,column,column,column,column,2832269,_________ronix,ronix,__ronix_8655,column,7999,1,httpscomfyuagajkovertakkumuljatornyjronix8655html,column,05112025_2108,column,__42,Фастів,0
1661498779,,,,,.2840738,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Блок живлення для ПК Gamemax 750W 80 Gold (GX-750 PRO WH),,4379,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-750w-80-gold-gx-750-pro-wh.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1661498780,,,,,.2826140,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Блок живлення для ПК Gamemax ATX 850W (GX-850 PRO WT),,4529,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-atx-850w-gx-850-pro-wt.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1661498781,,,,,.2826131,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Блок живлення для ПК Gamemax GX-1050 PRO WT (ATX3.0PCIe5.0),,5059,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-atx-1050w-gx-1050-pro-wt.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1661498823,,,,,2832593,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Блок живлення для ПК Chieftec CPX-750FC,,4999,1,https://comfy.ua/blok-pitanija-dlja-pk-chieftec-cpx-750fc.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1661498827,,,,,.2837349,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Блок живлення для ПК Asus ROG STRIX 750W 80+ Gold (ROG-STRIX-750G-AURA),,9149,1,https://comfy.ua/blok-pitanija-dlja-pk-asus-rog-strix-750w-80-gold-rog-strix-750g-aura.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1661517632,,,,,.2892852,Техника для кухни >> Мелкая техника,eta,Міксер ETA Cuore 1089 90000 White,,1599,1,https://comfy.ua/mikser-eta-cuore-1089-90000-white.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1661517638,,,,,.2892850,Техника для кухни >> Мелкая техника,eta,Міксер з чашею ETA Cuore 2089 90000,,2299,1,https://comfy.ua/mikser-s-chashej-eta-cuore-2089-90000.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1661526287,6974896,VENTOLUX,Духовой шкаф VENTOLUX LAS VEGAS 6 TC AF (BK),13089,2837279,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Ventolux,ventolux,Духова шафа електрична Ventolux LAS VEGAS 6 TC AF (BK),,13089,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-ventolux-las-vegas-6-tc-af-bk.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1661527214,,,,,2899641,Техника для кухни >> Крупная техника,eta,Мікрохвильова піч (НВЧ) вбудовувана ETA 479990000,,7899,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-eta-479990000.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1661534752,7085557,NEBULOUS STARS,Набор для творчества Nebulous Stars Гратаж: Звездные гравюры (11014),525,2368935,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Nebulous Stars,nebulous-stars,Гравюра (скрапбукінг) Nebulous Stars Гратаж. Магічна галактика (11014),,399,1,https://comfy.ua/gravjura-skrapbuking-nebulous-stars-gratazh-magicheskaja-galaktika-11014.html,525,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
