1687043532,6985013,GRUNHELM,Плита комбинированная GRUNHELM F66234I,15399,2919002,Техника для кухни >> Крупная техника >> Плиты >> Плиты Grunhelm,grunhelm,Плита газова Grunhelm F66234I,,15399,1,https://comfy.ua/plita-gazovaja-grunhelm-f66234i.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1687077097,,,,,2944642,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",logan,Мережевий фільтр Logan SFG3-1.5 сірий,,199,1,https://comfy.ua/setevoj-fil-tr-logan-sfg3-1-5-seryj.html,249,05.11.2025 17:15,,"вул. Соборна, 42",Фастів,2
1687077098,,,,,2944641,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",logan,Мережевий фільтр Logan SFWU5-3 білий,,429,1,https://comfy.ua/setevoj-fil-tr-logan-sfwu5-3-belyj.html,549,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,1
1687077399,6987619,INDESIT,Встраиваемая посудомоечная машина INDESIT D2I HL326,14499,2849115,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Indesit,indesit,Посудомийна машина вбудована Indesit D2IHL326,,14499,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-indesit-d2ihl326.html,14999,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1687077400,6990403,INDESIT,Встраиваемая посудомоечная машина INDESIT D2I HD524 A,14999,2849116,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Indesit,indesit,Посудомийна машина вбудована Indesit D2IHD524A,,14999,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-indesit-d2ihd524a.html,15499,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1687077667,6972705,KRAUFF,Термос KRAUFF 500 мл Бирюзовый (26-203-101),299,2894744,Посуда >> Для напитков >> Термопосуда >> Термопосуда Krauff,krauff,Термос Krauff 500 мл (26-203-101),,339,1,https://comfy.ua/termos-krauff-500-ml-26-203-101.html,567,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1687077782,,,,,.2904981,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",case-logic,"""Сумка для ноутбуку Case Logic Invigo Eco Sleeve 14"""" INVIS-114 Black (3205100)""",,1749,1,https://comfy.ua/sumka-dlja-noutbuka-case-logic-invigo-eco-sleeve-14-invis-114-black-3205100.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1687078337,6972672,KRAUFF,Набор разделочных досок KRAUFF 3 шт (29-305-099),525,2949329,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Krauff,krauff,Дошка обробна Krauff 29-305-099 3 шт.,,525,1,https://comfy.ua/razdelochnaja-doska-krauff-29-305-099-3-sht.html,700,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1687078457,6949851,BERGNER,"Шумовка BERGNER Gizmo 33,5 см (BG-3062)",209,2799369,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Bergner,bergner,"Шумовка Bergner Gizmo 33,5 см (BG-3062)",,209,1,https://comfy.ua/shumovka-bergner-gizmo-33-5-sm-bg-3062.html,299,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1687078467,,,,,2894214,Посуда >> Для приготовления,krauff,Кришка для посуду Krauff 24- 28 см (29-305-093),,525,1,https://comfy.ua/kryshka-dlja-posudy-krauff-24-28-sm-29-305-093.html,1110,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1687078776,,,,,2876025,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения Gemix",gemix,Стабілізатор напруги Gemix GDX-8000,,10689,1,https://comfy.ua/stabilizator-naprjazhenija-gemix-gdx-8000.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1687079172,6987838,KRAUFF,Сковорода KRAUFF Fry Power 24 см Grey (25-45-127),499,2894622,Посуда >> Для приготовления >> Сковороды >> Сковороды Krauff,krauff,Сковорода універсальна Krauff 25-45-127,,421,1,https://comfy.ua/skovoroda-universal-naja-krauff-25-45-127.html,768,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1687079261,6987842,KRAUFF,Сковорода Вок KRAUFF Fry Power 28 см Grey (25-45-132),699,2894621,Посуда >> Для приготовления >> Сковороды >> Сковороды Krauff,krauff,Сковорода ВОК Krauff 25-45-132,,699,1,https://comfy.ua/skovoroda-vok-krauff-25-45-132.html,1076,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1687092116,,,,,.2904196,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Блок живлення для ПК Gamemax ATX 850W 80 Gold (RGB850 PRO),,4229,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-atx-850w-80-gold-rgb850-pro.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1687095114,6989565,ARDESTO,Мясорубка ARDESTO MGA-2000W,2199,2953533,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Ardesto,ardesto,М'ясорубка Ardesto MGA-2000W,,2299,1,https://comfy.ua/mjasorubka-ardesto-mga-2000w.html,2499,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1687095115,6989566,ARDESTO,Мясорубка ARDESTO MGA-2300W,2999,2953534,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Ardesto,ardesto,М'ясорубка Ardesto MGA-2300W,,2999,1,https://comfy.ua/mjasorubka-ardesto-mga-2300w.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1687095116,6989567,ARDESTO,Мясорубка ARDESTO MGA-3000W,4999,2953535,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Ardesto,ardesto,М'ясорубка Ardesto MGA-3000W,,4999,1,https://comfy.ua/mjasorubka-ardesto-mga-3000w.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1687095734,,,,,.2957377,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Водяна система охолодження Asus ROG Strix LC III 240 ARGB (90RC00S1-M0UAY0),,8909,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-asus-rog-strix-lc-iii-240-argb-90rc00s1-m0uay0.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1687095735,,,,,.2957376,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Водяна система охолодження Asus ROG Strix LC III 240 ARGB WHT (90RC00S2-M0UAY0),,9859,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-asus-rog-strix-lc-iii-240-argb-wht-90rc00s2-m0uay0.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
