807254670,column,column,column,column,1745256,comfy_kids_____________canpol_babies,canpolbabies,___canpol_babies___120__42202,column,209,1,httpscomfyuabutylochkadljakormlenijacanpolbabiessrisunkom120ml42202html,column,05112025_2146,column,__42,Фастів,0
807254689,,,,,1745220,Comfy KIDS >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Lovi,lovi,Пляшка для годування Lovi Набор сохраняющий сосательный рефлекс_150 мл. + пустышка BB (0204exp),,399,1,https://comfy.ua/butylochka-dlja-kormlenija-lovi-nabor-sohranjajuschij-sosatel-nyj-refleks-150-ml-pustyshka-bb-0204exp.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
807254691,,,,,1745241,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Lovi",lovi,Пляшка для годування Lovi Medical + 330 мл. (BPA 0%) (export) (21/560),,365,1,https://comfy.ua/butylochka-dlja-kormlenija-lovi-medical-330-ml-bpa-0-export-21-560.html,439,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
807254692,,,,,1745237,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"Пляшка для годування Canpol babies антиколікова з широким горлом PP Easy Start, Royal baby синя, 240 мл. (35/234_blu)",,259,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-antikolikovaja-s-shirokim-gorlom-pp-easy-start-royal-baby-sinjaja-240-ml-35-234-blu.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
807254693,,,,,1745208,Детские товары >> Кормление,canpol-babies,"Пляшка для годування Canpol babies Антиколікова з широкою шийкою Easy Start - Різнокольорові звірі, 120 мл. (35/205)",,199,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-antikolikovaja-s-shirokim-gorlyshkom-easy-start-raznocvetnye-zveri-120-ml-35-205.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
807254694,,,,,1745236,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"Пляшка для годування Canpol babies антиколікова з широким горлом PP Easy Start Bonjour Paris синя, 240 мл. (35/232_blu)",,245,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-antikolikovaja-s-shirokim-gorlom-pp-easy-start-bonjour-paris-sinjaja-240-ml-35-232-blu.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
807254695,,,,,1745207,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Lovi",lovi,Пляшка для годування Lovi Самостерилизующаяся. 150 мл.  (super vent) (21/572),,339,1,https://comfy.ua/butylochka-dlja-kormlenija-lovi-samosterilizujuschajasja-150-ml-super-vent-21-572.html,399,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
807254698,,,,,1745240,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Lovi",lovi,"Пляшка для годування Lovi PP (super vent), 250 мл. (21/562)",,362,1,https://comfy.ua/butylochka-dlja-kormlenija-lovi-pp-super-vent-250-ml-21-562.html,429,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
807254699,,,,,1745239,"Comfy KIDS >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"Пляшка для годування Canpol babies PP LOVE & SEA, 250 мл. (59/400)",,159,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-pp-love-sea-250-ml-59-400.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
807254701,,,,,1745206,"Comfy KIDS >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"Пляшка для годування Canpol babies з малюнком (BPA 0%), 120 мл. (59/100)",,145,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-s-risunkom-bpa-0-120-ml-59-100.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
807254704,,,,,1745205,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"Пляшка для годування Canpol babies антиколікова з широким горлом PP Easy Start Bonjour Paris - рожева, 120 мл. (35/231_pin)",,235,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-antikolikovaja-s-shirokim-gorlom-pp-easy-start-bonjour-paris-rozovaja-120-ml-35-231-pin.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
807254706,,,,,1745204,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"Пляшка для годування Canpol babies антиколікова з широким горлом PP Easy Start Bonjour Paris - синя, 120 мл. (35/231_blu)",,275,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-antikolikovaja-s-shirokim-gorlom-pp-easy-start-bonjour-paris-sinjaja-120-ml-35-231-blu.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
807254707,,,,,1745226,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"Пляшка для годування Canpol babies антиколікова з широким горлом PP Easy Start, Royal baby рожева, 240 мл. (35/234_pin)",,249,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-antikolikovaja-s-shirokim-gorlom-pp-easy-start-royal-baby-rozovaja-240-ml-35-234-pin.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
807254709,,,,,1745225,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"Пляшка для годування Canpol babies антиколікова з широким горлом PP Easy Start Bonjour Paris рожева, 240 мл. (35/232_pin)",,245,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-antikolikovaja-s-shirokim-gorlom-pp-easy-start-bonjour-paris-rozovaja-240-ml-35-232-pin.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
807254710,,,,,1745202,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"Пляшка для годування Canpol babies антиколікова з широким горлом PP Easy Start - Jungle коралова, 120 мл. (35/226_cor)",,209,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-antikolikovaja-s-shirokim-gorlom-pp-easy-start-jungle-korallovaja-120-ml-35-226-cor.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
807254712,,,,,.1745197,Детские товары >> Кормление,canpol-babies,"Пляшка для годування Canpol babies колекція HAPPY ANIMALS з малюнком і ручкою (BPA 0%), 120 мл. (11/823)",,199,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-kollekcija-happy-animals-s-risunkom-i-ruchkoj-bpa-0-120-ml-11-823.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
807254714,,,,,1745224,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"""Пляшка для годування Canpol babies Антиколікова з широким горлом Easy Start - """"Іграшки"""" рожева лялька, 240 мл. (35/221_pin)""",,249,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-antikolikovaja-s-shirokim-gorlom-easy-start-igrushki-rozovaja-kukla-240-ml-35-221-pin.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
807254715,,,,,1745223,"Comfy KIDS >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"Пляшка для годування Canpol babies Антиколікова з широкою шийкою Easy Start-Newborn baby рожеві квіти, 240 мл. (35/217_pin)",,275,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-antikolikovaja-s-shirokim-gorlyshkom-easy-start-newborn-baby-rozovye-cvety-240-ml-35-217-pin.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
807254716,,,,,1740477,Детские товары >> Кормление,canpol-babies,Пляшка для годування Canpol babies Newborn 120 мл Блакитна (35/216_blu),,259,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-newborn-120-ml-golubaja-35-216-blu.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
807254719,,,,,1745219,Детские товары >> Кормление,canpol-babies,"Пляшка для годування Canpol babies Антиколікова з широким горлом Easy Start Newborn Baby рожеві квіти, 120 мл. (35/216_pin)",,259,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-antikolikovaja-s-shirokim-gorlom-easy-start-newborn-baby-rozovye-cvety-120-ml-35-216-pin.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
807254720,,,,,1745218,"Comfy KIDS >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"Пляшка для годування Canpol babies Антиколікова з широкою шийкою Easy Start - Різнокольорові звірі, 240 мл. (35/206)",,249,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-antikolikovaja-s-shirokim-gorlyshkom-easy-start-raznocvetnye-zveri-240-ml-35-206.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
807254724,,,,,1745215,"Comfy KIDS >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"Пляшка для годування Canpol babies PP LOVE & SEA, 120 мл. (59/300)",,155,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-pp-love-sea-120-ml-59-300.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
807254769,6571924,NUVITA,Бутылочка NUVITA Mimic Cool 330 мл Green (NV6052GREEN),199,1738262,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Nuvita",nuvita,Пляшка для годування Nuvita Антиколікова Mimic Cool 330 мл Green (NV6052GREEN),,199,1,https://comfy.ua/butylochka-dlja-kormlenija-nuvita-antikolikovaja-mimic-cool-330-ml-green-nv6052green.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
807311598,7083943,VLADI TOYS,Набор для творчества Vladi Toys Мягкая мозаика Улитка (VT4511-01),164,1765351,Детские товары >> Творчество и развитие,vladi-toys,"""Стікерна мозаїка Vladi Toys м'яка """"Равлик"""" (укр) (VT4511-01)""",,168,1,https://comfy.ua/catalog/product/view/id/2095523,195,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
807353809,6729770,VENTOLUX,Духовой шкаф VENTOLUX SOHO 6 MT (BK),10888,1754518,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Ventolux,ventolux,Духова шафа електрична Ventolux SOHO 6 MT (BK),,10889,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-ventolux-soho-6-mt-bk.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
807353827,7071086,BRUDER,Фигурки полицейский с собакой BRUDER (62150),945,1768526,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки BRUDER,bruder,Набір ігрових фігурок BRUDER Поліцейський з собакою (62150),,1039,1,https://comfy.ua/nabor-igrovyh-figurok-bruder-policejskij-s-sobakoj-62150.html,,06.11.2025 1:11,,"вул. Соборна, 42",Фастів,0
807353874,7083943,VLADI TOYS,Набор для творчества Vladi Toys Мягкая мозаика Улитка (VT4511-01),164,1765351,Детские товары >> Творчество и развитие >> Мозаика >> Мозаика Vladi Toys,vladi-toys,"""Стікерна мозаїка Vladi Toys м'яка """"Равлик"""" (укр) (VT4511-01)""",,168,1,https://comfy.ua/stikernaja-mozaika-vladi-toys-mjagkaja-ulitka-ukr-vt4511-01.html,195,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
807353880,,,,,1765282,Детские товары >> Игрушки >> Пазлы >> Пазлы Vladi Toys,vladi-toys,"""Пазли (до 2 років) Vladi Toys А5 """"Бегемотики"""" (укр) (VT3205-76)""",,71,1,https://comfy.ua/pazly-magnitnye-do-2-let-vladi-toys-a5-begemotiki-ukr-vt3205-76.html,,06.11.2025 1:31,,"вул. Соборна, 42",Фастів,0
807353916,,,,,1765145,Comfy KIDS >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Vladi Toys,vladi-toys,Настільна гра (3-4 роки) Vladi Toys Абетка для самих маленьки (укр) (VT2911-10),,339,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-3-4-goda-vladi-toys-azbuka-dlja-samyh-malen-ki-ukr-vt2911-10.html,,06.11.2025 0:40,,"вул. Соборна, 42",Фастів,0
807353955,6794150,VENTOLUX,Варочная поверхность VENTOLUX HG622 B9G RCS I (BK),14199,1738102,Техника для кухни >> Крупная техника,ventolux,Варильна поверхня газова Ventolux HG622 B9G RCS I (BK),,8899,1,https://comfy.ua/varochnaja-panel-gazovaja-ventolux-hg622-b9g-rcs-i-bk.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
807408788,6439676,NUVITA,Набор ложек NUVITA Розовый и салатовый 7 шт (NV1410Pink),129,1770905,Детские товары >> Кормление,nuvita,Набір дитячих столових приборів для малюка Nuvita 6м + 7 шт. Рожевий/Салатовий (NV1410Pink),,129,1,https://comfy.ua/catalog/product/view/id/2098103,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
807416537,6733386,WHIRLPOOL,Встраиваемая посудомоечная машина WHIRLPOOL WIC 3C33 PFE,19999,1771077,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Whirlpool,whirlpool,Посудомийна машина вбудована Whirlpool WIC 3C33 PFE,,18499,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-whirlpool-wic-3c33-pfe.html,21499,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,1
807551496,,,,,1771239,Техника для дома >> Крупная техника,miele,Пральна машина Miele WSA 023 WCS,,47219,1,https://comfy.ua/catalog/product/view/id/2100553,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
807551990,,,,,1771048,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED В40 4.5W 470Lm 2700К+RGB E14 пульт ДУ (4058075430853),,219,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-v40-4-5w-470lm-2700k-rgb-e14-pul-t-du-4058075430853.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
807552209,6677052,WHIRLPOOL,Варочная поверхность WHIRLPOOL GMWL728IXL,16099,1770912,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Whirlpool,whirlpool,Варильна поверхня газова Whirlpool GMWL 728/IXL,,16099,1,https://comfy.ua/varochnaja-panel-gazovaja-whirlpool-gmwl-728-ixl.html,17399,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
807552315,,,,,1769679,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Smeg,smeg,Міксер Smeg HMF01CREU Cream,,6199,1,https://comfy.ua/mikser-smeg-hmf01creu-cream.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
807552317,,,,,1769681,Техника для кухни >> Мелкая техника,smeg,Міксер Smeg HMF01RDEU Red,,6199,1,https://comfy.ua/mikser-smeg-hmf01rdeu-red.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
807553713,,,,,1772260,Детские товары >> Школа,cubby,Парта шкільна Cubby Nerine Grey,,8490,1,https://comfy.ua/catalog/product/view/id/2102163,9589,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
807556089,,,,,1768120,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,Підставка під ноутбук охолоджуюча 2E Gaming 2E-CPG-004 Black,,1399,1,https://comfy.ua/podstavka-pod-noutbuk-2e-gaming-2e-cpg-004-black.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
807556090,,,,,1768121,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,Підставка під ноутбук охолоджуюча 2E Gaming 2E-CPG-005 Black,,1399,1,https://comfy.ua/podstavka-pod-noutbuk-2e-gaming-2e-cpg-005-black.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
807561538,,,,,1772260,Comfy KIDS >> Школа >> Мебель для школы >> Мебель для школы Cubby,cubby,Парта шкільна Cubby Nerine Grey,,8490,1,https://comfy.ua/parta-shkol-naja-cubby-nerine-grey.html,9589,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
807561557,,,,,1772396,Детские товары >> Школа,fundesk,Комплект меблів шкільний 2 елементи FunDesk Сantare Grey,,4389,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-fundesk-santare-grey.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
807561560,,,,,1771981,Детские товары >> Школа,cubby,Парта шкільна Cubby Ammi Grey,,10489,1,https://comfy.ua/parta-shkol-naja-cubby-ammi-grey.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
807561613,6832569,MIELE,Стиральная машина MIELE WSA 023 WCS (11SA0231UA),47219,1771239,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Miele,miele,Пральна машина Miele WSA 023 WCS,,47219,1,https://comfy.ua/stiral-naja-mashina-miele-wsa-023-wcs.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
807561636,,,,,1768522,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,Наземна будівельна техніка BRUDER Міні-екскаватор CAT (02456),,1645,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-bruder-mini-jekskavator-cat-02456.html,,06.11.2025 0:14,,"вул. Соборна, 42",Фастів,0
807561639,,,,,1768521,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,Наземна будівельна техніка BRUDER Ратрак Prinoth Leitwolf (02545),,4389,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-bruder-ratrak-prinoth-leitwolf-02545.html,,06.11.2025 0:04,,"вул. Соборна, 42",Фастів,0
807561665,6611251,GOKI,Шнуровка Goki бусы в боксе (58498G),300,1771032,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки goki,goki,Настільна гра (5-7 років) goki Намистини в боксі (58498G),,399,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-5-7-let-goki-businy-v-bokse-58498g.html,,06.11.2025 1:28,,"вул. Соборна, 42",Фастів,0
