1353919978,column,column,column,column,2082817,"Дом, отдых и зоотовары >> Текстиль",ekopups,______premium__70140255___70140,column,955,1,httpscomfyuanamatrasnikdetskijjekopupsnepromokaemyjcheholpremiumrazmer70h140h255smbelyjpnamch70140bhtml,column,05112025_1939,column,__42,Фастів,0
1354895853,6820322,ARDESTO,Набор чайных ложек ARDESTO Gemini Salerno 6 пр. (AR1906ST),225,2076166,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ardesto,ardesto,Набір чайних ложок Ardesto Gemini Salerno 6 пр. (AR1906ST),,239,1,https://comfy.ua/nabor-chajnyh-lozhek-ardesto-gemini-salerno-6-pr-ar1906st.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1354895924,6820303,ARDESTO,Набор детских столовых приборов ARDESTO Animals 4 пр (AR0704AS),255,2076157,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ardesto,ardesto,Набір столових приборів Ardesto Animals 4 пр. (AR0704AS),,255,1,https://comfy.ua/nabor-stolovyh-priborov-ardesto-animals-4-pr-ar0704as.html,349,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1354896086,6811493,ARDESTO,Набор столовых ножей ARDESTO Black Mars Charm 6 предметов (AR0706CK),490,2076159,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ardesto,ardesto,Набір ножів столових Ardesto Black Mars Charm 6 пр. (AR0706CK),,545,1,https://comfy.ua/nabor-nozhej-stolovyh-ardesto-black-mars-charm-6-pr-ar0706ck.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
1354905619,,,,,1720204,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Stark,stark,Набір викруток Stark 6 шт. (502608000),,179,1,https://comfy.ua/nabor-otvertok-stark-6-sht-502608000.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
1354913033,6811449,XBOX,Игровая приставка XBOX Series X 1TB (RRT-00010),39999,2086535,Игровые консоли и гейминг >> Игровые консоли >> Игровые консоли все >> Игровые консоли все Xbox,xbox,Ігрова приставка Xbox Series X,,39999,1,https://comfy.ua/igrovaja-pristavka-xbox-series-x.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1354914865,,,,,2082715,Детские товары >> Кормление >> Нагрудники детские >> Нагрудники детские ЕКО ПУПС,eko-pups,Слинявчик ЕКО ПУПС Jersey Abso 25х20 см (WBBJA015),,159,1,https://comfy.ua/sljunjavchik-jeko-pups-jersey-abso-25h20-sm-wbbja015.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1354914866,,,,,2082720,Детские товары >> Кормление >> Нагрудники детские >> Нагрудники детские ЕКО ПУПС,eko-pups,Нагрудник тканинний ЕКО ПУПС Jersey Abso 26х31 см (WBJA014),,145,1,https://comfy.ua/nagrudnik-tkanevyj-jeko-pups-jersey-abso-26h31-sm-wbja014.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
1354914867,,,,,2082719,Детские товары >> Кормление >> Нагрудники детские >> Нагрудники детские ЕКО ПУПС,eko-pups,Нагрудник тканинний ЕКО ПУПС Jersey Abso 26х31 см (WBJA013),,145,1,https://comfy.ua/nagrudnik-tkanevyj-jeko-pups-jersey-abso-26h31-sm-wbja013.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
1354925845,,,,,.2045922,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфона DEVIA Xiaomi Redmi Note 11/Note 11S матова (DV-XM-RMNT11-11sU),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-xiaomi-redmi-note-11-note-11s-matovaja-dv-xm-rmnt11-11su.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1354990581,,,,,2088841,Смартфоны и телефоны >> Аксессуары для смартфонов,proda,Мережевий зарядний пристрій Proda PD-A43i USB 2.4A + USB Lightning кабель 1 м White (PD-A43i-WHT),,149,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-proda-pd-a43i-usb-2-4a-usb-lightning-kabel-1-m-white-pd-a43i-wht.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1354990916,,,,,2086877,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Peg-Perego,peg-perego,Сумка для коляски Peg-Perego Borsa Grafic Gold (IABO4700-AB50RO01),,2200,1,https://comfy.ua/sumka-dlja-koljaski-peg-perego-borsa-grafic-gold-iabo4700-ab50ro01.html,2765,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1354990917,,,,,2086878,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Peg-Perego,peg-perego,Сумка для коляски Peg-Perego Borsa Mon Amour (IABO4700-BA36BI29),,2999,1,https://comfy.ua/sumka-dlja-koljaski-peg-perego-borsa-mon-amour-iabo4700-ba36bi29.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1354990941,,,,,2086885,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Peg-Perego,peg-perego,Люлька для коляски Peg-Perego Culla Grande Red Shine (IN14770000MU49),,7000,1,https://comfy.ua/ljul-ka-dlja-koljaski-peg-perego-culla-grande-red-shine-in14770000mu49.html,8799,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
1355299688,6861236,ROWENTA,Фен-щетка ROWENTA CF9720F0,3299,2066136,Красота и здоровье >> Уход за волосами >> Фен-щетки >> Фен-щетки Rowenta,rowenta,Фен-щітка Rowenta CF9720F0,,3299,1,https://comfy.ua/fen-schetka-rowenta-cf9720f0.html,3999,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1355430129,6837543,TEFAL,Утюг TEFAL ULTIMATE PURE FV9835E0,4599,2070168,Техника для дома >> Мелкая техника >> Утюги >> Утюги Tefal,tefal,Праска Tefal FV9835E0,,4599,1,https://comfy.ua/utjug-tefal-fv9835e0.html,5199,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1355467673,6825472,ROWENTA,Выпрямитель ROWENTA VOLUMIZER SF4655F0,1399,2066132,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Rowenta,rowenta,Вирівнювач волосся Rowenta SF4655F0,,1399,1,https://comfy.ua/vyprjamitel-volos-rowenta-sf4655f0.html,2399,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
