719194754,column,column,column,column,1668664,________________mikrotik,mikrotik,___switch_mikrotik_crs3181fi15fr2sout,column,6409,1,httpscomfyuakommutatorlokalnojsetiswitchmikrotikcrs3181fi15fr2southtml,column,05112025_1810,column,__42,Фастів,0
719231760,,,,,1669129,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Адаптер мережі Bluetooth USB TP-Link UB4A,,279,1,https://comfy.ua/usb-adapter-seti-wifi-tp-link-ub4a.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
719231787,,,,,.1668674,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",transcend,Кардрідер Transcend TS-RDC8K2 USB 3.1 Gen 1 Type-C,,949,1,https://comfy.ua/kardrider-transcend-ts-rdc8k2-usb-3-1-gen-1-type-c.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
719231788,,,,,.1668207,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",transcend,Кардрідер Transcend USB 3.2 Gen 1 Type-C SD/microSD Black (TS-RDC3),,759,1,https://comfy.ua/kardrider-transcend-usb-3-2-gen-1-type-c-sd-microsd-black-ts-rdc3.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
719232155,6788454,EMOS,Комплект велосипедных фонарей EMOS P3922,549,1668650,"Дом, отдых и зоотовары >> Освещение",emos,"Ліхтар велосипедний EMOS Комплект, передній+габаритний (P3922)",,555,1,https://comfy.ua/fonar-velosipednyj-emos-p3922-2-sht.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
719232167,,,,,1662603,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Ryobi,ryobi,Гайковерт акумуляторний Ryobi ONE+ R18iW3-0 без АКБ и ЗН,,6655,1,https://comfy.ua/gajkovert-akkumuljatornyj-ryobi-one-r18iw3-0-bez-akb-i-zn.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
719232181,,,,,1662441,Инструменты и автотовары >> Электроинструменты >> Пилы цепные и сабельные >> Пилы цепные и сабельные Ryobi,ryobi,Пила шабельна Ryobi RRS1200-K,,5599,1,https://comfy.ua/pila-sabel-naja-ryobi-rrs1200-k.html,5999,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
719234724,6626558,TP-LINK,Wi-Fi роутер TP-LINK Archer C24,999,1669148,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет TP-Link",tp-link,Маршрутизатор інтернет WiFi5 TP-Link Archer C24,,999,1,https://comfy.ua/marshrutizator-ethernet-tp-link-archer-c24.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
719234893,,,,,1664793,Техника для кухни >> Крупная техника,interline,Варильна поверхня Domino Interline HGG 734 FGT BA,,4999,1,https://comfy.ua/catalog/product/view/id/1269363/s/varochnaja-panel-domino-interline-hgg-734-fgt-ba,5799,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
719242901,6619570,WHIRLPOOL,Варочная поверхность WHIRLPOOL WSQ2760BF,16999,1670096,Техника для кухни >> Крупная техника,whirlpool,Варильна поверхня електрична Whirlpool WSQ2760BF,,16999,1,https://comfy.ua/catalog/product/view/id/1269573,18399,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
719248202,6892161,HANSA,Плита комбинированная HANSA FCMS68249,18399,1670328,Техника для кухни >> Крупная техника,hansa,Плита газова Hansa FCMS68249,,18399,1,https://comfy.ua/catalog/product/view/id/1269853,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
719248857,,,,,1662436,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Ryobi,ryobi,Станок Ryobi RTS1800-G,,16599,1,https://comfy.ua/stanok-ryobi-rts1800-g.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
719248869,,,,,1662743,Инструменты и автотовары >> Электроинструменты >> Фены технические >> Фены технические Ryobi,ryobi,Технічний фен Ryobi EHG2000,,1799,1,https://comfy.ua/tehnicheskij-fen-ryobi-ehg2000.html,1999,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
719248935,,,,,1662440,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Ryobi,ryobi,З/П до акумуляторної батареї для електроінструментів Ryobi ONE+ RC18-150,,2499,1,https://comfy.ua/z-u-k-akkumuljatornoj-bataree-dlja-jelektroinstrumentov-ryobi-one-rc18-150.html,3099,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
719249126,6604492,TOP TOOLS,Набор ключей TOP TOOLS 8 пр (35D055),58,1576911,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Top Tools,top-tools,Набір шестигранних ключів Top Tools 35D055 8 шт.,,59,1,https://comfy.ua/nabor-shestigrannyh-kljuchej-top-tools-35d055-8-sht.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
719249162,6458203,СТАЛЬ,"Ключ разводной СТАЛЬ 300 мм, хромированный (41073)",453,1666560,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Сталь,stal,Развідний ключ Сталь 41073 300 мм,,455,1,https://comfy.ua/razvodnoj-kljuch-stal-41073-300-mm.html,,05.11.2025 22:44,,"вул. Соборна, 42",Фастів,0
719249310,,,,,1662744,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Ryobi,ryobi,Пила дискова Ryobi ONE + RWSL1801M без АКБ і ЗУ,,4199,1,https://comfy.ua/pila-diskovaja-ryobi-one-rwsl1801m-bez-akb-i-zu.html,4599,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
719249401,,,,,1662607,Инструменты и автотовары >> Садовые инструменты >> Газонокосилки >> Газонокосилки Ryobi,ryobi,Газонокосарка акумуляторна Ryobi ONE+ Hybrid RY18LMH37A-250,,21499,1,https://comfy.ua/gazonokosilka-akkumuljatornaja-ryobi-one-hybrid-ry18lmh37a-250.html,23249,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
719249402,6581992,RYOBI,Газонокосилка RYOBI RLM18X33B-40 (5133004306),12599,1662605,Инструменты и автотовары >> Садовые инструменты >> Газонокосилки >> Газонокосилки Ryobi,ryobi,Газонокосарка акумуляторна Ryobi RLM18X33B-40,,12599,1,https://comfy.ua/gazonokosilka-akkumuljatornaja-ryobi-rlm18x33b-40.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
719249403,6581989,RYOBI,Газонокосилка RYOBI ONE+ RY18LM37A-140 (5133004578),14499,1662606,Инструменты и автотовары >> Садовые инструменты >> Газонокосилки >> Газонокосилки Ryobi,ryobi,Газонокосарка акумуляторна Ryobi ONE+ RY18LM37A-140,,14499,1,https://comfy.ua/gazonokosilka-akkumuljatornaja-ryobi-one-ry18lm37a-140.html,16999,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
719249447,,,,,1662602,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Ryobi,ryobi,Висоторіз Ryobi RPP750S,,6199,1,https://comfy.ua/vysotorez-ryobi-rpp750s.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
719258420,,,,,1654185,Посуда >> Для приготовления >> Сковороды >> Сковороды de Buyer,de-buyer,Сковорода ВОК de Buyer 38 см 6200.38N,,9779,1,https://comfy.ua/miska-de-buyer-38-sm-6200-38n.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
719274935,,,,,1670328,Техника для кухни >> Крупная техника,hansa,Плита газова Hansa FCMS68249,,18399,1,https://comfy.ua/catalog/product/view/id/1269853/s/plita-gazovaja-hansa-fcms68249,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
719282638,6868382,MIELE,Варочная поверхность MIELE KM 7201 FR,39399,1666534,Техника для кухни >> Крупная техника,miele,Варильна поверхня електрична Miele KM 7201 FR,,41663,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-miele-km-7201-fr.html,44799,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
719324795,6499776,SAMSUNG,Вытяжка SAMSUNG NK24M1030IS/UR,4499,1642311,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Samsung,samsung,Витяжка вбудована Samsung NK24M1030IS/UR,,5699,1,https://comfy.ua/vytjazhka-vstraivaemaja-samsung-nk24m1030is-ur.html,6099,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
719385272,,,,,1410082,OUTLET,perfelli,Уцінка - Витяжка вбудована Perfelli BI 6512 A 1000 W LED #,,4249,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-6512-a-1000-w-led-ucenka-1-1.html,4674,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
719398271,7058483,TENA,Пеленки гигиенические TENA Bed Plus 60x60 30шт (7322540800746),480,1657199,Детские товары >> Подгузники и пеленание >> Пеленки >> Пеленки Tena,tena,Пелюшки для дітей Tena Plus 60x60 см 30 шт. (7322540800746),,505,1,https://comfy.ua/pelenki-dlja-detej-tena-plus-60x60-sm-30-sht-7322540800746.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
719398292,6892161,HANSA,Плита комбинированная HANSA FCMS68249,18399,1670328,Техника для кухни >> Крупная техника >> Плиты >> Плиты Hansa,hansa,Плита газова Hansa FCMS68249,,18399,1,https://comfy.ua/plita-gazovaja-hansa-fcms68249.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
719398294,6619570,WHIRLPOOL,Варочная поверхность WHIRLPOOL WSQ2760BF,16999,1670096,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Whirlpool,whirlpool,Варильна поверхня електрична Whirlpool WSQ2760BF,,16999,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-whirlpool-wsq2760bf.html,18399,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
719402880,6617891,KENWOOD,Миксер KENWOOD HMP30.A0WH,1399,1664736,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Kenwood,kenwood,Міксер Kenwood HMP30.A0WH,,1399,1,https://comfy.ua/mikser-kenwood-hmp30-a0wh.html,1599,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,3
719412827,6705594,BOSCH,Перфоратор BOSCH GBH 180-LI (0.611.911.122),10386,1669508,Инструменты и автотовары >> Электроинструменты >> Перфораторы >> Перфораторы Bosch,bosch,Перфоратор Bosch GBH 180-LI (0.611.911.122),,10385,1,https://comfy.ua/perforator-bosch-gbh-180-li-0-611-911-122.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
719415691,6625543,GORENJE,Пылесос GORENJE SVC252GFA,5999,1672297,Техника для дома >> Мелкая техника,gorenje,Пилосос ручний для дому Gorenje SVC252GFA,,5699,1,https://comfy.ua/catalog/product/view/id/1275703,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
719469560,,,,,1672289,Техника для дома >> Мелкая техника,gorenje,Пилосос для сухого прибирання без мішка Gorenje VCEA01GACBUCY,,3489,1,https://comfy.ua/catalog/product/view/id/1276513,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
719473875,,,,,1672291,Техника для дома >> Мелкая техника,gorenje,Пилосос для сухого прибирання без мішка Gorenje VCEA02GALWCY,,4499,1,https://comfy.ua/catalog/product/view/id/1276683,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
719475628,6625547,GORENJE,Пылесос GORENJE VCEA21GPLW,4194,1672294,Техника для дома >> Мелкая техника,gorenje,Пилосос для сухого прибирання з мішком Gorenje VCEA21GPLW,,4189,1,https://comfy.ua/catalog/product/view/id/1276943,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
719475631,,,,,1672292,Техника для дома >> Мелкая техника,gorenje,Пилосос для сухого прибирання без мішка Gorenje VCEA03GAPRACY,,5225,1,https://comfy.ua/catalog/product/view/id/1276723,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
719475897,,,,,1672289,Техника для дома >> Мелкая техника,gorenje,Пилосос для сухого прибирання без мішка Gorenje VCEA01GACBUCY,,3489,1,https://comfy.ua/catalog/product/view/id/1276513/s/pylesos-dlja-suhoj-uborki-bez-meshka-gorenje-vcea01gacbucy,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
719475907,6873376,ESPERANZA,Очиститель воздуха ESPERANZA Air Purifier EHP004,4659,1666460,Техника для дома >> Климатическая техника >> Очистители воздуха >> Очистители воздуха Esperanza,esperanza,Очищувач повітря Esperanza Air Purifier EHP004,,4659,1,https://comfy.ua/ochistitel-vozduha-esperanza-air-purifier-ehp004.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
719475912,7082487,ISEW,Оверлок ISEW G1500 Pro,9999,1669051,Техника для дома >> Швейное оборудование >> Швейное оборудование iSew,isew,Оверлок іSEW іSEW G1500 Pro,,9999,1,https://comfy.ua/overlok-isew-isew-g1500-pro.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
719478608,,,,,1670064,Техника для дома >> Мелкая техника,gorenje,Пилосос для сухого прибирання з мішком Gorenje VCEA28GLBK,,4699,1,https://comfy.ua/catalog/product/view/id/1277043,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
719488604,6625542,GORENJE,Пылесос GORENJE SVC216GFW,6309,1672296,Техника для дома >> Мелкая техника,gorenje,Пилосос ручний для дому Gorenje SVC216GFW,,5679,1,https://comfy.ua/catalog/product/view/id/1277423,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
719559333,,,,,1669164,"Аудио, фото и видео >> Наушники",a4tech,Гарнітура дротова A4tech HU-35 USB,,579,1,https://comfy.ua/catalog/product/view/id/1273523,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
719559579,6631381,SAMSUNG,Устройство для очистки контейнера SAMSUNG VCA-SAE90A/EV,7999,1670131,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Samsung,samsung,Станція очищення пилососів Samsung VCA-SAE90A/EV,,7999,1,https://comfy.ua/stancija-ochistki-pylesosov-samsung-vca-sae90a-ev.html,8599,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
719559580,,,,,1670139,Техника для дома >> Аксессуары к мелкой технике,samsung,Станція очищення пилососів Samsung VCA-SAE90B/EV,,7999,1,https://comfy.ua/stancija-ochistki-pylesosov-samsung-vca-sae90b-ev.html,8599,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
