985442167,column,column,column,column,1840424,____________ajax,ajax,___ajax_white_000023586,column,8199,1,httpscomfyuabesprovodnojdatchikdvizhenijaajaxwhite000023586html,column,05112025_1748,column,__42,Фастів,0
986662880,6722866,INDESIT,Встраиваемый холодильник INDESIT INC20T321EU,27999,1842832,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Indesit,indesit,Холодильник вбудований Indesit INC20T321EU,,25999,1,https://comfy.ua/holodil-nik-vstraivaemyj-indesit-inc20t321eu.html,31099,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
986662942,,,,,1791724,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Electrolux,electrolux,Холодильник Electrolux RNT7ME34K1,,36699,1,https://comfy.ua/holodil-nik-electrolux-rnt7me34k1.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
986669631,,,,,1732264,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US287 USB - Type-C Cable 1m White (60121),,179,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us287-usb-type-c-cable-1m-white-60121.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
986669647,,,,,1831115,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Перехідник UGREEN US270 OTG Adapter Type-C 3.1 M - USB 3.0 F Alum. Gray (50283),,199,1,https://comfy.ua/perehodnik-ugreen-us270-otg-adapter-type-c-3-1-m-usb-3-0-f-alum-gray-50283.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
986669672,6726564,STARK,"""Ящик для инструментов STARK Classic 22"""" (100004022)""",779,1840079,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Stark,stark,Ящик для інструментів Stark Classic 22'' 290x555x265 мм (100004022),,779,1,https://comfy.ua/jaschik-dlja-instrumentov-stark-classic-22-290x555x265-mm-100004022.html,,05.11.2025 22:17,,"вул. Соборна, 42",Фастів,0
986669673,6726566,STARK,"""Ящик для инструментов STARK Magnum 19"""" (100005019)""",845,1840081,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Stark,stark,Ящик для інструментів Stark Magnum 19'' 488x287x237 мм (100005019),,845,1,https://comfy.ua/jaschik-dlja-instrumentov-stark-magnum-19-488x287x237-mm-100005019.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
986669675,6726567,STARK,"""Ящик для инструментов STARK Magnum 22"""" (100005022)""",1149,1840066,Инструменты и автотовары >> Расходные материалы,stark,Ящик для інструментів Stark Magnum 22'' 559x350x284 мм (100005022),,1149,1,https://comfy.ua/jaschik-dlja-instrumentov-stark-magnum-22-559x350x284-mm-100005022.html,,05.11.2025 22:05,,"вул. Соборна, 42",Фастів,0
986669715,6726568,STARK,"""Ящик для инструментов STARK Magnum PRO 24"""" (100005024)""",1479,1842870,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Stark,stark,Ящик для інструментів Stark Magnum PRO 24'' 314x607x277 мм (100005024),,1479,1,https://comfy.ua/jaschik-dlja-instrumentov-stark-magnum-pro-24-314x607x277-mm-100005024.html,,05.11.2025 22:24,,"вул. Соборна, 42",Фастів,0
986686026,7165781,SOLA,Ложка для салата SOLA 22.8см (11LIMA512),390,1840117,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Sola,sola,"Ложка столова Sola 22,8 см 11LIMA512",,390,1,https://comfy.ua/lozhka-stolovaja-sola-22-8-sm-11lima512.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
986815780,,,,,.1834387,Смартфоны и телефоны >> Аксессуары для смартфонов,heyfaraday,Автотримач HeyFaraday Car Holder Magnetic Air Vent Wireless Chaging Black (KWS-212BK),,199,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-heyfaraday-car-holder-magnetic-air-vent-wireless-chaging-black-kws-212bk.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
986816472,6985467,GT RACER,Кресло GT RACER X-801L Black (W-21),21999,1839863,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла GT Racer",gt-racer,Крісло офісне GT Racer X-801L Black (W-21),,21999,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-x-801l-black-w-21.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
986816958,,,,,1816469,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola MTL 6292 GR 700 LED,,2969,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-mtl-6292-gr-700-led.html,3299,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
986816959,6809895,MINOLA,Вытяжка MINOLA MTL 6292 WH 700 LED,2649,1816467,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola MTL 6292 WH 700 LED,,2969,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-mtl-6292-wh-700-led.html,3299,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
986818063,,,,,1840072,"Дом, отдых и зоотовары >> Отдых и путешествия",stark,Складаний стілець Stark 26 см (530023001),,295,1,https://comfy.ua/skladnoj-stul-stark-26-sm-530023001.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
986818064,,,,,1840071,"Дом, отдых и зоотовары >> Отдых и путешествия",stark,Складаний стілець Stark 44 см (530044001),,345,1,https://comfy.ua/skladnoj-stul-stark-44-sm-530044001.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
986818065,6985736,STARK,Стол складной STARK 50 см (530050010),594,1840070,"Дом, отдых и зоотовары >> Отдых и путешествия >> Складная мебель >> Складная мебель Stark",stark,Складаний стіл Stark 50 см (530050010),,595,1,https://comfy.ua/skladnoj-stol-stark-50-sm-530050010.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
986855433,,,,,1831127,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US300 Type-C - Type-C 100W 5A Cable 1 м Black (80371),,399,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us300-type-c-type-c-100w-5a-cable-1-m-black-80371.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
986855434,,,,,1831128,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US300 Type-C - Type-C 100W 5A Cable 2 м Black (80372),,449,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us300-type-c-type-c-100w-5a-cable-2-m-black-80372.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
986893270,,,,,.1842032,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",promate,Перехідник Promate HDMI-USB Type-C medialink-h1.grey,,699,1,https://comfy.ua/kabel-promate-hdmi-usb-type-c-medialink-h1-grey.html,899,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
986893271,,,,,1842030,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",promate,Кабель Promate HDMI-USB Type-C hdlink-60h.grey,,999,1,https://comfy.ua/kabel-promate-hdmi-usb-type-c-hdlink-60h-grey.html,1199,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
986894306,,,,,1842123,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Faber,faber,Витяжка вбудована Faber Flexa NG HIP W A60,,4185,1,https://comfy.ua/vytjazhka-vstraivaemaja-faber-flexa-ng-hip-w-a60.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
986959652,,,,,1842480,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Beaba,beaba,Дитяча ложечка Beaba силіконова ергономічна 2 роки Blue (913426),,390,1,https://comfy.ua/detskaja-lozhechka-beaba-silikonovaja-jergonomicheskaja-2-vozrast-blue-913426.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
986959935,,,,,1842448,Детские товары >> Кормление >> Подогреватели детских бутылочек >> Подогреватели детских бутылочек Beaba,beaba,Підігрівач дитячих пляшечок стаціонарний Beaba Bib'expresso Gray/White NEW (912692),,3919,1,https://comfy.ua/podogrevatel-detskih-butylochek-stacionarnyj-beaba-bib-expresso-gray-white-new-912692.html,,05.11.2025 21:22,,"вул. Соборна, 42",Фастів,0
986960324,,,,,1842447,Детские товары >> Кормление >> Подогреватели детских бутылочек >> Подогреватели детских бутылочек Beaba,beaba,Підігрівач дитячих пляшечок стаціонарний Beaba Bib'expresso Blue NEW (912691),,3919,1,https://comfy.ua/podogrevatel-detskih-butylochek-stacionarnyj-beaba-bib-expresso-blue-new-912691.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
986960557,,,,,1842441,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Beaba,beaba,Набір дитячих столових приборів для малюка Beaba Gray (913470),,520,1,https://comfy.ua/nabor-detskih-stolovyh-priborov-dlja-malysha-beaba-gray-913470.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
986961321,,,,,1842483,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Beaba,beaba,Дитяча ложечка Beaba силіконова ергономічна Blue (913381),,390,1,https://comfy.ua/detskaja-lozhechka-beaba-silikonovaja-jergonomicheskaja-blue-913381.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
986961919,,,,,1842479,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Beaba,beaba,Дитяча ложечка Beaba силіконова ергономічна 2 роки Pink (913425),,390,1,https://comfy.ua/detskaja-lozhechka-beaba-silikonovaja-jergonomicheskaja-2-vozrast-pink-913425.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
986962431,,,,,1842477,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Beaba,beaba,Дитяча ложечка Beaba силіконова ергономічна 4+ міс Gray (913463),,390,1,https://comfy.ua/detskaja-lozhechka-beaba-silikonovaja-jergonomicheskaja-4-mes-gray-913463.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
986962844,,,,,1842632,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Beaba,beaba,Набір дитячих столових приборів для малюка Beaba Blue (913398),,520,1,https://comfy.ua/nabor-detskih-stolovyh-priborov-dlja-malysha-beaba-blue-913398.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
986963174,,,,,1842757,Детские товары >> Кормление >> Нагрудники детские >> Нагрудники детские Beaba,beaba,Нагрудник силіконовий Beaba Blue (913489),,679,1,https://comfy.ua/nagrudnik-silikonovyj-beaba-blue-913489.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
986963366,,,,,1842756,"Comfy KIDS >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Beaba",beaba,Набір гребінців для дитячого волосся Beaba Green (920366),,465,1,https://comfy.ua/nabor-raschesok-dlja-detskih-volos-beaba-green-920366.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
986963483,,,,,1842644,"Детские товары >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Beaba",beaba,Ножиці манікюрні дитячі Beaba Pink (920361),,419,1,https://comfy.ua/nozhnicy-manikjurnye-detskie-beaba-pink-920361.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
986963736,,,,,1842642,Детские товары >> Кормление >> Нагрудники детские >> Нагрудники детские Beaba,beaba,Нагрудник силіконовий Beaba Pink (913491),,679,1,https://comfy.ua/nagrudnik-silikonovyj-beaba-pink-913491.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
986963840,,,,,1842471,Детские товары >> Кормление >> Поильники >> Поильники Beaba,beaba,Поїльник-непроливайка дитячий Beaba Ellipse 3 in 1 Evoluclip Training Cup Airy New (913473),,735,1,https://comfy.ua/poil-nik-neprolivajka-detskij-beaba-ellipse-3-in-1-evoluclip-training-cup-airy-new-913473.html,,05.11.2025 21:39,,"вул. Соборна, 42",Фастів,0
986964865,,,,,1842643,"Детские товары >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Beaba",beaba,Ножиці манікюрні дитячі Beaba Green (920360),,419,1,https://comfy.ua/nozhnicy-manikjurnye-detskie-beaba-green-920360.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
986965167,,,,,1842523,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Beaba,beaba,Тарілка для малюка Beaba силіконова з підставкою-присоскою Greу (913433),,625,1,https://comfy.ua/tarelka-dlja-malysha-beaba-silikonovaja-s-podstavkoj-prisoskoj-greu-913433.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
986965657,,,,,1842458,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Beaba,beaba,Вставка для стільчика для годування Beaba Up&Down Grey (912554),,2339,1,https://comfy.ua/vstavka-dlja-stul-chika-dlja-kormlenija-beaba-up-down-grey-912554.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
986966028,,,,,1842466,Детские товары >> Кормление >> Поильники >> Поильники Beaba,beaba,Поїльник-непроливайка дитячий Beaba 2 в 1 210 мл Old Pink (913478),,755,1,https://comfy.ua/poil-nik-neprolivajka-detskij-beaba-2-v-1-210-ml-old-pink-913478.html,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
986966069,,,,,1842843,Comfy KIDS >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Beaba,beaba,Сумка для коляски Beaba Terracota (940248),,4629,1,https://comfy.ua/sumka-dlja-koljaski-beaba-terracota-940248.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
986966075,,,,,1842525,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Beaba,beaba,Тарелка для малыша Beaba силиконовая с подставкой-присоской Pink (913440),,625,1,https://comfy.ua/tarelka-dlja-malysha-beaba-silikonovaja-s-podstavkoj-prisoskoj-pink-913440.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
986966184,,,,,1842634,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Beaba,beaba,Набір дитячих столових приборів для малюка Beaba Old Pink (913462),,940,1,https://comfy.ua/nabor-detskih-stolovyh-priborov-dlja-malysha-beaba-old-pink-913462.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
986966424,,,,,1842748,Детские товары >> Кормление >> Поильники >> Поильники Beaba,beaba,Аксесуар для дитячих поїльників Beaba набір силіконових насадок 2 в 1 (800927),,469,1,https://comfy.ua/aksessuar-dlja-detskih-poil-nikov-beaba-nabor-silikonovyh-nasadok-2-v-1-800927.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
986966455,,,,,1842841,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Beaba,beaba,Сумка для коляски Beaba Heather Grey (940244),,4629,1,https://comfy.ua/sumka-dlja-koljaski-beaba-heather-grey-940244.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
986966561,6770948,GRUNHELM,Микроволновая печь GRUNHELM 23MX523-B,3079,1837829,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Grunhelm,grunhelm,Мікрохвильова піч (НВЧ) Grunhelm 23MX523-B Black,,3079,1,https://comfy.ua/mikrovolnovaja-pech-svch-grunhelm-23mx523-b-black.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
