1643357170,column,column,column,column,2733077,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,____piko_full_glue_for_samsung_a24_1283126573729,column,215,1,httpscomfyuazaschitnoesteklodljasmartfonapikofullglueforsamsunga241283126573729html,column,05112025_1805,column,__42,Фастів,0
1643326740,,,,,.2763666,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Full Glue Curved for Tecno Camon 16/16 SE Black (ARM58471),,129,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-full-glue-curved-for-tecno-camon-16-16-se-black-arm58471.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1643326744,,,,,.2763675,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Full Glue Curved for Xiaomi Poco M5/Redmi 11 Prime 4G Black (ARM62957),,129,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-full-glue-curved-for-xiaomi-poco-m5-redmi-11-prime-4g-black-arm62957.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1643327804,,,,,2585720,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Full Glue for TECNO Pova (LD7) Black (ARM58472),,129,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-full-glue-for-tecno-pova-ld7-black-arm58472.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
1643327810,,,,,2763786,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Xiaomi Redmi 10 2022/10 Prime 2022 Black (708151),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-xiaomi-redmi-10-2022-10-prime-2022-black-708151.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1643327812,,,,,.2744354,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Tecno Spark 8p (KG7n) Black (708166),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-tecno-spark-8p-kg7n-black-708166.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1643327816,,,,,.2760965,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Xiaomi Redmi 12 Black (709610),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-xiaomi-redmi-12-black-709610.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1643356418,,,,,.2571968,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA Infinix Hot 11S двостороння (DV-INF-HOT11SFB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-infinix-hot-11s-dvostoronnjaja-dv-inf-hot11sfb.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1643356475,,,,,.2274914,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21976,,59925,1,https://comfy.ua/sistemnyj-blok-qbox-i21976.html,68879,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
1643356476,,,,,.2274915,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21977,,60569,1,https://comfy.ua/sistemnyj-blok-qbox-i21977.html,69619,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1643356477,,,,,.2274916,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21978,,61943,1,https://comfy.ua/sistemnyj-blok-qbox-i21978.html,71199,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1643356478,,,,,.2274919,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21981,,62639,1,https://comfy.ua/sistemnyj-blok-qbox-i21981.html,71999,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1643356485,,,,,.2274920,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21982,,63005,1,https://comfy.ua/sistemnyj-blok-qbox-i21982.html,72419,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1643356486,,,,,.2274921,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21983,,63283,1,https://comfy.ua/sistemnyj-blok-qbox-i21983.html,72739,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1643356487,,,,,.2274922,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21984,,63648,1,https://comfy.ua/sistemnyj-blok-qbox-i21984.html,73159,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1643356488,,,,,.2274923,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21985,,65032,1,https://comfy.ua/sistemnyj-blok-qbox-i21985.html,74749,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1643356551,,,,,.2571458,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Realme 10 двостороння (DV-RLM-10FB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-realme-10-dvostoronnjaja-dv-rlm-10fb.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1643356558,,,,,.2563557,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA Tecno Camon 18 Premier (DV-TCN-CN18prmFB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-tecno-camon-18-premier-dv-tcn-cn18prmfb.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1643356569,,,,,.2587837,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Samsung M53 5G (DV-SM-M53gFB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-samsung-m53-5g-dv-sm-m53gfb.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1643356654,,,,,.2558428,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Infinix Hot 20 (DV-INF-HOT20FB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-infinix-hot-20-dv-inf-hot20fb.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1643356739,,,,,.2597574,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA Moto G71 5G двухстороння (DV-MT-G715GFB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-moto-g71-5g-dvuhstoronnjaja-dv-mt-g715gfb.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1643356745,,,,,.2572893,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Захисне скло для смартфону Piko Full Glue for Samsung M12 (1283126510328),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-piko-full-glue-for-samsung-m12-1283126510328.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1643356781,,,,,2606906,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-Blue for OPPO A78 4G (ARM69524),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-blue-for-oppo-a78-4g-arm69524.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1643356792,,,,,.2618846,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Samsung M34 двостороння (DV-SM-M34FB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-samsung-m34-dvostoronnjaja-dv-sm-m34fb.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1643356820,,,,,.2674785,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Захисне скло для смартфону Piko Full Glue for Oppo A77 Black (1283126546341),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-piko-full-glue-for-oppo-a77-black-1283126546341.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1643356831,,,,,.2594846,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Oppo Reno 7 Pro (DV-OPP-RN7PFB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-oppo-reno-7-pro-dv-opp-rn7pfb.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1643356833,,,,,.2594704,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA Moto G31/G41 двухстороння (DV-MT-G31/41FB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-moto-g31-g41-dvuhstoronnjaja-dv-mt-g31-41fb.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1643356837,,,,,.2616719,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for iPhone 15 двостороння (DV-SM-15FB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-iphone-15-dvostoronnjaja-dv-sm-15fb.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1643357074,,,,,.2765441,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Захисне скло для смартфону Piko Full Glue for Tecno Spark 6 Go Black (1283126509124),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-piko-full-glue-for-tecno-spark-6-go-black-1283126509124.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1643357161,,,,,.2717736,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Захисне скло для смартфону Piko Full Glue for Huawei Nova 10 SE (1283126546501),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-piko-full-glue-for-huawei-nova-10-se-1283126546501.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1643357165,,,,,.2717474,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Захисне скло для смартфону Piko Full Glue for Moto G8 Power Lite Black (1283126505775),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-piko-full-glue-for-moto-g8-power-lite-black-1283126505775.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1643357170,,,,,.2733077,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Захисне скло для смартфону Piko Full Glue for Samsung A24 (1283126573729),,215,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-piko-full-glue-for-samsung-a24-1283126573729.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1643357172,,,,,.2733036,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Захисне скло для смартфону Piko Full Glue for Tecno Spark 10 (1283126580635),,149,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-piko-full-glue-for-tecno-spark-10-1283126580635.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1643357615,,,,,.2732916,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Захисне скло для смартфону Piko Full Glue for Xiaomi Redmi 10C Black (1283126527180),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-piko-full-glue-for-xiaomi-redmi-10c-black-1283126527180.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1643358011,,,,,.2732914,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Захисне скло для смартфону Piko Full Glue for Xiaomi Redmi Note 12 Black (1283126549373),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-piko-full-glue-for-xiaomi-redmi-note-12-black-1283126549373.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1643358381,,,,,.2279313,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23600,,76811,1,https://comfy.ua/sistemnyj-blok-qbox-i23600.html,88289,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1643358699,,,,,.2726669,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-Blue for Xiaomi Redmi 10/10 2022 (ARM60133),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-blue-for-xiaomi-redmi-10-10-2022-arm60133.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1643358840,,,,,2754968,Смартфоны и телефоны >> Аксессуары для смартфонов,make,Захисне скло для смартфону MAKE FCFG Samsung A05/A05s (MGF-SA05),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-make-fcfg-samsung-a05-a05s-mgf-sa05.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,1
1643358841,,,,,2727318,Смартфоны и телефоны >> Аксессуары для смартфонов,make,Захисне скло для смартфону MAKE FCFG Oppo A18 (MGF-OA18),,149,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-make-fcfg-oppo-a18-mgf-oa18.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1643359325,,,,,.2279611,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23601,,76446,1,https://comfy.ua/sistemnyj-blok-qbox-i23601.html,87869,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1643359327,,,,,.2279612,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23602,,76811,1,https://comfy.ua/sistemnyj-blok-qbox-i23602.html,88289,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1643359328,,,,,.2279613,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23604,,77821,1,https://comfy.ua/sistemnyj-blok-qbox-i23604.html,89449,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1643359329,,,,,.2280014,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23605,,78143,1,https://comfy.ua/sistemnyj-blok-qbox-i23605.html,89819,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1643359330,,,,,.2280015,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23606,,78464,1,https://comfy.ua/sistemnyj-blok-qbox-i23606.html,90189,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1643359331,,,,,.2280016,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23607,,79848,1,https://comfy.ua/sistemnyj-blok-qbox-i23607.html,91779,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1643359332,,,,,.2280017,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23608,,75524,1,https://comfy.ua/sistemnyj-blok-qbox-i23608.html,86809,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1643359333,,,,,.2280018,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23609,,76168,1,https://comfy.ua/sistemnyj-blok-qbox-i23609.html,87549,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1643359334,,,,,.2280019,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23610,,77551,1,https://comfy.ua/sistemnyj-blok-qbox-i23610.html,89139,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1643359335,,,,,.2280020,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23611,,77177,1,https://comfy.ua/sistemnyj-blok-qbox-i23611.html,88709,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1643359336,,,,,.2280021,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23612,,77551,1,https://comfy.ua/sistemnyj-blok-qbox-i23612.html,89139,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1643359337,,,,,.2280022,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23613,,78238,1,https://comfy.ua/sistemnyj-blok-qbox-i23613.html,89929,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1643359338,,,,,.2280023,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23614,,78604,1,https://comfy.ua/sistemnyj-blok-qbox-i23614.html,90349,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1643359339,,,,,.2280024,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23615,,78882,1,https://comfy.ua/sistemnyj-blok-qbox-i23615.html,90669,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1643359340,,,,,.2280025,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23616,,79247,1,https://comfy.ua/sistemnyj-blok-qbox-i23616.html,91089,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1643359341,,,,,.2280026,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23617,,80631,1,https://comfy.ua/sistemnyj-blok-qbox-i23617.html,92679,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1643359342,,,,,.2280027,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23618,,82197,1,https://comfy.ua/sistemnyj-blok-qbox-i23618.html,94479,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1643359343,,,,,.2280028,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23619,,82841,1,https://comfy.ua/sistemnyj-blok-qbox-i23619.html,95219,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1643359344,,,,,.2280029,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23620,,84224,1,https://comfy.ua/sistemnyj-blok-qbox-i23620.html,96809,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1643359345,,,,,.2280032,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23623,,84911,1,https://comfy.ua/sistemnyj-blok-qbox-i23623.html,97599,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1643359346,,,,,.2280033,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23624,,85277,1,https://comfy.ua/sistemnyj-blok-qbox-i23624.html,98019,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1643359365,,,,,.2556396,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA Privacy for Samsung A34 (DV-SM-A34PRV),,299,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-privacy-for-samsung-a34-dv-sm-a34prv.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
1643359396,,,,,.2280814,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23625,,85555,1,https://comfy.ua/sistemnyj-blok-qbox-i23625.html,98339,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1643359397,,,,,.2280815,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I23626,,85920,1,https://comfy.ua/sistemnyj-blok-qbox-i23626.html,98759,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
