1648236263,column,column,column,column,2786135,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,_hdmi_armorstandart_21_8k_1m_black_arm71095,column,299,1,httpscomfyuakabelhdmiarmorstandart218k1mblackarm71095html,column,05112025_1835,column,__42,Фастів,0
1648318418,,,,,2784308,Техника для дома >> Аксессуары к мелкой технике,slon,Мішок для пилососа одноразовий Слон Z-30 C-III,,185,1,https://comfy.ua/meshok-dlja-pylesosa-slon-z-30-c-iii.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1648318885,,,,,.2790058,Техника для дома >> Аксессуары к мелкой технике,menalux,Набір мішків для пилососа Menalux 1002,,269,1,https://comfy.ua/nabor-meshkov-dlja-pylesosa-electrolux-1002.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1648321024,,,,,.2812854,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",trust,"""Рюкзак для ноутбуку Trust Avana 16"""" Eco Grey (24981)""",,1799,1,https://comfy.ua/rjukzak-dlja-noutbuka-trust-avana-16-eco-grey-24981.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1648325309,6952892,GOODRAM,SSD накопитель GOODRAM M.2 4TB PX700 NVMe PCIe 4.0 2280 (SSDPR-PX700-04T-80),16419,2807451,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Goodram",goodram,SSD-накопичувач внутрішній Goodram M.2 4TB PX700 NVMe PCIe 4.0 2280 (SSDPR-PX700-04T-80),,14169,1,https://comfy.ua/ssd-nakopitel-vnutrennij-goodram-m-2-4tb-px700-nvme-pcie-4-0-2280-ssdpr-px700-04t-80.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1648391419,6947685,SNAIGE,Плита комбинированная SNAIGE SNFGE-60/1W,12059,2795027,Техника для кухни >> Крупная техника >> Плиты >> Плиты Snaige,snaige,Плита газова Snaige SNFGE-60/1W,,12059,1,https://comfy.ua/plita-gazovaja-snaige-snfge-60-1w.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1648453125,6985993,BOSCH,Перфоратор BOSCH GBH 185-LI SDS-Plus (0.611.924.022),11526,2754846,Инструменты и автотовары >> Электроинструменты >> Перфораторы >> Перфораторы Bosch,bosch,Перфоратор Bosch GBH 185-LI (0.611.924.022),,11525,1,https://comfy.ua/perforator-bosch-gbh-185-li-0-611-924-022.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1648453200,6985994,BOSCH,Перфоратор BOSCH GBH 185-LI SDS-Plus 18В (0.611.924.021),13914,2754845,Инструменты и автотовары >> Электроинструменты >> Перфораторы >> Перфораторы Bosch,bosch,Перфоратор Bosch GBH 185-LI (0.611.924.021),,13915,1,https://comfy.ua/perforator-bosch-gbh-185-li-0-611-924-021.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1648479447,,,,,.2789174,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design Meshify 2 Lite White TG Clear (FD-C-MEL2A-04),,7999,1,https://comfy.ua/korpus-fractal-design-meshify-2-lite-white-tg-clear-fd-c-mel2a-04.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1648479454,,,,,.2789176,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design North Chalk White (FD-C-NOR1C-03),,8809,1,https://comfy.ua/korpus-fractal-design-north-chalk-white-fd-c-nor1c-03.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1648479457,,,,,.2789175,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design Meshify 2 RGB White TG Clear t (FD-C-MES2A-08),,11289,1,https://comfy.ua/korpus-fractal-design-meshify-2-rgb-white-tg-clear-t-fd-c-mes2a-08.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1648482314,,,,,2734648,Смартфоны и телефоны >> Аксессуары для смартфонов,essager,Мережевий зарядний пристрій Essager Vanjane Travel Phone Charger Set PD20W EU (ECTC-FJB02-P),,299,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-essager-vanjane-travel-phone-charger-set-pd20w-eu-ectc-fjb02-p.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
1648514734,,,,,2814736,Телевизоры и мультимедиа >> Аксессуары для ТВ,unibracket,Кріплення для телевізора UniBracket BZ21-12,,399,1,https://comfy.ua/kreplenie-dlja-televizora-unibracket-bz21-12.html,699,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1648515500,6932765,GT RACER,Кресло GT RACER X-1414 Fabric Kids Gray/Gray,4613,2750391,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары GT Racer",gt-racer,Крісло для геймерів GT Racer X-1414 Fabric Gray/Gray (Kids),,3899,1,https://comfy.ua/kreslo-dlja-gejmerov-gt-racer-x-1414-fabric-gray-gray-kids.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1648519185,6948310,DELL,Монитор DELL UltraSharp U2424H (210-BKTZ),10855,2811692,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Dell",dell,Монітор ігровий Dell U2424H (210-BKTZ),,10605,1,https://comfy.ua/monitor-igrovoj-dell-u2424h-210-bktz.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1648519772,7102259,VIEWSONIC,"""Монитор VIEWSONIC 31.5"""" Black (VX3218C-2K)""",9999,2814069,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Viewsonic",viewsonic,Монітор ігровий Viewsonic VX3218C-2K,,9999,1,https://comfy.ua/monitor-igrovoj-viewsonic-vx3218c-2k.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
