1650676350,6970709,mpm,_mpm_mcz115,899,2833025,____________mpm,mpm,__mpm_mcz115,column,899,1,httpscomfyuajelektricheskijchajnikmpmmcz115html,column,05112025_1841,column,__42,Фастів,0
1650716127,,,,,2786185,Детские товары >> Игрушки,lego,Конструктор LEGO City Модульна космічна станція (60433),,4149,1,https://comfy.ua/konstruktor-lego-city-modul-naja-kosmicheskaja-stancija-60433.html,4899,05.11.2025 22:34,,"вул. Соборна, 42",Фастів,0
1650716131,,,,,2786190,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO City Пересувна поліцейська криміналістична лабораторія (60418),,1947,1,https://comfy.ua/konstruktor-lego-city-peredvizhnaja-policejskaja-kriminalisticheskaja-laboratorija-60418.html,2679,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1650716132,,,,,2786194,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO City Пожежне депо з пожежною машиною (60414),,3159,1,https://comfy.ua/konstruktor-lego-city-pozharnoe-depo-s-pozharnoj-mashinoj-60414.html,3949,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1650716135,,,,,2786191,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO City Пожежний позашляховик з рятувальним човном (60412),,1014,1,https://comfy.ua/konstruktor-lego-city-pozharnyj-vnedorozhnik-so-spasatel-noj-lodkoj-60412.html,1428,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1650716136,,,,,2786188,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO City Пожежний рятувальний гелікоптер (60411),,367,1,https://comfy.ua/konstruktor-lego-city-pozharnyj-spasatel-nyj-vertolet-60411.html,459,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1650716141,,,,,2786196,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO City Пожежний рятувальний літак (60413),,2149,1,https://comfy.ua/konstruktor-lego-city-pozharnyj-spasatel-nyj-samolet-60413.html,2949,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1650716147,,,,,2786204,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO City Поліцейський острів-в'язниця (60419),,3919,1,https://comfy.ua/konstruktor-lego-city-policejskij-ostrov-tjur-ma-60419.html,4899,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1650716149,,,,,2786183,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO City Переслідування маслкара на поліцейському автомобілі (60415),,695,1,https://comfy.ua/konstruktor-lego-city-presledovanie-maslkara-na-policejskom-avtomobile-60415.html,948,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1650716152,,,,,2786205,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO City Синя вантажівка-монстр (60402),,575,1,https://comfy.ua/konstruktor-lego-city-sinij-gruzovik-monstr-60402.html,719,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1650716155,,,,,2786195,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO City Будівельний паровий каток (60401),,320,1,https://comfy.ua/konstruktor-lego-city-stroitel-nyj-parovoj-katok-60401.html,459,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1650716173,,,,,2786926,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Creator Космонавт (31152),,1919,1,https://comfy.ua/konstruktor-lego-creator-kosmonavt-31152.html,2399,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1650716180,,,,,2786203,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Creator Квіти в лійці (31149),,1143,1,https://comfy.ua/konstruktor-lego-creator-cvety-v-lejke-31149.html,1429,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1650716183,,,,,2786929,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO DUPLO Town Вантажівка з абеткою (10421),,1519,1,https://comfy.ua/konstruktor-lego-duplo-town-gruzovik-s-alfavitom-10421.html,1899,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1650716197,,,,,2786952,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Friends Автобус для музичного туру попзірки (42619),,2449,1,https://comfy.ua/konstruktor-lego-friends-avtobus-dlja-muzykal-nogo-tura-popzvezdy-42619.html,3499,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1650716198,,,,,2786947,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Friends Караоке-вечірка (42610),,680,1,https://comfy.ua/konstruktor-lego-friends-karaoke-vecherinka-42610.html,949,05.11.2025 22:49,,"вул. Соборна, 42",Фастів,0
1650716230,,,,,2786974,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Minecraft Зброярня (21252),,677,1,https://comfy.ua/konstruktor-lego-minecraft-oruzhejnaja-21252.html,948,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1650716232,,,,,2786964,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Minecraft Пляжний будинок у формі черепахи (21254),,819,1,https://comfy.ua/konstruktor-lego-minecraft-pljazhnyj-dom-v-forme-cherepahi-21254.html,1289,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1650716236,,,,,2786975,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Minecraft Експедиція Стіва в пустелю (21251),,325,1,https://comfy.ua/konstruktor-lego-minecraft-jekspedicija-stiva-v-pustynju-21251.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1650716243,,,,,2786979,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO NINJAGO Бойовий набір робота Джея (71805),,320,1,https://comfy.ua/konstruktor-lego-ninjago-boevoj-nabor-rabota-dzheja-71805.html,459,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1650716244,,,,,2786993,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO NINJAGO Робот земної стихії Коула (71806),,669,1,https://comfy.ua/konstruktor-lego-ninjago-robot-zemnoj-stihii-koula-71806.html,949,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1650716248,,,,,2786967,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO NINJAGO Робот вогняної стихії Кая (71808),,999,1,https://comfy.ua/konstruktor-lego-ninjago-robot-ognennoj-stihii-kaja-71808.html,1428,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1650716250,,,,,2786969,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO NINJAGO Робот технічної стихії Сори (71807),,680,1,https://comfy.ua/konstruktor-lego-ninjago-robot-tehnicheskoj-stihii-sori-71807.html,948,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1650716254,,,,,2786983,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Star Wars Багряний вогняний яструб (75384),,1709,1,https://comfy.ua/konstruktor-lego-star-wars-bagrovyj-ognennyj-jastreb-75384.html,2549,05.11.2025 22:54,,"вул. Соборна, 42",Фастів,0
1650716260,,,,,2786984,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Star Wars Клони-піхотинці й Бойовий дроїд. Бойовий набір (75372),,1143,1,https://comfy.ua/konstruktor-lego-star-wars-klony-pehotincy-i-boevoj-droid-boevoj-nabor-75372.html,1429,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1650716266,,,,,2786960,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Marvel X-Jet Людей Ікс (76281),,2931,1,https://comfy.ua/konstruktor-lego-marvel-x-jet-ljudej-iks-76281.html,4199,05.11.2025 23:13,,"вул. Соборна, 42",Фастів,0
1650716279,,,,,2786970,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Marvel Ракета й малюк Ґрут (76282),,2174,1,https://comfy.ua/konstruktor-lego-marvel-raketa-i-malysh-grut-76282.html,2949,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1650716282,,,,,2786972,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Marvel Робот Венома vs. Майлз Моралез (76276),,525,1,https://comfy.ua/konstruktor-lego-marvel-robot-venoma-vs-majlz-moralez-76276.html,719,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1650716317,,,,,2786992,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Technic Автомобіль для перегонів NEOM McLaren Extreme E (42166),,936,1,https://comfy.ua/konstruktor-lego-technic-avtomobil-dlja-gonki-neom-mclaren-extreme-e-42166.html,1287,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1650716325,,,,,2786997,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Technic Позашляховик багі для перегонів (42164),,607,1,https://comfy.ua/konstruktor-lego-technic-vnedorozhnik-bagi-dlja-gonki-42164.html,759,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1650716339,,,,,2786989,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Technic Сміттєвоз Mack® LR Electric (42167),,1319,1,https://comfy.ua/konstruktor-lego-technic-musorovoz-mackr-lr-electric-42167.html,1649,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1650716352,,,,,2786988,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Technic Надпотужний бульдозер (42163),,295,1,https://comfy.ua/konstruktor-lego-technic-sverhmoschnyj-bul-dozer-42163.html,459,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
1650720062,6918396,DEFENDER,Геймпад DEFENDER Crusher USB Bluetooth (64290),595,2780150,"Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам >> Геймпады, джойстики, рули >> Геймпады, джойстики, рули Defender",defender,Геймпад Defender Crusher (64290),,809,1,https://comfy.ua/gejmpad-defender-crusher-64290.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1650728306,,,,,2825155,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Asus",asus,Миша бездротова ігрова Asus ROG Gladius III AimPoint RGB USB-A/WL/BT Black (90MP02Y0-BMUA01),,4199,1,https://comfy.ua/mysh-besprovodnaja-igrovaja-asus-rog-gladius-iii-aimpoint-rgb-usb-a-wl-bt-black-90mp02y0-bmua01.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1650732636,6952452,POLY,Гарнитура POLY TWS Voyager Free 60 Earbuds + BT700C + BCHC White (7Y8L4AA),8109,2834833,"Аудио, фото и видео >> Наушники >> Наушники Poly",poly,Навушники вкладиші бездротові TWS Poly Voyager Free 60 Earbuds + BT700C + BCHC White (7Y8L4AA),,8109,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-poly-voyager-free-60-earbuds-bt700c-bchc-white-7y8l4aa.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1650732637,6952451,POLY,Гарнитура POLY TWS Voyager Free 60 Earbuds + BT700A + BCHC White (7Y8L3AA),8109,2834834,"Аудио, фото и видео >> Наушники >> Наушники Poly",poly,Навушники вкладиші бездротові TWS Poly Voyager Free 60 Earbuds + BT700A + BCHC White (7Y8L3AA),,8109,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-poly-voyager-free-60-earbuds-bt700a-bchc-white-7y8l3aa.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1650732638,6952450,POLY,Гарнитура POLY TWS Voyager Free 60 Earbuds + BT700A + BCHC Black (7Y8H3AA),8109,2834835,"Аудио, фото и видео >> Наушники >> Наушники Poly",poly,Навушники вкладиші бездротові TWS Poly Voyager Free 60 Earbuds + BT700A + BCHC Black (7Y8H3AA),,8109,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-poly-voyager-free-60-earbuds-bt700a-bchc-black-7y8h3aa.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1650732639,6952453,POLY,Гарнитура POLY TWS Voyager Free 60+ Earbuds + BT700A + TSCHC Black (7Y8G3AA),11099,2834838,"Аудио, фото и видео >> Наушники >> Наушники Poly",poly,Навушники вкладиші бездротові TWS Poly Voyager Free 60+ Earbuds + BT700A + TSCHC Black (7Y8G3AA),,10499,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-poly-voyager-free-60-earbuds-bt700a-tschc-black-7y8g3aa.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1650732640,6952455,POLY,Гарнитура POLY TWS Voyager Free 60+ Earbuds + BT700C + TSCHC Black (7Y8G4AA),11099,2834837,"Аудио, фото и видео >> Наушники >> Наушники Poly",poly,Навушники вкладиші бездротові TWS Poly Voyager Free 60+ Earbuds + BT700C + TSCHC Black (7Y8G4AA),,10499,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-poly-voyager-free-60-earbuds-bt700c-tschc-black-7y8g4aa.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1650732641,6952454,POLY,Гарнитура POLY TWS Voyager Free 60+ Earbuds + BT700A + TSCHC White (7Y8G5AA),11099,2834836,"Аудио, фото и видео >> Наушники >> Наушники Poly",poly,Навушники вкладиші бездротові TWS Poly Voyager Free 60+ Earbuds + BT700A + TSCHC White (7Y8G5AA),,10499,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-poly-voyager-free-60-earbuds-bt700a-tschc-white-7y8g5aa.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1650733755,6951546,KARCHER,Пароочиститель KARCHER SC 2 Deluxe (1.513-400.0),6899,2832322,Техника для дома >> Мелкая техника >> Пароочистители >> Пароочистители Karcher,karcher,Пароочисник Karcher SC 2 Deluxe (1.513-400.0),,6899,1,https://comfy.ua/paroochistitel-karcher-sc-2-deluxe-1-513-400-0.html,7999,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
1650733756,,,,,2832321,Техника для дома >> Мелкая техника >> Пароочистители >> Пароочистители Karcher,karcher,Пароочисник Karcher SC 5 EasyFix Iron (1.512-661.0),,19699,1,https://comfy.ua/paroochistitel-karcher-sc-5-easyfix-iron-1-512-661-0.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1650734435,6839711,MIELE,Пылесос MIELE TRIFLEX HX2 Pro SOML0 31 Gray-Gold (41OML031UA),47459,2369901,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Miele,miele,Пилосос ручний для дому Miele SOML0 31 Triflex HX2 Pro,,47459,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-miele-soml0-31-triflex-hx2-pro.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1650770636,7023615,NAIPO,Массажер для тела NAIPO MGG-2103,2999,2335392,Красота и здоровье >> Здоровье >> Массажеры >> Массажеры Naipo,naipo,Масажер для тіла Naipo MGG-2103,,4999,1,https://comfy.ua/massazher-dlja-tela-naipo-mgg-2103.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1650807929,6949333,HISENSE,Телевизор HISENSE 100U7KQ (20012813),111111,2830068,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры Hisense,hisense,Телевізор Hisense 100U7KQ,,111111,1,https://comfy.ua/televizor-hisense-100u7kq.html,199999,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1650809617,6856949,KELA,"Емкость для хранения KELA Bera 0.8 л, 11x12 см (10556)",349,2153838,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Ємність для сипучих Kela Bera 0.8 л 11x12 см (10556),,349,1,https://comfy.ua/emkost-dlja-sypuchih-kela-bera-0-8-l-11x12-sm-10556.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1650817560,6937079,SEVERIN,Вакуумный упаковщик SEVERIN FS 3601,3977,2830030,Техника для кухни >> Хранение продуктов >> Вакууматоры >> Вакууматоры Severin,severin,Вакууматор Severin FS 3601,,3979,1,https://comfy.ua/vakuumator-severin-fs-3601.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
