1647615514,6919646,FISKARS,Лопатка Fiskars Essential (1065591),675,2681748,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Fiskars,fiskars,Лопатка кухонна Fiskars Essential (1065591),,749,1,https://comfy.ua/lopatka-kuhonnaja-fiskars-essential-1065591.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1647626888,6945546,REMINGTON,Электробритва REMINGTON Ultimate Series RX7 XR1600 Black / Green,3799,2809820,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Remington,remington,Бритва Remington XR1600 Ultimate Series RX7,,3799,1,https://comfy.ua/britva-remington-xr1600-ultimate-series-rx7.html,5199,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1647626905,7019685,KRAUZER,Френч-пресс KRAUZER 1000 мл (77229),283,2667135,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Krauzer,krauzer,Френч-прес Krauzer 1000 мл (77229),,283,1,https://comfy.ua/french-press-krauzer-1000-ml-77229.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1647628344,6924918,KRAUZER,Заварник KRAUZER 1000 мл (77220),435,2667133,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Krauzer,krauzer,Чайник заварювальний Krauzer 1000 мл (77220),,424,1,https://comfy.ua/chajnik-zavarochnyj-krauzer-1000-ml-77220.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1647628774,6877355,XIAOMI,Фен XIAOMI Water Ionic Hair Dryer H500 EU,2799,2810541,Красота и здоровье >> Уход за волосами >> Фены >> Фены Xiaomi,xiaomi,Фен Xiaomi Water Ionic Hair Dryer H500 EU,,2799,1,https://comfy.ua/fen-xiaomi-water-ionic-hair-dryer-h500-eu.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1647665093,,,,,2806914,Техника для кухни >> Крупная техника,interlux,Холодильник INTERLUX ILR-0055S,,3799,1,https://comfy.ua/holodil-nik-interlux-ilr-0055s.html,4999,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1647670567,,,,,2113484,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Baseus,baseus,Мережевий зарядний пристрій Baseus Compact Quick Charger U+C 20W EU White (CCXJ-B02),,499,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-baseus-compact-quick-charger-u-c-20w-eu-white-ccxj-b02.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
1647670590,7066629,VOLTENO,Тепловентилятор VOLTENO VO0280,805,2790084,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Volteno,volteno,Тепловентилятор Volteno VO0280,,805,1,https://comfy.ua/teploventiljator-volteno-vo0280.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1647670592,7066630,VOLTENO,Тепловентилятор VOLTENO VO0281,1199,2790085,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Volteno,volteno,Тепловентилятор Volteno VO0281,,1199,1,https://comfy.ua/teploventiljator-volteno-vo0281.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1647672072,6949662,INTERLINE,Встраиваемая микроволновая печь INTERLINE MWG 926 SEF BA,15444,2810520,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Interline,interline,Мікрохвильова піч (НВЧ) вбудовувана Interline MWG 926 SEF BA,,13999,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-interline-mwg-926-sef-ba.html,15599,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1647673741,7066611,VOLTENO,Конвектор VOLTENO VO0267,1762,2790097,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Volteno,volteno,Конвектор Volteno VO0267,,1845,1,https://comfy.ua/konvektor-volteno-vo0267.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1647675501,7066612,VOLTENO,Конвектор VOLTENO VO0268,2397,2790098,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Volteno,volteno,Конвектор Volteno VO0268,,2399,1,https://comfy.ua/konvektor-volteno-vo0268.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1647675504,7066627,VOLTENO,Масляный обогреватель VOLTENO VO2828 mini,2772,2790089,Техника для дома >> Климатическая техника,volteno,Обігрівач масляний Volteno VO2828,,2775,1,https://comfy.ua/obogrevatel-masljanyj-volteno-vo2828.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1647681156,7066626,VOLTENO,Масляный обогреватель VO0827,3285,2790088,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Volteno,volteno,Обігрівач масляний Volteno VO0827,,3285,1,https://comfy.ua/obogrevatel-masljanyj-volteno-vo0827.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
