773331106,6716945,POWERPLANT,rechar POWERPLANT HTC Touch Pro II (BA S390) 1500mAh (DV00DV6084),115,1725463,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant HTC Touch Pro II (BA S390) (DV00DV6084),,139,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-htc-touch-pro-ii-ba-s390-dv00dv6084.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
773331112,6716964,POWERPLANT,rechar POWERPLANT HTC Desire C A320E (BA S850) 1300mAh (DV00DV6189),85,1725490,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant HTC Desire C A320E (BA S850) (DV00DV6189),,199,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-htc-desire-c-a320e-ba-s850-dv00dv6189.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
773331113,6716962,POWERPLANT,rechar POWERPLANT HTC ONE SC (T528) 1800mAh (DV00DV6187),75,1725489,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant HTC ONE SC (T528) (DV00DV6187),,99,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-htc-one-sc-t528-dv00dv6187.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
773331114,,,,,1714125,Бытовая химия >> Все для уборки,bref,Засіб для чищення універсальний Bref Лимон 500 г Лимон 500 г з активним хлором,,95,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-bref-limon-500-g.html,100,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
773331117,,,,,1725495,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant Lenovo S760 (BL194) (DV00DV6233),,99,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-lenovo-s760-bl194-dv00dv6233.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
773331119,,,,,1720317,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Colorway,colorway,Мережевий зарядний пристрій Colorway 1USB Auto ID 2A (10W) (CW-CHS012-WT),,189,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-colorway-1usb-auto-id-2a-10w-cw-chs012-wt.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
773331121,,,,,1725483,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant LG Nitro HD P930 (BL-49KH) (DV00DV6108),,139,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-lg-nitro-hd-p930-bl-49kh-dv00dv6108.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
773331122,6716956,POWERPLANT,rechar POWERPLANT HTC Touch HD (BLAC160) 1100mAh (DV00DV6157),139,1725473,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant HTC Touch HD (BLAC160) (DV00DV6157),,169,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-htc-touch-hd-blac160-dv00dv6157.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
773331137,,,,,1725487,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant LG KP500 (LGIP-570A) (DV00DV6166),,159,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-lg-kp500-lgip-570a-dv00dv6166.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
773331141,6987353,BRABANTIA,Терка BRABANTIA Tasty+ Red (120985),600,1727527,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Brabantia",brabantia,Терка Brabantia 120985,,799,1,https://comfy.ua/terka-brabantia-120985.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
