1258393093,column,column,column,column,1966123,Инструменты и автотовары >> Ручные инструменты,knipex,_knipex_78_31_125,column,1149,1,httpscomfyuakusachkiknipex7831125html,column,05112025_2244,column,__42,Фастів,0
1258393336,,,,,1965809,Инструменты и автотовары >> Ручные инструменты,knipex,Кусачки KNIPEX 74 06 250,,2765,1,https://comfy.ua/kusachki-knipex-74-06-250.html,,05.11.2025 22:44,,"вул. Соборна, 42",Фастів,0
1258393338,,,,,1973918,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки KNIPEX",knipex,Кліщі KNIPEX Alligator XL (88 01 400),,3195,1,https://comfy.ua/kleschi-knipex-alligator-xl-88-01-400.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
1258393341,,,,,1973804,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки KNIPEX",knipex,Кліщі KNIPEX Cobra (87 01 400),,3489,1,https://comfy.ua/kleschi-knipex-cobra-87-01-400.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
1258393342,,,,,.1973793,Инструменты и автотовары >> Ручные инструменты,knipex,Кліщі KNIPEX 83 60 015,,3795,1,https://comfy.ua/kleschi-knipex-83-60-015.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1258393343,,,,,.1973938,Инструменты и автотовары >> Ручные инструменты,knipex,Кліщі KNIPEX 00 31 20 V03,,4119,1,https://comfy.ua/kleschi-knipex-00-31-20-v03.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
1258393345,,,,,1973923,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки KNIPEX",knipex,Кліщі KNIPEX PreciForce (97 52 36),,5515,1,https://comfy.ua/kleschi-knipex-preciforce-97-52-36.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
1258393443,,,,,1971711,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты KING TONY,king-tony,Біта KING TONY 1/2'' М5 (402605),,165,1,https://comfy.ua/nabor-torcevyh-golovok-king-tony-1-2-m5-402605.html,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
1258393452,,,,,1969510,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты IRWIN,irwin,"""Біта для викрутки IRWIN 1/4"""" 25 мм PH3 10 шт. (10504332)""",,189,1,https://comfy.ua/nabor-bit-dlja-otvertki-irwin-1-4-25-mm-ph3-10-sht-10504332.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
1258393453,,,,,.1969929,Инструменты и автотовары >> Расходные материалы,king-tony,"""Біта для викрутки KING TONY 3/4"""" 19 мм (174019H)""",,185,1,https://comfy.ua/bita-dlja-otvertki-king-tony-3-4-19-mm-174019h.html,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
1258393455,,,,,1969955,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты KING TONY,king-tony,"""Біта для викрутки KING TONY 1/2"""" 80 мм (403745)""",,199,1,https://comfy.ua/bita-dlja-otvertki-king-tony-1-2-80-mm-403745.html,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
1258393456,,,,,1969956,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты KING TONY,king-tony,"""Біта для викрутки KING TONY 1/2"""" 80 мм (403750)""",,195,1,https://comfy.ua/bita-dlja-otvertki-king-tony-1-2-80-mm-403750.html,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
