818722489,column,column,column,column,1787904,Смартфоны и телефоны >> Аксессуары для смартфонов,colorway,___colorway_power_delivery_port_pps_usb_typec_45w_black_cwchs034pdbk,column,749,1,httpscomfyuasetevoezarjadnoeustrojstvocolorwaypowerdeliveryportppsusbtypec45wblackcwchs034pdbkhtml,column,05112025_1732,column,__42,Фастів,0
819294162,6987462,WUESTHOF,Набор ножей WUESTHOF Classic White 7 пр (1090270601),25103,1788448,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Набір ножів Wuesthof 6 пр. 1090270601,,25103,1,https://comfy.ua/nabor-nozhej-wuesthof-6-pr-1090270601.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
819294319,6682531,KINGSTON,SSD накопитель KINGSTON mSATA SKC600 256GB 3D TLC (SKC600MS/256G),1735,1780138,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Kingston",kingston,SSD-накопичувач внутрішній Kingston mSATA SKC600 256GB 3D TLC (SKC600MS/256G),,1599,1,https://comfy.ua/ssd-nakopitel-vnutrennij-kingston-msata-skc600-256gb-3d-tlc-skc600ms-256g.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
819294354,,,,,1783186,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ergo,Маршрутизатор інтернет WiFi4+4G Ergo R0516 c АКБ,,2799,1,https://comfy.ua/catalog/product/view/id/2258703,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
819294561,,,,,.1787927,Посуда >> Кухонные аксессуары,tescoma,Лопатка кухонна tescoma 637624 Feelwood 30 см,,359,1,https://comfy.ua/lopatka-kuhonnaja-tescoma-637624-feelwood-30-sm.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
819303426,,,,,1783409,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG2218,,5899,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg2218.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
819303471,,,,,1787519,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",hp,Коммутатор локальної мережі (Switch) HP Aruba Instant On 1930 24G 4SFP+ Switch (JL682A),,14599,1,https://comfy.ua/catalog/product/view/id/2256893,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
819303472,,,,,1783410,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG3452,,16999,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg3452.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
819378237,,,,,1788032,Смартфоны и телефоны >> Аксессуары для смартфонов,colorway,Автомобільний зарядний пристрій Colorway CW-CHA028PD-GR Gray,,199,1,https://comfy.ua/catalog/product/view/id/2245453,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
819381196,,,,,1787902,Смартфоны и телефоны >> Аксессуары для смартфонов,colorway,Мережевий зарядний пристрій Colorway Power Delivery Port PPS USB Type-C 25W Black (CW-CHS033PD-BK),,499,1,https://comfy.ua/catalog/product/view/id/2245343,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
819389352,,,,,1789902,Детские товары >> Детский транспорт >> Защита >> Защита Micro,micro,"Шолом Micro ТЕМНО-СИНІЙ (52-56 см, M) (AC2083BX)",,1745,1,https://comfy.ua/shlem-micro-temno-sinij-52-56-sm-m-ac2083bx.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
819389355,,,,,1789900,Детские товары >> Детский транспорт >> Защита >> Защита Micro,micro,"Шолом Micro ТЕМНО-СИНІЙ (48-53 см, S) (AC2082BX)",,1745,1,https://comfy.ua/shlem-micro-temno-sinij-48-53-sm-s-ac2082bx.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
819389357,,,,,1789899,Детские товары >> Детский транспорт >> Защита >> Защита Micro,micro,"Шолом Micro МАЛИНОВИЙ (52-56 см, M) (AC2081BX)",,1745,1,https://comfy.ua/shlem-micro-malinovyj-52-56-sm-m-ac2081bx.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
819389358,7111465,MICRO,Детский защитный шлем MICRO 48-53 см Crimson  (AC2080BX),1745,1789898,Детские товары >> Детский транспорт >> Защита >> Защита Micro,micro,"Шолом Micro МАЛИНОВИЙ (48-53 см, S) (AC2080BX)",,1745,1,https://comfy.ua/shlem-micro-malinovyj-48-53-sm-s-ac2080bx.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
819389382,,,,,1789562,Детские товары >> Подгузники и пеленание >> Влажные и сухие детские салфетки >> Влажные и сухие детские салфетки Huggies,huggies,Вологі серветки для немовлят Huggies Pure 56 шт. (5029053550039),,92,1,https://comfy.ua/vlazhnye-salfetki-dlja-grudnichkov-huggies-pure-56-sht-5029053550039.html,115,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
819389392,,,,,.1789639,Детские товары >> Прогулки и поездки,babyono,Москітна сітка для коляски BabyOno 72,,255,1,https://comfy.ua/moskitnaja-setka-dlja-koljaski-babyono-72.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
819389402,,,,,1789875,"Детские товары >> Кормление >> Молокоотсосы, системы SNS и емкости для хранения >> Молокоотсосы, системы SNS и емкости для хранения Medela",medela,"Молокозбірник Medela Milk Collection Shells, 30 мл., 2 шт. (008.0240)",,1109,1,https://comfy.ua/molokosbornik-medela-medela-milk-collection-shells-30-ml-2-sht-008-0240.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
819389421,,,,,1789840,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки TMNT,tmnt,Колекційна інтерактивна фігурка TMNT «Еволюція Черепашок-ніндзя» W4 - шредери (80836),,299,1,https://comfy.ua/kollekcionnaja-interaktivnaja-figurka-tmnt-jevoljucija-cherepashek-nindzja-w4-shredder-80836.html,,06.11.2025 1:26,,"вул. Соборна, 42",Фастів,0
819389430,6996290,HOLMER,Утюг HOLMER HIC-2645,779,1788805,Техника для дома >> Мелкая техника >> Утюги >> Утюги Holmer,holmer,Праска Holmer HIC-2645,,779,1,https://comfy.ua/utjug-holmer-hic-2645.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
819410932,6666150,GORENJE,Встраиваемая посудомоечная машина GORENJE GV 561 D10 (WQP8-GDFI1),19999,1768899,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Gorenje,gorenje,Посудомийна машина вбудована Gorenje GV561D10,,19999,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-gorenje-gv561d10.html,23399,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
819424872,,,,,.1787519,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",hp,Коммутатор локальної мережі (Switch) HP Aruba Instant On 1930 24G 4SFP+ Switch (JL682A),,14599,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-hp-aruba-instant-on-1930-24g-4sfp-switch-jl682a.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
819469781,,,,,1786305,Бытовая химия >> Все для уборки,tiret,Засіб для миття у ванній кімнаті TIRET TURBO д/чищ.канал.труб 500мл,,169,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-tiret-turbo-d-chisch-kanal-trub-500ml.html,232,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
819475793,,,,,1790181,Детские товары >> Игрушки для малышей,janod,Ігровий центр для малюка Janod Луг (J05327),,2899,1,https://comfy.ua/catalog/product/view/id/2271493,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
819475794,,,,,1790182,Детские товары >> Игрушки,janod,Коляска для ляльки і пупса Janod Candy Chic (J05886),,3899,1,https://comfy.ua/catalog/product/view/id/2271443,,05.11.2025 23:40,,"вул. Соборна, 42",Фастів,0
819487004,,,,,1787216,"Аудио, фото и видео >> Наушники",gembird,Гарнітура дротова Gembird MHS-03-BKRD,,299,1,https://comfy.ua/catalog/product/view/id/2246793,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
819487190,,,,,1788247,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Зарядний пристрій для ноутбука Merlion Dell 19.5V 3.34A 65W 4.5х3.0мм (LDL90/19.5-7.4*5.0/01751),,429,1,https://comfy.ua/catalog/product/view/id/2246103,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
819487192,,,,,1788243,"Аудио, фото и видео >> Аксессуары для фото, видео",liitokala,З/пристрій для акумуляторів AA/AAA LiitoKala Lii-S8,,1609,1,https://comfy.ua/catalog/product/view/id/2246073,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
819487195,,,,,1783186,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ergo,Маршрутизатор інтернет WiFi4+4G Ergo R0516 c АКБ,,2799,1,https://comfy.ua/marshrutizator-internet-wifi4-4g-ergo-r0516-c-akb.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
819487434,,,,,1788901,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары 1stPlayer",1stplayer,Крісло для геймерів 1stPlayer FK2 Black-Yellow,,6999,1,https://comfy.ua/kreslo-dlja-gejmerov-1stplayer-fk2-black-yellow.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
819487574,,,,,.1745158,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF35VGKS\MUZ-EF35VG,,67005,1,https://comfy.ua/kondicioner-split-mitsubishi-electric-msz-ef35vgks-muz-ef35vg.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
819499289,,,,,1778358,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",eurogold,"Прасувальна дошка Eurogold PERFECT 120х38см, 30538N",,2305,1,https://comfy.ua/gladil-naja-doska-eurogold-perfect-120h38sm-30538n.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
