987486663,column,column,column,column,1844969,Детские товары >> Детская комната и безопасность,handyhome,____handy_home__48x30x30__ch16,column,485,1,httpscomfyuakorobkadljahranenijadetskajahandyhomekrokodil48x30x30smch16html,column,05112025_2035,column,__42,Фастів,0
988055042,,,,,1845462,Детские товары >> Детская комната и безопасность >> Мебель и хранение для детской комнаты >> Мебель и хранение для детской комнаты Handy Home,handy-home,Органайзер для зберігання дитячий Handy Home Ведмежатко на 7 відділень 40х60 см (UC-105),,169,1,https://comfy.ua/organajzer-dlja-hranenija-detskij-handy-home-mishka-na-7-otdelenij-40h60-sm-uc-105.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
988055046,,,,,1842461,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Beaba,beaba,Стільчик для годування класичний Beaba Up&Down (912598),,12249,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-beaba-up-down-912598.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
988055047,6734262,APPLE,Смартфон APPLE iPhone 13 128GB Midnight (MLPF3HU/A),22999,1844449,Смартфоны и телефоны >> Смартфоны >> Смартфоны Apple >> Серия Apple iPhone 13,apple,Смартфон Apple iPhone 13 128Gb Midnight,,22999,1,https://comfy.ua/smartfon-apple-13-128gb-black.html,25499,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,3
988055051,6721655,ARDESTO,Холодильник ARDESTO DNF-M378BI200,20999,1830463,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Ardesto,ardesto,Холодильник Ardesto DNF-M378BI200,,20999,1,https://comfy.ua/holodil-nik-ardesto-dnf-m378bi200.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
988055062,6721657,ARDESTO,Холодильник ARDESTO DNF-M259W180,15999,1830812,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Ardesto,ardesto,Холодильник Ardesto DNF-M259W180,,15999,1,https://comfy.ua/holodil-nik-ardesto-dnf-m259w180.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
988055098,6733551,INDESIT,Холодильник INDESIT LI9S1EW,17999,1845355,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Indesit,indesit,Холодильник Indesit LI9S1EW,,17999,1,https://comfy.ua/holodil-nik-indesit-li9s1ew.html,21299,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
988055140,,,,,1845598,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы Our Generation,our-generation,Лялька Our Generation Саванна 46 см (BD31316Z),,1779,1,https://comfy.ua/kukla-klassicheskaja-our-generation-savanna-46-sm-bd31316z.html,,06.11.2025 0:48,,"вул. Соборна, 42",Фастів,0
988055143,,,,,1845788,Детские товары >> Детская комната и безопасность,red-castle,Ковдра для Cocoonababy зима Red Castle White утеплене (0449166),,2339,1,https://comfy.ua/odejalo-dlja-cocoonababy-zima-red-castle-cocoonacover-white-uteplennoe-0449166.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
988056714,6733375,INTERLINE,Вытяжка INTERLINE WIND BL A/60/GL/ST,10197,1833367,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Interline,interline,Витяжка вбудована Interline WIND BL A/60/GL/ST,,8999,1,https://comfy.ua/vytjazhka-vstraivaemaja-interline-wind-bl-a-60-gl-st.html,10299,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
988122534,7045388,STRATEG,Боксерский набор STRATEG Ukraine средний (2015),399,1762715,Детские товары >> Игрушки >> Активные игры >> Спортивные игры >> Спортивные игры Strateg,strateg,"""Бокс Strateg набор """"Ukraine"""" средний ( высота 46 см, диаметр 18 см) (2015)""",,639,1,https://comfy.ua/boks-strateg-nabor-ukraine-srednij-vysota-46-sm-diametr-18-sm-2015.html,,06.11.2025 0:24,,"вул. Соборна, 42",Фастів,0
