1646658650,column,column,column,column,2807466,Смартфоны и телефоны >> Мобильные телефоны,ergo,__ergo_r231_dual_sim_black,column,819,1,httpscomfyuamobilnyjtelefonergor231dualsimblackhtml,column,05112025_1721,column,__42,Фастів,0
1646673335,,,,,.2797635,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Xiaomi redmi Note 12s двостороння (DV-XM-RMN12SFB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-xiaomi-redmi-note-12s-dvustoronnjaja-dv-xm-rmn12sfb.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1646673336,,,,,.2797639,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for ZTE Blade A31 двостороння (DV-ZT-BDAA31FB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-zte-blade-a31-dvustoronnjaja-dv-zt-bdaa31fb.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1646673337,,,,,.2797631,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Samsung S23 FE двостороння (DV-SM-S23FEFB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-samsung-s23-fe-dvustoronnjaja-dv-sm-s23fefb.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1646673338,,,,,.2797643,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for ZTE Blade L220 двостороння (DV-ZT-BDAL220FB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-zte-blade-l220-dvustoronnjaja-dv-zt-bdal220fb.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1646673339,,,,,.2797438,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Samsung A25 двостороння (DV-SM-A25FB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-samsung-a25-dvohstoronnjaja-dv-sm-a25fb.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1646673340,,,,,.2797647,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for ZTE Blade L9 двостороння (DV-ZT-BDAL9FB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-zte-blade-l9-dvustoronnjaja-dv-zt-bdal9fb.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1646674122,6939197,ARDESTO,Тарелка столовая глубокая ARDESTO Lecco 20 см Grey (AR2920LRG),149,2763739,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Ardesto,ardesto,Тарілка супова Ardesto Lecco 20 см (AR2920LRG),,149,1,https://comfy.ua/tarelka-supovaja-ardesto-lecco-20-sm-ar2920lrg.html,209,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
1646681538,,,,,.2771023,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Pro for Samsung S23FE 5G Black (ARM69576),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-pro-for-samsung-s23fe-5g-black-arm69576.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1646681694,,,,,.2719372,Инструменты и автотовары >> Ручные инструменты,milwaukee,Кусачки Milwaukee 160 мм (4932492463),,1349,1,https://comfy.ua/kusachki-milwaukee-160-mm-4932492463.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
1646681695,,,,,.2719382,Инструменты и автотовары >> Ручные инструменты,milwaukee,Плоскогубці Milwaukee 180 мм (4932464572),,1599,1,https://comfy.ua/ploskogubcy-milwaukee-180-mm-4932464572.html,,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
1646681696,,,,,2696398,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Milwaukee",milwaukee,Кусачки Milwaukee 145 мм (4932464566),,1519,1,https://comfy.ua/kusachki-milwaukee-145-mm-4932464566.html,,05.11.2025 21:22,,"вул. Соборна, 42",Фастів,0
1646684138,,,,,.2765726,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Icon for Xiaomi Redmi Note 12 Pro 4G Black (ARM72596),,239,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-for-xiaomi-redmi-note-12-pro-4g-black-arm72596.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1646684139,,,,,.2771022,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Icon for Samsung S23FE 5G Black (ARM69568),,329,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-for-samsung-s23fe-5g-black-arm69568.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
