1019856851,column,column,column,column,1855472,Посуда >> Нарезка и измельчение,gusto,__gusto_20__gt6120,column,112,1,httpscomfyuacatalogproductviewid2967243,column,05112025_1858,column,__42,Фастів,0
1020485575,,,,,.1851450,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Коммутатор локальної мережі (Switch) Aruba 48PORT 1000M 4SFP+/6100 (JL676A),,207635,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-aruba-48port-1000m-4sfp-6100-jl676a.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1020539515,,,,,.1858746,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфона ACCLAB Full Glue for Apple iPhone 13 Black (1283126515392),,155,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-apple-iphone-13-black-1283126515392.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1020539516,,,,,.1858747,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфона ACCLAB Full Glue for Apple iPhone 13 Mini Black (1283126515415),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-apple-iphone-13-mini-black-1283126515415.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1020539520,,,,,1858750,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Samsung Galaxy A22 SM-A225 Black (1283126512551),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-samsung-galaxy-a22-sm-a225-black-1283126512551.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1020542129,6471121,ARTEL,Электропечь ARTEL MD 3618 E BLACK,3599,1430821,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи ARTEL,artel,Піч електрична ARTEL MD 3618 E Black,,3599,1,https://comfy.ua/pech-jelektricheskaja-artel-md-3618-e-black.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1020545164,6756763,HP,МФУ лазерное HP LaserJet Enterprise M430f (3PZ55A),34915,1846581,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ HP",hp,БФП ч/б друку HP LJ Enterprise M430f (3PZ55A),,34915,1,https://comfy.ua/mfu-ch-b-pechati-hp-lj-enterprise-m430f-3pz55a.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1020550109,,,,,1858286,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Stark,stark,Набір викруток Stark SBKIT-218 (502506018),,235,1,https://comfy.ua/nabor-otvertok-stark-sbkit-218-502506018.html,,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
1020550111,,,,,1858287,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Stark,stark,Набір викруток Stark SDKIT-007 (506510007),,475,1,https://comfy.ua/nabor-otvertok-stark-sdkit-007-506510007.html,,05.11.2025 21:39,,"вул. Соборна, 42",Фастів,0
1020550810,6945150,TOLSEN,Отвертка TOLSEN VDE РZ 2х100 мм (38011),99,1857279,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Tolsen,tolsen,Викрутка кишенькова Tolsen РZ 2х100 мм (38011),,99,1,https://comfy.ua/otvertka-karmannaja-tolsen-rz-2h100-mm-38011.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1020603413,,,,,.1859119,Смартфоны и телефоны >> Аксессуары для смартфонов,makefuture,Чохол для смартфону MakeFuture Frame Matte PC TPU Apple iPhone 13 Black (MCMF-AI13BK),,299,1,https://comfy.ua/chehol-dlja-smartfona-makefuture-frame-matte-pc-tpu-apple-iphone-13-black-mcmf-ai13bk.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
