1687485721,column,column,column,column,2894372,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_matte_for_samsung_a25_5g_a256_arm69540,column,209,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartmatteforsamsunga255ga256arm69540html,column,05112025_2016,column,__42,Фастів,0
1687489952,,,,,.2890937,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Pro for Motorola G32/G62 5G Black (ARM60623),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-pro-for-motorola-g32-g62-5g-black-arm60623.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1687490410,,,,,2875419,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Icon for Xiaomi Poco X6 5G/Poco X6 Pro 5G/M6 Pro 4G Black (ARM73496),,329,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-for-xiaomi-poco-x6-5g-poco-x6-pro-5g-m6-pro-4g-black-arm73496.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1687490411,,,,,2871616,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Icon for Xiaomi Redmi Note 13 4G Black (ARM73565),,329,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-for-xiaomi-redmi-note-13-4g-black-arm73565.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1687490736,,,,,.2876814,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфона Armorstandart Icon 3D for iPhone 13 mini Black 2шт (ARM62765),,549,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-3d-for-iphone-13-mini-black-2sht-arm62765.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1687490737,,,,,.2871621,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Infinity Black Icon 2.75D for Apple iPhone 15 (ARM73955),,699,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-infinity-black-icon-2-75d-for-apple-iphone-15-arm73955.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1687490738,,,,,.2871622,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Infinity Black Icon 2.75D for Apple iPhone 15 Pro (ARM73956),,699,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-infinity-black-icon-2-75d-for-apple-iphone-15-pro-arm73956.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1687490739,,,,,.2871617,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Infinity Black Icon 2.75D for Apple iPhone 14 / 13 / 13 Pro (ARM73951),,599,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-infinity-black-icon-2-75d-for-apple-iphone-14-13-13-pro-arm73951.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1687490741,,,,,.2871618,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Infinity Black Icon 2.75D for Apple iPhone 14 Plus / 13 Pro Max (ARM73952),,599,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-infinity-black-icon-2-75d-for-apple-iphone-14-plus-13-pro-max-arm73952.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1687490742,,,,,.2871623,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Infinity Black Icon 2.75D for Apple iPhone 15 Pro Max (ARM73957),,699,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-infinity-black-icon-2-75d-for-apple-iphone-15-pro-max-arm73957.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1687490764,,,,,2918947,Смартфоны и телефоны >> Аксессуары для смартфонов,gembird,Мережевий зарядний пристрій Gembird USB-A+2 Type-C PD18W + QC3.0 27W (TA-UC-PDQC65-01-BK),,759,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-gembird-usb-a-2-type-c-pd18w-qc3-0-27w-ta-uc-pdqc65-01-bk.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1687496801,,,,,.2876829,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ET-210 NP-2U3,,959,1,https://comfy.ua/korpus-gamemax-et-210-np-2u3.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1687496803,,,,,.2876831,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ET-214-NP  2U3-TYC,,1159,1,https://comfy.ua/korpus-gamemax-et-214-np-2u3-tyc.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1687496804,,,,,.2876830,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ET-213-NP  2U3-TYC- CR,,1239,1,https://comfy.ua/korpus-gamemax-et-213-np-2u3-tyc-cr.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1687496805,,,,,.2876826,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax MT-526-NP U3-TYC,,1229,1,https://comfy.ua/korpus-gamemax-mt-526-np-u3-tyc.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1687496850,,,,,.2877126,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ST103-2U3-300W,,2409,1,https://comfy.ua/korpus-gamemax-st103-2u3-300w.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1687533918,,,,,.2897439,Смартфоны и телефоны >> Аксессуары для смартфонов,gelius,Чохол для смартфону Gelius Shell Case for Oppo A18/A38 Blue (96504),,299,1,https://comfy.ua/chehol-dlja-smartfona-gelius-shell-case-for-oppo-a18-a38-blue-96504.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1687625926,6985017,GRUNHELM,Плита газовая GRUNHELM G4F56124B,11099,2957914,Техника для кухни >> Крупная техника >> Плиты >> Плиты Grunhelm,grunhelm,Плита газова Grunhelm G4F56124B,,11319,1,https://comfy.ua/plita-gazovaja-grunhelm-g4f56124b.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1687626101,6985015,GRUNHELM,Плита комбинированная GRUNHELM FG56113ВЕ,10599,2957915,Техника для кухни >> Крупная техника >> Плиты >> Плиты Grunhelm,grunhelm,Плита газова Grunhelm FG56113ВЕ,,10999,1,https://comfy.ua/plita-gazovaja-grunhelm-fg56113ve.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1687658901,,,,,.2850630,Игровые консоли и гейминг >> Комплектующие для игровых ПК,arctic,Корпусний вентилятор ARCTIC P8 PWM PST CO (ACFAN00151A),,349,1,https://comfy.ua/korpusnyj-ventiljator-arctic-p8-pwm-pst-co-acfan00151a.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1687674605,,,,,.2941145,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4060 8GB NM 1641Win (i514400FRTX40608GBNM1641Win),,49476,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4060-8gb-nm-1641win-i514400frtx40608gbnm1641win.html,56869,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1687676546,6983321,NINJA,Гриль NINJA Sizzle GR101EU,6499,2955125,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Ninja,ninja,Гриль-барбекю електричний Ninja Sizzle (GR101EU),,6499,1,https://comfy.ua/gril-barbekju-jelektricheskij-ninja-sizzle-gr101eu.html,12999,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1687688251,,,,,.2940263,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7600X RTX 4060 8GB NM 641010 (Ryzen57600XRTX40608GBNM641010),,60582,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7600x-rtx-4060-8gb-nm-641010-ryzen57600xrtx40608gbnm641010.html,69635,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1687688253,,,,,.2941691,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 3050 8GB NM 3242Win (i714700FRTX30508GBNM3242Win),,55284,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-3050-8gb-nm-3242win-i714700frtx30508gbnm3242win.html,63545,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1687688254,,,,,.2941693,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 3060 12GB NM 1641Win (i714700FRTX306012GBNM1641Win),,56894,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-3060-12gb-nm-1641win-i714700frtx306012gbnm1641win.html,65395,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1687688256,,,,,.2941704,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 4060 8GB NM 32102 (i714700FRTX40608GBNM32102),,58280,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-4060-8gb-nm-32102-i714700frtx40608gbnm32102.html,66989,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1687688258,,,,,.2940355,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4070 12GB NM 3210 (Ryzen75700XRTX407012GBNM3210),,56894,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4070-12gb-nm-3210-ryzen75700xrtx407012gbnm3210.html,65395,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1687688296,,,,,.2719341,Инструменты и автотовары >> Электроинструменты,milwaukee,Клейовий пістолет Milwaukee C18 PCG/600T-201B (4933441808),,26225,1,https://comfy.ua/kleevoj-pistolet-milwaukee-c18-pcg-600t-201b-4933441808.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
1687688339,,,,,.2940357,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4070 12GB NM 3241 (Ryzen75700XRTX407012GBNM3241),,58280,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4070-12gb-nm-3241-ryzen75700xrtx407012gbnm3241.html,66989,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1687688341,,,,,.2941443,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700F RTX 4060 Ti 16GB NM 3210 (i712700FRTX4060Ti16GBNM3210),,55284,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700f-rtx-4060-ti-16gb-nm-3210-i712700frtx4060ti16gbnm3210.html,63545,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1687688353,,,,,.2940266,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7600X RTX 4060 Ti 16GB NM 3210 (Ryzen57600XRTX4060Ti16GBNM3210),,58976,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7600x-rtx-4060-ti-16gb-nm-3210-ryzen57600xrtx4060ti16gbnm3210.html,67789,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1687688356,,,,,.2941701,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 4060 8GB NM 1641Win (i714700FRTX40608GBNM1641Win),,59669,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-4060-8gb-nm-1641win-i714700frtx40608gbnm1641win.html,68585,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1687689969,,,,,.2940269,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7600X RTX 4060 Ti 16GB NM 3242 (Ryzen57600XRTX4060Ti16GBNM3242),,60582,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7600x-rtx-4060-ti-16gb-nm-3242-ryzen57600xrtx4060ti16gbnm3242.html,69635,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1687689971,,,,,.2940358,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4070 12GB NM 3242 (Ryzen75700XRTX407012GBNM3242),,58503,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4070-12gb-nm-3242-ryzen75700xrtx407012gbnm3242.html,67245,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1687689972,,,,,.2941169,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4070 12GB N 1641 (i514400FRTX407012GBN1641),,57367,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4070-12gb-n-1641-i514400frtx407012gbn1641.html,65939,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1687689973,,,,,.2929248,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4060 Ti 16GB NM 6410 (Ryzen57500FRTX4060Ti16GBNM6410),,63140,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4060-ti-16gb-nm-6410-ryzen57500frtx4060ti16gbnm6410.html,72575,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1687690141,,,,,.2929247,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4060 Ti 16GB NM 3242Win (Ryzen57500FRTX4060Ti16GBNM3242Win),,63619,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4060-ti-16gb-nm-3242win-ryzen57500frtx4060ti16gbnm3242win.html,73125,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1687690142,,,,,.2941462,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 13700F RTX 4060 8GB NM 3242Win (i713700FRTX40608GBNM3242Win),,60365,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-13700f-rtx-4060-8gb-nm-3242win-i713700frtx40608gbnm3242win.html,69385,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1687691440,,,,,.2940392,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 7700X RTX 4060 8GB W1 3210 (Ryzen77700XRTX40608GBW13210),,59890,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-7700x-rtx-4060-8gb-w1-3210-ryzen77700xrtx40608gbw13210.html,68839,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1687691441,,,,,.2941171,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4070 12GB N 1642 (i514400FRTX407012GBN1642),,57590,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4070-12gb-n-1642-i514400frtx407012gbn1642.html,66195,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1687691446,,,,,.2940356,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4070 12GB NM 32102 (Ryzen75700XRTX407012GBNM32102),,60365,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4070-12gb-nm-32102-ryzen75700xrtx407012gbnm32102.html,69385,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1687692590,,,,,.2941699,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 3060 12GB NM 3242Win (i714700FRTX306012GBNM3242Win),,59669,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-3060-12gb-nm-3242win-i714700frtx306012gbnm3242win.html,68585,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1687692591,,,,,.2940395,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 7700X RTX 4060 8GB W1 3242 (Ryzen77700XRTX40608GBW13242),,61534,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-7700x-rtx-4060-8gb-w1-3242-ryzen77700xrtx40608gbw13242.html,70729,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1687693105,,,,,.2940360,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4070 SUPER 12GB NM 1641 (Ryzen75700XRTX4070S12GBNM1641),,58280,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4070-super-12gb-nm-1641-ryzen75700xrtx4070s12gbnm1641.html,66989,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1687693106,,,,,.2941172,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4070 12GB N 3210 (i514400FRTX407012GBN3210),,58755,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4070-12gb-n-3210-i514400frtx407012gbn3210.html,67535,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1687693421,6974761,SAMSUNG,Духовой шкаф SAMSUNG NV7B4125ZAK/WT,19499,2917123,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Samsung,samsung,Духова шафа електрична Samsung NV7B4125ZAK/WT,,20999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-samsung-nv7b4125zak-wt.html,22699,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1687694101,,,,,.2940268,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7600X RTX 4060 Ti 16GB NM 32102 (Ryzen57600XRTX4060Ti16GBNM32102),,62448,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7600x-rtx-4060-ti-16gb-nm-32102-ryzen57600xrtx4060ti16gbnm32102.html,71779,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
