1657736406,column,column,column,column,2883024,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,__lan_ruijie_reyee_rgnbr6210e,column,36799,1,httpscomfyuamarshrutizatorinternetlanruijiereyeergnbr6210ehtml,column,05112025_1749,column,__42,Фастів,0
1657818889,6950376,SAMSUNG,Фитнес-браслет SAMSUNG Galaxy Fit 3 Gray (SM-R390NZAASEK),1599,2863848,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Samsung,samsung,Фітнес-браслет Samsung Galaxy Fit3 Gray (SM-R390NZAASEK),,1599,1,https://comfy.ua/fitnes-braslet-samsung-galaxy-fit3-gray-sm-r390nzaasek.html,1999,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,3
1657818890,6950375,SAMSUNG,Фитнес-браслет SAMSUNG Galaxy Fit 3 Pink Gold (SM-R390NIDASEK),1599,2863849,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Samsung,samsung,Фітнес-браслет Samsung Galaxy Fit3 Pink Gold (SM-R390NIDASEK),,1599,1,https://comfy.ua/fitnes-braslet-samsung-galaxy-fit3-pink-gold-sm-r390nidasek.html,1999,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,2
1657818894,6950377,SAMSUNG,Фитнес-браслет SAMSUNG Galaxy Fit 3 Silver (SM-R390NZSASEK),1599,2863850,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Samsung,samsung,Фітнес-браслет Samsung Galaxy Fit3 Silver (SM-R390NZSASEK),,1599,1,https://comfy.ua/fitnes-braslet-samsung-galaxy-fit3-silver-sm-r390nzsasek.html,1999,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1657819651,,,,,.2863070,Игровые консоли и гейминг >> Комплектующие для игровых ПК,intel,Процесор Intel Core i3-13100F (BX8071513100FSRMBV),,5259,1,https://comfy.ua/processor-intel-core-i3-13100f-bx8071513100fsrmbv.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1657819652,,,,,.2866900,Игровые консоли и гейминг >> Комплектующие для игровых ПК,amd,Процесор AMD Ryzen 5 5600X (100-000000065),,4999,1,https://comfy.ua/processor-amd-ryzen-5-5600x-100-000000065.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1657819979,,,,,2855489,Игровые консоли и гейминг >> Комплектующие для игровых ПК,amd,Процесор AMD Ryzen 7 5700X (100-000000926),,5299,1,https://comfy.ua/processor-amd-ryzen-7-5700x-100-000000926.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1657819987,,,,,.2866898,Игровые консоли и гейминг >> Комплектующие для игровых ПК,amd,Процесор AMD Ryzen 7 8700G (100-100001236BOX),,12725,1,https://comfy.ua/processor-amd-ryzen-7-8700g-100-100001236box.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1657819988,,,,,.2876871,Игровые консоли и гейминг >> Комплектующие для игровых ПК,amd,Процесор AMD Ryzen 7 7800X3D Tray (100-000000910),,15799,1,https://comfy.ua/processor-amd-ryzen-7-7800x3d-100-000000910.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1657821010,7031741,LIONELO,Автокресло Lionelo Levi I-Size Pink Baby (5903771706223),4199,2873484,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Lionelo,lionelo,Автокрісло Lionelo Levi I-Size Pink Baby,,4319,1,https://comfy.ua/avtokreslo-lionelo-levi-i-size-pink-baby.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1657821011,7031738,LIONELO,Автокресло Lionelo Levi I-Size Black Grey,4249,2873483,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Lionelo,lionelo,Автокрісло Lionelo Levi I-Size Black Grey,,4249,1,https://comfy.ua/avtokreslo-lionelo-levi-i-size-black-grey.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1657821011,7031740,LIONELO,Автокресло Lionelo Levi I-Size Black Grey (5903771706216),4250,2873483,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Lionelo,lionelo,Автокрісло Lionelo Levi I-Size Black Grey,,4249,1,https://comfy.ua/avtokreslo-lionelo-levi-i-size-black-grey.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1657821013,7031739,LIONELO,Автокресло Lionelo Levi One I-Size Pink Rose,4250,2873488,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Lionelo,lionelo,Автокрісло Lionelo Levi One I-Size Pink Rose,,4319,1,https://comfy.ua/avtokreslo-lionelo-levi-one-i-size-pink-rose.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1657821014,7031737,LIONELO,Автокресло Lionelo Levi One I-Size Black Carbon,4250,2873486,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Lionelo,lionelo,Автокрісло Lionelo Levi One I-Size Black Carbon,,4309,1,https://comfy.ua/avtokreslo-lionelo-levi-one-i-size-black-carbon.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1657821015,,,,,2873487,Comfy KIDS >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Lionelo,lionelo,Автокрісло Lionelo Levi One I-Size Black Grey,,4319,1,https://comfy.ua/avtokreslo-lionelo-levi-one-i-size-black-grey.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1657821016,7031743,LIONELO,Автокресло Lionelo Igo I-Size Black Carbon (5903771706780),5195,2873481,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Lionelo,lionelo,Автокрісло Lionelo Igo I-Size Black Carbon,,4599,1,https://comfy.ua/avtokreslo-lionelo-igo-i-size-black-carbon.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1657821017,7031744,LIONELO,Автокресло Lionelo Igo I-Size Grey Graphite (5903771706797),5195,2873482,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Lionelo,lionelo,Автокрісло Lionelo Igo I-Size Grey Graphite,,5279,1,https://comfy.ua/avtokreslo-lionelo-igo-i-size-grey-graphite.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1657821261,,,,,.2832561,Игровые консоли и гейминг >> Комплектующие для игровых ПК,dato,Память DDR Dato DDR3 8GB/1600 (DT8G3DLDND16),,395,1,https://comfy.ua/pamjat-ddr-dato-ddr3-8gb-1600-dt8g3dldnd16.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
