807253258,column,column,column,column,1760192,"Детские товары >> Уход, купание и гигиена",tegababy,_____tega_baby______ff026108,column,375,1,httpscomfyuagamakdljakupanijavvannochkutegababysrisunkomlesnajaskazkagolubojff026108html,column,05112025_2056,column,__42,Фастів,0
807253283,,,,,1760060,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby Каченя з антиковзаючою гумою і музикою Світло-рожевий (PO-070-130),,287,1,https://comfy.ua/gorshok-detskij-tega-baby-utenok-s-antiskol-zjaschej-rezinoj-i-muzykoj-svetlo-rozovyj-po-070-130.html,359,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
807253288,,,,,1760042,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby Каченя з антиковзаючою гумою Салатовий (DK-001-131),,212,1,https://comfy.ua/gorshok-detskij-tega-baby-utenok-s-antiskol-zjaschej-rezinoj-salatovyj-dk-001-131.html,283,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807253291,7086326,TEGA BABY,Горшок детский музыкальный Tega Baby ECO Unicorn Pink (PO-055-104),208,1759966,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Горщик дитячий Tega Baby ЕСО Єдиноріг з музикою Рожевий (PO-055-104),,209,1,https://comfy.ua/gorshok-detskij-tega-baby-eso-edinorog-s-muzykoj-rozovyj-po-055-104.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
807253292,7086417,TEGA BABY,Горшок TEGA BABY DUCK Light Blue (DK-001-129),239,1760041,"Comfy KIDS >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Горщик дитячий Tega Baby Каченя з антиковзаючою гумою Блакитний (DK-001-129),,230,1,https://comfy.ua/gorshok-detskij-tega-baby-utenok-s-antiskol-zjaschej-rezinoj-goluboj-dk-001-129.html,279,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807253299,,,,,1759974,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby ЕСО Зайчики з музикою Світло-рожевий (PO-059-104),,232,1,https://comfy.ua/gorshok-detskij-tega-baby-eso-zajchiki-s-muzykoj-svetlo-rozovyj-po-059-104.html,265,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807253301,7086324,TEGA BABY,Горшок детский музыкальный Tega Baby ECO Elephant Turquise (PO-057-140),215,1759969,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Горщик дитячий Tega Baby ЕСО Слоник з музикою Бірюзовий (PO-057-140),,232,1,https://comfy.ua/gorshok-detskij-tega-baby-eso-slonik-s-muzykoj-birjuzovyj-po-057-140.html,265,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807253303,7086362,TEGA BABY,Горшок TEGA BABY DUCK Рink (DK-091-130),159,1760038,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Горщик дитячий Tega Baby Каченя Світло-рожевий (DK-091-130),,180,1,https://comfy.ua/gorshok-detskij-tega-baby-utenok-svetlo-rozovyj-dk-091-130.html,219,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807253312,7086319,TEGA BABY,Подставка для ног Tega Baby Кролики White (KR-006-103),227,1759786,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Підставка дитяча під умивальник Tega Baby Зайчики з антиковзаючою гумою Білий (KR-006-103),,245,1,https://comfy.ua/podstavka-detskaja-pod-umyval-nik-tega-baby-zajchiki-s-antiskol-zjaschej-rezinoj-belyj-kr-006-103.html,279,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
807253313,7086352,TEGA BABY,Детская подставка TEGA BABY DUCK Light Blue (DK-006-129),287,1759768,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Підставка дитяча під умивальник Tega Baby Каченя з антиковзаючою гумою Блакитний (DK-006-129),,245,1,https://comfy.ua/podstavka-detskaja-pod-umyval-nik-tega-baby-utenok-s-antiskol-zjaschej-rezinoj-goluboj-dk-006-129.html,279,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
807253319,7086455,TEGA BABY,Подставка для ног Tega Baby Кролики Pink (KR-006-104),227,1759766,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Підставка дитяча під умивальник Tega Baby Зайчики з антиковзаючою гумою Світло-рожевий (KR-006-104),,245,1,https://comfy.ua/podstavka-detskaja-pod-umyval-nik-tega-baby-zajchiki-s-antiskol-zjaschej-rezinoj-svetlo-rozovyj-kr-006-104.html,279,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
807253320,7086321,TEGA BABY,Горшок детский Tega Baby ECO Elephant Turquise (SL-001-140),168,1760032,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Горщик дитячий Tega Baby ЕСО Слоник Бірюзовий (SL-001-140),,219,1,https://comfy.ua/gorshok-detskij-tega-baby-eso-slonik-birjuzovyj-sl-001-140.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807253325,7086454,TEGA BABY,Подставка для ног Tega Baby Кролики Light Green (KR-006-105),219,1759764,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Підставка дитяча під умивальник Tega Baby Зайчики з антиковзаючою гумою М'ятний (KR-006-105),,245,1,https://comfy.ua/podstavka-detskaja-pod-umyval-nik-tega-baby-zajchiki-s-antiskol-zjaschej-rezinoj-mjatnyj-kr-006-105.html,295,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807253350,7086348,TEGA BABY,Горка для купания TEGA BABY DUCK Gray (DK-003-122),263,1760170,"Детские товары >> Уход, купание и гигиена >> Ванночки и подставки для купания >> Ванночки и подставки для купания Tega Baby",tega-baby,"Гірка в ванночку Tega Baby Каченя, Світло-сірий (DK-003-122)",,256,1,https://comfy.ua/gorka-v-vannochku-tega-baby-utenok-svetlo-seryj-dk-003-122.html,295,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
807253362,7086403,TEGA BABY,Горшок TEGA BABY FOREST FAIRYTALE Light Beige (FF-001-111),239,1759952,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Горщик дитячий Tega Baby Лісова казка з антиковзаючою гумою Світло-бежевий (FF-001-111),,295,1,https://comfy.ua/gorshok-detskij-tega-baby-lesnaja-skazka-s-antiskol-zjaschej-rezinoj-svetlo-bezhevyj-ff-001-111.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
807253366,,,,,1759939,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby Лісова казка з антиковзаючою гумою Салатовий (FF-001-112),,295,1,https://comfy.ua/gorshok-detskij-tega-baby-lesnaja-skazka-s-antiskol-zjaschej-rezinoj-salatovyj-ff-001-112.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
807253367,,,,,1760022,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby Каченя М'ятний (DK-091-131),,180,1,https://comfy.ua/gorshok-detskij-tega-baby-utenok-mjatnyj-dk-091-131.html,209,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
807253370,7086361,TEGA BABY,Горшок TEGA BABY DUCK Blue (DK-091-129),168,1760021,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Горщик дитячий Tega Baby Каченя Блакитний (DK-091-129),,180,1,https://comfy.ua/gorshok-detskij-tega-baby-utenok-goluboj-dk-091-129.html,206,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
807253381,7086322,TEGA BABY,Горшок детский Tega Baby ECO Elephant Grey (SL-001-162),168,1760018,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Горщик дитячий Tega Baby ЕСО Слоник Сірий (SL-001-162),,219,1,https://comfy.ua/gorshok-detskij-tega-baby-eso-slonik-seryj-sl-001-162.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
807253390,,,,,1759927,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby ЕСО Динозавр з музикою Салатовий (PO-056-138),,232,1,https://comfy.ua/gorshok-detskij-tega-baby-eso-dinozavr-s-muzykoj-salatovyj-po-056-138.html,265,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
807253395,7086308,TEGA BABY,Накладка на унитаз TEGA BABY Bunny Mint (KR-002-105),239,1759804,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Дитяча накладка на унітаз класична Tega Baby Зайчики з антиковзаючою гумою М'ятний (KR-002-105),,244,1,https://comfy.ua/detskaja-nakladka-na-unitaz-klassicheskaja-tega-baby-zajchiki-s-antiskol-zjaschej-rezinoj-mjatnyj-kr-002-105.html,284,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
807253396,,,,,1760016,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby ЕСО Динозаврик Салатовий (DN-001-138),,180,1,https://comfy.ua/gorshok-detskij-tega-baby-eso-dinozavrik-salatovyj-dn-001-138.html,219,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
807253398,,,,,1759981,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby стільчик Зайчики з музикою Білий (PO-065-103),,392,1,https://comfy.ua/gorshok-detskij-tega-baby-stul-chik-zajchiki-s-muzykoj-belyj-po-065-103.html,487,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807253399,,,,,1759925,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby Сова з антиковзаючою гумою Білий (SO-001-103),,220,1,https://comfy.ua/gorshok-detskij-tega-baby-sova-s-antiskol-zjaschej-rezinoj-belyj-so-001-103.html,279,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
807253404,7086385,TEGA BABY,Горка для купания TEGA BABY FOREST FAIRYTALE Light Green (FF-003-112),263,1760163,"Детские товары >> Уход, купание и гигиена >> Ванночки и подставки для купания >> Ванночки и подставки для купания Tega Baby",tega-baby,"Гірка в ванночку Tega Baby Лісова казка, Салатовий (FF-003-112)",,256,1,https://comfy.ua/gorka-v-vannochku-tega-baby-lesnaja-skazka-salatovyj-ff-003-112.html,309,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807253406,,,,,1760162,"Детские товары >> Уход, купание и гигиена",tega-baby,"Гірка в ванночку Tega Baby Каченя, М'ятний (DK-003-131)",,256,1,https://comfy.ua/gorka-v-vannochku-tega-baby-utenok-mjatnyj-dk-003-131.html,295,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
807253411,7086349,TEGA BABY,Горка для купания TEGA BABY DUCK Вlue (DK-003-129),263,1760161,"Детские товары >> Уход, купание и гигиена >> Ванночки и подставки для купания >> Ванночки и подставки для купания Tega Baby",tega-baby,"Гірка в ванночку Tega Baby Каченя, Блакитний (DK-003-129)",,256,1,https://comfy.ua/gorka-v-vannochku-tega-baby-utenok-goluboj-dk-003-129.html,295,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
807253414,,,,,1760160,"Детские товары >> Уход, купание и гигиена",tega-baby,"Гірка в ванночку Tega Baby Сова, Сірий (SO-003-106)",,256,1,https://comfy.ua/gorka-v-vannochku-tega-baby-sova-seryj-so-003-106.html,295,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
807253421,7086377,TEGA BABY,Горка для купания TEGA BABY OWLS White (SO-003-103),270,1760159,"Детские товары >> Уход, купание и гигиена >> Ванночки и подставки для купания >> Ванночки и подставки для купания Tega Baby",tega-baby,"Гірка в ванночку Tega Baby Сова, Білий (SO-003-103)",,256,1,https://comfy.ua/gorka-v-vannochku-tega-baby-sova-belyj-so-003-103.html,295,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
807253429,,,,,1751803,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники BabyOno,babyono,"Пакети для утилізації запаху в накопичувачі BabyOno ароматизировані, 100 шт (1052)",,125,1,https://comfy.ua/pakety-dlja-utilizacii-zapaha-v-nakopitele-babyono-aromatizirovannye-100-sht-1052.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
807253433,,,,,1760156,"Детские товары >> Уход, купание и гигиена",tega-baby,"Гірка в ванночку Tega Baby Ведмедики, Біла перлина (MS-003NOWY-118)",,256,1,https://comfy.ua/gorka-v-vannochku-tega-baby-mishki-belaja-zhemchuzhina-ms-003nowy-118.html,295,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
807253435,,,,,1759986,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby стільчик Лісова казка Світло-рожевий (FF-007-107),,360,1,https://comfy.ua/gorshok-detskij-tega-baby-stul-chik-lesnaja-skazka-svetlo-rozovyj-ff-007-107.html,411,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
807253439,,,,,1760001,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby стільчик Ведмедики Бежевий (MS-012-119),,360,1,https://comfy.ua/gorshok-detskij-tega-baby-stul-chik-mishki-bezhevyj-ms-012-119.html,405,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
807253468,,,,,1759917,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby Каченя з музикою Світло-жовтий (PO-072-132),,198,1,https://comfy.ua/gorshok-detskij-tega-baby-utenok-s-muzykoj-svetlo-zheltyj-po-072-132.html,259,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
807253476,,,,,1760003,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby стільчик Сова з музикою Білий (PO-064-103),,438,1,https://comfy.ua/gorshok-detskij-tega-baby-stul-chik-sova-s-muzykoj-belyj-po-064-103.html,505,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807253485,,,,,1759912,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby стільчик Лісова казка Світло-блакитний (FF-007-108),,360,1,https://comfy.ua/gorshok-detskij-tega-baby-stul-chik-lesnaja-skazka-svetlo-goluboj-ff-007-108.html,411,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
807253492,7086369,TEGA BABY,Накладка на унитаз TEGA BABY OWLS White (SO-002-103),239,1759818,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Дитяча накладка на унітаз класична Tega Baby Сова з антиковзаючою гумою Білий (SO-002-103),,244,1,https://comfy.ua/detskaja-nakladka-na-unitaz-klassicheskaja-tega-baby-sova-s-antiskol-zjaschej-rezinoj-belyj-so-002-103.html,284,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807253503,7086309,TEGA BABY,Накладка на унитаз TEGA BABY Bunny Powder Pink (KR-002-104),244,1759823,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Дитяча накладка на унітаз класична Tega Baby Зайчики з антиковзаючою гумою Світло-рожевий (KR-002-104),,244,1,https://comfy.ua/detskaja-nakladka-na-unitaz-klassicheskaja-tega-baby-zajchiki-s-antiskol-zjaschej-rezinoj-svetlo-rozovyj-kr-002-104.html,284,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
807253507,,,,,1758642,Детские товары >> Кормление,baby-team,"Малий потік соска дитяча силіконова Baby Team антіколіковая, 2 шт. (2010)",,74,1,https://comfy.ua/malyj-potok-soska-detskaja-silikonovaja-baby-team-antikolikovaja-2-sht-2010.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
807253516,,,,,1759909,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby стільчик Зайчики з музикою Рожевий (PO-065-104),,438,1,https://comfy.ua/gorshok-detskij-tega-baby-stul-chik-zajchiki-s-muzykoj-rozovyj-po-065-105.html,505,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
807253519,,,,,1759908,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby стільчик Зайчики Рожевий (KR-012-104),,360,1,https://comfy.ua/gorshok-detskij-tega-baby-stul-chik-zajchiki-s-muzykoj-rozovyj-po-065-104.html,411,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
807253543,7086371,TEGA BABY,Накладка на унитаз TEGA BABY OWLS White (SO-020-103),464,1759865,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Дитяча накладка на унітаз м'яка Tega Baby Сова Білий (SO-020-103),,619,1,https://comfy.ua/detskaja-nakladka-na-unitaz-mjagkaja-tega-baby-sova-belyj-so-020-103.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807253545,,,,,1759365,Comfy KIDS >> Кормление >> Нагрудники детские >> Нагрудники детские Baby Team,baby-team,Нагрудник тканинний Baby Team середнього розміру на липучці (6506),,125,1,https://comfy.ua/nagrudnik-tkanevyj-baby-team-srednego-razmera-na-lipuchke-6506.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
807253549,7086311,TEGA BABY,Накладка на унитаз Tega Baby Кролики Mint (KR-020-105),477,1759862,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Дитяча накладка на унітаз м'яка Tega Baby Зайчики М'ятний (KR-020-105),,513,1,https://comfy.ua/detskaja-nakladka-na-unitaz-mjagkaja-tega-baby-zajchiki-mjatnyj-kr-020-105.html,598,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
807253551,7086313,TEGA BABY,Накладка на унитаз Tega Baby Кролики White (KR-020-103),477,1759861,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Дитяча накладка на унітаз м'яка Tega Baby Зайчики Білий (KR-020-103),,513,1,https://comfy.ua/detskaja-nakladka-na-unitaz-mjagkaja-tega-baby-zajchiki-belyj-kr-020-103.html,598,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
807253556,7086372,TEGA BABY,Накладка на унитаз TEGA BABY OWLS Grey (SO-020-106),477,1759858,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Дитяча накладка на унітаз м'яка Tega Baby Сова Сірий (SO-020-106),,513,1,https://comfy.ua/detskaja-nakladka-na-unitaz-mjagkaja-tega-baby-sova-seryj-so-020-106.html,598,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
807253561,7086312,TEGA BABY,Накладка на унитаз Tega Baby Кролики Powder Pink (KR-020-104),477,1759855,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Дитяча накладка на унітаз м'яка Tega Baby Зайчики Світло-рожевий (KR-020-104),,513,1,https://comfy.ua/detskaja-nakladka-na-unitaz-mjagkaja-tega-baby-zajchiki-svetlo-rozovyj-kr-020-104.html,598,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
