748916077,,,,,1684322,Посуда >> Для напитков,wmf,Графін WMF 617706590 Basic 1 л Gold,,2499,1,https://comfy.ua/grafin-wmf-617706590-basic-1-l-gold.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
748916078,,,,,1684319,Посуда >> Для напитков,wmf,Графін WMF 617706600 Basic 1 л Copper,,2499,1,https://comfy.ua/grafin-wmf-617706600-basic-1-l-copper.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
748916079,,,,,1684325,Посуда >> Для напитков,wmf,"Графін WMF 617716040 BASIC 0,75 л",,1799,1,https://comfy.ua/grafin-wmf-617716040-basic-0-75-l.html,2199,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
749024470,,,,,1688916,Техника для кухни >> Крупная техника,sencor,Плита електрична настільна Sencor SCP3701BK,,2499,1,https://comfy.ua/catalog/product/view/id/1391703/s/plita-jelektricheskaja-nastol-naja-sencor-scp3701bk,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
749034797,6358311,GRUNHELM,"Бойлер GRUNHELM GBH B-100DD, 100л. (59998)",7279,1633799,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Grunhelm,grunhelm,Водонагрівач Grunhelm GBH B-100DD,,7279,1,https://comfy.ua/vodonagrevatel-grunhelm-gbh-b-100dd.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
749044982,6631688,CECOTEC,Фен CECOTEC Bamba IoniCare 5350 PowerShine Fire,1099,1694030,Красота и здоровье >> Уход за волосами >> Фены >> Фены Cecotec,cecotec,Фен Cecotec Bamba IoniCare 5350 PowerShine Fire (CCTC-04205),,1999,1,https://comfy.ua/fen-cecotec-bamba-ionicare-5350-powershine-fire-cctc-04205.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
749044998,,,,,1663748,Техника для кухни >> Хранение продуктов,wmf,Сушарка для фруктів та овочів WMF 415250011 KITCHENminis,,4999,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-wmf-kitchenminis-415250011.html,7599,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
749311008,6606055,MESKO,Мясорубка MESKO MS 4809,2194,1688846,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Mesko,mesko,М'ясорубка Mesko MS 4809,,2195,1,https://comfy.ua/mjasorubka-mesko-ms-4809.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
749327860,6573473,HANSA,Варочная поверхность HANSA BHGS630502,8599,1695489,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Hansa,hansa,Варильна поверхня газова Hansa BHGS630502,,8599,1,https://comfy.ua/varochnaja-panel-gazovaja-hansa-bhgs630502.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
749327861,,,,,.1695525,Техника для кухни >> Мелкая техника,tescoma,Блендер стаціонарний tescoma 909030.44 President 0.6 л,,4999,1,https://comfy.ua/blender-stacionarnyj-tescoma-909030-44-president-0-6-l.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
