1432962657,6824531,ARDESTO,Плита комбинированная ARDESTO FSC-F5060PW,11559,2204220,Техника для кухни >> Крупная техника,ardesto,Плита газова Ardesto FSC-F5060PW,,12999,1,https://comfy.ua/plita-gazovaja-ardesto-fsc-f5060pw.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1432962673,6824532,ARDESTO,Плита комбинированная ARDESTO FSC-F5060PS,12499,2199478,Техника для кухни >> Крупная техника,ardesto,Плита газова Ardesto FSC-F5060PS,,12999,1,https://comfy.ua/plita-gazovaja-ardesto-fsc-f5060ps.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1432965271,6824535,ARDESTO,Плита комбинированная ARDESTO FSC-F6060PW,12399,2199486,Техника для кухни >> Крупная техника,ardesto,Плита газова Ardesto FSC-F6060PW,,13199,1,https://comfy.ua/plita-gazovaja-ardesto-fsc-f6060pw.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1433808726,,,,,2226581,Телевизоры и мультимедиа >> Мультимедиа и звук >> Медиаплееры >> Медиаплееры Apple,apple,Стаціонарний медіаплеєр Apple TV 7 Gen 4K 64GB (MN873) 2022,,7099,1,https://comfy.ua/stacionarnyj-mediapleer-apple-tv-7-gen-4k-64gb-wi-fi-new-2022.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1433808727,6834442,APPLE,Медиаплеер APPLE TV 4K Wi-Fi+Ethernet 128GB 3 Gen (MN893RU/A),8223,2226582,Телевизоры и мультимедиа >> Мультимедиа и звук >> Медиаплееры >> Медиаплееры Apple,apple,Стаціонарний медіаплеєр Apple TV 7 Gen 4K 128GB + Ethernet (MN893) 2022,,8099,1,https://comfy.ua/stacionarnyj-mediapleer-apple-tv-7-gen-4k-128gb-wi-fi-ethernet-new-2022.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1433816355,6926767,EINHELL,Гайковерт пневматический EINHELL TC-PW 340 (4138950),2249,2220238,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Einhell,einhell,Гайковерт пневматичний Einhell TC-PW 340 (4138950),,2249,1,https://comfy.ua/gajkovert-pnevmaticheskij-einhell-tc-pw-340-4138950.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
1433890848,7170890,WEILOR,Встраиваемая микроволновая печь WEILOR WBM 2551 GW,11999,2195347,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Weilor,weilor,Мікрохвильова піч (НВЧ) вбудовувана Weilor WBM 2551 GW,,11999,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-weilor-wbm-2551-gw.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1433890849,7170888,WEILOR,Встраиваемая микроволновая печь WEILOR WBM 2541 GSS,11999,2195345,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Weilor,weilor,Мікрохвильова піч (НВЧ) вбудовувана Weilor WBM 2541 GSS,,11999,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-weilor-wbm-2541-gss.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1433890850,7170889,WEILOR,Встраиваемая микроволновая печь WEILOR WBM 2551 GB,11999,2195346,Техника для кухни >> Крупная техника,weilor,Мікрохвильова піч (НВЧ) вбудовувана Weilor WBM 2551 GB,,11999,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-weilor-wbm-2551-gb.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1433892398,7170887,WEILOR,Встраиваемая микроволновая печь WEILOR WBM 2041 GSS,8499,2195343,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Weilor,weilor,Мікрохвильова піч (НВЧ) вбудовувана Weilor WBM 2041 GSS,,8499,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-weilor-wbm-2041-gss.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
