1650296931,column,column,column,column,2827061,Техника для кухни >> Крупная техника,akpo,___akpo_pia_6804,column,16145,1,httpscomfyuavarochnajapaneljelektricheskajaakpopia6804html,column,05112025_2102,column,__42,Фастів,0
1650471232,,,,,2818568,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Gusto,gusto,Набір ножів Gusto GT-4105-6 Чорна перлина 6 пр.,,1976,1,https://comfy.ua/nabor-nozhej-gusto-gt-4105-6-chernaja-zhemchuzhina-6-pr.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1650472249,,,,,.2820994,Игровые консоли и гейминг >> Комплектующие для игровых ПК,silver-stone,Корпусний вентилятор Silver Stone Air Blazer 120RW-ARGB (SST-AB120RW-ARGB),,539,1,https://comfy.ua/korpusnyj-ventiljator-silver-stone-air-blazer-120rw-argb-sst-ab120rw-argb.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1650472601,6943118,ARDESTO,Электробритва ARDESTO SHR-B8WDR Черный,999,2788072,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Ardesto,ardesto,Бритва Ardesto SHR-B8WDR,,999,1,https://comfy.ua/britva-ardesto-shr-b8wdr.html,1099,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1650472608,,,,,.2825995,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Процесорний кулер Gamemax Twin 600 White,,1959,1,https://comfy.ua/processornyj-kuler-gamemax-twin-600-white.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1650472943,6951207,INTERLINE,Встраиваемая посудомоечная машина INTERLINE DWI 945 DSO WA Sliding Door,23147,2830340,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Interline,interline,Посудомийна машина вбудована Interline DWI 945 DSO WA Sliding Door,,18999,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-interline-dwi-945-dso-wa-sliding-door.html,23379,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,1
1650472944,6951208,INTERLINE,Встраиваемая посудомоечная машина INTERLINE DWI 965 DSO WA Sliding Door,24285,2830341,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Interline,interline,Посудомийна машина вбудована Interline DWI 965 DSO WA Sliding Door,,19999,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-interline-dwi-965-dso-wa-sliding-door.html,24529,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
1650475482,,,,,.2820999,Игровые консоли и гейминг >> Комплектующие для игровых ПК,silver-stone,Водяна система охолодження Silver Stone Icegem 360P-ARGB (SST-IG360-ARGB),,6849,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-silver-stone-icegem-360p-argb-sst-ig360-argb.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1650480529,,,,,.2825946,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ET-210-NP без БЖ,,869,1,https://comfy.ua/korpus-gamemax-et-210-np-bez-bp.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1650480530,,,,,.2825950,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax M60 Black без БЖ,,1549,1,https://comfy.ua/korpus-gamemax-m60-black-bez-bp.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1650481429,,,,,.2825945,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ST612-2U3-TYC,,1879,1,https://comfy.ua/korpus-gamemax-st612-2u3-tyc.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
