1644325436,,,,,2770624,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Чохол для планшета Armorstandart Smart Case for Lenovo Tab P12 TB370FU Black (ARM70869),,699,1,https://comfy.ua/chehol-dlja-plansheta-armorstandart-smart-case-for-lenovo-tab-p12-tb370fu-black-arm70869.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1644327637,6929598,HAIER,Стиральная машина HAIER HW70-B12929-S,16999,2781906,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Haier,haier,Пральна машина Haier HW70-B12929-S,,19499,1,https://comfy.ua/stiral-naja-mashina-haier-hw70-b12929-s.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1644336148,,,,,2784279,Телевизоры и мультимедиа >> Мультимедиа и звук >> Медиаплееры >> Медиаплееры iNeXT,inext,Стаціонарний медіаплеєр iNeXT TV5 Ultra,,1349,1,https://comfy.ua/stacionarnyj-mediapleer-inext-tv5-ultra.html,1699,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1644336370,,,,,2717440,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы FLORINA,florina,Щипці кухонні FLORINA Anide (4S5005),,279,1,https://comfy.ua/schipcy-kuhonnye-florina-anide-4s5005.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1644337122,,,,,2680237,Смартфоны и телефоны >> Аксессуары для смартфонов,baseus,Автотримач з бездротовою зарядкою Baseus Halo Electric 15W Black (SUDD000001),,1499,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-baseus-halo-electric-15w-black-sudd000001.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1644337435,,,,,.2707076,Посуда >> Нарезка и измельчение,gusto,Ножиці кухонні Gusto GT-6123 23 см,,297,1,https://comfy.ua/nozhnicy-kuhonnye-gusto-gt-6123-23-sm.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1644339808,6930363,ARDESTO,Чайник ARDESTO Gemini 2 л Blue Tiffany (AR1955KS),779,2716221,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические Ardesto,ardesto,Чайник металевий Ardesto Gemini 2 л (AR1955KS),,779,1,https://comfy.ua/chajnik-metallicheskij-ardesto-gemini-2-l-ar1955ks.html,1029,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1644339810,6930364,ARDESTO,Чайник ARDESTO Gemini 2.5 л Beige (AR1956KS),829,2716222,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические Ardesto,ardesto,Чайник металевий Ardesto Gemini 2.5 л (AR1956KS),,829,1,https://comfy.ua/chajnik-metallicheskij-ardesto-gemini-2-5-l-ar1956ks.html,1039,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
1644339811,6930365,ARDESTO,Чайник ARDESTO Gemini 2.5 л Black Marble (AR1957KS),829,2716223,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические Ardesto,ardesto,Чайник металевий Ardesto Gemini 2.5 л (AR1957KS),,829,1,https://comfy.ua/chajnik-metallicheskij-ardesto-gemini-2-5-l-ar1957ks.html,1039,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1644339812,6930366,ARDESTO,Чайник ARDESTO Gemini 2.5 л Black (AR1958KS),779,2716224,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические Ardesto,ardesto,Чайник металевий Ardesto Gemini 2.5 л (AR1958KS),,779,1,https://comfy.ua/chajnik-metallicheskij-ardesto-gemini-2-5-l-ar1958ks.html,1039,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1644346123,6939777,CANYON,Гарнитура CANYON Ego GH-13 Wireless Gaming 7.1 White (CND-SGHS13W),2055,2771422,"Аудио, фото и видео >> Наушники >> Наушники Canyon",canyon,Гарнітура бездротова ігрова Canyon Ego GH-13 Wireless Gaming 7.1 White (CND-SGHS13W),,2055,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-canyon-ego-gh-13-wireless-gaming-7-1-white-cnd-sghs13w.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1644346125,6939776,CANYON,Гарнитура CANYON Ego GH-13 Wireless Gaming 7.1 Black (CND-SGHS13B),2055,2771421,"Аудио, фото и видео >> Наушники >> Наушники Canyon",canyon,Гарнітура бездротова ігрова Canyon Ego GH-13 Wireless Gaming 7.1 Black (CND-SGHS13B),,2055,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-canyon-ego-gh-13-wireless-gaming-7-1-black-cnd-sghs13b.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1644350560,6952793,TP-LINK,IP-камера TP-LINK Tapo C220,1599,2780214,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> IP-камеры >> IP-камеры TP-Link",tp-link,IP-камера TP-Link Tapo C220,,1599,1,https://comfy.ua/ip-kamera-tp-link-tapo-c220.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1644351082,6907855,ANKER,Гарнитура ANKER SoundСore Space One Blue (A3035G31),4599,2788527,"Аудио, фото и видео >> Наушники >> Наушники Anker",anker,Навушники повнорозмірні бездротові Anker SoundCore Space One Blue (A3035G31),,4599,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-anker-soundsore-space-one-blue-a3035g31.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1644351366,6943050,ONEPLUS,Смартфон ONEPLUS Nord 3 5G 8/128GB Misty Green (5011103075),15999,2786632,Смартфоны и телефоны >> Смартфоны в TRADE-IN,oneplus,Смартфон OnePlus Nord 3 5G 8/128GB Misty Green,,15999,1,https://comfy.ua/smartfon-oneplus-nord-3-5g-8-128gb-misty-green.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1644367466,6870652,VIVA,Сахарница VIVA DAILY с ложкой 250 мл (S250-S),61,2717921,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Viva,viva,Ємність для спецій і приправ Viva Daily 250 мл (S250-S),,79,1,https://comfy.ua/emkost-dlja-specij-i-priprav-viva-daily-250-ml-s250-s.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
