1669349646,column,column,column,column,2890789,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,_gamemax_infinity_mini_black__,column,1839,1,httpscomfyuakorpusgamemaxinfinityminiblackbezbphtml,column,05112025_1845,column,__42,Фастів,0
1669357182,6973350,HEINNER,Мясорубка HEINNER MG-2100RD,3399,2937745,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Heinner,heinner,М'ясорубка Heinner MG-2100RD,,3399,1,https://comfy.ua/mjasorubka-heinner-mg-2100rd.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1669359058,6905293,HEINNER,Отпариватель HEINNER HGS-1100PP,999,2937737,Техника для дома >> Мелкая техника >> Утюги >> Утюги Heinner,heinner,Вертикальний відпарювач ручний Heinner HGS-1100PP,,999,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-heinner-hgs-1100pp.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1669359059,6952945,HEINNER,Отпариватель HEINNER HGS-1600BK,1199,2937739,Техника для дома >> Мелкая техника >> Утюги >> Утюги Heinner,heinner,Вертикальний відпарювач ручний Heinner HGS-1600BK,,1199,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-heinner-hgs-1600bk.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1669359492,6952944,HEINNER,Отпариватель HEINNER HGS-1500GR,999,2937738,Техника для дома >> Мелкая техника >> Утюги >> Утюги Heinner,heinner,Вертикальний відпарювач ручний Heinner HGS-1500GR,,999,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-heinner-hgs-1500gr.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1669439678,6999017,HEINNER,Утюг с парогенератором HEINNER HIS-D2400WB,3029,2937927,Техника для дома >> Мелкая техника >> Утюги >> Утюги Heinner,heinner,Праска з парогенератором Heinner HIS-D2400WB,,3029,1,https://comfy.ua/utjug-s-parogeneratorom-heinner-his-d2400wb.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1669484628,,,,,2841519,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,Картридж-тонер Canon C-EXV63 IR2725i/2730i/2745i Black (5142C002),,3839,1,https://comfy.ua/kartridzh-toner-canon-c-exv63-ir2725i-2730i-2745i-black-5142c002.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1669493431,6976882,TEFAL,Бутербродница TEFAL Coppertinto SW341G10,2899,2925814,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы Tefal,tefal,Бутербродниця Tefal SW341G10,,2899,1,https://comfy.ua/buterbrodnica-tefal-sw341g10.html,3599,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1669497140,,,,,2936231,Техника для дома >> Мелкая техника >> Утюги >> Утюги Grunhelm,grunhelm,Праска Grunhelm EI9506CD,,1189,1,https://comfy.ua/utjug-grunhelm-ei9506cd.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1669500491,6980657,DREAME,Фен DREAME Hair Dryer Gleam Pink (AHD12A-PK),2599,2937984,Красота и здоровье >> Уход за волосами >> Фены >> Фены Dreame,dreame,Фен Dreame Hair Dryer Gleam Pink (AHD12A-PK),,2599,1,https://comfy.ua/fen-dreame-hair-dryer-gleam-pink-ahd12a-pk.html,3699,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1669500492,6980658,DREAME,Фен DREAME Hair Dryer Gleam Purple (AHD12A-PPL),2599,2937985,Красота и здоровье >> Уход за волосами >> Фены >> Фены Dreame,dreame,Фен Dreame Hair Dryer Gleam Purple (AHD12A-PPL),,2599,1,https://comfy.ua/fen-dreame-hair-dryer-gleam-purple-ahd12a-ppl.html,3699,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1669500493,6980656,DREAME,Фен DREAME Hair Dryer Gleam White (AHD12A-WH),2599,2937986,Красота и здоровье >> Уход за волосами >> Фены >> Фены Dreame,dreame,Фен Dreame Hair Dryer Gleam White (AHD12A-WH),,2599,1,https://comfy.ua/fen-dreame-hair-dryer-gleam-white-ahd12a-wh.html,3699,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1669506528,6962755,GOODRAM,Флеш-драйв GOODRAM UNO3 16GB (UNO3-0160S0R11),261,2915072,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Goodram",goodram,Флеш USB Goodram USB3.2 16GB UNO3 (UNO3-0160S0R11),,259,1,https://comfy.ua/flesh-usb-goodram-usb3-2-16gb-uno3-uno3-0160s0r11.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1669507882,,,,,.2842000,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",tnb,Кардрідер TnB ALU,,259,1,https://comfy.ua/kardrider-tnb-alu.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1669507884,6902694,KITCHENAID,Насадка-блендер для смузи KITCHENAID для 5KSB13XX/5KSB40XX 500 мл (5KSB2030PJB),3749,2846089,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники KitchenAid,kitchenaid,Насадка для блендера KitchenAid 5KSB2030PJB,,3749,1,https://comfy.ua/nasadka-dlja-blendera-kitchenaid-5ksb2030pjb.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1669508961,6989739,GORENJE,Холодильник GORENJE RF212EPW4 (HZZS13582),11699,2926418,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Gorenje,gorenje,Холодильник Gorenje RF212EPW4,,11699,1,https://comfy.ua/holodil-nik-gorenje-rf212epw4.html,13199,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1669511648,,,,,2849117,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Whirlpool,whirlpool,Посудомийна машина окремостояча Whirlpool W2FHD624X,,17555,1,https://comfy.ua/posudomoechnaja-mashina-otdel-nostojaschaja-whirlpool-w2fhd624x.html,20599,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1669511649,,,,,2849118,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Whirlpool,whirlpool,Посудомийна машина окремостояча Whirlpool W2FHD624,,17099,1,https://comfy.ua/posudomoechnaja-mashina-otdel-nostojaschaja-whirlpool-w2fhd624.html,20799,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1669513003,6898117,HEINNER,Пылесос HEINNER HVC-MRD1400,2399,2937943,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Heinner,heinner,Пилосос для сухого прибирання з мішком Heinner HVC-MRD1400,,2399,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-heinner-hvc-mrd1400.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1669513668,6965505,SENNHEISER,Гарнитура Sennheiser Accentum Plus Wireless White,7919,2912155,"Аудио, фото и видео >> Наушники >> Наушники Sennheiser",sennheiser,Навушники повнорозмірні бездротові Sennheiser Accentum Plus Wireless White (700177),,7899,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-sennheiser-accentum-plus-wireless-white-700177.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1669513669,,,,,.2912154,"Аудио, фото и видео >> Наушники",sennheiser,Навушники накладні дротові Sennheiser HD 400 Pro (700047),,12449,1,https://comfy.ua/naushniki-nakladnye-provodnye-sennheiser-hd-400-pro-700047.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1669513670,6971497,SENNHEISER,Гарнитура SENNHEISER MOMENTUM True Wireless 4 Black Copper (700367),11999,2912156,"Аудио, фото и видео >> Наушники >> Наушники Sennheiser",sennheiser,Навушники вкладиші бездротові TWS Sennheiser Momentum True Wireless 4 Black (700367),,10499,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-sennheiser-momentum-true-wireless-4-black-700367.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1669513671,6950402,SENNHEISER,Гарнитура SENNHEISER MOMENTUM 4 Wireless Graphite (700383),14999,2912157,"Аудио, фото и видео >> Наушники >> Наушники Sennheiser",sennheiser,Навушники повнорозмірні бездротові Sennheiser Momentum 4 Wireless Graphite (700383),,14999,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-sennheiser-momentum-4-wireless-graphite-700383.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1669516810,,,,,2772927,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",intaleo,Кабель 3.5 мм -3.5 мм Intaleo CBFLEXAL 3.5 мм - 3.5 мм (M/M) 1.2 m L-type Black (1283126559594),,149,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-intaleo-cbflexal-3-5-mm-3-5-mm-m-m-1-2-m-l-type-black-1283126559594.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1669517450,,,,,2847498,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов Armorstandart,armorstandart,Чохол для смартфону Armorstandart OneFold Case for Samsung S24 Lavender (ARM73816),,349,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-onefold-case-for-samsung-s24-lavender-arm73816.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1669517454,,,,,.2847499,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart OneFold Case for Samsung S24 Dark Blue (ARM73817),,399,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-onefold-case-for-samsung-s24-dark-blue-arm73817.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1669517456,,,,,2847497,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов Armorstandart,armorstandart,Чохол для смартфону Armorstandart OneFold Case for Samsung S24 Black (ARM73815),,399,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-onefold-case-for-samsung-s24-black-arm73815.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1669517615,,,,,2855220,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель синхронізації даних Baseus Type-C/Lightning PD 20W 1m Red (CATLKLF-91),,399,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-type-c-lightning-pd-20w-1m-red-catlklf-91.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1669575740,6983985,VENTOLUX,Варочная поверхность VENTOLUX HG430-G3G CEST (IVORY),6999,2900829,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня газова Ventolux HG430-G3G CEST (IVORY),,6999,1,https://comfy.ua/varochnaja-panel-gazovaja-ventolux-hg430-g3g-cest-ivory.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1669575741,6983986,VENTOLUX,Варочная поверхность VENTOLUX HG430-G3G CEST (WH),6999,2900830,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня газова Ventolux HG430-G3G CEST (WH),,6999,1,https://comfy.ua/varochnaja-panel-gazovaja-ventolux-hg430-g3g-cest-wh.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1669587175,,,,,2900483,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Apple,apple,Мережевий зарядний пристрій Apple 35W Dual USB-C Port Power Adapter (MW2K3ZM/A),,3799,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-apple-35w-dual-usb-c-port-power-adapter-mw2k3.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1669587906,,,,,2945226,Телевизоры и мультимедиа >> Мультимедиа и звук,inext,Стаціонарний медіаплеєр iNeXT TV 5,,1127,1,https://comfy.ua/stacionarnyj-mediapleer-inext-tv-5.html,1399,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1669592572,,,,,.2917927,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gigabyte,Відеокарта Gigabyte GeForce RTX 3050 WINDFORCE V2 8G (GV-N3050WF2V2-8GD),,11295,1,https://comfy.ua/videokarta-gigabyte-geforce-rtx-3050-windforce-v2-8g-gv-n3050wf2v2-8gd.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1669599812,7047878,LIBERTY,Стиральная машина LIBERTY XPB60 SH (РН243539),4999,2942024,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Liberty,liberty,Пральна машина Liberty XPB60 SH,,4999,1,https://comfy.ua/stiral-naja-mashina-liberty-xpb60-sh.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1669599815,7047879,LIBERTY,Стиральная машина LIBERTY XPB70 SC1 (РН243540),5999,2942025,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Liberty,liberty,Пральна машина Liberty XPB70 SC1,,5999,1,https://comfy.ua/stiral-naja-mashina-liberty-xpb70-sc1.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1669599816,7137845,LIBERTY,Стиральная машина LIBERTY XPB70 SEG,6299,2942026,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Liberty,liberty,Пральна машина Liberty XPB70 SEG,,6299,1,https://comfy.ua/stiral-naja-mashina-liberty-xpb70-seg.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1669606356,6981561,KUMTEL,Блендер KUMTEL HHB-06 Black,1099,2933851,Техника для кухни >> Мелкая техника,kumtel,Блендер міні-комбайн Kumtel HHB-06 Black,,1099,1,https://comfy.ua/blender-mini-kombajn-kumtel-hhb-06-black.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1669613440,,,,,2496066,Телевизоры и мультимедиа >> Аксессуары для ТВ >> Крепления для телевизоров >> Крепления для телевизоров Charmount,charmount,Кріплення для телевізора Charmount TV0804F Black,,859,1,https://comfy.ua/kreplenie-dlja-televizora-charmount-tv0804f-black.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1669613452,,,,,2496062,Телевизоры и мультимедиа >> Аксессуары для ТВ >> Крепления для телевизоров >> Крепления для телевизоров Charmount,charmount,Кріплення для телевізора Charmount TV04T-R6 Black,,1339,1,https://comfy.ua/kreplenie-dlja-televizora-charmount-tv04t-r6-black.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1669614163,6921945,ACER,Монитор ACER Nitro VG0 VG240YM3bmiipx (UM.QV0EE.304),4956,2643716,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Acer",acer,Монітор ігровий Acer VG240YM3BMIIPX (UM.QV0EE.304),,5899,1,https://comfy.ua/monitor-igrovoj-acer-vg240ym3bmiipx-um-qv0ee-304.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1669614205,6986559,ASUS,Монитор ASUS TUF Gaming VG279QL3A (90LM09H0-B01170),8599,2945487,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Asus",asus,Монітор ігровий Asus VG279QL3A,,8599,1,https://comfy.ua/monitor-igrovoj-asus-vg279ql3a.html,8999,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1669614592,6986562,ASUS,Монитор ASUS ROG Strix XG27ACS (90LM09Q0-B01170),12199,2945488,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Asus",asus,Монітор ігровий Asus ROG Strix XG27ACS,,11999,1,https://comfy.ua/monitor-igrovoj-asus-rog-strix-xg27acs.html,12499,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1669614844,,,,,2855238,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",foneng,Перехідник Foneng X95 Metal Head Braided Cable USB - USB-C 3A 1.2м Black (X95-CA-TC),,109,1,https://comfy.ua/perehodnik-foneng-x95-metal-head-braided-cable-usb-usb-c-3a-1-2m-black-x95-ca-tc.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
