1089552770,6525804,GOPRO,Чехол GOPRO Sleeve&Lanyard HERO8 Blue (AJSST-003),499,1914843,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для экшн-камер >> Аксессуары для экшн-камер GoPro,gopro,Чохол для екшн-камери GoPro Sleeve&Lanyard Blue for HERO 8 (AJSST-003),,499,1,https://comfy.ua/chehol-dlja-jekshn-kamery-gopro-sleeve-lanyard-blue-for-hero-8-ajsst-003.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1089552771,6525803,GOPRO,Чехол GOPRO Sleeve&Lanyard HERO8 White (AJSST-002),79,1914842,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для экшн-камер >> Аксессуары для экшн-камер GoPro,gopro,Чохол для екшн-камери GoPro Sleeve&Lanyard White for HERO 8 (AJSST-002),,79,1,https://comfy.ua/chehol-dlja-jekshn-kamery-gopro-sleeve-lanyard-white-for-hero-8-ajsst-002.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1089559261,,,,,1889643,Бытовая химия >> Все для уборки,grohe,Засіб для миття у ванній кімнаті Grohe 48166000,,918,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-grohe-48166000.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
1089560082,,,,,1905306,Бытовая химия >> Все для уборки,leifheit,Змінна насадка на швабру Leifheit Щітка гумова Click-System 56671,,565,1,https://comfy.ua/smennaja-nasadka-na-shvabru-leifheit-schetka-rezinovaja-click-system-56671.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1089560399,,,,,.1916517,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verbatim,Флеш USB Verbatim iStore 'n' Go NANO USB 32GB (98130),,209,1,https://comfy.ua/flesh-usb-verbatim-istore-n-go-nano-usb-32gb-98130.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1089560400,,,,,.1916514,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verbatim,Флеш USB Verbatim Store 'n' Go  V3  USB 3.0 32GB Black (49173),,219,1,https://comfy.ua/flesh-usb-verbatim-store-n-go-v3-usb-3-0-32gb-black-49173.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1089560541,6710476,SANO,Пятновыводитель Sano Oxygen Stain Remover 750 мл (7290005430602),319,1751900,Бытовая химия >> Средства для стирки >> Отбеливатели для белья >> Отбеливатели для белья Sano,sano,Відбілювач для білизни Sano Тригер 750 мл (7290005430602),,255,1,https://comfy.ua/otbelivatel-dlja-bel-ja-sano-triger-750-ml-7290005430602.html,319,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1089561241,6769642,SPECIAL4YOU,Стол Special4You BOUST DARK BROWN (E6446),1859,1905930,"Дом, отдых и зоотовары >> Мебель >> Столы компьютерные >> Столы компьютерные Special4You",special4you,Стіл комп'ютерний Special4You Boust Dark Brown (E6446),,1999,1,https://comfy.ua/stol-komp-juternyj-special4you-boust-dark-brown-e6446.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1089562101,,,,,1907014,Посуда >> Для сервировки,bohemia,Набір келихів Bohemia Angela 6*190 мл (b40600),,888,1,https://comfy.ua/nabor-bokalov-bohemia-angela-6-190-ml-b40600.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1089562537,,,,,.1914820,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asrock,Материнська плата ASRock B450M Pro4 R2.0,,2985,1,https://comfy.ua/materinskaja-plata-asrock-b450m-pro4-r2-0.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1089562538,,,,,.1914819,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asrock,Материнська плата ASRock B550M Phantom Gaming 4,,3999,1,https://comfy.ua/materinskaja-plata-asrock-b550m-phantom-gaming-4.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
