1091183185,column,column,column,column,1925912,_______________beaba,beaba,___beaba_green_920383,column,485,1,httpscomfyuatermometrdljavannybeabagreen920383html,column,05112025_2049,column,__42,Фастів,0
1091305312,6456845,ARTEL,Плита газовая ARTEL APETITO 10-G Grey (2064568450019),12899,1430813,Техника для кухни >> Крупная техника >> Плиты >> Плиты ARTEL,artel,Плита газова ARTEL Apetito 10-G Grey,,12899,1,https://comfy.ua/plita-gazovaja-artel-apetito-10-g-grey.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1091332013,6812051,FISKARS,Нож для овощей FISKARS Norden 9.6 см (1026424),3600,1915980,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Fiskars,fiskars,Ніж для коренеплодів Fiskars Norden (1026424),,4800,1,https://comfy.ua/nozh-dlja-korneplodov-fiskars-norden-1026424.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1091399768,6842010,ARTEL,Плита комбинированная ARTEL APETITO 50 01-E Brown,12615,1925293,Техника для кухни >> Крупная техника >> Плиты >> Плиты ARTEL,artel,Плита газова ARTEL Apetito 50 01-E Brown,,12615,1,https://comfy.ua/plita-gazovaja-artel-apetito-50-01-e-brown.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1091399788,6812276,ARTEL,Плита газовая ARTEL APETITO 50 10-G White,11865,1925294,Техника для кухни >> Крупная техника >> Плиты >> Плиты ARTEL,artel,Плита газова ARTEL Apetito 50 10-G White,,12489,1,https://comfy.ua/plita-gazovaja-artel-apetito-50-10-g-white.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1091399844,6912291,ARTEL,Плита газовая ARTEL APETITO 50 10-G Brown,11865,1925292,Техника для кухни >> Крупная техника >> Плиты >> Плиты ARTEL,artel,Плита газова ARTEL Apetito 50 10-G Brown,,12615,1,https://comfy.ua/plita-gazovaja-artel-apetito-50-10-g-brown.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1091399884,6746320,PROMATE,Гарнитура Promate Panda Lilac (panda.lilac),1599,1924568,"Аудио, фото и видео >> Наушники >> Наушники Promate",promate,Навушники накладні бездротові Promate Panda.Lilac,,1599,1,https://comfy.ua/naushniki-nakladnye-besprovodnye-promate-panda-lilac.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1091399893,6746318,PROMATE,Гарнитура Promate Panda Aqua (panda.aqua),1299,1924566,"Аудио, фото и видео >> Наушники >> Наушники Promate",promate,Навушники накладні бездротові Promate Panda.Aqua,,1299,1,https://comfy.ua/naushniki-nakladnye-besprovodnye-promate-panda-aqua.html,1599,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1091472742,6789447,ARDESTO,Лопатка ARDESTO Midori 31.5 см (AR3020GB),125,1909594,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Ardesto,ardesto,Лопатка кухонна Ardesto Midori (AR3020GB),,149,1,https://comfy.ua/lopatka-kuhonnaja-ardesto-midori-ar3020gb.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1091472796,6789530,ARDESTO,Шумовка ARDESTO Midori (AR3019GB),125,1909593,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Ardesto,ardesto,Шумовка Ardesto Midori (AR3019GB),,149,1,https://comfy.ua/shumovka-ardesto-midori-ar3019gb.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1091475232,6789452,ARDESTO,Щипцы ARDESTO Gemini 21 см (AR2134SS),99,1909541,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Ardesto,ardesto,Щипці кухонні Ardesto Gemini 21 см (AR2134SS),,99,1,https://comfy.ua/schipcy-kuhonnye-ardesto-gemini-21-sm-ar2134ss.html,125,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
