742607168,column,column,column,column,1677911,Посуда >> Для запекания и выпечки,tescoma,___tescoma_623254_delicia_22_,column,899,1,httpscomfyuaformadljavypechkitescoma623254delicia22smhtml,column,05112025_1918,column,__42,Фастів,0
742766021,,,,,.1679352,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 630886 Delicia,,599,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-630886-delicia.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
742766022,,,,,1679354,Посуда >> Для запекания и выпечки,tescoma,Набор форм для печива Tescoma 630900 Delicia,,459,1,https://comfy.ua/nabor-form-dlja-vypechki-tescoma-630900-delicia.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
742766044,,,,,1677909,Посуда >> Для запекания и выпечки,tescoma,Форма для випічки tescoma 623246 Delicia 12 см,,599,1,https://comfy.ua/forma-dlja-vypechki-tescoma-623246-delicia-12-sm.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
742766045,,,,,1679347,Посуда >> Для приготовления,tescoma,Форма для приготування tescoma 630877 Delicia 10 шт.,,599,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-630877-delicia-10-sht.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
742766046,,,,,1679349,Посуда >> Для приготовления,tescoma,Форма для приготування tescoma 630879 Delicia 21 шт.,,599,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-630879-delicia-21-sht.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
742766047,,,,,1679348,Посуда >> Для приготовления,tescoma,Форма для приготування tescoma 630878 Delicia 21 шт.,,599,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-630878-delicia-21-sht.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
742766074,,,,,1679350,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 630882 Delicia,,699,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-630882-delicia.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
742767944,,,,,1679353,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 630890 Delicia,,749,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-630890-delicia.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
742768663,,,,,1681544,Техника для кухни >> Крупная техника,grunhelm,Плита газова настільна Grunhelm GGP-6012,,1139,1,https://comfy.ua/catalog/product/view/id/1354213/s/plita-gazovaja-nastol-naja-grunhelm-ggp-6012,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
742768688,,,,,1682096,Техника для кухни >> Мелкая техника,gorenje,Електричний чайник Gorenje K17S,,759,1,https://comfy.ua/catalog/product/view/id/1352953/s/jelektricheskij-chajnik-gorenje-k17s,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
742770326,,,,,1677908,Посуда >> Для запекания и выпечки,tescoma,Форма для випічки tescoma 623290 Delicia 28 см,,1799,1,https://comfy.ua/forma-dlja-vypechki-tescoma-623290-delicia-28-sm.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
742770398,,,,,1678692,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Baseus,baseus,Автомобільний зарядний пристрій Baseus Tiny Star Mini QC USB Port 30W Gray (VCHX-A0G),,399,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-baseus-tiny-star-mini-qc-usb-port-30w-gray-vchx-a0g.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
742770403,,,,,1678682,Смартфоны и телефоны >> Аксессуары для смартфонов,baseus,Автомобільний зарядний пристрій Baseus Circular Plastic A+A 30W Dual QC3.0 Black (CCALL-YD01),,329,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-baseus-circular-plastic-a-a-30w-dual-qc3-0-black-ccall-yd01.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
742771026,,,,,1677896,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Tescoma,tescoma,Каструля tescoma 779218 Vision 18 см 2.0 л,,2999,1,https://comfy.ua/kastrjulja-tescoma-779218-vision-18-sm-2-0-l.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
742771177,6676671,GORENJE,Мультипечь GORENJE AF1409DB,2999,1673724,Техника для кухни >> Мелкая техника >> Мультипечи и аэрогрили >> Мультипечи и аэрогрили Gorenje,gorenje,Мультипіч Gorenje AF 1409 DB,,2599,1,https://comfy.ua/mul-tipech-gorenje-af-1409-db.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
742772656,6810099,WHIRLPOOL,Варочная поверхность WHIRLPOOL WS Q2160 NE,12999,1669525,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Whirlpool,whirlpool,Варильна поверхня електрична Whirlpool WS Q2160 NE,,13999,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-whirlpool-ws-q2160-ne.html,18499,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
742772661,6633564,GORENJE,Электрочайник GORENJE K 17 S (FK-1625-1),768,1682096,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Gorenje,gorenje,Електричний чайник Gorenje K17S,,759,1,https://comfy.ua/jelektricheskij-chajnik-gorenje-k17s.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
742774080,6748766,GEMBIRD,Комплект GEMBIRD KBS-WM-03-UA USB Black,599,1680290,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gembird,Клавіатура + миша бездротова Gembird KBS-WM-03-UA,,439,1,https://comfy.ua/catalog/product/view/id/1355303,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
742847057,,,,,1681544,Техника для кухни >> Крупная техника,grunhelm,Плита газова настільна Grunhelm GGP-6012,,1139,1,https://comfy.ua/catalog/product/view/id/1354213,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
743077673,,,,,1667050,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant Samsung Galaxy S20 (SM170746),,499,1,https://comfy.ua/catalog/product/view/id/1354713,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
743077675,6717813,POWERPLANT,rechar POWERPLANT Samsung Galaxy A20 (EB-BA505ABN) 3200mAh (SM170685),335,1667044,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant Samsung Galaxy A20 (SM170685),,199,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-samsung-galaxy-a20-sm170685.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
743077678,,,,,1667046,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant Samsung Galaxy A60 (SM170708),,199,1,https://comfy.ua/catalog/product/view/id/1354513,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
743077717,,,,,1667049,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant Samsung Galaxy S10 Plus (SM170739),,699,1,https://comfy.ua/catalog/product/view/id/1354673,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
743077719,,,,,1667047,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant Samsung Galaxy A70 (SM170715),,599,1,https://comfy.ua/catalog/product/view/id/1354563,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
743077720,,,,,1667052,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant Samsung Galaxy S20 Plus (SM170777),,399,1,https://comfy.ua/catalog/product/view/id/1354773,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
743077882,,,,,.1677902,Посуда >> Для приготовления,tescoma,Каструля tescoma 779028 Vision 28 см 11.0 л,,5499,1,https://comfy.ua/kastrjulja-tescoma-779028-vision-28-sm-11-0-l.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
743078567,,,,,1677886,Посуда >> Для запекания и выпечки,tescoma,Форма для випічки tescoma 623115 Delicia 28 см,,999,1,https://comfy.ua/forma-dlja-vypechki-tescoma-623115-delicia-28-sm.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
743215554,6490853,GRUNHELM,Плитка GRUNHELM GGP-6012,1139,1681544,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Grunhelm,grunhelm,Плита газова настільна Grunhelm GGP-6012,,1139,1,https://comfy.ua/plita-gazovaja-nastol-naja-grunhelm-ggp-6012.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
743222362,6748766,GEMBIRD,Комплект GEMBIRD KBS-WM-03-UA USB Black,599,1680290,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Gembird",gembird,Клавіатура + миша бездротова Gembird KBS-WM-03-UA,,439,1,https://comfy.ua/klaviatura-mysh-besprovodnaja-gembird-kbs-wm-03-ua.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
743232672,,,,,1681350,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Xiaomi Redmi 9 Clear (705207),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-xiaomi-redmi-9-clear-705207.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
743266439,6618459,HP,Гарнитура HP DHE-7001 (DHE-7001),199,1664379,"Аудио, фото и видео >> Наушники",hp,Навушники вкладиші дротові HP DHE-7001,,199,1,https://comfy.ua/catalog/product/view/id/1362193,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
743343911,6609306,FLORINA,Гейзерная кофеварка Florina Lungo 300 мл (5K7138),749,1682824,Посуда >> Для напитков,florina,Кавоварка гейзерна FLORINA Lungo 270 мл (5K7138),,849,1,https://comfy.ua/catalog/product/view/id/1359223,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
743352094,,,,,1681640,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Мережевий зарядний пристрій XOKO WC-210 2.4A USB White (WC-210-WH),,99,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-xoko-wc-210-2-4a-usb-white-wc-210-wh.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
743352095,,,,,1681641,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Мережевий зарядний пристрій XOKO WC-310 3A USB White (WC-310-WH),,149,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-xoko-wc-310-3a-usb-white-wc-310-wh.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
743352174,,,,,.1679327,Посуда >> Для запекания и выпечки,tescoma,Набір форм для печива tescoma 630859 Динозаври Delicia,,559,1,https://comfy.ua/nabor-form-dlja-vypechki-tescoma-630859-dinozavry-delicia.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
743356695,6612095,TEFAL,Кофеварка TEFAL CM600810,3399,1678512,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные Tefal,tefal,Кавоварка крапельна Tefal CM600810,,3399,1,https://comfy.ua/kofevarka-kapel-naja-tefal-cm600810.html,3899,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
743356802,,,,,.1680174,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Мережевий зарядний пристрій XOKO QC-100 1 USB Qualcom 3.0 3.5A Black (QC-100-BK),,169,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-xoko-qc-100-1-usb-qualcom-3-0-3-5a-black-qc-100-bk.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
743356843,,,,,1677885,Посуда >> Для запекания и выпечки,tescoma,"Набір форм для приготування tescoma 623111Delicia 10 см, 4 шт.",,1059,1,https://comfy.ua/nabor-form-dlja-prigotovlenija-tescoma-623111delicia-10-sm-4-sht.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
743356844,,,,,1677891,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 629420 Delicia SiliconPrime,,899,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-629420-delicia-siliconprime.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
