774576364,column,column,column,column,1730616,______________stark,stark,_stark_520201000,column,265,1,httpscomfyuakuvaldastark520201000html,column,05112025_2133,column,__42,Фастів,0
774865144,,,,,.1730931,Смарт-часы и гаджеты >> Аксессуары,xoko,Ремінець для смарт-годинника XOKO Samsung Sport 22mm Black (XK-BND-22SP-BK),,99,1,https://comfy.ua/remeshok-dlja-smart-chasov-xoko-samsung-sport-22mm-black-xk-bnd-22sp-bk.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
774867801,6927180,EINHELL,Набор насадок для реноватора KWB для плитки 4 шт (708750),626,1729165,Инструменты и автотовары >> Расходные материалы >> Насадки для реноваторов >> Насадки для реноваторов Einhell,einhell,Набір насадок для багатофункціонального інструменту Einhell 4 шт. для плитки KWB (708750),,695,1,https://comfy.ua/nabor-nasadok-dlja-mnogofunkcional-nogo-instrumenta-einhell-4-sht-dlja-plitki-kwb-708750.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
774868071,6656886,GALACTIC,Кондиционер GALACTIC GKZ12SH-W/GCZ12SH-W,36925,1730805,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры GALACTIC,galactic,Кондиціонер спліт GALACTIC GKZ12SH-W/GCZ12SH-W,,36925,1,https://comfy.ua/kondicioner-split-galactic-gkz12sh-w-gcz12sh-w.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
774868072,6656889,GALACTIC,Кондиционер GALACTIC GKZ 18HF-S/GCZ 18HF-S,36075,1730808,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры GALACTIC,galactic,Кондиціонер спліт GALACTIC GKZ 18HF-S/GCZ 18HF-S,,36075,1,https://comfy.ua/kondicioner-split-galactic-gkz-18hf-s-gcz-18hf-s.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
774868759,,,,,1719999,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов BeCover,becover,Ремінець для фітнес-браслету BeCover for Xiaomi Mi Band 4/3 Deep Blue (704127),,149,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-becover-for-xiaomi-mi-band-4-3-deep-blue-704127.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
774869076,7088318,BRABANTIA,Открывалка для бутылок Brabantia Tasty+ Light Grey (121807),352,1727530,Посуда >> Кухонные аксессуары >> Штопоры и открывалки >> Штопоры и открывалки Brabantia,brabantia,Відкривачка для пляшок Brabantia 121807,,439,1,https://comfy.ua/otkryvalka-dlja-butylok-brabantia-121807.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
774876747,,,,,1725504,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant LG Optimus Vu F100 (BL-T3) (DV00DV6292),,139,1,https://comfy.ua/catalog/product/view/id/1842753,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
774884801,,,,,.1661428,Посуда >> Кухонные аксессуары,tescoma,Штопор tescoma 420244.46 Presto Steel,,499,1,https://comfy.ua/shtopor-tescoma-420244-46-presto-steel.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
774884805,,,,,.1661427,Посуда >> Кухонные аксессуары,tescoma,Штопор tescoma 420244.2 Presto Red,,499,1,https://comfy.ua/shtopor-tescoma-420244-2-presto-red.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
774891091,6635729,BOSCH,Дрель-шуруповерт BOSCH GSB 120-Li (0.601.9G8.100),4926,1722086,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Bosch,bosch,Дриль-шуруповерт Bosch GSB 120-Li (0.601.9G8.100),,4925,1,https://comfy.ua/drel-shurupovert-bosch-gsb-120-li-0-601-9g8-100.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
774903330,6686926,EINHELL,Дрель-шуруповерт Einhell Power X-Change TE-CD 18/50 Li-i BL Solo (4513942),3425,1729150,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Einhell,einhell,Дриль-шуруповерт Einhell X-Change TE-CD 18/50 Li-i BL Solo (4513942),,3425,1,https://comfy.ua/drel-shurupovert-einhell-x-change-te-cd-18-50-li-i-bl-solo-4513942.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
774903331,,,,,1731097,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Merlion,merlion,Шуруповерт Merlion DR1220PL/02178,,2635,1,https://comfy.ua/shurupovert-merlion-dr1220pl-02178.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
774903703,6656880,MITSUBISHI HEAVY,Кондиционер MITSUBISHI Heavy SRK25ZS-W/SRC25ZS-W,44949,1730886,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Mitsubishi Heavy,mitsubishi-heavy,Кондиціонер спліт Mitsubishi Heavy SRK25ZS-W/SRC25ZS-W,,44949,1,https://comfy.ua/kondicioner-split-mitsubishi-srk25zs-w-src25zs-w.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
774903705,6656890,GALACTIC,Кондиционер GALACTIC GKZ 24HF-S/GCZ 24HF-S,48709,1730809,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры GALACTIC,galactic,Кондиціонер спліт GALACTIC GKZ 24HF-S/GCZ 24HF-S,,48709,1,https://comfy.ua/kondicioner-split-galactic-gkz-24hf-s-gcz-24hf-s.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
774905726,6656881,MITSUBISHI HEAVY,Кондиционер MITSUBISHI Heavy SRK35ZS-W/SRC35ZS-W,51335,1730887,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Mitsubishi Heavy,mitsubishi-heavy,Кондиціонер спліт Mitsubishi Heavy SRK35ZS-W/SRC35ZS-W,,51335,1,https://comfy.ua/kondicioner-split-mitsubishi-srk35zs-w-src35zs-w.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
774905794,6656882,MITSUBISHI HEAVY,Кондиционер MITSUBISHI Heavy SRK50ZS-W/SRC50ZS-W,72049,1730888,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Mitsubishi Heavy,mitsubishi-heavy,Кондиціонер спліт Mitsubishi Heavy SRK50ZS-W/SRC50ZS-W,,72049,1,https://comfy.ua/kondicioner-split-mitsubishi-srk50zs-w-src50zs-w.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
774908036,6175942,СТАЛЬ,Ножницы по металлу СТАЛЬ (41002),249,1723526,Инструменты и автотовары >> Ручные инструменты >> Ножницы по металлу >> Ножницы по металлу Сталь,stal,Ножиці по металу Сталь СR-V 250 мм правые (41002),,315,1,https://comfy.ua/nozhnicy-po-metallu-stal-sr-v-250-mm-pravye-40648.html,,05.11.2025 23:21,,"вул. Соборна, 42",Фастів,0
774908038,6458290,СТАЛЬ,Ножницы по металлу Сталь 41001 CrV 250 мм левые (40647),230,1723525,Инструменты и автотовары >> Ручные инструменты >> Ножницы по металлу >> Ножницы по металлу Сталь,stal,Ножиці по металу Сталь CR-V 250 мм левые (41001),,315,1,https://comfy.ua/nozhnicy-po-metallu-stal-cr-v-250-mm-levye-41001.html,,05.11.2025 22:32,,"вул. Соборна, 42",Фастів,0
774908244,,,,,1731272,Бытовая химия >> Средства для стирки,okey,Засіб для видалення плям O'key Суперкислород 0.5 кг (4820049381566),,65,1,https://comfy.ua/sredstvo-dlja-udalenija-pjaten-o-key-superkislorod-0-5-kg-4820049381566.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
774909493,,,,,1729267,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax mATX з блоком живлення (ATX300 ST-609),,1839,1,https://comfy.ua/catalog/product/view/id/1864633,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
774909495,,,,,.1729259,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax mATX з блоком живлення ATX300 ST-607,,1789,1,https://comfy.ua/korpus-gamemax-matx-s-blokom-pitanija-atx300-st-607.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
774909775,,,,,1729273,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX з блоком живлення (ET-210U3-500W),,1929,1,https://comfy.ua/catalog/product/view/id/1864673,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
